placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/PuroClean+of+Tuscaloosa/data=!4m7!3m6!1s0x888603d3263868bd:0x96f1f44983256e32!8m2!3d33.2311447!4d-87.5669595!16s%2Fg%2F11lryncp9q!19sChIJvWg4JtMDhogRMm4lg0n08ZY,PuroClean of Tuscaloosa,4.9,58,Water damage restoration service,"2215 9th Ave, Northport, AL 35476, United States","6CJM+F6 Northport, Alabama, USA",https://www.puroclean.com/northport-al-puroclean-tuscaloosa,+1 205-579-1515,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerJXZD83WJTlpE5WkJp4gS3Z7ZLlLmSVrTRn6NbiV9uGflLoq3gfKyQQYEANopSael1zzHqcUz-P1dkfIKOlWCD9-TmuV6SNlC5Lu2pg8R4yVMuD5OnvyotS7_EUhVVGmy2HmAZ=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:04.618Z,,,,
https://www.google.com/maps/place/Restoration+1+of+Tuscaloosa/data=!4m7!3m6!1s0x8886032931bed63f:0x9ef1c6e3194bbff2!8m2!3d33.306606!4d-87.4532245!16s%2Fg%2F11fd4p5p25!19sChIJP9a-MSkDhogR8r9LGePG8Z4,Restoration 1 of Tuscaloosa,5.0,120,Water damage restoration service,,,https://restoration1.com/tuscaloosa?utm_source=GBP&utm_medium=Google,+1 205-358-4597,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepKP1nqG76QtXY2Kb4iqs8afcvquTWB8OtFoD8BJ9KYGMSozd-y2Xh5Y5bUfn45-qYzYWMVvHC6exlayl-G3IQ3Wa9D1lA38UKnJDs_ungigKLVe3x_Vy0O_0SCYw-WpF_x9nU=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:10.034Z,,,,
https://www.google.com/maps/place/HomeHarbor/data=!4m7!3m6!1s0x8886038c2b227c63:0x173dad2cc94f421!8m2!3d33.2343889!4d-87.5421779!16s%2Fg%2F11m_85r9xm!19sChIJY3wiK4wDhogRIfSUzNLacwE,HomeHarbor,,,Water damage restoration service,"1655 McFarland N Blvd, Tuscaloosa, AL 35406, United States","6FM5+Q4 Tuscaloosa, Alabama, USA",https://tuscaloosawaterdamagerestoration.shop/,+1 205-294-7161,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d1R9dUaiw8IRhGyYHZG2qg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.190007&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:15.141Z,,,,
https://www.google.com/maps/place/SERVPRO+of+Tuscaloosa/data=!4m7!3m6!1s0x8888a98e1c98c09b:0xcf2a4f579938d452!8m2!3d33.1569586!4d-87.5138873!16s%2Fg%2F1td9r8vx!19sChIJm8CYHI6piIgRUtQ4mVdPKs8,SERVPRO of Tuscaloosa,4.8,211,Water damage restoration service,"5500 Jug Factory Rd, Tuscaloosa, AL 35405, United States","5F4P+QC Tuscaloosa, Alabama, USA",https://www.servpro.com/locations/al/servpro-of-tuscaloosa?utm_medium=organic&utm_source=gbp,+1 205-339-5022,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoRaenpCKT7FT-MrAnNHrJ-YMjmTTD8omf7oyyZo0sw724esjSPTPcrho1MmJHXac7it9J-Y08giqhP6qRn26rFu21Dgnvk2fg2zO6S2fXGUYh8of908soLMZhCwvJY7M-pK6tcBBFI8biC=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:19.989Z,,,,
https://www.google.com/maps/place/Alabama+Restoration+and+Remediation/data=!4m7!3m6!1s0x888602df258a9d71:0x8ba472a502427d66!8m2!3d33.2177516!4d-87.5770352!16s%2Fg%2F11bbwxbb3g!19sChIJcZ2KJd8ChogRZn1CAqVypIs,Alabama Restoration and Remediation,4.5,2,Water damage restoration service,"1905 4th St, Northport, AL 35476, United States","6C9F+45 Northport, Alabama, USA",http://www.alrestoration.com/,+1 205-758-9558,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerFo_GUFyHAbU_s6cRJNdqCMJPG-Hq0E_U6ryY0oun_SEpqx1M2k7FObuKLCLGr0CHFIa0to_EPAEi93PTt42dZug9p7d5MYmVN_-bx9CJdyrhf76qG4JTz0kO3QcpW1Ew56HkG=w408-h544-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:24.638Z,,,,
https://www.google.com/maps/place/Dry+Fast+of+Tuscaloosa+-+Water+Damage+Restoration/data=!4m7!3m6!1s0x8888af29efce767d:0x36ea0d3c5a7b0d6a!8m2!3d33.1918559!4d-87.4713238!16s%2Fg%2F125_zp38x!19sChIJfXbO7ymviIgRag17WjwN6jY,Dry Fast of Tuscaloosa - Water Damage Restoration,5.0,24,Water damage restoration service,"5011 Old Cottondale Rd, Cottondale, AL 35453, United States","5GRH+PF Cottondale, Alabama, USA",https://calldryfast.com/locations/tuscaloosa-alabama/?utm_source=google&utm_medium=gmb&utm_campaign=profile,+1 205-556-8320,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweowTajoauu3UpvV251bv6AiAOwz0j_iI9iUPjsJ6RT7MGyFl7k51JQT58qoiNZ-xTbRf87QTJXpfFC8w5U6Xy-_eV_L4zS3OMnlv4psbP-rzJAg4SzgWXlwuhYWvmGIz30sW15t=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:29.440Z,,,,
https://www.google.com/maps/place/Crawlspace+Medic+of+Tuscaloosa/data=!4m7!3m6!1s0x88860317d04604f1:0x88dece1c7105f92d!8m2!3d33.1983328!4d-87.5623942!16s%2Fg%2F11mkbssc9x!19sChIJ8QRG0BcDhogRLfkFcRzO3og,Crawlspace Medic of Tuscaloosa,5.0,3,Waterproofing service,"1601 23rd Ave Unit F, Tuscaloosa, AL 35401, United States","5CXQ+82 Tuscaloosa, Alabama, USA",https://crawlspacemedic.com/locations/tuscaloosa-al/,+1 205-840-2020,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNLZtNqyhCZ4mdjwpHGSyeTzIefk4GKS1TIyb6u0pzIQd8OLqRXO0vimq1_YNNKjrBQe7vSgLNt8Gh9-5HkSJq7tM5idMeNUG1Z1peATYOMk4rPWgf2pbN0QoZkvKgmcVCbUS3yup6IlHH=w408-h272-k-no,true,Closed,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,8 am–6:30 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:34.103Z,,,,
https://www.google.com/maps/place/Restoration+1+of+Tuscaloosa/data=!4m7!3m6!1s0x888603263ef1446b:0xa1539505255847a8!8m2!3d33.2230087!4d-87.5826698!16s%2Fg%2F11y2clg3mk!19sChIJa0TxPiYDhogRqEdYJQWVU6E,Restoration 1 of Tuscaloosa,,,Contractor,"1010 26th Ave, Northport, AL 35476, United States","6CF8+6W Northport, Alabama, USA",https://restoration1oftuscaloosa.com/contact-us/,+1 205-632-7900,Closed · Opens 12 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bRP54bzqJAQvYk25XL4-dg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=268.6784&pitch=0&thumbfov=100,false,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:38.903Z,,,,
https://www.google.com/maps/place/Summit+Cleaning+%26+Restoration/data=!4m7!3m6!1s0x888603ed1aa3973d:0x49de46f98f73ad22!8m2!3d33.306606!4d-87.4532245!16s%2Fg%2F11s3xvy8cp!19sChIJPZejGu0DhogRIq1zj_lG3kk,Summit Cleaning & Restoration,4.0,1,Janitorial service,,,https://summitcleaningandrestorationinc.com/,+1 205-310-5757,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerUVJkleQxYsHFDQ5shDq9hyWtynhc15pAmi3ei5dST8iJhhBFnAIj_Sxymdt2apXC7bLySgnYxcN9VFwBGyz1V4x_yPlWktIF4K5C8hHXE_fd_C_3TyneuKWqLMlyZB6yK6C3Q=w408-h544-k-no,true,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:43.574Z,,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x888603ed787895c7:0x201398db01a43726!8m2!3d33.1977212!4d-87.560591!16s%2Fg%2F11fl4m7h2v!19sChIJx5V4eO0DhogRJjekAduYEyA,Roto-Rooter Plumbing & Water Cleanup,4.8,1045,Plumber,"1610 Queen City Ave, Tuscaloosa, AL 35401, United States","5CXQ+3Q Tuscaloosa, Alabama, USA",https://www.rotorooter.com/tuscaloosaal/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 205-758-0235,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq-ytQXU7i6Rm_IO06gQ5BPh946E7XP6VUENqC7KbNV-gokSkBeIWUWiN5bFwG2PW_H-p1sUXB47QKmMruIsN038_5a3FhXT6zr4H9PDK3_4ao5AB5A_E8B_MRRYaWRX6vO9ix5=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Tuscaloosa+AL/@33.21031,-87.5658722,14z",2026-03-23T03:32:48.365Z,LGBTQ+ friendly,,,
