placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Memorial+Epworth+Center/data=!4m7!3m6!1s0x8816cdb4e7d220c9:0x18104a38509da93!8m2!3d41.6811887!4d-86.2439604!16s%2Fg%2F1vljgypw!19sChIJySDS57TNFogRk9oJhaMEgQE,Memorial Epworth Center,2.8,86,Psychiatric hospital,"420 N Niles Ave, South Bend, IN 46617, United States","MQJ4+FC South Bend, Indiana, USA",https://locations.beaconhealthsystem.org/in/south-bend/epworth-hospital?y_source=1_OTg1NDcwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 574-647-8400,"Open 24 hours

Confirmed by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMfu6t1Ya2I9MC38AZEF3wHi4_s7cX17hBp4Knb=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:22:55.590Z,,,
https://www.google.com/maps/place/Beacon+Medical+Group+Behavioral+Health+South+Bend/data=!4m7!3m6!1s0x8816cd494c888505:0x453f0fa5e352bfb7!8m2!3d41.6846799!4d-86.2513411!16s%2Fg%2F1v9gw22b!19sChIJBYWITEnNFogRt79S46UPP0U,Beacon Medical Group Behavioral Health South Bend,2.9,35,Mental health clinic,"707 N Michigan St # 400, South Bend, IN 46601, United States","MPMX+VF South Bend, Indiana, USA",https://locations.beaconhealthsystem.org/in/south-bend/beacon-medical-group-behavioral-health-south-bend?y_source=1_OTg1ODQwNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 574-647-8470,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxzdFrmi4o7C1On70sR521rnyOH0tLaXHYttH7XKCPEYqYMUWTD525d3iLb5KrSYuG9cW8njMKEae93mekPIKfPAMAvMu9iE2u9cMgrYHdSgF_Dg4hNFHSX1aY1gfnK6iy065o=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,7:30 am–4 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:01.475Z,,,
https://www.google.com/maps/place/Oaklawn/data=!4m7!3m6!1s0x8816cd47db29e64b:0x40d79656acf35014!8m2!3d41.6810192!4d-86.2461843!16s%2Fg%2F1tfbjb5c!19sChIJS-Yp20fNFogRFFDzrFaW10A,Oaklawn,2.9,57,Mental health clinic,"415 E Madison St, South Bend, IN 46617, United States","MQJ3+CG South Bend, Indiana, USA",http://www.oaklawn.org/services#.VfbD32xStBc,+1 574-283-1234,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxNNjv3hwTbhkRtYknhXMB8-ycRSA7Nt5zXyJ8trA-rgevydyKOJHcjiaEIwS3InkNQdNv3QgejPZHXv5wO-pLrGD8C9v-C0w-ZyUkSG8_21gvgYzYtFvAuL7l6_spfYqfd0IWc=w408-h544-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:06.368Z,,,
"https://www.google.com/maps/place/Jennifer+Prins,+MD+-+Beacon+Medical+Group+Behavioral+Health+South+Bend/data=!4m7!3m6!1s0x8816cd653cd8321f:0xe5f623ffed9fb275!8m2!3d41.6846937!4d-86.2511561!16s%2Fg%2F11frds2vhk!19sChIJHzLYPGXNFogRdbKf7f8j9uU","Jennifer Prins, MD - Beacon Medical Group Behavioral Health South Bend",5.0,1,Psychiatrist,"707 N Michigan St # 400, South Bend, IN 46601, United States","MPMX+VG South Bend, Indiana, USA",https://checkin.beaconhealthsystem.org/previsit/app/?y_source=1_MTUxNTkwNzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#/directory/beacon/providers/Jennifer-Clare-Prins-psychiatry,+1 574-647-8470,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4VrEyRMriSIs-Kz6QNrUWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.24721&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,7:30 am–4 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:11.381Z,,,
https://www.google.com/maps/place/Ketamine+is+Hope/data=!4m7!3m6!1s0x8816cdfa0281b0fd:0xb83f98af9e23d284!8m2!3d41.6731696!4d-86.2408831!16s%2Fg%2F11l5x71f53!19sChIJ_bCBAvrNFogRhNIjnq-YP7g,Ketamine is Hope,5.0,26,Mental health service,"300 S St Louis Blvd #103, South Bend, IN 46617, United States","MQF5+7J South Bend, Indiana, USA",https://ketamineishope.com/,+1 574-544-2283,"Closed · Opens 8 am Tue

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOe3cjXw7B8mWv0uXED-Ezgtrg4-kjuvLWdg-o=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–12 pm,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:16.378Z,,,
"https://www.google.com/maps/place/Kathryn+A.+Kenney,+DO,+MBA/data=!4m7!3m6!1s0x8816cf20af6547e3:0xc2d54523699e96ae!8m2!3d41.6811747!4d-86.2438716!16s%2Fg%2F11gsb9cs2f!19sChIJ40dlryDPFogRrpaeaSNF1cI","Kathryn A. Kenney, DO, MBA",5.0,1,Psychiatrist,"420 N Niles Ave, South Bend, IN 46617, United States","MQJ4+FF South Bend, Indiana, USA",https://providers.beaconhealthsystem.org/provider/Kathryn%20Kenney/1502047?y_source=1_OTg1NjQ1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 574-647-8400,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_yVHZKNu9u8Xt4r0U-zPhw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.513&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:21.508Z,,,
https://www.google.com/maps/place/Oaklawn+Crisis+Center/data=!4m7!3m6!1s0x8816cd08d3b1895b:0x9373204498b7a5ab!8m2!3d41.6811747!4d-86.2438726!16s%2Fg%2F11ldhgkwn6!19sChIJW4mx0wjNFogRq6W3mEQgc5M,Oaklawn Crisis Center,5.0,3,Mental health service,"420 N Niles Ave Suite 100, South Bend, IN 46617, United States","MQJ4+FF South Bend, Indiana, USA",https://www.oaklawn.org/,+1 574-533-1234,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipMW22FZy_fhyKNLnUd4OLCyKA79V0QgYS5c8TNu=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:26.403Z,,,
https://www.google.com/maps/place/John+Haskin/data=!4m7!3m6!1s0x8816cd0f06a36a5d:0xc94d6a40e9b6c4d3!8m2!3d41.6811747!4d-86.2438726!16s%2Fg%2F11gwmb4vc9!19sChIJXWqjBg_NFogR08S26UBqTck,John Haskin,5.0,1,Psychiatrist,"420 N Niles Ave, South Bend, IN 46617, United States","MQJ4+FF South Bend, Indiana, USA",https://checkin.beaconhealthsystem.org/previsit/app/?y_source=1_MTA1ODQyNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#/directory/beacon/providers/John-James-Haskin-psychiatry,+1 574-647-8400,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_yVHZKNu9u8Xt4r0U-zPhw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.51027&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:31.225Z,,,
"https://www.google.com/maps/place/Sidrah+Najam,+DO+-+Beacon+Medical+Group+Behavioral+Health+South+Bend/data=!4m7!3m6!1s0x8816cddea7451221:0x41d7ed86cf4cadd7!8m2!3d41.6846937!4d-86.2511561!16s%2Fg%2F11v60pv881!19sChIJIRJFp97NFogR161Mz4bt10E","Sidrah Najam, DO - Beacon Medical Group Behavioral Health South Bend",5.0,1,Psychiatrist,"707 N Michigan St # 400, South Bend, IN 46601, United States","MPMX+VG South Bend, Indiana, USA",https://providers.beaconhealthsystem.org/provider/Sidrah%20Najam/2023431?y_source=1_MTAwNTc3MTM2Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 574-647-8470,Closed · Opens 8 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4VrEyRMriSIs-Kz6QNrUWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.24721&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,7:30 am–4 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:36.089Z,,,
"https://www.google.com/maps/place/Dr.+Mitchell+R.+Goldstein,+MD/data=!4m7!3m6!1s0x8816cd159e7c6ae9:0x30d41b249336c447!8m2!3d41.6768807!4d-86.2355085!16s%2Fg%2F1tzgptvx!19sChIJ6Wp8nhXNFogRR8Q2kyQb1DA","Dr. Mitchell R. Goldstein, MD",3.7,29,Counselor,"107 N Eddy St, South Bend, IN 46617, United States","MQG7+QQ South Bend, Indiana, USA",,+1 574-246-1036,Closed · Opens 9 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lLqLbjXdsIexw6b_FQ3sew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=268.40848&pitch=0&thumbfov=100,true,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,9 am–3 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:40.870Z,,,
"https://www.google.com/maps/place/Kearn+D.+Hinchman,+D.O./data=!4m7!3m6!1s0x8816d2650917b86d:0x89be6e31cfdefd1b!8m2!3d41.7124278!4d-86.2039061!16s%2Fg%2F1tpllbln!19sChIJbbgXCWXSFogRG_3ezzFuvok","Kearn D. Hinchman, D.O.",4.3,20,Psychiatrist,"53779 Generations Dr Suite 1, South Bend, IN 46635, United States","PQ6W+XC South Bend, Indiana, USA",,+1 574-258-6316,Closed · Opens 7:30 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kqa0Ehk1sk1_ZuHubBSNJA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.93567&pitch=0&thumbfov=100,false,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,Closed,Closed,"https://www.google.com/maps/search/Psychiatry+clinics+in+South+Bend+South+Bend+IN/@41.6763545,-86.2519898,14z",2025-12-16T03:23:45.973Z,,,
