placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Pediatrics+Plus/data=!4m7!3m6!1s0x89e7d048ba799ad3:0xd7f675a84103eaf!8m2!3d41.3903348!4d-72.8627809!16s%2Fg%2F1tfp_w9b!19sChIJ05p5ukjQ54kRrz4QhFpnfw0,Pediatrics Plus,4.0,39,Pediatrician,"13 Peck St, North Haven, CT 06473, United States","94RP+4V North Haven, Connecticut, USA",http://pediatricsplus.net/,+1 203-239-4627,Closed · Opens 8:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JuUeRjaO0kBg3ZE3VNCBRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.6761&pitch=0&thumbfov=100,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,9 am–5 pm,Closed,8:30 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:21.327Z,,
"https://www.google.com/maps/place/COMPLETE+PEDIATRICS,+P.C./data=!4m7!3m6!1s0x89e7d099f8676df9:0x60acfa4c3ea71e1d!8m2!3d41.3897856!4d-72.8597201!16s%2Fg%2F1tm2bq4t!19sChIJ-W1n-JnQ54kRHR6nPkz6rGA","COMPLETE PEDIATRICS, P.C.",4.4,36,Pediatrician,"24 Washington Ave, North Haven, CT 06473, United States","94QR+W4 North Haven, Connecticut, USA",http://www.completepediatrics.net/,+1 203-248-8888,Closed · Opens 8:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5HMbufag6lxjwfvFpmtLWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.447395&pitch=0&thumbfov=100,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,8:30 am–1 pm,Closed,8:30 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:27.665Z,Identifies as women-owned,
https://www.google.com/maps/place/Connecticut+Pediatric+Otolaryngology/data=!4m7!3m6!1s0x89e7d048b0fc11e1:0x8905bec7014ba80f!8m2!3d41.3900202!4d-72.8626699!16s%2Fg%2F1tftx_4g!19sChIJ4RH8sEjQ54kRD6hLAce-BYk,Connecticut Pediatric Otolaryngology,4.4,65,Otolaryngology clinic,"11 Peck St, North Haven, CT 06473, United States","94RP+2W North Haven, Connecticut, USA",https://www.ctentkids.com/,+1 203-234-8199,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipOD6n0XWlBmfy0CWdyQfchwwQN4zXv-xUC7zoG6=w421-h240-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:32.462Z,,
"https://www.google.com/maps/place/Dr.+Liesel+L.+Gould,+MD/data=!4m7!3m6!1s0x89e7d099f8676df9:0x4768caff84b133a3!8m2!3d41.3897856!4d-72.8597201!16s%2Fg%2F1tvymtmb!19sChIJ-W1n-JnQ54kRozOxhP_KaEc","Dr. Liesel L. Gould, MD",5.0,2,Pediatrician,"24 Washington Ave, North Haven, CT 06473, United States","94QR+W4 North Haven, Connecticut, USA",,+1 203-248-8888,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5HMbufag6lxjwfvFpmtLWg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.447395&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:35.215Z,,
"https://www.google.com/maps/place/ALLISON+COHEN,+MD/@41.3903221,-72.8627599,17z/data=!3m1!4b1!4m6!3m5!1s0x89e7d048ba799ad3:0xf5569dea16e2d3f6!8m2!3d41.3903221!4d-72.8627599!16s%2Fg%2F1tgh8lgz","ALLISON COHEN, MD",5.0,1,Pediatrician,"13 Peck St, North Haven, CT 06473, United States","94RP+4V North Haven, Connecticut, USA",http://pediatricsplus.net/,+1 203-239-4627,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:39.712Z,,
https://www.google.com/maps/place/Northeast+Medical+Group+-+Pediatrics+-+Hamden/data=!4m7!3m6!1s0x89e7da7ea80597ef:0x32f8d9950494fb01!8m2!3d41.3767571!4d-72.9048113!16s%2Fg%2F1tf29qhd!19sChIJ75cFqH7a54kRAfuUBJXZ-DI,Northeast Medical Group - Pediatrics - Hamden,4.6,16,Child health care center,"2200 Whitney Ave #240, Hamden, CT 06518, United States","93GW+P3 Hamden, Connecticut, USA",https://www.northeastmedicalgroup.org/locations/hamden-2200-whitney-avenue-suite-240.aspx,+1 203-287-5400,Open · Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6q7BGFOr31h85fjv7jEcWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.93253&pitch=0&thumbfov=100,true,8:30 am–8 pm,8:30 am–8 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:44.663Z,,
"https://www.google.com/maps/place/Dr.+Elsa+L.+Stone,+MD/data=!4m7!3m6!1s0x89e7d048ba799ad3:0x558f89795818a791!8m2!3d41.3903348!4d-72.8627809!16s%2Fg%2F1thx9nhp!19sChIJ05p5ukjQ54kRkacYWHmJj1U","Dr. Elsa L. Stone, MD",5.0,2,Pediatrician,"13 Peck St, North Haven, CT 06473, United States","94RP+4V North Haven, Connecticut, USA",http://pediatricsplus.net/,+1 203-239-4627,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JuUeRjaO0kBg3ZE3VNCBRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.6761&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:47.604Z,,
https://www.google.com/maps/place/Hamden+Pediatrics/data=!4m7!3m6!1s0x89e7d07f5de5401f:0xe9f0a5bc0cbb7de7!8m2!3d41.3834389!4d-72.8984662!16s%2Fg%2F1td3sjgm!19sChIJH0DlXX_Q54kR5327DLyl8Ok,Hamden Pediatrics,4.4,27,Pediatric clinic,"9 Washington Ave, Hamden, CT 06518, United States","94M2+9J Hamden, Connecticut, USA",http://hamdenpediatrics.com/,+1 203-287-0552,Closes soon · 7 pm · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EAJPqqQh-WzguPWZaPRYrQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.541245&pitch=0&thumbfov=100,true,9 am–7 pm,9 am–5 pm,9 am–7 pm,9 am–5 pm,9 am–1 pm,Closed,9 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:52.636Z,,
"https://www.google.com/maps/place/Cynthia+F.+Mann,+MD/@41.3767504,-72.9048493,17z/data=!3m1!4b1!4m6!3m5!1s0x89e7da7ea80597ef:0x312be7d5626cbc0a!8m2!3d41.3767504!4d-72.9048493!16s%2Fg%2F1tg7t0_t","Cynthia F. Mann, MD",4.6,11,Pediatrician,"2200 Whitney Ave #240, Hamden, CT 06518, United States","93GW+P3 Hamden, Connecticut, USA",https://www.northeastmedicalgroup.org/physicians/cynthia-f-mann,+1 203-287-5400,Open · Closes 8 pm,,false,8:30 am–8 pm,8:30 am–8 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–8 pm,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:41:59.720Z,,
"https://www.google.com/maps/place/Dr.+Stephanie+J.+Slattery,+MD/data=!4m7!3m6!1s0x89e7d048ba799ad3:0xac0e8b4b544d1dc5!8m2!3d41.3903507!4d-72.8627539!16s%2Fg%2F1td4_x57!19sChIJ05p5ukjQ54kRxR1NVEuLDqw","Dr. Stephanie J. Slattery, MD",3.0,2,Pediatrician,"13 Peck St, North Haven, CT 06473, United States","94RP+4V North Haven, Connecticut, USA",,+1 203-239-4627,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JuUeRjaO0kBg3ZE3VNCBRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.59787&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-02-10T23:42:02.512Z,,
