placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,query,timestamp,info
https://www.google.com/maps/place/Alger+Pediatrics/data=!4m7!3m6!1s0x8819b2612c48b519:0x216b5857fff5a5b9!8m2!3d42.9203657!4d-85.648353!16s%2Fg%2F1txnq1y_!19sChIJGbVILGGyGYgRuaX1_1dYayE,Alger Pediatrics,4.8,,Pediatrician,"733 Alger St SE, Grand Rapids, MI 49507, United States","W9C2+4M Grand Rapids, Michigan, USA",http://www.algerpediatrics.com/,+1 616-243-9515,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=STHtT6hSFB5oGGdwblqTIA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.258698&pitch=0&thumbfov=100,false,"8 am–12 pm, 1:15–5 pm","https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:10.528Z,
https://www.google.com/maps/place/Forest+Hills+Pediatric+Associates+PC/data=!4m7!3m6!1s0x88185263f268d8bb:0x30d1b660314464f0!8m2!3d42.94702!4d-85.5566509!16s%2Fg%2F1tk1nlpm!19sChIJu9ho8mNSGIgR8GREMWC20TA,Forest Hills Pediatric Associates PC,4.8,,Pediatrician,"C, 877 Forest Hill Ave SE, Grand Rapids, MI 49546, United States","WCWV+R8 Grand Rapids, Michigan, USA",https://foresthillspediatrics.com/,+1 616-949-4465,Closes soon · 7 pm · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipMsrwuhm5HkKF63lFOJx3RTbL8ZB8RU6xOgc2zB=w408-h306-k-no,true,7:30 am–7 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:16.411Z,LGBTQ+ friendly
https://www.google.com/maps/place/Breton+Village+Pediatrics+and+Family+Medicine/data=!4m7!3m6!1s0x8819b2ade6491f57:0x18e7514629fd2bc0!8m2!3d42.9267949!4d-85.6069049!16s%2Fg%2F1pzq3w1b7!19sChIJVx9J5q2yGYgRwCv9KUZR5xg,Breton Village Pediatrics and Family Medicine,4.8,,Medical clinic,"Professional Building, 2460 Burton St SE #300, Grand Rapids, MI 49546, United States","W9GV+P6 Grand Rapids, Michigan, USA",https://www.macfieldmd.com/,+1 616-805-3846,Closed · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipOXtYwADK9RSBp08kvs4uPf2-TN9M808V1j4Qon=w486-h240-k-no,true,7:30 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:20.946Z,
https://www.google.com/maps/place/Cherry+Health+-+Heart+of+the+City+Pediatrics/data=!4m7!3m6!1s0x8819ad0d8a0a57cd:0xc29314800fb1f65c!8m2!3d42.9590925!4d-85.6654545!16s%2Fg%2F11g194dc04!19sChIJzVcKig2tGYgRXPaxD4AUk8I,Cherry Health - Heart of the City Pediatrics,2.9,,Medical clinic,"100 Cherry St SE, Grand Rapids, MI 49503, United States","X85M+JR Grand Rapids, Michigan, USA",https://cherryhealth.org/locations/heart-of-the-city-health-center/,+1 616-459-4314,Closes soon · 7 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqECB0GobGjfu12GNRjw2IgSGfw1gDQyumcyayHX71dItJDtchYG6eWD1gI8i_1_5L6-eIamtU-oZGXnHC9ySdbgdRMJPc3QtfLh9jyRpcm2-5jCnOnRtg56c-BoajLZaJDSJSYrA=w408-h240-k-no-pi-0-ya67.403404-ro-0-fo100,true,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:25.545Z,LGBTQ+ friendly
https://www.google.com/maps/place/Corewell+Health+Grand+Rapids+Hospitals+General+Pediatrics+-+Helen+DeVos+Children%27s/data=!4m7!3m6!1s0x8819ade6a3ce62d7:0xdca6c8dffb790a86!8m2!3d42.969498!4d-85.663452!16s%2Fg%2F1261xyx98!19sChIJ12LOo-atGYgRhgp5-9_Iptw,Corewell Health Grand Rapids Hospitals General Pediatrics - Helen DeVos Children's,3.2,,Medical group,"330 Barclay Ave NE #300, Grand Rapids, MI 49503, United States","X89P+QJ Grand Rapids, Michigan, USA",https://findadoctor.spectrumhealth.org/location/profile/943?utm_source=GoogleBusiness&utm_content=Homepage,+1 616-391-8810,,https://lh3.googleusercontent.com/p/AF1QipP3Z56C6IqQ7INgtI2u7ueZqYAyguplM1Jvc9IU=w426-h240-k-no,true,,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:28.194Z,
https://www.google.com/maps/place/Western+Michigan+Pediatrics/data=!4m7!3m6!1s0x8818528bac835793:0x6f46f8e8713ad572!8m2!3d42.9496195!4d-85.5647877!16s%2Fg%2F1tfd7lgn!19sChIJk1eDrItSGIgRctU6cej4Rm8,Western Michigan Pediatrics,4.7,,Pediatrician,"721 Kenmoor Ave SE, Grand Rapids, MI 49546, United States","WCXP+R3 Grand Rapids, Michigan, USA",https://www.westernmichiganpediatrics.com/,+1 616-949-6112,Closed · Opens 8:30 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepO6luMIz2VLKm3e9tH_NvdhlxYMo73BmMWMXAEsWXDTnrxAXIXxFNYe6J298ArP4NX_X-KFx3RwDXO0sMJjBY-Lp9rWZ-CGqcU2rqZoNWPjZly9kI2m_CnJuCW8J4Fa2Vh7dIm-zgC1x16=w408-h544-k-no,true,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:32.799Z,
https://www.google.com/maps/place/Corewell+Health+Grand+Rapids+Hospitals+Academic+General+Pediatric+Care/data=!4m7!3m6!1s0x8819ad278a45d7f3:0x79da8575ddb62b01!8m2!3d42.9706082!4d-85.662402!16s%2Fg%2F11wvn213j6!19sChIJ89dFiietGYgRASu23XWF2nk,Corewell Health Grand Rapids Hospitals Academic General Pediatric Care,,,Pediatrician,"275 Michigan St NE 8th Floor, Grand Rapids, MI 49503, United States","X8CQ+62 Grand Rapids, Michigan, USA",https://corewellhealth.org/locations/LOC0000193937/corewell-health-grand-rapids-hospitals-academic-general-pediatric-care?utm_source=GoogleBusiness&utm_content=Homepage,+1 616-391-8810,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipMeBBuSQA_ZSvpvfEZsBGIxSrcbAMvL-7p3WUEO=w426-h240-k-no,true,8 am–4:30 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:37.518Z,
https://www.google.com/maps/place/ABC+Pediatrics/data=!4m7!3m6!1s0x8819a5fc938cd5a1:0x251eecfca6360460!8m2!3d43.0154704!4d-85.775276!16s%2Fg%2F1wd3wnny!19sChIJodWMk_ylGYgRYAQ2pvzsHiU,ABC Pediatrics,4.5,,Pediatrician,"4288 3 Mile Rd NW Suite 1, Grand Rapids, MI 49534, United States","268F+5V Grand Rapids, Michigan, USA",http://www.abcpedspc.com/,+1 616-458-3677,Closed · Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipOY1OMkyHMAQxiyG179o-x6FtkhqSKQG5VmtOFs=w408-h272-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:42.228Z,
"https://www.google.com/maps/place/Donna+Harold,+MD/data=!4m7!3m6!1s0x8819ad0468a6a0cd:0x43b9cf1da0cecef!8m2!3d42.9697799!4d-85.6583938!16s%2Fg%2F1tj3lpr_!19sChIJzaCmaAStGYgR7-wM2vGcOwQ","Donna Harold, MD",4.9,,Family practice physician,"426 Michigan St NE, Grand Rapids, MI 49503, United States","X89R+WJ Grand Rapids, Michigan, USA",https://findadoctor.spectrumhealth.org/physician/profile/1182?utm_source=GoogleBusiness&utm_content=Homepage,+1 616-267-7888,,https://lh3.googleusercontent.com/p/AF1QipNiHEr5m6MeLMXF0FAHUG5-QH1dYkG4-iugkd6m=w408-h612-k-no,true,,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:44.683Z,
"https://www.google.com/maps/place/Dr.+Masuma+F.+Macfield,+MD/data=!4m7!3m6!1s0x8819b2ade6491f57:0xbb3aa9337d4ba2b9!8m2!3d42.9267933!4d-85.6069038!16s%2Fg%2F1q5blld0p!19sChIJVx9J5q2yGYgRuaJLfTOpOrs","Dr. Masuma F. Macfield, MD",4.4,,Pediatrician,"Professional Building, 2460 Burton St SE #300, Grand Rapids, MI 49546, United States","W9GV+P6 Grand Rapids, Michigan, USA",http://www.macfieldmd.com/,+1 616-805-3846,Closed · Opens 7:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BqW_YT3dZAY7LakLkitLBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.92163&pitch=0&thumbfov=100,false,7:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2026-02-10T23:53:49.285Z,
