placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,isBlackOwned,sunday,monday,tuesday,wednesday,thursday,friday,saturday,attributes,error
https://www.google.com/maps/place/Vita+Drip+%26+Beauty+Bar/data=!4m7!3m6!1s0x89d13576aa29987b:0x56523e44de34569b!8m2!3d43.196258!4d-77.680665!16s%2Fg%2F11rtm3n5sp!19sChIJe5gpqnY10YkRm1Y03kQ-UlY,Vita Drip & Beauty Bar,4.7,25,Weight loss service,"726 Weiland Rd, Rochester, NY 14626, United States","58W9+GP Rochester, New York, USA",https://vitadripbeautybar.com/,+1 585-210-0774,,https://lh3.googleusercontent.com/p/AF1QipMsh4ugSFRUWKbmz2lO4Tiub9shmzwOTJk2fBHy=w408-h271-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-28T23:59:59.724Z,,,,,,,,,,,
https://www.google.com/maps/place/Jackson%27s+Health:+Family+Health+NP+PLLC/data=!4m7!3m6!1s0x89d6b5d0ebfbd9fb:0x5ce9ed76a0bbff13!8m2!3d43.124369!4d-77.594359!16s%2Fg%2F11pw55pv9l!19sChIJ-9n769C11okRE_-7oHbt6Vw,Jackson's Health: Family Health NP PLLC,4.3,60,Medical office,"1815 S Clinton Ave Suite 610, Rochester, NY 14620, United States","4CF4+P7 Rochester, New York, USA",https://www.jacksonshealth.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8919027891928686966,+1 585-340-6940,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JVZAve1I7DZyOCpaLv28ow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=135.8263&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:05.327Z,LGBTQ+ friendly,true,Closed,8 am–4 pm,8 am–4 pm,8 am–5 pm,8 am–4 pm,8 am–5 pm,Closed,,
"https://www.google.com/maps/place/Strong+Infusion+Center+Highland/@43.135616,-77.606018,17z/data=!3m1!4b1!4m6!3m5!1s0x89d6b51f8bde9da3:0xd6aa8510ea9c5b00!8m2!3d43.135616!4d-77.606018!16s%2Fg%2F1hc22xnhc",Strong Infusion Center Highland,3.7,3,Medical clinic,"1000 South Ave, Rochester, NY 14620, United States","49PV+6H Rochester, New York, USA",https://www.urmc.rochester.edu/highland/departments-centers/cancer,+1 585-341-8237,,,false,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:10.867Z,,,,,,,,,,,
https://www.google.com/maps/place/AAIR+Infusion+Center/data=!4m7!3m6!1s0x89d14b3062d3e171:0xe01f8f5703930f5b!8m2!3d43.0912597!4d-77.5812069!16s%2Fg%2F11t62tk9g7!19sChIJceHTYjBL0YkRWw-TA1ePH-A,AAIR Infusion Center,5.0,35,Medical Center,"3136 S Winton Rd, Rochester, NY 14623, United States","3CR9+GG Rochester, New York, USA",https://aair.info/infusions/,+1 585-442-0150,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNpgU4SdpNOeTCGw3_QVHI03tZZwmiyENjn5fU6=w427-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:15.702Z,,,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,
https://www.google.com/maps/place/RRH+Infusion+Center+-+20+Hagen/data=!4m7!3m6!1s0x89d6cb4da6bab185:0xb11ceabdfc86765c!8m2!3d43.1248348!4d-77.5158624!16s%2Fg%2F11gr64q80_!19sChIJhbG6pk3L1okRXHaG_L3qHLE,RRH Infusion Center - 20 Hagen,1.0,1,Medical clinic,"20 Hagen Dr #100, Rochester, NY 14625, United States","4FFM+WM Rochester, New York, USA",https://www.rochesterregional.org/locations/infusion/20-hagen?y_source=1_OTkwMTA0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 585-922-4020,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO-tUeEpiGsjyAV8cbofsG-dZJJZwEpJmJHRPTj=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:20.685Z,LGBTQ+ friendly,,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,,
https://www.google.com/maps/place/Upstate+Ketamine+Infusion+Center/data=!4m7!3m6!1s0x89d135e472bf2e7f:0xfee301326bd34d8c!8m2!3d43.1038824!4d-77.537406!16s%2Fg%2F11g0tg38xc!19sChIJfy6_cuQ10YkRjE3TazIB4_4,Upstate Ketamine Infusion Center,4.3,34,Mental health service,"3300 Monroe Ave #345, Rochester, NY 14618, United States","4F37+H2 Rochester, New York, USA",https://www.upstateketaminecenter.com/,+1 585-673-2319,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMhxIkZnrLVUa1GZ7vgb6r26HA9SAe6wUNV-JYK=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:25.786Z,,,Closed,9 am–6 pm,Closed,9 am–4:30 pm,Closed,9 am–3 pm,Closed,,
https://www.google.com/maps/place/American+Cancer+Society+B.+Thomas+Golisano+Hope+Lodge/data=!4m7!3m6!1s0x89d6b5231b5fae13:0xdca045dc7ddecab2!8m2!3d43.131666!4d-77.5974462!16s%2Fg%2F11fy4c8knq!19sChIJE65fGyO11okRssrefdxFoNw,American Cancer Society B. Thomas Golisano Hope Lodge,4.8,49,Cancer treatment center,"1120 S Goodman St, Rochester, NY 14620, United States","4CJ3+M2 Rochester, New York, USA",https://www.cancer.org/treatment/support-programs-and-services/patient-lodging/hope-lodge/rochester-ny/about-our-facility.html,+1 585-224-4900,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxaYEpLkv1aKlhZhtdV_nqA-VycbbEe3d4WId_lX5AevqH8sOnDOOdTZ1rqqTcOtKvoRBCL5JR6Wlr7tGOJeog8BqVPskTXKxmwuxfT4AWaZJ--8YlBpVLOtXdevFM0xkEXf2JTA=w408-h306-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:31.016Z,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/NAD+IV+Therapy+Clinic/data=!4m7!3m6!1s0x89d6b5cab96f2ae9:0x4c88000cb07d669!8m2!3d43.1554225!4d-77.6060349!16s%2Fg%2F11p4klhcnq!19sChIJ6Spvucq11okRadYHywCAyAQ,NAD IV Therapy Clinic,,,Medical group,"110 Clinton Square, Rochester, NY 14604, United States","594V+5H Rochester, New York, USA",http://nad-iv.org/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jyK9yRK1Mv4diypZPM4vOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=252.87096&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:36.064Z,,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/UR+Medicine+%E2%80%93+Wilmot+Cancer+Center/data=!4m7!3m6!1s0x89d14c41bb08fff3:0x336df853e74e95f6!8m2!3d43.1222172!4d-77.6227661!16s%2Fg%2F1thx9m5h!19sChIJ8_8Iu0FM0YkR9pVO51P4bTM,UR Medicine – Wilmot Cancer Center,4.2,32,Cancer treatment center,"601 Elmwood Ave, Rochester, NY 14642, United States","49CG+VV Rochester, New York, USA",https://www.urmc.rochester.edu/locations/cancer-center-smh,+1 585-275-5830,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np3-MgK2sjEdRMeC6Y9-hNWmflMIzRtFxaFJ4yu7crf71_G6hz3NeZadtEP-BjsvAcIycnDaYORNhQZe2gqneyUFoR9GaINl5SIOGUJmQUeuboaBzhDLjcPsVjiLjTmjzyV_gfJ=w408-h305-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:40.981Z,,,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
"https://www.google.com/maps/place/Strong+Infusion+Center/@43.06736,-77.6303393,17z/data=!3m1!4b1!4m6!3m5!1s0x89d14b961e05332f:0x386bd418f8290f53!8m2!3d43.06736!4d-77.6303393!16s%2Fg%2F11b60qdvdp",Strong Infusion Center,3.0,2,Medical Center,"125 Red Creek Dr, Rochester, NY 14623, United States","3989+WV Rochester, New York, USA",http://www.urmc.rochester.edu/,+1 585-341-8237,,,false,"https://www.google.com/maps/search/Infusion+centers+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-29T00:00:45.861Z,,,,,,,,,,,
