placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/AIS+Cancer+Center:+Adventist+Health+Bakersfield/data=!4m7!3m6!1s0x80ea6992f6e36135:0x13cddfc6a35adbb4!8m2!3d35.3836696!4d-119.0179972!16s%2Fg%2F12ltw2l8p!19sChIJNWHj9pJp6oARtNtao8bfzRM,AIS Cancer Center: Adventist Health Bakersfield,4.9,510,Cancer treatment center,"2620 Chester Ave, Bakersfield, CA 93301, United States","9XMJ+FR Bakersfield, California, USA",https://www.adventisthealth.org/bakersfield/services/cancer-center/,+1 661-323-4673,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPPof8qgQo23HNL9a2Ers-Fu1lpb-R9F2fx1mpI=w408-h285-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:22.100Z,,,
https://www.google.com/maps/place/Dignity+Health+Infusion+Center+at+Comprehensive+Blood+and+Cancer+Center+%28CBCC%29/data=!4m7!3m6!1s0x80ea43d5c90e1e77:0x5da09c60aa1e1612!8m2!3d35.3613226!4d-119.0745324!16s%2Fg%2F11jh6tq_0y!19sChIJdx4OydVD6oAREhYeqmCcoF0,Dignity Health Infusion Center at Comprehensive Blood and Cancer Center (CBCC),2.0,4,Hematologist,"6501 Truxtun Ave, Bakersfield, CA 93309, United States","9W6G+G5 Bakersfield, California, USA",https://locations.dignityhealth.org/dignity-health-infusion-center-bakersfield-ca,+1 661-862-7157,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wl6qyflnWRtqCg4VIxFEFQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.29734&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:27.089Z,,,
https://www.google.com/maps/place/Option+Care+Health/data=!4m7!3m6!1s0x80ea40367c7cae47:0x4f3503ee7f2def10!8m2!3d35.3138383!4d-119.0680144!16s%2Fg%2F1thn5ttx!19sChIJR658fDZA6oAREO8tf-4DNU8,Option Care Health,4.0,32,Specialized clinic,"5800 District Blvd #200, Bakersfield, CA 93313, United States","8W7J+GQ Bakersfield, California, USA",https://optioncarehealth.com/locations/bakersfield-ca,+1 661-615-6000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nragRkVT5fjXYW9suanC-sw5LcLYI_DVGKCxzEA0h9C9t7eH67gfNnPpU4slPUMJBzI3Ya3nyt97ygk0WjTbV5MCbzqqFvj7M_eCsxZLksR9sUO63ehGDVCsa2wNMR1-PhQzwIvUQ=w408-h302-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:31.659Z,,,
https://www.google.com/maps/place/Infusion+for+Health+-+Downtown+Bakersfield/data=!4m7!3m6!1s0x80ea69c261611951:0x648a685d1a6a2943!8m2!3d35.3850246!4d-119.0215214!16s%2Fg%2F11lz4r961q!19sChIJURlhYcJp6oARQylqGl1oimQ,Infusion for Health - Downtown Bakersfield,,,Medical Center,"2801 H St, Bakersfield, CA 93301, United States","9XPH+29 Bakersfield, California, USA",,+1 661-541-2196,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YQvaK3GBgcge5lAjKquGlA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.75981&pitch=0&thumbfov=100,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:36.580Z,,,
https://www.google.com/maps/place/Blood+and+Cancer+Center/data=!4m7!3m6!1s0x80ea69a1a4a06045:0x4607c1ed819b9aae!8m2!3d35.39787!4d-119.0035053!16s%2Fg%2F11csr1r7nr!19sChIJRWCgpKFp6oARrpqbge3BB0Y,Blood and Cancer Center,1.0,1,Doctor,"100 W Columbus St ste 200, Bakersfield, CA 93301, United States","9XXW+4H Bakersfield, California, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1ff8uQsMc2ZADv4ZyKo7Kg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.7836&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:39.160Z,,,
https://www.google.com/maps/place/Integrated+Care+Systems/data=!4m7!3m6!1s0x80ea69f45da5ae01:0x5cdef2c9a134121d!8m2!3d35.3735408!4d-119.0261744!16s%2Fg%2F11gfgn61b3!19sChIJAa6lXfRp6oARHRI0ocny3lw,Integrated Care Systems,5.0,4,Home health care service,"2110 Truxtun Ave, Bakersfield, CA 93301, United States","9XFF+CG Bakersfield, California, USA",http://www.icshomecare.com/,+1 800-734-2896,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tPhFBtC5WijpJgYGcEINrw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=4.5666065&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:41.645Z,,,
https://www.google.com/maps/place/Anti-Aging+%26+Wellness+Center/data=!4m7!3m6!1s0x80ea41fb6d0edb83:0x45110c558bbc8203!8m2!3d35.3544464!4d-119.0527114!16s%2Fg%2F1tc_wxs1!19sChIJg9sObftB6oARA4K8i1UMEUU,Anti-Aging & Wellness Center,4.8,80,Wellness center,"4000 Stockdale Hwy STE D, Bakersfield, CA 93309, United States","9W3W+QW Bakersfield, California, USA",https://www.antiagingwellnesscenter.com/,+1 661-325-7452,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMHduIcq1U_YlsCCusX-9yeu7KFWg-i4c2UUhY=w408-h408-k-no,true,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–2:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:46.262Z,,,
https://www.google.com/maps/place/Infusion+for+Health+-+Bakersfield/data=!4m7!3m6!1s0x80ea43e90d8d4047:0x11343219009bd824!8m2!3d35.3641724!4d-119.0959504!16s%2Fg%2F11krf548hq!19sChIJR0CNDelD6oARJNibABkyNBE,Infusion for Health - Bakersfield,,,Medical Center,"8339 Brimhall Rd building 1300, suite 1301, Bakersfield, CA 93312, United States","9W73+MJ Bakersfield, California, USA",https://infusionforhealth.com/locations/southern-california/bakersfield-ca/,+1 661-308-0147,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Vi00R-1KWqEaw0Gf9Kmf7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=301.1776&pitch=0&thumbfov=100,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:51.574Z,,,
https://www.google.com/maps/place/Comprehensive+Blood+%26+Cancer+Center+%28CBCC%29/data=!4m7!3m6!1s0x80ea42214ccc1ccb:0x572ad40e98d39a57!8m2!3d35.3614797!4d-119.0739283!16s%2Fg%2F1trcgr4f!19sChIJyxzMTCFC6oARV5rTmA7UKlc,Comprehensive Blood & Cancer Center (CBCC),4.1,190,Cancer treatment center,"6501 Truxtun Ave, Bakersfield, CA 93309, United States","9W6G+HC Bakersfield, California, USA",https://www.cbccusa.com/,+1 661-322-2206,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipM1tnnG6pgNT5ftqXDkHMAvxvVnsNuZkSGDFcE=w408-h305-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:01:56.631Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Ketamine+Infusion+Centers/data=!4m7!3m6!1s0x80ea4168f74dccad:0x8e854efe76030f5e!8m2!3d35.316043!4d-119.0729929!16s%2Fg%2F11j0s366bl!19sChIJrcxN92hB6oARXg8Ddv5OhY4,Ketamine Infusion Centers,1.0,1,Wellness center,"6313 Schirra Ct Ste #1a, Bakersfield, CA 93313, United States","8W8G+CR Bakersfield, California, USA",https://psychwellnesscenter.com/ketamine-infusion/,+1 661-368-1292,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOAWOVgNwn1_LBuPn2VDyLUBLIKztcuG0vSSyIu=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-09-28T23:02:01.537Z,,,
