placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp
https://www.google.com/maps/place/Generator+Supercenter+of+Salt+Lake+City/data=!4m7!3m6!1s0x87530f8d5b3994c1:0xed4dd04029943f6a!8m2!3d41.1806001!4d-111.9966121!16s%2Fg%2F11jt82hjvj!19sChIJwZQ5W40PU4cRaj-UKUDQTe0,Generator Supercenter of Salt Lake City,4.9,51,Electric generator shop,· In-store shopping · Delivery,"708 W Riverdale Rd, Riverdale, UT 84405, United States","52J3+69 Riverdale, Utah, USA",https://generatorsupercenterofsaltlakecity.com/,+1 801-882-9222,"Closed · Opens 9 am Mon

Updated by others 6 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOGGnS_JMnvlj077-UB_aSJwvxckoBqcw8MreV_=w427-h240-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:35.927Z
https://www.google.com/maps/place/A+C+Electric+Inc/data=!4m7!3m6!1s0x8752f51ee3248817:0x18fca0a237f7683!8m2!3d40.753288!4d-111.900603!16s%2Fg%2F1tdqp3sw!19sChIJF4gk4x71UocRg3Z_IwrKjwE,A C Electric Inc,4.9,50,Electrician,,"729 W Kilby Ct, Salt Lake City, UT 84101, United States","Q33X+8Q Salt Lake City, Utah, USA",http://a-celectricinc.com/,+1 801-364-1747,Closed · Opens 7 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM55VOFUuF0m3z7OKSiQ9Vl01RSbKhIxe09-Mmx=w408-h272-k-no,true,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:41.884Z
https://www.google.com/maps/place/Energy+Management+Corporation/data=!4m7!3m6!1s0x8752f4e1e8d464f5:0xae2059f0c8fbb31b!8m2!3d40.7536818!4d-111.905743!16s%2Fg%2F1tklr0kh!19sChIJ9WTU6OH0UocRG7P7yPBZIK4,Energy Management Corporation,4.1,38,Electrical equipment supplier,,"501 West 700 S, Salt Lake City, UT 84101, United States","Q33V+FP Salt Lake City, Utah, USA",https://goemc.com/,+1 801-366-4100,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOVPLescYXiUmEPLdf8VFuHLo3fo0fLg9UStIRY=w408-h270-k-no,true,Closed,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:46.947Z
https://www.google.com/maps/place/Jenco+Generators/data=!4m7!3m6!1s0x8752f653e4167ea7:0xc6f0c7e5ab6da9f8!8m2!3d40.8638287!4d-111.9328067!16s%2Fg%2F1tfjlm2l!19sChIJp34W5FP2UocR-Kltq-XH8MY,Jenco Generators,4.8,75,Electric generator shop,,"1901 W 2425 S STE. K, Woods Cross, UT 84087, United States","V378+GV Woods Cross, Utah, USA",http://www.jencogenerators.net/,+1 801-296-5922,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN9aUZ64Im5WN5j8ZCIlwtBZgZmb2_WsyExRQVH=w408-h255-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:52.045Z
https://www.google.com/maps/place/Neerings+Services+-+Ogden+Home+Generators+Company/data=!4m7!3m6!1s0x87528aff2f400001:0x5526c906a875a647!8m2!3d40.6954718!4d-111.8992443!16s%2Fg%2F11qp_nfm3q!19sChIJAQBAL_-KUocRR6Z1qAbJJlU,Neerings Services - Ogden Home Generators Company,,,Electric generator shop,,"3495 S 300 W, Salt Lake City, UT 84115, United States","M4W2+58 Salt Lake City, Utah, USA",https://www.ogdenhomegenerators.com/contact-us,+1 385-406-2209,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O9Zt2z_wRKKPpdKhcl4pGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.81646&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:54.808Z
"https://www.google.com/maps/place/Black+Diamond+Experts,+Electric,+Plumbing,+HVAC/data=!4m7!3m6!1s0x87528ae3415d155d:0x90615f67f653f03f!8m2!3d40.810482!4d-111.9228897!16s%2Fg%2F1hc0w64zs!19sChIJXRVdQeOKUocRP_BT9mdfYZA","Black Diamond Experts, Electric, Plumbing, HVAC",4.8,5882,HVAC contractor,,"2001 Warm Springs Rd Suite B, Salt Lake City, UT 84116, United States","R36G+5R Salt Lake City, Utah, USA",https://bdexperts.com/?utm_source=gmb&utm_medium=organic,+1 385-233-9406,,,https://lh3.googleusercontent.com/p/AF1QipMBboezf3Hb0hwjbKHuDkT7dimFz9cs88hJqub0=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:41:59.722Z
https://www.google.com/maps/place/Whipple+Service+Champions/data=!4m7!3m6!1s0x8752f4586142ebb7:0xc62db93c34e48db5!8m2!3d40.7198418!4d-111.9254983!16s%2Fg%2F1thp8ggx!19sChIJt-tCYVj0UocRtY3kNDy5LcY,Whipple Service Champions,4.7,14577,HVAC contractor,,"1152 W 2400 S, West Valley City, UT 84119, United States","P39F+WR West Valley City, Utah, USA",https://whippleplumbing.com/areas-served/west-valley-city/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*218*whipple-service-champions-west-valley-city,+1 801-214-1515,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPKhh68BA2AKKYSO2AOGXmhLvWHEIYsBSzP-ss=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:04.963Z
https://www.google.com/maps/place/MK+Power/data=!4m7!3m6!1s0x8752f5bafe5e251d:0xee762c3a6710a818!8m2!3d40.768357!4d-111.8917453!16s%2Fg%2F11mvg0m8__!19sChIJHSVe_rr1UocRGKgQZzosdu4,MK Power,4.9,77,Electrician,,"50 S Main St, Salt Lake City, UT 84101, United States","Q495+88 Salt Lake City, Utah, USA",https://www.mkpower.com/,+1 801-691-7697,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipPHm9IdEMKpEah1uaEQ3UYOg7lnP3Y_RCWP_Fcm=w408-h544-k-no,true,7 am–7 pm,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:09.995Z
https://www.google.com/maps/place/Mr.+Electric+of+Salt+Lake+City/data=!4m7!3m6!1s0x8fa6b49491594d6b:0xc6ea157f94c57fa0!8m2!3d40.7503366!4d-111.8643592!16s%2Fg%2F11v3tbd_pf!19sChIJa01ZkZS0po8RoH_FlH8V6sY,Mr. Electric of Salt Lake City,5.0,268,Electrician,,"925 E 900 S Suite 201, Salt Lake City, UT 84105, United States","Q42P+47 Salt Lake City, Utah, USA",https://www.mrelectricutah.com/electrician-salt-lake-city-ut-electrical-repair-service,+1 385-355-3822,"Open 24 hours

Confirmed by this business 10 weeks ago",Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPWu8aKakG4tudnBH2LTegdZtpLEz0-UcZ3oDmG=w408-h259-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:14.962Z
https://www.google.com/maps/place/TOR+Electric/data=!4m7!3m6!1s0x87526318ed4080df:0x66dfc301b2bf1244!8m2!3d40.741475!4d-111.860412!16s%2Fg%2F11rtyh689y!19sChIJ34BA7RhjUocRRBK_sgHD32Y,TOR Electric,4.9,94,Electrician,,"1068 E 1300 S, Salt Lake City, UT 84105, United States","P4RQ+HR Salt Lake City, Utah, USA",http://tor-electric.com/,+1 801-656-7451,Open · Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipObp8j8RPWCSmFvjpOUqcgy2gN401q2BsIDNrCY=w408-h612-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-01-10T22:42:19.896Z
