placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error
https://www.google.com/maps/place/A+P+Health+and+Palliative+Care+Inc./data=!4m7!3m6!1s0x87014f8c3b9f92ff:0x6adb96bf06422cbf!8m2!3d35.1952702!4d-101.8491322!16s%2Fg%2F11f66hkmkn!19sChIJ_5KfO4xPAYcRvyxCBr-W22o,A P Health and Palliative Care Inc.,5.0,1,Hospice,"1800 S Washington St # 101, Amarillo, TX 79102, United States","55W2+48 Amarillo, Texas, USA",,+1 806-350-7100,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eKcVpWBogWrq7IoR0cMxMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.6187&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:25:49.793Z,,
https://www.google.com/maps/place/Choice+Health+Palliative+Care/data=!4m7!3m6!1s0x870151b1db453c97:0xd6f778946f57b3cc!8m2!3d35.1967505!4d-101.9224265!16s%2Fg%2F11qgc5hswd!19sChIJlzxF27FRAYcRzLNXb5R499Y,Choice Health Palliative Care,5.0,17,Medical clinic,"1600 Coulter St S Suite 100, Amarillo, TX 79106, United States","53WH+P2 Amarillo, Texas, USA",http://www.choicehealthpc.com/,+1 806-731-4000,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6UfVH-0ZoIfBKiUIhz7VGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.22763&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:25:55.234Z,,
https://www.google.com/maps/place/Enhabit+Home+Health/data=!4m7!3m6!1s0x87014fc580d54e4b:0xabc9f4ae151e8f14!8m2!3d35.1883469!4d-101.9154454!16s%2Fg%2F1tgfdtvs!19sChIJS07VgMVPAYcRFI8eFa70yas,Enhabit Home Health,3.7,9,Home health care service,"7120 I-40 Suite 300, Amarillo, TX 79106, United States","53QM+8R Amarillo, Texas, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 806-351-1700,"Open 24 hours

Confirmed by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNaMUau5cPHDcq3-db2A0AqwwRg7Lb0hDAhlZ2M=w408-h267-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:00.640Z,,
"https://www.google.com/maps/place/High+Plains+Senior+Care/@35.1968185,-101.9229374,17z/data=!3m1!4b1!4m6!3m5!1s0x870151341dd8753b:0x8715a0e9829050ed!8m2!3d35.1968185!4d-101.9229374!16s%2Fg%2F11qqb9f80j",High Plains Senior Care,3.5,4,Home health care service,"1600 Coulter St S bldg f, Amarillo, TX 79106, United States","53WG+PR Amarillo, Texas, USA",,+1 806-355-1899,Closed ⋅ Opens 8 am Thu,,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:07.522Z,,
https://www.google.com/maps/place/Kinder+Hearts+Hospice/data=!4m7!3m6!1s0x87014ef18ccffcff:0x39afacf322c55542!8m2!3d35.1933243!4d-101.9146491!16s%2Fg%2F11cn7x68x2!19sChIJ__zPjPFOAYcRQlXFIvOsrzk,Kinder Hearts Hospice,4.8,25,Home health care service,"1901 Medi Park Dr Suite 1030, Amarillo, TX 79106, United States","53VP+84 Amarillo, Texas, USA",https://kinderhearts.com/,+1 806-372-1506,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNg1M5khFsVqjtbzUvvyAGI4A3hiX2dlWXWLK1i=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:12.605Z,,
https://www.google.com/maps/place/Hope+%26+Healing+Place+Inc/data=!4m7!3m6!1s0x87014f06fe085055:0x2c8e2f2def912fe1!8m2!3d35.1940795!4d-101.8406386!16s%2Fg%2F1td6gyhc!19sChIJVVAI_gZPAYcR4S-R7y0vjiw,Hope & Healing Place Inc,3.9,7,Family service center,"1721 S Tyler St, Amarillo, TX 79102, United States","55V5+JP Amarillo, Texas, USA",https://www.hopeandhealingplace.org/,+1 806-371-8998,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rIxnvxn1VEL_E_O4SzP3OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=101.87604&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:15.345Z,,
https://www.google.com/maps/place/Goodcare+Health+Services/data=!4m7!3m6!1s0x87014ff8e65be75f:0x37eb2c108d449238!8m2!3d35.1562179!4d-101.8819098!16s%2Fg%2F1tykvvbg!19sChIJX-db5vhPAYcROJJEjRAs6zc,Goodcare Health Services,5.0,3,Nursing home,"4107 SW 49th Ave, Amarillo, TX 79109, United States","5449+F6 Amarillo, Texas, USA",https://www.goodcarehealthservices.com/,+1 806-205-6138,"Closed ⋅ Opens 8 am Thu

Confirmed by this business 7 days ago",https://lh3.googleusercontent.com/p/AF1QipNp3wBtRN1HKh86ZoUe70Jjtd01PQn6pkzkD05N=w492-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–3:30 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:20.137Z,,
https://www.google.com/maps/place/Enhabit+Hospice/data=!4m7!3m6!1s0x87014fb4742e8ee1:0xa147bdd67e84a283!8m2!3d35.1883469!4d-101.9154454!16s%2Fg%2F11fq_1s39n!19sChIJ4Y4udLRPAYcRg6KEfta9R6E,Enhabit Hospice,5.0,2,Hospice,"7120 I-40 Suite 300A, Amarillo, TX 79106, United States","53QM+8R Amarillo, Texas, USA",https://www.ehab.com/?utm_source=gmb&utm_medium=chatmeter,+1 806-223-4741,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPOM8YNo9p6J_0p94gxaZuh1n8a4aIaDw1-4qfJ=w408-h267-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:25.162Z,Identifies as women-owned,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x87014fdc73c619c5:0x374ff095c58c6440!8m2!3d35.1813539!4d-101.8820939!16s%2Fg%2F11b6bq7by_!19sChIJxRnGc9xPAYcRQGSMxZXwTzc,Gentiva Hospice,3.7,12,Hospice,"3232 Hobbs Rd A, Amarillo, TX 79109, United States","54J9+G5 Amarillo, Texas, USA",http://www.gentivahs.com/,+1 806-372-7696,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMD8pkBIfJITGWFJQMrDVVJyDpKj0Vg1JMs_8QL=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:30.142Z,,
https://www.google.com/maps/place/Medical+Center+League+House/data=!4m7!3m6!1s0x8701504b51c6da27:0x530ee51b2b1cb73f!8m2!3d35.194164!4d-101.917119!16s%2Fg%2F1tdmfb5x!19sChIJJ9rGUUtQAYcRP7ccKxvlDlM,Medical Center League House,4.8,131,Non-profit organization,"7000 W Amarillo Blvd, Amarillo, TX 79106, United States","53VM+M5 Amarillo, Texas, USA",http://www.leaguehouse.org/,+1 806-358-3759,,https://lh3.googleusercontent.com/p/AF1QipM-IBoWbeqWYuLyNmJtE6oIPyEUUd7oUXzHZAB9=w408-h271-k-no,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-17T23:26:32.991Z,,
