placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Illini+Garage+Door+Service/data=!4m7!3m6!1s0x887539a79dd69739:0xd544e1f6ba3876f8!8m2!3d39.7782993!4d-89.6586036!16s%2Fg%2F11nt1zzx7q!19sChIJOZfWnac5dYgR-HY4uvbhRNU,Illini Garage Door Service,4.9,43,Garage door supplier,"2025 S Pasfield St, Springfield, IL 62704, United States","Q8HR+8H Springfield, Illinois, USA",https://illinigarage.com/,+1 217-523-3667,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipN__8j03JOT_M0_paupxAdm4bobP1uKGmfM5bWu=w898-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-11-07T22:59:08.500Z,,,
https://www.google.com/maps/place/Springfield+Overhead+Doors+By+Hart/data=!4m7!3m6!1s0x887539745ee83623:0x5d221432c25b109!8m2!3d39.806702!4d-89.6736689!16s%2Fg%2F11mx3t9d4l!19sChIJIzboXnQ5dYgRCbElLEMh0gU,Springfield Overhead Doors By Hart,4.7,26,Garage door supplier,"421 N Lincoln Ave, Springfield, IL 62702, United States","R84G+MG Springfield, Illinois, USA",http://www.overheaddoorsbyhart.com/,+1 217-787-2602,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fvkoBG6_LHwr5D23k-r0AQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.9579&pitch=0&thumbfov=100,false,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-11-07T22:59:13.452Z,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Springfield/data=!4m7!3m6!1s0x8875396f51177dc5:0x2aaa87d5da83da3f!8m2!3d39.7680508!4d-89.6501703!16s%2Fg%2F11xvlnjn2c!19sChIJxX0XUW85dYgRP9qD2tWHqio,Precision Garage Door Service of Springfield,5.0,5,Garage door supplier,"2623 S 5th St, Springfield, IL 62703, United States","Q89X+6W Springfield, Illinois, USA",https://precisiondoorcentralillinois.com/?utm_source=gmb&utm_medium=location_springfield&utm_campaign=website,+1 217-233-0026,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipPUI4neZbEKeK2tRN-vO7uRDOvlQv1yAvfjD_KM=w408-h307-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2025-11-07T22:59:17.856Z,,,
https://www.google.com/maps/place/Midwest+Garage+Door+Company/data=!4m7!3m6!1s0x887516e1b079de81:0x3811e66e3a60b737!8m2!3d39.5926428!4d-89.5898013!16s%2Fg%2F11byyrmgg8!19sChIJgd55sOEWdYgRN7dgOm7mETg,Midwest Garage Door Company,4.4,60,Garage door supplier,"1203 Carroll St, Pawnee, IL 62558, United States","HCV6+33 Pawnee, Illinois, USA",https://midwestgaragedoor.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 217-625-4033,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOCd_3lddtrlRD8yPZzD71sY22OloNaBYwefrL1=w408-h306-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:30.698Z,,,
https://www.google.com/maps/place/Glenn+Brothers+Garage+Door+Inc./data=!4m7!3m6!1s0x8875171c8d4bde07:0xc3d063ac78f1017a!8m2!3d39.5919867!4d-89.5812041!16s%2Fg%2F11lc9h8n6f!19sChIJB95LjRwXdYgRegHxeKxj0MM,Glenn Brothers Garage Door Inc.,4.5,8,Garage door supplier,"619 Douglas St, Pawnee, IL 62558, United States","HCR9+QG Pawnee, Illinois, USA",https://glennbrothers.com/,+1 217-625-4243,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO9tFYU0rCLQZvwqJR-wjhJXTVRJYnhPR1hnz8P=w408-h267-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:35.079Z,,,
https://www.google.com/maps/place/Precision+Window+%26+Door/data=!4m7!3m6!1s0x887530a0ac93f311:0x87469335dfc68ef4!8m2!3d39.8164375!4d-89.6105666!16s%2Fg%2F1v4ptrrs!19sChIJEfOTrKAwdYgR9I7G3zWTRoc,Precision Window & Door,5.0,4,Door supplier,"1432 N Milton Ave, Springfield, IL 62702, United States","R98Q+HQ Springfield, Illinois, USA",,+1 217-528-9330,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2mHFUplieqD-HptaywEY_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.07903&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:37.756Z,,,
https://www.google.com/maps/place/Reliable+Handyman+Services+Inc./data=!4m7!3m6!1s0x8875478f3c6f5ec3:0xc2433d10cf5b8dd4!8m2!3d39.7554432!4d-89.6872218!16s%2Fg%2F11fjv4rkdh!19sChIJw15vPI9HdYgR1I1bzxA9Q8I,Reliable Handyman Services Inc.,4.9,185,Handyman/Handywoman/Handyperson,"3415 Chatham Rd, Springfield, IL 62704, United States","Q847+54 Springfield, Illinois, USA",http://www.reliablehandymanservices.net/,+1 217-860-7436,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNtZxq5CISoBVLpMPxDbndQsNx2U5daGKprfgp7=w408-h306-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:42.222Z,,,
https://www.google.com/maps/place/Great+Lakes+Ace/data=!4m7!3m6!1s0x8875407979a9530d:0x2a56160c0a61f1a4!8m2!3d39.6869559!4d-89.7042612!16s%2Fg%2F1trprk92!19sChIJDVOpeXlAdYgRpPFhCgwWVio,Great Lakes Ace,4.5,211,Hardware store,"1200 N Main, Chatham, IL 62629, United States","M7PW+Q7 Chatham, Illinois, USA",http://www.acehardware.com/store-details/19162?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=19162,+1 217-483-4085,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyD8Xn19UOUnuzMpgalxb3y_OzxVJozhGXg1u_JgsQE2OFGGWm1c5ejtjG3r4pD9_JPKmC0_3sF2wMwLa_C7aGivGq95IDMQC7lxfZiRLiF1rwQ5VSw_yigepeGuvXlCV_IytJwCasxjPUs=w408-h306-k-no,true,7:30 am–8 pm,7:30 am–8 pm,9 am–6 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:46.983Z,"Hardware store stocking household tools, garden supplies, home decor & more. · In-store shopping · In-store pick-up · Delivery",,
https://www.google.com/maps/place/R.P.+Lumber/data=!4m7!3m6!1s0x887540744d9d4b3f:0x5fc1ae37755f5e7e!8m2!3d39.6749974!4d-89.7022254!16s%2Fg%2F1tdksk72!19sChIJP0udTXRAdYgRfl5fdTeuwV8,R.P. Lumber,4.6,21,Building materials store,"200 E Mulberry St, Chatham, IL 62629, United States","M7FX+X4 Chatham, Illinois, USA",https://www.rplumber.com/,+1 217-483-2421,Closes soon ⋅ 5 pm ⋅ Opens 6:30 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyo8i17BHJbj-KKUxg_1auh7Owl-d3PGLNEqXT2hMHXOCS6Ax5yXWzbNYuR3qu10R5LMD5DcA3wVjnRIdR9BTq-iCaOfSKaje4MCPV1aQxNqegTy00o3PuUtk1Tr1skE_7KI6EY=w408-h271-k-no,true,6:30 am–5 pm,6:30 am–12 pm,Closed,6:30 am–5 pm,6:30 am–5 pm,6:30 am–5 pm,6:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:51.654Z,"Regional, family-owned retail chain selling building materials & hardware products. · In-store shopping · In-store pick-up · Delivery",,
https://www.google.com/maps/place/Coach+House+Garages+of+Springfield+%26+Jacksonville/data=!4m7!3m6!1s0x88753e94a765b6e3:0x3a0ae6efe9a6d29c!8m2!3d39.7116405!4d-89.6403712!16s%2Fg%2F1td0h7s6!19sChIJ47Zlp5Q-dYgRnNKm6e_mCjo,Coach House Garages of Springfield & Jacksonville,3.7,9,Garage builder,"6101 S 6th St, Springfield, IL 62712, United States","P965+MV Springfield, Illinois, USA",https://coachhousegarages.com/consultants/coach-house-garages-springfield/,+1 217-529-6789,Closes soon ⋅ 5 pm ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipPXE3_PsTZNyW7THDWl9ISae8Ls9Lx1Q981U7Zp=w408-h306-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Chatham+Springfield+IL/@39.6732774,-89.6647197,14z",2025-11-07T22:59:56.135Z,,,
