placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,info,isBlackOwned
https://www.google.com/maps/place/Atalaya+Property+Management/data=!4m7!3m6!1s0x89007d39ca646d17:0x4c515667994c3a85!8m2!3d33.821323!4d-78.6825502!16s%2Fg%2F1tx1v11q!19sChIJF21kyjl9AIkRhTpMmWdWUUw,Atalaya Property Management,3.0,72,Property management company,"525 6th Ave S, North Myrtle Beach, SC 29582, United States","R8C8+GX North Myrtle Beach, South Carolina, USA",https://atalayamanagement.com/,+1 843-272-2695,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjQpUMC2AkiNDGh08_-7KOqhCG1hf5sCVK3p5omQTLhfJy-2GqKjdBV-6fsXkI4lgil3GaJioAN5wJ9tiCIpaPOg-JtfTbPLc3Jdb84i_7FV-YxthwGVtk_GMePewkoh9_2Y5m6w=w493-h240-k-no,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:13.868Z,,,
https://www.google.com/maps/place/Beach+Rental+Group/data=!4m7!3m6!1s0x890068e22e84df2d:0xcb98fede685eb2e!8m2!3d33.8109314!4d-78.7033089!16s%2Fg%2F1hd_kspvq!19sChIJLd-ELuJoAIkRLuuF5u2PuQw,Beach Rental Group,4.6,139,Property management company,"701 17th Ave S, North Myrtle Beach, SC 29582, United States","R76W+9M North Myrtle Beach, South Carolina, USA",http://www.beachrentalgroup.com/,+1 843-868-8135,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM6r97RcS8hzh_kB6DQ5f-yA7uujbn1NdKZT0O0=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:19.822Z,,,
https://www.google.com/maps/place/The+Beach+and+Company/data=!4m7!3m6!1s0x89008764aedb56bd:0x962ba738b662a9bb!8m2!3d33.8344426!4d-78.6450858!16s%2Fg%2F1tdqcfhk!19sChIJvVbbrmSHAIkRu6litjinK5Y,The Beach and Company,2.4,19,Property management company,"621 Sea Mountain Hwy, North Myrtle Beach, SC 29582, United States","R9M3+QX North Myrtle Beach, South Carolina, USA",http://www.thebeachandcompany.com/,+1 843-281-9100,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3bPg8avo7CZzoUTi4lMKvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=266.4922&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:24.753Z,,,
https://www.google.com/maps/place/Coastal+Association+Management/data=!4m7!3m6!1s0x89007d154b7af837:0x401cdcafabe4999f!8m2!3d33.8316956!4d-78.6796085!16s%2Fg%2F11bw46kxlz!19sChIJN_h6SxV9AIkRn5nkq6_cHEA,Coastal Association Management,3.1,44,Property management company,"1016 2nd Ave N, North Myrtle Beach, SC 29582, United States","R8JC+M5 North Myrtle Beach, South Carolina, USA",,+1 843-663-2040,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JD7BzlzUIkWwpnXUTnZLzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=330.81143&pitch=0&thumbfov=100,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:29.862Z,,,
"https://www.google.com/maps/place/Southern+Coast+Management/@33.8174387,-78.6911149,17z/data=!3m1!4b1!4m6!3m5!1s0x89007d41e5d6dabb:0xfb103f006dd7c230!8m2!3d33.8174387!4d-78.6911149!16s%2Fg%2F11j4drc3q7",Southern Coast Management,2.9,18,Property management company,"1019 Hwy 17 S, North Myrtle Beach, SC 29582, United States","R885+XH North Myrtle Beach, South Carolina, USA",https://southerncoastmanagement.com/,+1 843-663-6063,Open ⋅ Closes 5 pm,,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:36.840Z,,,
https://www.google.com/maps/place/Southern+Coast+Vacations/data=!4m7!3m6!1s0x89007d2fd0a1056f:0x6d6a7db2d691c283!8m2!3d33.8174387!4d-78.6911149!16s%2Fg%2F1tflswns!19sChIJbwWh0C99AIkRg8KR1rJ9am0,Southern Coast Vacations,3.9,98,Property management company,"1019 Hwy 17 S, North Myrtle Beach, SC 29582, United States","R885+XH North Myrtle Beach, South Carolina, USA",http://www.southerncoastvacations.com/,+1 800-978-4988,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOyrcJ3SADz4ttMkiUfS_vG2UoriFxHSrVKrlql=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:41.900Z,,,
https://www.google.com/maps/place/Coastal+Association+Management/data=!4m7!3m6!1s0x89007d3f7050e917:0xcf5c084ea06a7970!8m2!3d33.8275384!4d-78.680359!16s%2Fg%2F1262821wj!19sChIJF-lQcD99AIkRcHlqoE4IXM8,Coastal Association Management,2.0,8,Property management company,"211 Hwy 17 S, North Myrtle Beach, SC 29582, United States","R8H9+2V North Myrtle Beach, South Carolina, USA",https://www.coastalassociationmanagement.com/,+1 843-399-0466,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FwJvCkgHkaWYs2i99Lrj4g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=98.85836&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:44.642Z,,,
https://www.google.com/maps/place/Mar+Vista+Grande/data=!4m7!3m6!1s0x89007d3610aaa5ff:0x9cd3c57299831e12!8m2!3d33.8154206!4d-78.6803489!16s%2Fg%2F1tzlztxt!19sChIJ_6WqEDZ9AIkREh6DmXLF05w,Mar Vista Grande,4.4,605,Condominium complex,"603 S Ocean Blvd, North Myrtle Beach, SC 29582, United States","R889+5V North Myrtle Beach, South Carolina, USA",https://www.elitemanagementandrealty.com/,+1 843-877-0413,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNohwu_3B6foxVC9pUf4cOFbwYeylxB2ATqNvh9=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:49.681Z,"Bright units with ocean views, balconies & whirlpool tubs, plus indoor & outdoor pools.",,
https://www.google.com/maps/place/Park+Place+Properties/data=!4m7!3m6!1s0x89007d07a8dffd1b:0x175eeb9d834b478a!8m2!3d33.8375102!4d-78.6645554!16s%2Fg%2F11srz443cc!19sChIJG_3fqAd9AIkRikdLg53rXhc,Park Place Properties,5.0,4,Property management company,"1125 Bonnet Dr, North Myrtle Beach, SC 29582, United States","R8QP+25 North Myrtle Beach, South Carolina, USA",http://parkpl.co/,+1 424-600-2207,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqumE2vfIIN_K_auQ0s2mq2lIyJcBNerfyXfRa_FD6Jjnh27cemZ6KUh_Q2dIEtd23bw6har5ZmU2y0cjxxW9YnP_t4GfN60RJGcP7gjxsSxb6oHHqEu_u-dRKxPjuP7LM8V6DF=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:54.654Z,,,
https://www.google.com/maps/place/Royal+Beach+Vacations/data=!4m7!3m6!1s0x89006385e9e860c1:0xb855adf6e6d0512a!8m2!3d33.8031548!4d-78.7232556!16s%2Fg%2F11tcfrsj96!19sChIJwWDo6YVjAIkRKlHQ5vatVbg,Royal Beach Vacations,5.0,1,Property management company,"3404 Poinsett St #5, North Myrtle Beach, SC 29582, United States","R73G+7M North Myrtle Beach, South Carolina, USA",http://royalbeachvacation.com/,+1 843-424-7700,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPOwzCLonjcBQY7nfXgjg_k5OP_8NkIrv2efo-r=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+North+Myrtle+Beach+Myrtle+Beach+SC/@33.8160058,-78.680016,14z",2025-09-25T17:44:59.858Z,,,
