placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Bob%27s+Pool+Services+Inc/data=!4m7!3m6!1s0x8629d26ea570d613:0x5288066ac86fbb1!8m2!3d32.5132174!4d-90.1059384!16s%2Fg%2F1tfsc68b!19sChIJE9ZwpW7SKYYRsfuGrGaAKAU,Bob's Pool Services Inc,4.6,42,Swimming pool supply store,"113 Dees Dr, Madison, MS 39110, United States","GV7V+7J Madison, Mississippi, USA",https://bobspoolserviceinc.com/,+1 601-605-0308,"Open ⋅ Closes 5 pm

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwOU8wwJQeKldYNyxscw1GUoeoTmZoHWJwDlIpUwPnYL0gtsoCNIsCdbjmB0t8ur2_fv1UIvhCMVpDS3wcV_bwM3fqm4X6pPyAkzp5LlfiVRGIP30BBJO2yp-G-DOyyUkrAX-kMfyo4ID0=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:25.019Z,,,,
https://www.google.com/maps/place/Pool+Works+Services/data=!4m7!3m6!1s0x86282d0c30460bad:0xd4b949ace086bb06!8m2!3d32.316077!4d-90.0047574!16s%2Fg%2F11td3r_pyf!19sChIJrQtGMAwtKIYRBruG4KxJudQ,Pool Works Services,4.7,11,Swimming pool contractor,,,https://poolworksservicesllc.com/,+1 601-398-1487,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPrwvtA-446RT88qWC2NjU2azO0Imuy4SfqbtQH=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:31.087Z,,,,
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Madison/data=!4m7!3m6!1s0x8629c55948e4e9e3:0xb5b7516a5e0c741e!8m2!3d32.5526431!4d-90.1166367!16s%2Fg%2F1pv5_j1ql!19sChIJ4-nkSFnFKYYRHnQMXmpRt7U,ASP - America's Swimming Pool Company of Madison,4.6,34,Swimming pool contractor,"112 Lakeshire Cir, Canton, MS 39046, United States","HV3M+38 Canton, Mississippi, USA",https://www.asppoolco.com/madison/?utm_source=GMB&utm_medium=organic&utm_campaign=madison,+1 601-429-8496,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipM5d5wdF1wD_fuj7vmujccDp96Vykc2qdUJVQ2H=w426-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:37.513Z,,,,
https://www.google.com/maps/place/CPS+Pools+%26+Spas/data=!4m7!3m6!1s0x86283147a06d32e5:0x29e24677b0b10ae2!8m2!3d32.2440732!4d-90.2125598!16s%2Fg%2F1tgw5d7l!19sChIJ5TJtoEcxKIYR4gqxsHdG4ik,CPS Pools & Spas,4.3,37,Swimming pool supply store,"3776 I-55 South Frontage Rd, Jackson, MS 39212, United States","6QVP+JX Jackson, Mississippi, USA",http://www.cpspoolsandspas.com/,+1 601-372-0500,"Open ⋅ Closes 5 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy83yAOR_6W1MyBgzHLjOuFNcWTJ3Lr97B-vr7_tqf-4FGMrhBznoJ3JzSAHmteEvBGnVdF-t70P_o4E6vQ9UMV0UFED6p5Jclb1tW7wlQ3D_MDumTxRt6OL_BY3jDpMAPCFm8S=w408-h724-k-no,true,"8–11:30 am, 12–5 pm",Closed,"8–11:30 am, 12–5 pm","8–11:30 am, 12–5 pm","8–11:30 am, 12–5 pm",Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:43.081Z,,,,
https://www.google.com/maps/place/Paradise+Pools+And+Spas/data=!4m7!3m6!1s0x86282de3f9e405db:0xd8cfe972649f7878!8m2!3d32.2706868!4d-90.1364121!16s%2Fg%2F1tk_pn0c!19sChIJ2wXk-eMtKIYReHifZHLpz9g,Paradise Pools And Spas,4.2,39,Swimming pool supply store,"227 S Pearson Rd, Pearl, MS 39208, United States","7VC7+7C Pearl, Mississippi, USA",http://www.paradisepoolsms.com/,+1 601-932-7665,"Open ⋅ Closes 5 pm

Updated by others 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz_0aYMGWZCQkr7hnE7r6jW3CL3PoyC-G9geq4SbGt7pb7f7pPCbuHcJENs1gWqatAdfQ2x0bwWAXGTyUgT8jFLqGDpATKIb8azSXwLhoqnbo3GS2tKHo7Djl2tHJeBt3uiiuwZXA=w408-h240-k-no-pi-0-ya31.600252-ro-0-fo100,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:47.917Z,"Locally owned retailer of pool supplies & hot tubs with maintenance, construction & repair services. · In-store pick-up",,,
https://www.google.com/maps/place/Aquatic+Waves/data=!4m7!3m6!1s0x8629c9f1c0703551:0xec140fe3a43a4119!8m2!3d32.4792297!4d-90.2246311!16s%2Fg%2F11jpy_k8vv!19sChIJUTVwwPHJKYYRGUE6pOMPFOw,Aquatic Waves,4.2,30,Pool cleaning service,"118 Lakeshore Dr, Madison, MS 39110, United States","FQHG+M4 Madison, Mississippi, USA",https://www.facebook.com/AquaticWavesMS/,+1 601-383-3857,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwgYpQUf1Df4N8vKdNQRa_xMAgVsKosUrhWmf82yUlyFd9RL1hVH5yG_3BpyHvwfi69YDoJV5M-uDkEufSmwhjG5mcmP9T2I6lq2HERElOLzs06wP9aivmPQkCq1B6zhHVkolL0Q-rNNd0=w408-h544-k-no,false,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,12–3 pm,12–3 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:53.520Z,,,,
https://www.google.com/maps/place/Mr+Pool+Construction/data=!4m7!3m6!1s0x86284adb1255217b:0x453c3bc2a4602e1b!8m2!3d32.303647!4d-90.171717!16s%2Fg%2F1td1dshq!19sChIJeyFVEttKKIYRGy5gpMI7PEU,Mr Pool Construction,3.0,2,Swimming pool contractor,"410 Monroe St, Jackson, MS 39202, United States","8R3H+F8 Jackson, Mississippi, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=846iSSaSIRPmhL1-TcSDjQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.8003914&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:25:56.430Z,,,,
"https://www.google.com/maps/place/Bob%27s+Pool+Service,+INC./data=!4m7!3m6!1s0x86282bea52f27c19:0xde60836cc1d4b6a1!8m2!3d32.2843114!4d-90.0583451!16s%2Fg%2F1tg35l8b!19sChIJGXzyUuorKIYRobbUwWyDYN4","Bob's Pool Service, INC.",4.5,69,Swimming pool contractor,"5014 US-80, Pearl, MS 39208, United States","7WMR+PM Pearl, Mississippi, USA",https://www.facebook.com/bobspoolserviceinc,+1 601-939-3388,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPIVCxWyIL0qevGDV0MWvgonjpnV3IoJKpZOw1n=w408-h288-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:26:01.406Z,,,,
https://www.google.com/maps/place/Platinum+Pool+Solutions/data=!4m7!3m6!1s0x8629d39763b7c081:0xf762260f96c8d8a!8m2!3d32.567972!4d-89.8764485!16s%2Fg%2F11j1mp6y_0!19sChIJgcC3Y5fTKYYRio1s-WAidg8,Platinum Pool Solutions,4.0,8,Swimming pool contractor,,,http://platinumpoolsolutions.com/,+1 601-541-0682,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOTFCwnpA7dwNYGN63tEBpaFKfNQ8dl4oYmzrfa=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:26:07.125Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/CPS+Pools+and+Spas/data=!4m7!3m6!1s0x8629d22d12db882f:0x44d22b56ecce3e96!8m2!3d32.5124977!4d-90.0971215!16s%2Fg%2F12617l8c1!19sChIJL4jbEi3SKYYRlj7O7FYr0kQ,CPS Pools and Spas,4.6,15,Swimming pool supply store,"125 Kimball Dr, Madison, MS 39110, United States","GW63+X5 Madison, Mississippi, USA",http://www.cpspoolsandspas.com/,+1 601-605-0500,"Open ⋅ Closes 5 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOidI2_xZLBeIowvEVJn8mpNDLiG32CBj2qECLt=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Madison+Jackson+MS/@32.2981392,-90.18065,14z",2025-10-27T19:26:11.966Z,,,,
