placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/EntireWire+Electric/data=!4m7!3m6!1s0x8830d7385b885555:0xf3340ec0da7851d2!8m2!3d41.0744702!4d-81.5197188!16s%2Fg%2F11h61pz34s!19sChIJVVWIWzjXMIgR0lF42sAONPM,EntireWire Electric,4.8,172,Electrician,"80 E Exchange St apt 359 a, Akron, OH 44308, United States","3FFJ+Q4 Akron, Ohio, USA",https://www.entirewire.net/,+1 330-294-0194,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPecpt5a9ydmmLxSPuRnU0BtQvYkBoji9Tsh-e_=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:16.294Z,,,
"https://www.google.com/maps/place/Jennings+Heating,+Cooling,+Plumbing+%26+Electric/data=!4m7!3m6!1s0x88312974f5fa24e1:0xbcd59d4794e55fb9!8m2!3d41.0528659!4d-81.5792195!16s%2Fg%2F1v42gg37!19sChIJ4ST69XQpMYgRuV_llEed1bw","Jennings Heating, Cooling, Plumbing & Electric",4.9,4129,HVAC contractor,"2279 Romig Rd, Akron, OH 44320, United States","3C3C+48 Akron, Ohio, USA",https://jenningsheating.com/?utm_source=GBP,+1 330-325-4557,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNVi2187S9TCJBppoWMwbsWaQlT0C5T8B7h6wqd=w408-h542-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:21.994Z,,,
https://www.google.com/maps/place/Backup+Power+Solutions/data=!4m7!3m6!1s0x88312902248045a5:0x910795ec65f0f71f!8m2!3d41.0648904!4d-81.4723047!16s%2Fg%2F11f6l1wzfw!19sChIJpUWAJAIpMYgRH_fwZeyVB5E,Backup Power Solutions,4.2,11,Electric generator shop,"1555 Norton St #4241, Akron, OH 44305, United States","3G7H+X3 Akron, Ohio, USA",https://www.backuppower.solutions/,+1 866-444-3031,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPVjGq7Wk1vOhfr-mQJwx-1jxEsx7nAUxyZsx4b=w648-h240-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:26.979Z,,,
https://www.google.com/maps/place/U.S.+Electric+Contractors/data=!4m7!3m6!1s0x883129601f154e4f:0xd1d1782042a66241!8m2!3d41.0655015!4d-81.4833873!16s%2Fg%2F11lcp4_sy6!19sChIJT04VH2ApMYgRQWKmQiB40dE,U.S. Electric Contractors,5.0,19,Electrician,"1200 E Market St, Akron, OH 44305, United States","3G88+6J Akron, Ohio, USA",https://www.uselectriccontractors.com/,+1 440-867-6256,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipNx6hAD1sqDuiGFfqvwsg3yuTZX_25ZOROFEVwF=w477-h240-k-no,true,Closed,Closed,Closed,Closed,Closed,8–8:30 am,Closed,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:31.957Z,,,
https://www.google.com/maps/place/Dies+Electric+INC/data=!4m7!3m6!1s0x88312840d08603b5:0xe859e0f2dec44dcf!8m2!3d41.1024478!4d-81.4915273!16s%2Fg%2F1tcxvwzj!19sChIJtQOG0EAoMYgRz03E3vLgWeg,Dies Electric INC,5.0,7,Electrician,"643 E Tallmadge Ave, Akron, OH 44310, United States","4G25+X9 Akron, Ohio, USA",http://dieselectric.com/,+1 330-253-9959,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3fm4O7DgcaS7wK-CmWYBcA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=345.34457&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:36.774Z,,,
"https://www.google.com/maps/place/J%26J+Plumbing,+Heating,+Cooling,+%26+Electric/data=!4m7!3m6!1s0x883128686368cf15:0xa0fd2efa02f7b357!8m2!3d41.0608849!4d-81.4708943!16s%2Fg%2F1v_vtk58!19sChIJFc9oY2goMYgRV7P3Avou_aA","J&J Plumbing, Heating, Cooling, & Electric",4.8,3606,Plumber,"61 Seiberling St, Akron, OH 44305, United States","3G6H+9J Akron, Ohio, USA",http://jandjplumbing.com/,+1 330-967-0147,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM7F2jHU0zsj5JcWIxBzKZ5mCj057-Wky2aDaTY=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:41.862Z,Identifies as women-owned,,
https://www.google.com/maps/place/Blind+%26+Sons/data=!4m7!3m6!1s0x8830d383ede5791b:0x607720d12d73467a!8m2!3d41.019934!4d-81.6099487!16s%2Fg%2F1v2gfdgr!19sChIJG3nl7YPTMIgRekZzLdEgd2A,Blind & Sons,4.7,5163,Heating contractor,"344 4th St NW, Barberton, OH 44203, United States","299R+X2 Barberton, Ohio, USA",https://www.blindandsons.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Barberton-OH,+1 330-235-1453,,https://lh3.googleusercontent.com/p/AF1QipNjSwJ_wGCZ1PgdB0N4vFncbn-7fKXkSnRQZT1O=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:46.708Z,,,
https://www.google.com/maps/place/Speelman+Electric+LLC/data=!4m7!3m6!1s0x883128ec0a257b31:0xbcd06577743781a!8m2!3d41.1076734!4d-81.4332703!16s%2Fg%2F1twy_5zc!19sChIJMXslCuwoMYgRGnhDd1cGzQs,Speelman Electric LLC,4.2,64,Electrician,"235 Northeast Ave, Tallmadge, OH 44278, United States","4H58+3M Tallmadge, Ohio, USA",http://www.speelmanelectric.com/,+1 330-633-1410,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fk_qyA36JPwh5nCTyPOryg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.752407&pitch=0&thumbfov=100,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:51.603Z,,,
https://www.google.com/maps/place/Smith+Electrical+Service+LLC/data=!4m7!3m6!1s0x88312a227aae91af:0xd473c235bb08ef8c!8m2!3d41.0399749!4d-81.4931324!16s%2Fg%2F1vtqwrj2!19sChIJr5GueiIqMYgRjO8IuzXCc9Q,Smith Electrical Service LLC,5.0,84,Electrician,"929 E Wilbeth Rd, Akron, OH 44306, United States","2GQ4+XP Akron, Ohio, USA",http://swsmithelectric.us/,+1 330-724-9747,Closes soon · 7 pm · Opens 8 am Sun,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw1YQ9hu-kLwH40qI5IU_oq0W1LS7UG422ntp6S08DX8SF18E2_5-zPvHZN_IMK4STJZtqSHFpL1jUM5sTtp_aZGGOGUmxqKfbmXvyqBg9LCCpyPYktwHKnAphGOUQYK_n464q6=w408-h544-k-no,true,7:30 am–7 pm,8 am–5 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:31:56.940Z,,,
https://www.google.com/maps/place/Hunnell+Electric/data=!4m7!3m6!1s0x8830d602e2a9bd9f:0xe7fd942ff80a87c6!8m2!3d41.057016!4d-81.5184863!16s%2Fg%2F1thz2978!19sChIJn72p4gLWMIgRxocK-C-U_ec,Hunnell Electric,4.4,5,Electrician,"950 Grant St, Akron, OH 44311, United States","3F4J+RJ Akron, Ohio, USA",,+1 330-300-5138,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qocongQETZZ_cO0TjB81FQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=285.2105&pitch=0&thumbfov=100,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Akron+OH/@41.081199,-81.5188377,14z",2026-01-10T23:32:01.949Z,,,
