placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Emerald+Management/data=!4m7!3m6!1s0x876bef1c40e21bf5:0x2cfb4070802d8803!8m2!3d40.0648026!4d-105.2830138!16s%2Fg%2F1tfstc88!19sChIJ9RviQBzva4cRA4gtgHBA-yw,Emerald Management,3.5,36,Property management company,"4949 Broadway UNIT 105, Boulder, CO 80304, United States","3P78+WQ Boulder, Colorado, USA",http://www.emeraldconnects.com/,+1 303-444-4552,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMIX2C8pvpCi0PlC46Ka1jo3CQU0qsmmagBkc-s=w408-h272-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:01:57.271Z,,,
https://www.google.com/maps/place/Boulder+Property+Management/data=!4m7!3m6!1s0x876bedc922a4ef41:0xe9a441afab619776!8m2!3d40.020602!4d-105.2608387!16s%2Fg%2F1thpx9w_!19sChIJQe-kIsnta4cRdpdhq69BpOk,Boulder Property Management,4.1,563,Property management company,"1909 26th St #2A, Boulder, CO 80302, United States","2PCQ+6M Boulder, Colorado, USA",https://www.bpmco.com/?utm_source=LOCAL&utm_medium=ORGANIC&utm_campaign=GMB,+1 303-473-9559,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipOIrnB5f1PbanU3i8OkUu6kt7N3iBobWP7JJqiT=w408-h306-k-no,true,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:03.820Z,,,
https://www.google.com/maps/place/All+County+Property+Management+of+Boulder/data=!4m7!3m6!1s0x876bedf69666bdc9:0xee40a4eac802fbbf!8m2!3d40.0700941!4d-105.19884!16s%2Fg%2F1s04w7lpm!19sChIJyb1mlvbta4cRv_sCyOqkQO4,All County Property Management of Boulder,4.5,495,Property management company,"6650 Gunpark Dr # 200, Boulder, CO 80301, United States","3RC2+2F Boulder, Colorado, USA",http://www.allcountyboulder.com/,+1 720-428-2100,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNYYxju3cjzr7b2Cy9-ThLfRqW0p_NV7G2C6uwa=w408-h306-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:09.024Z,,,
https://www.google.com/maps/place/Property+Resources+Inc/data=!4m7!3m6!1s0x876bedef9bd7d8a7:0xc906871fd4ba09b1!8m2!3d40.0381282!4d-105.2437373!16s%2Fg%2F1tdgq9pp!19sChIJp9jXm-_ta4cRsQm61B-HBsk,Property Resources Inc,3.2,36,Property management company,"3434 47th St #110, Boulder, CO 80301, United States","2QQ4+7G Boulder, Colorado, USA",http://www.propertyresources.net/,+1 303-442-7368,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipODatVXYqPfgCrJajAFTrA95IphE_RkIBg20zRD=w408-h571-k-no,true,9 am–4:30 pm,9 am–4 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:13.983Z,,,
"https://www.google.com/maps/place/BoulderHOA/@40.0498155,-105.2432805,11z/data=!3m1!4b1!4m6!3m5!1s0x876b8cf6df239a53:0xd668e507cc79a82b!8m2!3d40.0498155!4d-105.2432806!16s%2Fg%2F11f53mdlwj",BoulderHOA,4.0,26,Property management company,,,https://www.boulderhoa.com/,+1 720-810-4626,Open ⋅ Closes 4 pm,,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:21.198Z,,,
https://www.google.com/maps/place/Fowler+Property+Management/data=!4m7!3m6!1s0x876bee78f0370499:0xea39721c1a45d545!8m2!3d40.0257846!4d-105.2578572!16s%2Fg%2F1tk8clxg!19sChIJmQQ38Hjua4cRRdVFGhxyOeo,Fowler Property Management,3.3,172,Property management company,"2400 28th St #301, Boulder, CO 80301, United States","2PGR+8V Boulder, Colorado, USA",http://www.fowlerrentals.com/,+1 303-443-6064,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPp3z0XW0C9rrrW6WHD6Td-GdpcVgkfqHRhkXxl=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:26.779Z,,,
https://www.google.com/maps/place/Sunnyside+Property+Management/data=!4m7!3m6!1s0x876bedc2d6393b93:0xba423c2c5734abbb!8m2!3d40.0126586!4d-105.2580435!16s%2Fg%2F1tcz__vq!19sChIJkzs51sLta4cRu6s0Vyw8Qro,Sunnyside Property Management,2.6,198,Property management company,"1450 28th St, Boulder, CO 80303, United States","2P7R+3Q Boulder, Colorado, USA",https://www.sunnysiderental.com/,+1 303-442-7773,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MSc3Zu5zXW-Ti62h5liUvg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=26.004461&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:32.456Z,,,
https://www.google.com/maps/place/Boulder+Housing+Partners/data=!4m7!3m6!1s0x876bef1dbc23740f:0x500cef0bbdbf44c6!8m2!3d40.062053!4d-105.2818644!16s%2Fg%2F1tj80gcx!19sChIJD3QjvB3va4cRxkS_vQvvDFA,Boulder Housing Partners,4.7,429,Housing authority,"4800 Broadway, Boulder, CO 80304, United States","3P69+R7 Boulder, Colorado, USA",https://boulderhousing.org/?utm_source=gmb&utm_medium=organic&utm_campaign=boulder-housing-partners&source=GBP,+1 720-564-4610,,https://lh3.googleusercontent.com/p/AF1QipOhirtJF_7sQPrAxNroXnGuDTB80lz9phKegoqU=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:37.733Z,,,
https://www.google.com/maps/place/The+Colorado+Group+Inc/data=!4m7!3m6!1s0x876bee6d25192a7d:0xfcccbfcb7fcc85f6!8m2!3d40.0375097!4d-105.2525236!16s%2Fg%2F1tj5ln5l!19sChIJfSoZJW3ua4cR9oXMf8u_zPw,The Colorado Group Inc,4.9,34,Commercial real estate agency,"3101 Iris Ave # 240, Boulder, CO 80301, United States","2PQW+2X Boulder, Colorado, USA",https://www.coloradogroup.com/,+1 303-449-2131,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipNIgX6BTva5o6xyO7RFiggsh8baAhHv0wRqDFkm=w408-h306-k-no,true,8 am–4:30 pm,8 am–4 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:44.053Z,,,
https://www.google.com/maps/place/First+Range+Management/data=!4m7!3m6!1s0x876bf1d0035cea2f:0x52069ac2ddb18daa!8m2!3d40.0615852!4d-105.2076929!16s%2Fg%2F11bxg1tcj0!19sChIJL-pcA9Dxa4cRqo2x3cKaBlI,First Range Management,4.8,4,Property management company,"6255 Habitat Dr #3005, Boulder, CO 80301, United States","3Q6R+JW Boulder, Colorado, USA",,+1 303-444-7777,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tq0q-3czpj6KMLRw-hWmdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=160.58287&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Boulder+CO/@40.0671063,-105.2901076,14z",2025-09-25T17:02:49.058Z,,,
