placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,isBlackOwned,sunday,monday,tuesday,wednesday,thursday,friday,saturday
https://www.google.com/maps/place/International+Tax+Accounting+%26+Office+Group/data=!4m7!3m6!1s0x8831291748e09de3:0x2c3a39a781671f30!8m2!3d41.1024783!4d-81.5062677!16s%2Fg%2F11j4tvnj2l!19sChIJ453gSBcpMYgRMB9ngac5Oiw,International Tax Accounting & Office Group,5.0,44,Tax preparation service,"243 E Tallmadge Ave, Akron, OH 44310, United States","4F2V+XF Akron, Ohio, USA",http://itaogroup.com/,+1 330-475-0340,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npU02lQu5auCiNma-E4byPBIHAnRZ8fGFFspe0XlmZ-jFeB9I6Adfd4QU1t6A7IfmXO24Xm3admjVOcfp3CFZt0rqVr-GoHwziaxSC_LIgMccPRnI4mSnR7bCdZH6G08vmSSR0o=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:21.870Z,,,,,,,,,
https://www.google.com/maps/place/JLW+Tax+%26+Financial+Services+LLC/data=!4m7!3m6!1s0x8831291d3b25750d:0x212c42d38db4b04f!8m2!3d41.0738152!4d-81.4917811!16s%2Fg%2F11g2sjgz71!19sChIJDXUlOx0pMYgRT7C0jdNCLCE,JLW Tax & Financial Services LLC,4.8,42,Tax preparation service,"839 E Market St Ste 100, Akron, OH 44305, United States","3GF5+G7 Akron, Ohio, USA",http://www.jlwtaxfinancial.com/,+1 234-231-9141,,https://lh3.googleusercontent.com/p/AF1QipNeZmAUKhcWh16k3gTmc7xkwmifRkLNTH6jRu0=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:28.130Z,LGBTQ+ friendly,true,,,,,,,
https://www.google.com/maps/place/Midcap+%26+Company/data=!4m7!3m6!1s0x8830d628ff8d51fd:0x99e1dcc0f18a42dc!8m2!3d41.0813236!4d-81.518523!16s%2Fg%2F1tdg_ym8!19sChIJ_VGN_yjWMIgR3EKK8cDc4Zk,Midcap & Company,5.0,1,Certified public accountant,"137 S Main St, Akron, OH 44308, United States","3FJJ+GH Akron, Ohio, USA",,+1 330-762-8825,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipO228LWRp1FjcjUdpHJ-KHin_98mHle4xwhz29g=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:33.134Z,,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed
https://www.google.com/maps/place/Wagner+%26+Company+CPA/data=!4m7!3m6!1s0x8830d70dac2b7a99:0x31e3a06f87bb40d9!8m2!3d41.1093706!4d-81.5682546!16s%2Fg%2F1tqpzx1b!19sChIJmXorrA3XMIgR2UC7h2-g4zE,Wagner & Company CPA,5.0,1,Certified public accountant,"1655 W Market St, Akron, OH 44313, United States","4C5J+PM Akron, Ohio, USA",http://www.sjwfinancial.com/,+1 330-864-1550,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=noX8QwPUFwD-Ec5uf5xhvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=156.63261&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:36.104Z,,,,,,,,,
https://www.google.com/maps/place/Seikel+%26+Company+Inc./data=!4m7!3m6!1s0x8830d7b5cf5d5095:0x81ff57507ae51bfe!8m2!3d41.0945697!4d-81.5397995!16s%2Fg%2F1tcvjrb9!19sChIJlVBdz7XXMIgR_hvlelBX_4E,Seikel & Company Inc.,5.0,2,Accountant,"686 W Market St, Akron, OH 44303, United States","3FV6+R3 Akron, Ohio, USA",https://www.seikel.com/,+1 330-761-1040,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z-gAbzSlyiD6zN7qlOc-7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=90.739044&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:40.945Z,,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed
https://www.google.com/maps/place/Sipos+Mark+a+CPA/data=!4m7!3m6!1s0x8830d628ff8d51fd:0xa8e36e809f5fc713!8m2!3d41.0812746!4d-81.5185597!16s%2Fg%2F1tjgq6_s!19sChIJ_VGN_yjWMIgRE8dfn4Bu46g,Sipos Mark a CPA,5.0,1,Accountant,"137 S Main St #100, Akron, OH 44308, United States","3FJJ+GH Akron, Ohio, USA",,+1 330-762-8825,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yehW3WuOS1TdUb8ynm4w1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=129.13623&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:43.757Z,,,,,,,,,
https://www.google.com/maps/place/F+Lee%27s+Tax+%26+Accounting+Services/data=!4m7!3m6!1s0x8830d625d5bbae2f:0xe9fd6d09c5916f8d!8m2!3d41.0731135!4d-81.490944!16s%2Fg%2F1tfm793d!19sChIJL6671SXWMIgRjW-RxQlt_ek,F Lee's Tax & Accounting Services,3.9,26,Bookkeeping service,"875 E Market St, Akron, OH 44305, United States","3GF5+6J Akron, Ohio, USA",http://www.fleetax.com/,+1 330-253-9937,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMfXszm_aQ_zQzSmlZMjKLkIOKT6KSnuwkRE8n9BnWsryfEuwAPOh98z8PlxtEeI6fi56f5FcyFt3viSQ9eGcrpoMADhgPWliySl9r4gduBG3Aj_sCIkbe3gK5BjrbLeYICOaNcA=w408-h725-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:48.969Z,,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed
https://www.google.com/maps/place/Verderico+Cpas+Inc+-+Vince+Verderico+CPA/data=!4m7!3m6!1s0x88312813c5ddca73:0xc8cb16dba3df601c!8m2!3d41.1141831!4d-81.4983147!16s%2Fg%2F1tgh3mn7!19sChIJc8rdxRMoMYgRHGDfo9sWy8g,Verderico Cpas Inc - Vince Verderico CPA,5.0,5,Tax preparation,"577 E Cuyahoga Falls Ave, Akron, OH 44310, United States","4G72+MM Akron, Ohio, USA",,+1 330-929-2948,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1GJI7fTDGGxzQNGGluATkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=339.2381&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:54.034Z,,,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed
https://www.google.com/maps/place/CLA+%28CliftonLarsonAllen%29/data=!4m7!3m6!1s0x8830d62464b28447:0x4045229b64e04ed6!8m2!3d41.0746872!4d-81.5239576!16s%2Fg%2F1td6n98q!19sChIJR4SyZCTWMIgR1k7gZJsiRUA,CLA (CliftonLarsonAllen),1.0,1,Accounting firm,"388 S Main St #420, Akron, OH 44311, United States","3FFG+VC Akron, Ohio, USA",https://www.claconnect.com/locations/ohio/offices/cla-akron,+1 330-376-0100,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L6Flmp7eGkMULDwA_Ni9nA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.02563&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:34:59.040Z,,,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed
https://www.google.com/maps/place/Meaden+%26+Moore/data=!4m7!3m6!1s0x8830d62302963139:0xa894a9253891823a!8m2!3d41.0716025!4d-81.5247666!16s%2Fg%2F1tf5qwqm!19sChIJOTGWAiPWMIgROoKROCWplKg,Meaden & Moore,,,Accountant,"1 Gojo Plz, Akron, OH 44311, United States","3FCG+J3 Akron, Ohio, USA",https://www.meadenmoore.com/locations/akron,+1 330-535-5149,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RiSAgNVvWumbxpLAyaQhKw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=108.55587&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Akron+OH/@41.081199,-81.5188377,14z",2025-10-19T15:35:03.850Z,,,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed
