placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info
https://www.google.com/maps/place/Eric%27s+Lawn+Maintenance/data=!4m7!3m6!1s0x54ea8fcdaf82f46b:0xb7a9cf5828bb314!8m2!3d44.9435504!4d-123.8994104!16s%2Fg%2F11g1nz3vpm!19sChIJa_SCr82P6lQRFLOLgvWcegs,Eric's Lawn Maintenance,5.0,3,Landscaper,,,,+1 541-921-1707,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHM1pdokpmUvxKgViGAYecWGfTheDA1yuZwSRn218Q1w1qkt9PyPqmovkAAIs7FLO-svEC8eUSpyH_I4ScFtMo-WMgNmf2d9lu0UwHNZhOs4o2PNxPV2exIVbJ_iJ3TdX2jw-QC_A=w408-h408-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:11.409Z,,
https://www.google.com/maps/place/Luxury+Landscape/data=!4m7!3m6!1s0x8796bf8ab7dd357d:0xd9186b397a8a91c6!8m2!3d40.78945!4d-96.729955!16s%2Fg%2F11h2cb6y3_!19sChIJfTXdt4q_locRxpGKejlrGNk,Luxury Landscape,4.9,83,Landscaper,"2300 S Folsom Ct, Lincoln, NE 68522, United States","Q7QC+Q2 Lincoln, Nebraska, USA",https://www.luxurylandscape-llc.com/,+1 402-440-7721,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEg7v-NV8eoQmVKbptFCEpvvnIAWGDJzORFpFJUzAXB7IWtJ77sR1Lr0-VfG5fBUNC8fnaU1Ij-Yw9J0lC70UVTd0HK3ZHJs3JLDDHQ8feU1MYshwN_LjTOUkMpTN6yyDfJeZBUyQ=w408-h334-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:16.385Z,,
https://www.google.com/maps/place/RDM+Landscapes/data=!4m7!3m6!1s0x8796c8b0a27bc749:0x54b7bc54bb56db18!8m2!3d40.8095024!4d-96.7212642!16s%2Fg%2F12hqpbfs3!19sChIJScd7orDIlocRGNtWu1S8t1Q,RDM Landscapes,5.0,26,Landscaper,"420 SW 1st St, Lincoln, NE 68508, United States","R75H+RF Lincoln, Nebraska, USA",http://rdmlandscapes.com/,+1 402-480-1156,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEC57rFQsl1CbvHm1GjfCN3xBq3lgKzrKUa-VCyzwVWTOEAkdIfvmMWEGVS5E93lvE0mLesqxAbH4KrROnbpmZNv7AS3EJevnmd6koibFJZRS_nn28eyvmUA8ng8BeCD5GMQM106FMFmXnp=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:20.721Z,,
https://www.google.com/maps/place/Friesen+Landscaping/data=!4m7!3m6!1s0x8796c07c636df7bf:0xa1644178b96da933!8m2!3d40.791841!4d-96.726663!16s%2Fg%2F125_w9nvh!19sChIJv_dtY3zAlocRM6ltuXhBZKE,Friesen Landscaping,4.7,17,Landscaper,"465 W South St Suite 11, Lincoln, NE 68522, United States","Q7RF+P8 Lincoln, Nebraska, USA",https://friesenlandscaping.com/,+1 402-795-8686,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW1pb88l96Y8En7v92fwwmr6dycrEqJ3XAPxlBFj2PhzJvrmyrAXG49p3uwmX8O609ERbeVJgmx5b_MDrnGGtB2M1DL6kNbWrbDjz4i-atVFJ1-ik2UyOE0WnXofb_-g1X6m7W=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:25.295Z,,
https://www.google.com/maps/place/Lawn-N-Order:+Landscape+And+Home+Maintenance/data=!4m7!3m6!1s0x54ea93367819b2d3:0x9f72e459b656e9fc!8m2!3d44.9103805!4d-123.8994104!16s%2Fg%2F11b7gsh0xj!19sChIJ07IZeDaT6lQR_OlWtlnkcp8,Lawn-N-Order: Landscape And Home Maintenance,5.0,14,Landscaper,,,,+1 541-418-2328,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKoAFwdZlRPDwwqvjTv671Et-bdbGrQ8gLPno7slecGdbG5FYUZco-bvYvqzldM_GFE9sJoT9Pe_8MJc-QqHToOQhnSYoiKijql37Yq6xrfFVOT18CzSxYtNAvCV8XxnhzDaMnhw=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:29.712Z,,
https://www.google.com/maps/place/Greenroom+Landscaping+LLC/data=!4m7!3m6!1s0x2fe1cabc7d15e0e1:0xf9ee99aa78ba3a89!8m2!3d44.9687716!4d-124.0018299!16s%2Fg%2F11wwmk_mhs!19sChIJ4eAVfbzK4S8RiTq6eKqZ7vk,Greenroom Landscaping LLC,5.0,6,Landscaper,,,https://greenroomlandscapingllc.com/,+1 866-609-6667,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQIQhUGh4EI9dAZ_yd1XX6yM8IqLE5XcVb9g_iwvwCGOwZwjWH-a2PUOt9AiiRziql9AWfbvJBaUj_uBut_10n1jWHFPwUVE8SjT44S_0Z5g9lgHxA0GXhOls8eboomUBpkr_Ir_zQHVNp=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:34.110Z,,
"https://www.google.com/maps/place/Coyote+Gardens/@45.0752021,-123.9727546,11z/data=!3m1!4b1!4m6!3m5!1s0x54eac3b84292a645:0x524791ce394094de!8m2!3d45.075202!4d-123.9727546!16s%2Fg%2F11lbrnpgrq",Coyote Gardens,5.0,2,Landscape designer,,,http://coyotegardens.com/,,Open · Closes 6:30 pm,,true,6:30 am–6:30 pm,6:30 am–6:30 pm,6:30 am–6:30 pm,Closed,Closed,6:30 am–6:30 pm,6:30 am–6:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:40.389Z,,
https://www.google.com/maps/place/Bear+Valley+Nursery/data=!4m7!3m6!1s0x54ea8d614eef94c1:0x87a27df6f17496df!8m2!3d44.9532151!4d-124.0136249!16s%2Fg%2F1tddxhlj!19sChIJwZTvTmGN6lQR35Z08fZ9ooc,Bear Valley Nursery,4.8,350,Garden center,"2114 SE Hwy 101, Lincoln City, OR 97367, United States","XX3P+7H Lincoln City, Oregon, USA",http://bearvalleynursery.com/,+1 541-996-2327,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiI5YlEG7IXWTJf3FBsoQ0RSrHO0i0cS0c1Ttr9K2i_uYvJtTj-Qeoi_U0fcGzc8xa5nE3f0Vy9bKNOuODY3xrRyMHDmL09AGeAaCoeenduDkQx6OSfMnanw9vskX7knxIF-2s=w426-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–5 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:45.033Z,· Delivery,
"https://www.google.com/maps/place/Lakeside+Landscape+Maintenance+Inc/@44.9687716,-124.0018299,12z/data=!3m1!4b1!4m6!3m5!1s0xa9814eeb7c87e767:0x7ac27cd6526316c4!8m2!3d44.9687716!4d-124.0018299!16s%2Fg%2F11lccmygw7",Lakeside Landscape Maintenance Inc,5.0,1,Landscaper,,,,+1 541-921-9686,Open · Closes 5 pm,,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:51.638Z,,
"https://www.google.com/maps/place/Merritt+Lawncare,+LLC/data=!4m7!3m6!1s0x54ea8d4fde3a04c9:0x59b403e47b0ca9c7!8m2!3d45.0293164!4d-123.743466!16s%2Fg%2F11k5021z7r!19sChIJyQQ63k-N6lQRx6kMe-QDtFk","Merritt Lawncare, LLC",5.0,5,Lawn care service,,,,+1 503-812-1369,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2HERhvS321UoM01J3ZkfQZ2pVcG35NOhzWmDh7HgV92G0KIU6k3vWyt_C5YnuO3Ej__XFxIynQ0UQvPmduKivQV3xipL5O3OxuBA3Fc9FwU0QqtkutTxd-ypcsjXwAhglUKrK=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2026-04-29T20:13:56.497Z,,
