placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,error,isBlackOwned
"https://www.google.com/maps/place/Alegre+Home+Health+Care,+Llc/data=!4m7!3m6!1s0x86e75b8afc03dc23:0x84ad87521fcc4023!8m2!3d31.7891195!4d-106.4427386!16s%2Fg%2F11j0bvpjfd!19sChIJI9wD_Ipb54YRI0DMH1KHrYQ","Alegre Home Health Care, Llc",4.5,318,Home health care service,"4115 Trowbridge Dr, El Paso, TX 79903, United States","QHQ4+JW El Paso, Texas, USA",https://www.alegrehomehealthcare.com/,+1 915-209-3114,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqOTlBti_J2a9xYtXZO0eIDLwg1xSgsmxvw0gm_rURmK1OZ791BUdp5oW3PRxqj_Zl5migXWiYFAtP7dWHJW8qtFJ6YcyjlmpULP5KiMUjNhq1bTk5E7cJp9v29BFTWUVRYWAxl=w408-h244-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:18.061Z,,,,
https://www.google.com/maps/place/Abundant+Living+Home+Health+LLC/data=!4m7!3m6!1s0x86e759f0fe025aab:0x5d5662268d0612c!8m2!3d31.7696525!4d-106.4831849!16s%2Fg%2F11bbx01r34!19sChIJq1oC_vBZ54YRLGHQaCJm1QU,Abundant Living Home Health LLC,4.6,48,Home health care service,"1115 Montana Ave, El Paso, TX 79902, United States","QG98+VP El Paso, Texas, USA",http://abundantlivinghh.com/,+1 915-564-0168,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr4NNIOIYJqixE8XgJ1ErgJ4JKA77uKYb4r5uWA2IqWXlH7Mx_W1pNoutkLbCUfJoSjlk2VhOSKKsHw5GLT8AAvgOi8fYvaR9bSq8Sw3u0OVQaLybxatwGaP055-ybaViZT60o=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:24.220Z,,,,
https://www.google.com/maps/place/Santa+Fe+Home+Care+LLC/data=!4m7!3m6!1s0x86e7599855555555:0x684913122dbdfcd8!8m2!3d31.7693566!4d-106.4784397!16s%2Fg%2F11c5bl5qz5!19sChIJVVVVVZhZ54YR2Py9LRITSWg,Santa Fe Home Care LLC,4.7,24,Home health care service,"611 Newman St, El Paso, TX 79902, United States","QG9C+PJ El Paso, Texas, USA",https://www.santafehomecare.net/?utm_source=gmb&utm_medium=organic&utm_campaign=elpaso,+1 915-845-3900,Open ⋅ Closes 3 pm,https://lh3.googleusercontent.com/p/AF1QipMzM2ozASXZdMf7HvS9C8fUU2hq_zxc3iSUdTOC=w408-h300-k-no,true,7 am–3 pm,7 am–3 pm,7 am–3 pm,Closed,Closed,7 am–3 pm,7 am–3 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:29.232Z,,,,
https://www.google.com/maps/place/St+Luke+Home+Health/data=!4m7!3m6!1s0x86e759b36285ea53:0x7e2de0c5d3d93bfa!8m2!3d31.7840285!4d-106.458753!16s%2Fg%2F11h4ydn4wk!19sChIJU-qFYrNZ54YR-jvZ08XgLX4,St Luke Home Health,4.9,27,Home health care service,"3029 Montana Ave C, El Paso, TX 79903, United States","QGMR+JF El Paso, Texas, USA",,+1 915-316-1216,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=amdvzAsqyZAk4I-26aCR8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.924296&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:34.248Z,,,,
https://www.google.com/maps/place/Cuidado+Casero+Home+Health+Services/data=!4m7!3m6!1s0x86e759a62d2f09b3:0x44eb1477414dd811!8m2!3d31.771272!4d-106.475445!16s%2Fg%2F1hc749qb2!19sChIJswkvLaZZ54YREdhNQXcU60Q,Cuidado Casero Home Health Services,4.3,25,Home health care service,"1617 E Missouri Ave, El Paso, TX 79902, United States","QGCF+GR El Paso, Texas, USA",https://cuidadocasero.com/,+1 915-772-7177,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNrZEzhL-V1LEm0rqwmk4SgBJkBgs3obx_GUYEY=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–3 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:39.176Z,Identifies as women-owned,,,
https://www.google.com/maps/place/La+Familia+Home+Health/data=!4m7!3m6!1s0x86e75b020189e123:0x30e8211491bdc339!8m2!3d31.781033!4d-106.4628114!16s%2Fg%2F1tc_llh6!19sChIJI-GJAQJb54YROcO9kRQh6DA,La Familia Home Health,5.0,9,Home health care service,"2720 Yandell Dr #106, El Paso, TX 79903, United States","QGJP+CV El Paso, Texas, USA",,+1 915-591-7100,Open ⋅ Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wQ89PwUG65bi8rqBOkRl7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.37575&pitch=0&thumbfov=100,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:44.433Z,,,,
https://www.google.com/maps/place/AM+Healthcare/data=!4m7!3m6!1s0x86e7598f66727e79:0xfa22dbb31582e9ef!8m2!3d31.7760859!4d-106.4722868!16s%2Fg%2F12610wrd1!19sChIJeX5yZo9Z54YR7-mCFbPbIvo,AM Healthcare,4.4,16,Home health care service,"2004 Montana Ave, El Paso, TX 79903, United States","QGGH+C3 El Paso, Texas, USA",,,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K7pnPlLOxZ0OAmlQj1eMGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=145.97263&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:49.348Z,,,,
https://www.google.com/maps/place/Always+Best+Care+Senior+Services+-+Home+Care+Services+in+El+Paso/data=!4m7!3m6!1s0x86e7598ab96a8393:0x5579083a0a36d0f3!8m2!3d31.7802581!4d-106.4647441!16s%2Fg%2F11j4czkm6t!19sChIJk4NquYpZ54YR89A2CjoIeVU,Always Best Care Senior Services - Home Care Services in El Paso,4.6,26,Home health care service,"2601 Yandell Dr Suite 106, El Paso, TX 79903, United States","QGJP+44 El Paso, Texas, USA",https://alwaysbestcare.com/elpaso/,+1 915-250-0177,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPV938X8wzU8vD2Or4eigWxqBI4TOg4ILZLJaHx=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:54.425Z,,,,
https://www.google.com/maps/place/M+B+Care+LLC/data=!4m7!3m6!1s0x86e75817b5f559b9:0xca47b0296a61cc26!8m2!3d31.7709436!4d-106.4794002!16s%2Fg%2F1tjpqyw7!19sChIJuVn1tRdY54YRJsxhaimwR8o,M B Care LLC,5.0,3,Home health care service,"1401 Yandell Dr, El Paso, TX 79902, United States","QGCC+96 El Paso, Texas, USA",https://mbcarehomehealth.com/,+1 915-351-1851,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ZySO_gY0MSFTh8XXm5Gfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.21625&pitch=0&thumbfov=100,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:51:59.439Z,,,,
https://www.google.com/maps/place/Plenitud+Personal+Assistance/data=!4m7!3m6!1s0x86e759a2d828f22f:0x3e6090aea974db39!8m2!3d31.78005!4d-106.467053!16s%2Fg%2F1tz71vk_!19sChIJL_Io2KJZ54YROdt0qa6QYD4,Plenitud Personal Assistance,5.0,80,Home health care service,"2431 Montana Ave, El Paso, TX 79903, United States","QGJM+25 El Paso, Texas, USA",,+1 915-546-3900,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XXxKOKzC-R_yZgw5qa0mcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.26056&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-09-10T17:52:04.370Z,,,,
