placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday
https://www.google.com/maps/place/Psychiatry+Associates+of+Wyoming/data=!4m7!3m6!1s0xa32a4dafb7b1123:0x47b96a2836970f54!8m2!3d41.1331947!4d-104.8187634!16s%2Fg%2F11w2znmbzb!19sChIJIxF7-9qkMgoRVA-XNihquUc,Psychiatry Associates of Wyoming,4.7,93,Mental health clinic,"1712 Pioneer Ave Suite 997, Cheyenne, WY 82001, United States","45MJ+7F Cheyenne, Wyoming, USA",https://psychcare360.com/,+1 307-333-1123,,LGBTQ+ friendly,true,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oXmI7bm9p_VOYIZ2emy9eQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=250.39386&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:15.713Z,,,,,,,
https://www.google.com/maps/place/LIV+Health/data=!4m7!3m6!1s0x876f3b0686cfd1f7:0x7c40c3c0230f090!8m2!3d41.1604273!4d-104.7795788!16s%2Fg%2F11fjtysll6!19sChIJ99HPhgY7b4cRkPAwAjwMxAc,LIV Health,4.3,151,Mental health clinic,"2500 Dell Range Blvd, Cheyenne, WY 82009, United States","566C+55 Cheyenne, Wyoming, USA",https://livhealth.org/,+1 307-630-4729,Closed · Opens 9 am Tue,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPLYVNrBKHEnmkhEf7CADsEazIp60BSsQfOEgWb=w408-h272-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:21.667Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed
https://www.google.com/maps/place/Behavioral+Health+Services/data=!4m7!3m6!1s0x876f3b17a49db093:0x36e22d237cff53a2!8m2!3d41.1429257!4d-104.7848283!16s%2Fg%2F1hc0rjz_r!19sChIJk7CdpBc7b4cRolP_fCMt4jY,Behavioral Health Services,3.7,51,Mental health clinic,"2600 E 18th St, Cheyenne, WY 82001, United States","46V8+53 Cheyenne, Wyoming, USA",https://www.cheyenneregional.org/location/behavioral-health-services/,+1 307-633-7382,Closed · Opens 7 am Tue,LGBTQ+ friendly,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uSZOJtni6wqrRZug9WjTqA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=66.009544&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:26.557Z,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,Closed
https://www.google.com/maps/place/Halcyon+Counseling+%26+Wellness/data=!4m7!3m6!1s0x876f3bd61e4c2dd9:0x53e37ae2c85a443c!8m2!3d41.141319!4d-104.8241807!16s%2Fg%2F11m_k74bz0!19sChIJ2S1MHtY7b4cRPERayOJ641M,Halcyon Counseling & Wellness,5.0,3,Mental health service,"2622 Pioneer Ave, Cheyenne, WY 82001, United States","45RG+G8 Cheyenne, Wyoming, USA",http://hcwellnessgroup.com/,+1 307-222-8213,Closed · Opens 8 am Tue,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5XYT1YZ8-YDVCvKX3g0Epg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=210.55779&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:31.442Z,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,Closed
https://www.google.com/maps/place/Specialty+Counseling+%26+Consulting+-+Cheyenne+%28East%29/data=!4m7!3m6!1s0x876f3b3f802b3a89:0xaf1cf53709897e00!8m2!3d41.1520869!4d-104.7607572!16s%2Fg%2F1tk1nh22!19sChIJiTorgD87b4cRAH6JCTf1HK8,Specialty Counseling & Consulting - Cheyenne (East),3.8,57,Mental health service,"4025 Rawlins St, Cheyenne, WY 82001, United States","562Q+RM Cheyenne, Wyoming, USA",http://www.specialtycounseling.com/,+1 307-426-4797,"Closed · Opens 8 am Tue

Updated by this business 4 weeks ago",LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPHDgYgla2XvjsBLLvi9G-05r5N23R_TL27lPgi=w408-h306-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:36.304Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–5 pm,Closed,Closed
"https://www.google.com/maps/place/Justin+Romano,+MD/data=!4m7!3m6!1s0x876f3ae945686599:0xe7a49aa128b4755d!8m2!3d41.1404174!4d-104.8154489!16s%2Fg%2F1v9lc88l!19sChIJmWVoRek6b4cRXXW0KKGapOc","Justin Romano, MD",5.0,55,Pediatrician,"2301 House Ave Suite 405, Cheyenne, WY 82001, United States","45RM+5R Cheyenne, Wyoming, USA",https://www.cheyenneregional.org/provider/romano-justin-md/,+1 307-635-7961,Closed · Opens 7 am Tue,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyX-JfQ0IBm6aUCvV-klwcU0KK-LznPp_4rX6qdSo9B_8cNnpokgnkcRTAYcUd1kWq-YCw8aNg9Mif3tYiWYj7_IzXyTRJyDBQLVBm1W1Zt33MnBnlfeP_vWDEi9eWAt2r9fCmgtLmdrkPX=w408-h544-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:41.127Z,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,Closed
https://www.google.com/maps/place/Changing+Seasons+Counseling+Services/data=!4m7!3m6!1s0x876f3addbbbaaaab:0xc8cf32d7cb1ae4eb!8m2!3d41.1348788!4d-104.8163463!16s%2Fg%2F11h3vc81qt!19sChIJq6q6u906b4cR6-Qay9cyz8g,Changing Seasons Counseling Services,5.0,1,Mental health clinic,"1807 Capitol Ave #207, Cheyenne, WY 82001, United States","45MM+XF Cheyenne, Wyoming, USA",,+1 307-631-9213,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yl-cen4CFXWvc-sxjc4d8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.449287&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:43.746Z,,,,,,,
https://www.google.com/maps/place/Thriveworks+Counseling+%26+Therapy+Cheyenne/data=!4m7!3m6!1s0x876f3b3ff246acef:0xb4c46cecb15d9109!8m2!3d41.1605582!4d-104.7858797!16s%2Fg%2F11rc2_62mg!19sChIJ76xG8j87b4cRCZFdsexsxLQ,Thriveworks Counseling & Therapy Cheyenne,4.9,14,Counselor,"2232 Dell Range Blvd STE 312, Cheyenne, WY 82009, United States","5667+6J Cheyenne, Wyoming, USA",https://thriveworks.com/cheyenne-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,+1 307-317-2383,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPf4mJADDilvol3HjXivQZmX5vRMOFzjKhCH-M=w426-h240-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:48.498Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours
https://www.google.com/maps/place/Adina+Loomis/data=!4m7!3m6!1s0x876f3b1f9bdeaaab:0xee58a6dda298be6c!8m2!3d41.1395526!4d-104.7963381!16s%2Fg%2F11qgb7mc5g!19sChIJq6remx87b4cRbL6Yot2mWO4,Adina Loomis,5.0,1,Counselor,"1520 Logan Ave Ste 3, Cheyenne, WY 82001, United States","46Q3+RF Cheyenne, Wyoming, USA",https://www.lifesong-counseling.com/adina-loomis,+1 307-316-2290,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XUDGbwEI-9Cv7KoM-7lbQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=246.8183&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:51.206Z,,,,,,,
https://www.google.com/maps/place/Northern+Star+Counseling/data=!4m7!3m6!1s0x876f3add4e68e865:0x63a1013fe38384ee!8m2!3d41.1457939!4d-104.8311945!16s%2Fg%2F1262nfvcc!19sChIJZehoTt06b4cR7oSD4z8BoWM,Northern Star Counseling,4.3,11,Mental health service,"821 W Pershing Blvd, Cheyenne, WY 82001, United States","45W9+8G Cheyenne, Wyoming, USA",http://www.northernstarcounseling.com/,+1 307-421-9329,Closed · Opens 9 am Tue,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPhok2mnrb8zUUTVV8eBeSlFjBxkaAKtT20RbUe=w408-h306-k-no,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Cheyenne+WY/@41.1347435,-104.8211901,14z",2025-12-16T02:37:56.027Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed
