placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Regener8+Wellness+%2B+Performance/data=!4m7!3m6!1s0x80d6f76f7f4ce725:0xd83fbe32170464c4!8m2!3d32.6982991!4d-114.6338082!16s%2Fg%2F11v06376yf!19sChIJJedMf2_31oARxGQEFzK-P9g,Regener8 Wellness + Performance,5.0,64,Holistic medicine practitioner,"1207 W 16th St B, Yuma, AZ 85364, United States","M9X8+8F Yuma, Arizona, USA",https://regener8lifeyuma.com/,+1 928-248-4113,"Open · Closes 4 pm

Updated by this business 5 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOXlWurU5O8uD68raP5SoCAOfoOyS6i6j0aW5Xm=w408-h272-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,3–7 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:15:38.489Z,,,
https://www.google.com/maps/place/Aura+Grace+Aesthetic+Medical+Group/data=!4m7!3m6!1s0x80d6f7c538919f35:0x9833a8d5aacb66e4!8m2!3d32.6832111!4d-114.6315428!16s%2Fg%2F11hzppy_26!19sChIJNZ-ROMX31oAR5GbLqtWoM5g,Aura Grace Aesthetic Medical Group,5.0,84,Alternative medicine practitioner,"1025 W 24th St Ste 26, Yuma, AZ 85364, United States","M9M9+79 Yuma, Arizona, USA",http://www.auragracegroup.com/,+1 928-318-6910,Open · Closes 12 pm · Reopens 1 pm,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPAMJI28c_PT_0s290KNUR_0aXSRyF6KbqUZaRJ=w408-h610-k-no,true,"8 am–12 pm, 1–5 pm","8 am–12 pm, 1–6 pm","6 am–1:15 pm, 2:15–5 pm","6 am–12 pm, 1–5 pm",Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:15:44.011Z,,,
https://www.google.com/maps/place/Southwest+Integrative+Wellness/data=!4m7!3m6!1s0x80d6f61d67863e4b:0xea0207347525b709!8m2!3d32.725486!4d-114.6309577!16s%2Fg%2F1tr7d28x!19sChIJSz6GZx321oARCbcldTQHAuo,Southwest Integrative Wellness,4.5,22,Wellness center,"900 W 1st St, Yuma, AZ 85364, United States","P9G9+5J Yuma, Arizona, USA",https://www.southwestintegrativewellness.com/,+1 928-390-3380,Closed · Opens 1 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qHfs7oQjuir3isB_kJ3fog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=353.28848&pitch=0&thumbfov=100,true,1–6 pm,10 am–4 pm,1–6 pm,10 am–4 pm,1–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:15:49.311Z,,,
https://www.google.com/maps/place/Blessed+Balance+and+Love/data=!4m7!3m6!1s0x80d6f71831681e41:0x7a0a92a26473eea1!8m2!3d32.7085631!4d-114.6249784!16s%2Fg%2F11wbnz_9n2!19sChIJQR5oMRj31oARoe5zZKKSCno,Blessed Balance and Love,5.0,11,Holistic medicine practitioner,"1020 S 4th Ave Ste 209, Yuma, AZ 85364, United States","P95G+C2 Yuma, Arizona, USA",,+1 928-257-1515,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f1wLQpHz4dsXKt8mAxpDIw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.48996&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:15:52.003Z,,,
https://www.google.com/maps/place/Empower+Wellness/data=!4m7!3m6!1s0x80d6f7f6334cca55:0x4370c97268a0486!8m2!3d32.6816169!4d-114.6436794!16s%2Fg%2F11vpnxnrxm!19sChIJVcpMM_b31oARhgSKJpcMNwQ,Empower Wellness,5.0,23,Wellness center,"1951 W 25th St Suite D-2, Yuma, AZ 85364, United States","M9J4+JG Yuma, Arizona, USA",https://empowerwellnessaz.com/,+1 928-344-6263,Open · Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=efBrsRpFiLcCiDhqsgzaEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.00328&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:15:56.881Z,,,
https://www.google.com/maps/place/Vida+Holistic+Healing+Inc/data=!4m7!3m6!1s0x80d6f74225e6cafd:0x597806c3f374b8c2!8m2!3d32.6924175!4d-114.6228707!16s%2Fg%2F11rd97xbq_!19sChIJ_crmJUL31oARwrh088MGeFk,Vida Holistic Healing Inc,5.0,75,Wellness center,"1940 S 3rd Ave, Yuma, AZ 85364, United States","M9RG+XV Yuma, Arizona, USA",http://www.vidaholistichealing.com/,+1 928-256-3051,"Opens soon · 9:30 am

Updated by others 12 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPYmrDRReRbBQD_8P73oRTVISRiDP6078m-3NUW=w408-h408-k-no,true,9:30 am–7 pm,9:30 am–7 pm,9:30 am–6 pm,9:30 am–5 pm,9 am–4 pm,10 am–3 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:16:01.799Z,,,
https://www.google.com/maps/place/Nellie%27s+Holistic+Therapy/data=!4m7!3m6!1s0x80d659d991fdfc3f:0x6a4c605878899682!8m2!3d32.6842685!4d-114.6274124!16s%2Fg%2F11rj682gxr!19sChIJP_z9kdlZ1oARgpaJeFhgTGo,Nellie's Holistic Therapy,4.8,6,Acupuncture clinic,"2382 S 6th Ave, Yuma, AZ 85364, United States","M9MF+P2 Yuma, Arizona, USA",,+1 323-516-4468,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqWVY-rHG1PXCHfwEzZsWJJ5rrBbKthwVT3YmxJ1H3coDNt5rJu0qFwDZVx8VKCacEEWxKl4nvirpTjlsUJ9rxHJRfsY3bPs1yxS5JXMkIVDm-JCxkkmg1FWlNZctTdDiQonDX-NpdM9Ixc=w408-h673-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:16:04.431Z,,,
https://www.google.com/maps/place/Steph%27s+Holistic+Healing/data=!4m7!3m6!1s0x80d658aa5ffaa8a9:0x16b4374e17e66612!8m2!3d32.6842592!4d-114.6223514!16s%2Fg%2F11d_79lpz3!19sChIJqaj6X6pY1oAREmbmF043tBY,Steph's Holistic Healing,,,Holistic medicine practitioner,"250 W 24th St, Yuma, AZ 85364, United States","M9MH+P3 Yuma, Arizona, USA",,+1 928-941-6362,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Y-dLEWc4JmYbOxTrF0Q93Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=65.69978&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:16:07.054Z,,,
"https://www.google.com/maps/place/BioCompas+Naturopathic+HealthCare,+PLLC/data=!4m7!3m6!1s0x80d6f67139ab89e5:0xb267542a2a063c03!8m2!3d32.7127958!4d-114.6260246!16s%2Fg%2F1tksj258!19sChIJ5YmrOXH21oARAzwGKipUZ7I","BioCompas Naturopathic HealthCare, PLLC",,,Naturopathic practitioner,"501 W 8th St, Yuma, AZ 85364, United States","P97F+4H Yuma, Arizona, USA",,+1 928-271-5723,Open · Closes 12 pm · Reopens 2 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gTVmCUUgLzYcSsv2wu-NMA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=150.79622&pitch=0&thumbfov=100,false,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:16:11.923Z,,,
https://www.google.com/maps/place/O2+Recovery+LLC+Wellness+Center/data=!4m7!3m6!1s0x80d65f2fae8f403b:0xb6cb0713f20d596a!8m2!3d32.6559937!4d-114.6127484!16s%2Fg%2F11y3p1q65m!19sChIJO0CPri9f1oARalkN8hMHy7Y,O2 Recovery LLC Wellness Center,5.0,18,Wellness center,"780 E 39th Pl, Yuma, AZ 85365, United States","M94P+9W Yuma, Arizona, USA",https://www.o2recoverywellnesscenter.com/,+1 928-546-9484,"Open · Closes 5 pm

Confirmed by this business 10 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipN2nwuvOJmpvbLk0O2qgZmqSRdw_5HdXnKSut5F=w420-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Yuma+AZ/@32.6926512,-114.6276916,14z",2026-02-23T16:16:16.695Z,,,
