placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Vascular+Surgeons+of+Central+New+York/data=!4m7!3m6!1s0x89d9f3b1431a465d:0x594f73d5b926757d!8m2!3d43.0557804!4d-76.1481583!16s%2Fg%2F1tfrnb8m!19sChIJXUYaQ7Hz2YkRfXUmudVzT1k,Vascular Surgeons of Central New York,3.2,18,Medical Center,"104 Union Ave Suite 1003-1004, Syracuse, NY 13203, United States","3V42+8P Syracuse, New York, USA",https://www.azuravascularcare.com/center/vascular-surgeons-of-central-new-york/?utm_source=local&utm_medium=organic&utm_campaign=gmb-center-listing&utm_content=website&y_source=1_MzI4MzEwNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 315-424-7524,,https://lh3.googleusercontent.com/p/AF1QipPtVIXM_lpOaSl0j1-jNMnpF8yBqm_hjSItyhcX=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:33.177Z,,,,,,,,,,,
https://www.google.com/maps/place/Vascular+Lab-University+Surgical/data=!4m7!3m6!1s0x89d9f3a2389de01d:0xa51367860725b248!8m2!3d43.0418643!4d-76.1398344!16s%2Fg%2F1thqhrhk!19sChIJHeCdOKLz2YkRSLIlB4ZnE6U,Vascular Lab-University Surgical,4.0,2,Surgical center,"750 E Adams St Suite 4800, Syracuse, NY 13210, United States","2VR6+P3 Syracuse, New York, USA",https://www.upstate.edu/surgery/healthcare/vascular/,+1 315-464-4454,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9mdbzMYiqnEw17JNvoH50w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=310.5544&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:36.132Z,,,,,,,,,,,
"https://www.google.com/maps/place/Surgical+Care+East,+PLLC:+Dennis+Resetarits,+MD/data=!4m7!3m6!1s0x89d9fbd53b2c1b03:0x5d83b82e3fb1f74c!8m2!3d43.0552158!4d-76.2739293!16s%2Fg%2F11g073636q!19sChIJAxssO9X72YkRTPexPy64g10","Surgical Care East, PLLC: Dennis Resetarits, MD",4.9,42,Doctor,"250 Township Blvd Suite 10, Camillus, NY 13031, United States","3P4G+3C Camillus, New York, USA",https://www.surgicalcareeast.com/,+1 315-928-7060,Closed · Opens 8:30 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K1HpuDkE04O2tqYQUKacAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.127673&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:41.368Z,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,,,,
https://www.google.com/maps/place/Lawrence+Semel/data=!4m7!3m6!1s0x89d9f3b14c7e4f17:0x52b1be802fdadd62!8m2!3d43.0555925!4d-76.1480596!16s%2Fg%2F1td6z2_y!19sChIJF09-TLHz2YkRYt3aL4C-sVI,Lawrence Semel,3.7,6,Vascular surgeon,"104 Union Ave # 1005, Syracuse, NY 13203, United States","3V42+6Q Syracuse, New York, USA",http://www.vascny.com/,+1 315-424-0790,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PR872vUp4r9rQtx_QxYZ1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=68.676605&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:44.188Z,,,,,,,,,,,
https://www.google.com/maps/place/USA+Vein+Clinics/data=!4m7!3m6!1s0x89d9f38bb6daaa81:0x8b5fe577c789ac1b!8m2!3d43.0471354!4d-76.143365!16s%2Fg%2F11k000by38!19sChIJgaratovz2YkRG6yJx3flX4s,USA Vein Clinics,,,Vascular surgeon,"600 E Genesee St Ste 102, Syracuse, NY 13202, United States","2VW4+VM Syracuse, New York, USA",https://www.usaveinclinics.com/company/locations/new-york/,+1 315-949-2809,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mbe_E_J8lfO4E6uLyeZncg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=194.90355&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:48.885Z,,,,,,,,,,,
https://www.google.com/maps/place/USA+Vascular+Centers/data=!4m7!3m6!1s0x89d9f3ba218c8881:0x5466cb6006c195b0!8m2!3d43.0471354!4d-76.143365!16s%2Fg%2F11jvf3n95d!19sChIJgYiMIbrz2YkRsJXBBmDLZlQ,USA Vascular Centers,,,Surgical center,"600 E Genesee St Ste 102, Syracuse, NY 13202, United States","2VW4+VM Syracuse, New York, USA",https://www.usavascularcenters.com/state-new-york/,+1 315-907-6581,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mbe_E_J8lfO4E6uLyeZncg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=194.90355&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:51.647Z,,,,,,,,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Sedora+Laser+and+Skin+Spa/data=!4m7!3m6!1s0x89d9f3c747eb4307:0x5ba369d592676cb4!8m2!3d43.0484223!4d-76.1564815!16s%2Fg%2F11hcv2qz32!19sChIJB0PrR8fz2YkRtGxnktVpo1s,Sedora Laser and Skin Spa,4.9,112,Laser hair removal service,"327 W Fayette St Suite 203, Syracuse, NY 13202, United States","2RXV+9C Syracuse, New York, USA",https://sedoraspasyr.com/,+1 315-664-8344,"Closes soon · 6 pm · Opens 10 am Wed

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipN1ZO27C-zcmTQ-ZYsgEcPs83sIkW8iVBFaB2yD=w426-h240-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:30:56.491Z,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–3 pm,9 am–3 pm,10 am–6 pm,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Housel+Dermatology,+P.C./data=!4m7!3m6!1s0x89d9edc6abd3d767:0x56b5486924401f2c!8m2!3d43.0811863!4d-76.1741611!16s%2Fg%2F1jkvmsc4y!19sChIJZ9fTq8bt2YkRLB9AJGlItVY","Housel Dermatology, P.C.",4.5,141,Dermatologist,"235 Greenfield Pkwy, Liverpool, NY 13088, United States","3RJG+F8 Liverpool, New York, USA",https://houseldermatology.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,+1 315-452-3376,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipPkv6pIY8CkMfezYvdPn7oHNTAKRtPE2CaRXIBN=w408-h289-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:31:01.301Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,,
https://www.google.com/maps/place/Syracuse+Plastic+Surgery+Skin+%26+Wellness/data=!4m7!3m6!1s0x89d9f42286927063:0x180dd5d56ced3ae0!8m2!3d43.0432178!4d-76.0976936!16s%2Fg%2F1tdvl514!19sChIJY3CShiL02YkR4DrtbNXVDRg,Syracuse Plastic Surgery Skin & Wellness,4.9,1357,Plastic surgeon,"3107 E Genesee St, Syracuse, NY 13224, United States","2WV2+7W Syracuse, New York, USA",https://syracuseplasticsurgery.com/,+1 315-299-5313,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNeUulnIghzFpwCLubV8t_V8305HKhED3P-xWGL=w408-h306-k-no,true,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:31:06.326Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–1 pm,Closed,Closed,8 am–4 pm,,,,
"https://www.google.com/maps/place/Michael+J+Costanza,+MD/data=!4m7!3m6!1s0x89d9f3a2389de01d:0x473a39ce922c82de!8m2!3d43.0437934!4d-76.1414027!16s%2Fg%2F1w97wck3!19sChIJHeCdOKLz2YkR3oIsks45Okc","Michael J Costanza, MD",5.0,1,Vascular surgeon,"Upstate Medical University Parking Garage West, 750 E Adams St #4835, Syracuse, NY 13210, United States","2VV5+GC Syracuse, New York, USA",http://www.upstate.edu/healthcare/providers/doctor.php?docID=costanzm,+1 315-464-1800,Closed · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X1eTraIBscQf7MJiK48jrA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.45499&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/vein+clinics+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-12-16T22:31:11.116Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,,,
