placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88c34187aba6c7ef:0x673147ef4a203e79!8m2!3d27.3404873!4d-82.4992761!16s%2Fg%2F11ftf9sgkb!19sChIJ78emq4dBw4gReT4gSu9HMWc,Tire Kingdom,4.8,621,Tire shop,· In-store pick-up,"501 N Beneva Rd, Sarasota, FL 34232, United States","8GR2+57 Sarasota, Florida, USA",https://www.mavis.com/locations/sarasota-beneva-rd-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4157,+1 941-289-1304,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqJ40j0qldKlRi5NzRxhClE_lX43yluc6dkCdqf7l3CQdqt3hGcJ7lwJSKbZBsA-9TC_UOOAmoKJD3mleABMrjqHQTmvX1qGF1WknDcJONhXVZ00d1n5IHY_gXmghLcremvhgmArBSyTpZB=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:31.517Z,,,
https://www.google.com/maps/place/301+Tires/data=!4m7!3m6!1s0x88c3407740627c3d:0xbd1db5a9184c09f3!8m2!3d27.3453737!4d-82.5306349!16s%2Fg%2F1tx4q473!19sChIJPXxiQHdAw4gR8wlMGKm1Hb0,301 Tires,4.4,165,Tire shop,· In-store shopping · In-store pick-up,"1020 N Washington Blvd, Sarasota, FL 34236, United States","8FW9+4P Sarasota, Florida, USA",,+1 941-955-6045,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepJcgyQWesaGni8HvgJg_vXpgFjpri0RuV-XSaNVwIHjbOh6ywURiKPiswWhcT0MQF_mamnHlPjbR1zYCbuyH4rTRNtIyRVFgAOcSTkY2RCZbxM35mxgPH6BevYvLcvlm3wluJuqQ=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:37.486Z,,,
https://www.google.com/maps/place/RNR+Tire+Express/data=!4m7!3m6!1s0x88c33f883d26dfa9:0xe37d10757b386f!8m2!3d27.3506423!4d-82.530886!16s%2Fg%2F11c1n_7cjm!19sChIJqd8mPYg_w4gRbzh7dRB94wA,RNR Tire Express,4.8,802,Tire shop,· In-store shopping · In-store pick-up · Delivery,"1505 N Washington Blvd, Sarasota, FL 34236, United States","9F29+7J Sarasota, Florida, USA",https://www.rnrtires.com/tire-shop-near-me/florida/sarasota/1505-n-washington-blvd/,+1 941-702-9970,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoYysJzcoDI2l6GeFn7IaKMyNhT-O2586fwpJ8EY3BidYVXrGJ4w1qLv_eVPycoOp5zcHQs7dc6PL5uVYCsaaw6wAz9h2DvdgZlT_-ICCgW25qbhIH0Jqs_948zDutNKcD9tTRfi_g24sT1=w408-h544-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:42.651Z,,,
https://www.google.com/maps/place/Tires+Plus/data=!4m7!3m6!1s0x88c34077a0ada1c9:0x80ac725e77e9fef8!8m2!3d27.3470086!4d-82.5312466!16s%2Fg%2F1tks72x6!19sChIJyaGtoHdAw4gR-P7pd15yrIA,Tires Plus,4.4,286,Tire shop,· In-store shopping · Kerbside pickup,"1103 N Washington Blvd, Sarasota, FL 34236, United States","8FW9+RG Sarasota, Florida, USA",https://www.tiresplus.com/florida/sarasota/1103-n-washington-blvd/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 941-315-8661,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepctT9oGjtMIvcoPIwIDAmkEM5CX8DEtTaABr29jp2LE7QThrUuAWn-yhAJX2LD1FcZQPZ22NBEMbptPOHwzp8Ov90HO5GKKvtAiZJ5B8BLrzL0_txj2yGVt14uWtjSRUmsAB3l=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:47.582Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/BT+Tires/data=!4m7!3m6!1s0x88c3406350f42c93:0x25bff935a529ac6!8m2!3d27.3371613!4d-82.5235825!16s%2Fg%2F11cfj6qs6!19sChIJkyz0UGNAw4gRxppSWpP_WwI,BT Tires,4.7,238,Tire shop,· In-store shopping,"2336 Fruitville Rd, Sarasota, FL 34237, United States","8FPG+VH Sarasota, Florida, USA",,+1 941-316-6873,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1EbzlnfHgXQ1VhC_JtBLpmVrgpSCILJNSU3okdPBokDbOBV7EM3QuNn28UhIAcBv2bJrEG_d3pNI-_Ymuw4J9OrMJ9dHU_43N4o1deCKndOfNPTY02W099b0tWS50wz4vu1bk=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:52.930Z,,,
https://www.google.com/maps/place/Velazquez+Tire+Shop/data=!4m7!3m6!1s0x88c33f526c5f6f39:0x49ce477fc102a26c!8m2!3d27.3547522!4d-82.5300259!16s%2Fg%2F11hz8nbdlx!19sChIJOW9fbFI_w4gRbKICwX9Hzkk,Velazquez Tire Shop,4.9,62,Tire shop,,"1900 N Washington Blvd, Sarasota, FL 34234, United States","9F39+WX Sarasota, Florida, USA",,+1 941-822-1029,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9aHO_TX3o5gw2vMFQa_o3GxVXnL906eXn5qRN5a9EHA_I_bisUM2SJvP81jzZsziYPy0SR6nucLkoLBrE2IsrBbgUBJrGj_JiFQBLHp3HqXJ0yJs2iZVlAduplVzXvWF_BxLv=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:39:58.061Z,,,
https://www.google.com/maps/place/Manny%27s+Tires+Inc./data=!4m7!3m6!1s0x88c33f8f643988ef:0x4c2dc4c436128c88!8m2!3d27.3576027!4d-82.529867!16s%2Fg%2F1tl8lhkx!19sChIJ74g5ZI8_w4gRiIwSNsTELUw,Manny's Tires Inc.,4.7,644,Tire shop,· In-store shopping · In-store pick-up,"2238 N Washington Blvd, Sarasota, FL 34234, United States","9F5C+23 Sarasota, Florida, USA",https://mannys.tires/,+1 941-365-8859,"Open · Closes 6 pm

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoz-qxTmAmUcn8ti65MogEDC0r8fVkl1_tEsQ03hRE18HkfJOy9IaaNP7cm1fYubleP1SeJBrmrb7AfMJxn00mRZhiRCnH2p8V0IudVg_p2BX8OH2jt7mVesiGFCmzK7lAPfYGW=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:40:03.313Z,,,
https://www.google.com/maps/place/Elite+Auto+%26+Tire-+Lockwood+Ridge/data=!4m7!3m6!1s0x88c33faf0161b367:0x5e422faa1623e329!8m2!3d27.3527626!4d-82.5060062!16s%2Fg%2F11x6ytl0pj!19sChIJZ7NhAa8_w4gRKeMjFqovQl4,Elite Auto & Tire- Lockwood Ridge,4.9,180,Auto repair shop,,"1717 N Lockwood Ridge Rd, Sarasota, FL 34234, United States","9F3V+4H Sarasota, Florida, USA",https://eliteautotireusa.com/lockwood-ridge/,+1 941-953-7999,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoRd03b1iffLu4YOqmA7aIsfgZeb7AkqC5FIpFLIJlxNBFqW1Ha4zB5sRdjq8bkEwOXM05bn-ERuYxA8UeRp2NrlFfUpGggbw8CqLo-xqqT-GojUBmYrhxpFDKdyhBdA5JFc1Fm7IrYrjq7=w408-h272-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:40:08.480Z,,,
https://www.google.com/maps/place/Goodyear+Auto+Service/data=!4m7!3m6!1s0x88c3400d46ffe925:0xff6db394813695fd!8m2!3d27.3399549!4d-82.5409586!16s%2Fg%2F1td4w1kd!19sChIJJen_Rg1Aw4gR_ZU2gZSzbf8,Goodyear Auto Service,4.6,306,Tire shop,· In-store shopping · In-store pick-up,"401 N Lemon Ave, Sarasota, FL 34236, United States","8FQ5+XJ Sarasota, Florida, USA",https://www.goodyearautoservice.com/,+1 941-365-5060,"Open · Closes 6:30 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwer_8jt0-9z8JY_C4vG89fon-TfP4FeSNB1c3AKeudD50y9J4pdbiQIVxyaPLdCOXQ-G99RiaIAF_dRyPZx5-sWJb2kPKWt2GMj5HnN0Mzl5L0V0snSQgn8ve2FOCuuUATDyQ4m0WYZdGpk=w408-h408-k-no,true,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,7:30 am–6:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:40:13.762Z,,,
https://www.google.com/maps/place/Tire+Place+Auto+Center/data=!4m7!3m6!1s0x88c33f8f928d2309:0xef89c14128bf51e!8m2!3d27.359911!4d-82.5301568!16s%2Fg%2F1tj9cssn!19sChIJCSONko8_w4gRHvWLEhSc-A4,Tire Place Auto Center,4.5,145,Tire shop,· In-store shopping,"2700 N Washington Blvd, Sarasota, FL 34234, United States","9F59+XW Sarasota, Florida, USA",,+1 941-355-8405,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepLj_o7PKdffyfBhl-stHL8WfJmz1dtfsdwUoMqRs84OVfZ50UvdxFjJqmfbZbYLJE7clXD8rUFcdbmNWTFm0hYu3ZYQW7kXbXXwNF2RW452KDs4vMJj7vESmgX0KLF7UaK5qvE8w=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Sarasota+Sarasota+FL/@27.336465,-82.5310117,14z",2026-03-23T16:40:19.190Z,Identifies as Latino-owned,,
