placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info
https://www.google.com/maps/place/Vertscape/data=!4m7!3m6!1s0x4cca7b1106d88465:0xccc9874a3d0b8c72!8m2!3d44.4745267!4d-73.2162763!16s%2Fg%2F11t8bkj19c!19sChIJZYTYBhF7ykwRcowLPUqHycw,Vertscape,5.0,7,Landscaper,"59 King St, Burlington, VT 05401, United States","FQFM+RF Burlington, Vermont, USA",https://vertscapelandscaping.com/,+1 802-503-2413,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdZWflv7seMMMHlAmfKcSVJJntlZ4Zt7lw71nVK17Ltym3eRT925nVCzJt8WVguC3HBIx0qkDUnCugdUY2-uon5z4kc8hn6eEwXrS7j1uSH4vu8Zyh5wWkx_60yVajoZQQRkXFEA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:35.883Z,,
https://www.google.com/maps/place/Butler+Yard+Care/data=!4m7!3m6!1s0x4cca794a8236f361:0x8c56d3c699324d17!8m2!3d44.4673489!4d-73.2280165!16s%2Fg%2F11l34rg6_z!19sChIJYfM2gkp5ykwRF00ymcbTVow,Butler Yard Care,5.0,36,Lawn care service,,,https://bycvt.com/,+1 802-503-9710,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAECgoYK1wta6V4E5geo39iMz4pVuItT-7bGgLMfcv4qoq7pIiwNmQkUCiRPzjr1SfIOfx8D8h8MVPViWwjKJ9IRdZVY9yuWDFmdBwx_mADV7YjD2c1-LWhLeYDUuBLW4KYAW1uE=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:40.425Z,,
https://www.google.com/maps/place/Heart+%26+Soil+Landscaping/data=!4m7!3m6!1s0x4cca7ba52d76c7f3:0x30169e2358a6cfce!8m2!3d44.4549647!4d-73.2100551!16s%2Fg%2F1tsypdhm!19sChIJ88d2LaV7ykwRzs-mWCOeFjA,Heart & Soil Landscaping,4.2,5,Landscaper,"419 Flynn Ave, Burlington, VT 05401, United States","FQ3Q+XX Burlington, Vermont, USA",,+1 802-865-3300,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRsfdDizbGxRqUm0shGMbVdDOfi4dfJ5esGfv-EkaxPzT3QaISIBOF0szGlzalrbaScssbfucWIi2KiTpCtpAy7OPQOlm8SYpNuzShgpuyxyJU-QLjEa8LnA_Tfy3cf6f2xQYT2A=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:42.977Z,,
https://www.google.com/maps/place/Wagner+Hodgson+Landscape+Architecture/data=!4m7!3m6!1s0x4cca7aff87aa998b:0xc5ee26fbfab7c32d!8m2!3d44.468896!4d-73.214775!16s%2Fg%2F1vnnj03q!19sChIJi5mqh_96ykwRLcO3-vsm7sU,Wagner Hodgson Landscape Architecture,5.0,1,Landscape designer,"7 Marble Ave, Burlington, VT 05401, United States","FQ9P+H3 Burlington, Vermont, USA",https://wagnerhodgson.com/,+1 802-864-0010,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH779VylzNGVidxS4yjNmbGuzbtMQUrgoKSuHhZsIeduONkHiySHe7LUz1Ud-kGuLUI6DZW1YyfX-W-u-PMVuAgcaVV69vXsEtVC5encW5WBUIUnxAD7hYJXKUbNzSsXhA-RCue=w476-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:45.324Z,,
https://www.google.com/maps/place/K+T+Landscaping+Inc/data=!4m7!3m6!1s0x4cca7a121a497877:0xf31802c69912914d!8m2!3d44.4879529!4d-73.1708876!16s%2Fg%2F1tdm3bpd!19sChIJd3hJGhJ6ykwRTZESmcYCGPM,K T Landscaping Inc,5.0,3,Landscaper,"29 Berard Dr #1, South Burlington, VT 05403, United States","FRQH+5J South Burlington, Vermont, USA",http://www.ktlandscaping.com/,+1 802-879-6732,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YaHCouB7B3HOJHrfoVtEdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=286.44196&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:47.473Z,,
"https://www.google.com/maps/place/Wildscape+Design,+LLC./data=!4m7!3m6!1s0x4cca7b2d4042baf5:0x9c127eb708e923da!8m2!3d44.4941066!4d-73.1955683!16s%2Fg%2F11lk1nty4v!19sChIJ9bpCQC17ykwR2iPpCLd-Epw","Wildscape Design, LLC.",5.0,15,Landscape designer,"68 West St, Winooski, VT 05404, United States","FRV3+JQ Winooski, Vermont, USA",http://www.wildscapedesign.com/,+1 802-310-9958,Closed · Opens 7 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHvyfO3nseFWUfb5kuKcyOrlF6TziRFYMshs36NHOeDOyLSklLbQjH9lFPm2eCczKWUs0vliIoBstz0ezSjJnyaIY5pgzgvz8QA7Cpg1q0diISL1h8rwuoac0RNHMLWyusS3vIMZA=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:51.787Z,,
"https://www.google.com/maps/place/Blade+Runners+Landscaping/@44.4776022,-73.2224458,13z/data=!3m1!4b1!4m6!3m5!1s0x4cca7afbffffffff:0x32d8a8717dd1cb8f!8m2!3d44.4776022!4d-73.2224458!16s%2Fg%2F1tcvnx6w",Blade Runners Landscaping,3.0,2,Landscaper,"Burlington, VT 05401, United States",,,+1 802-355-3155,,,false,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:01:56.094Z,,
https://www.google.com/maps/place/SavATree/data=!4m7!3m6!1s0x4cca7a3c5360e78d:0x87fa0c76c568158d!8m2!3d44.4773078!4d-73.1737945!16s%2Fg%2F1v9gv285!19sChIJjedgUzx6ykwRjRVoxXYM-oc,SavATree,4.9,193,Tree service,"376 Patchen Rd, South Burlington, VT 05403, United States","FRGG+WF South Burlington, Vermont, USA",https://www.savatree.com/locations/burlington-vermont/?utm_source=GMB&utm_medium=organic&utm_campaign=burlington,+1 802-862-0302,Closed · Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnmjtp_YnHhtAF_Ju3uxcALcPMF2HcPUUIsCbyI4xdH2ffudRtThuGKZiqFSJrrV5fU0sLZkzd7KqKJYE-GaywwHXlP0yDMLq2SOR7i3J8VTjE66cH1qiwH0exrZmNDNt7l0XW_pR4OfLR=w408-h725-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:02:00.446Z,,
https://www.google.com/maps/place/Pinnacle+Properties/data=!4m7!3m6!1s0x4cca79844da1749d:0xd86a266a49df46ab!8m2!3d44.4231866!4d-73.2092713!16s%2Fg%2F1tdbf179!19sChIJnXShTYR5ykwRq0bfSWomatg,Pinnacle Properties,5.0,41,Landscape designer,"4 Harbor View Rd, South Burlington, VT 05403, United States","CQFR+77 South Burlington, Vermont, USA",http://www.pinnaclepropertiesvt.com/,+1 802-658-0809,Closed · Opens 7 am Thu,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9P0DAF6-ZcnJ_LKIXcDC9FN4Lsn2Z6U70Amyu6wnTvZ1HXf1fu2aFRFN6B0xjKd51i4o5S2Pe63MSDqYMBc5PHVhpLYcL1mKZ6x79bYrnase2cnU87xutEirYI0AAWjpMaIMrK0HxzWSx=w408-h271-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:02:04.710Z,,
https://www.google.com/maps/place/T.J.+Boyle+Associates/data=!4m7!3m6!1s0x4cca7a585ca9753f:0x8621c43ceb1c6512!8m2!3d44.4772138!4d-73.207549!16s%2Fg%2F1thxvvk7!19sChIJP3WpXFh6ykwREmUc6zzEIYY,T.J. Boyle Associates,5.0,2,Landscape architect,"301 College St, Burlington, VT 05401, United States","FQGR+VX Burlington, Vermont, USA",http://www.tjboyle.com/,+1 802-658-3555,Closed · Opens 8:30 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bOljuNBSHOMdNrzSAPSv-g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.13351&pitch=0&thumbfov=100,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2026-04-29T22:02:09.089Z,,
