placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,isBlackOwned
https://www.google.com/maps/place/Pediatric+Associates+Of+Northern+Colorado/data=!4m7!3m6!1s0x87694ca291c1c9c1:0x9ae5ff82231d8dbf!8m2!3d40.5230509!4d-105.0540765!16s%2Fg%2F1260gkhv5!19sChIJwcnBkaJMaYcRv40dI4L_5Zo,Pediatric Associates Of Northern Colorado,4.5,219,Pediatrician,"1330 Oakridge Dr UNIT 100, Fort Collins, CO 80525, United States","GWFW+69 Fort Collins, Colorado, USA",https://www.pediatricassociatesnc.com/,+1 970-484-4871,Closes soon · 5 pm · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMlUWr250wedV2MYlUZE3FpFDGeDMh9Y_DqioP5=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:35:50.811Z,
https://www.google.com/maps/place/The+Youth+Clinic:+East+Elizabeth+Street/data=!4m7!3m6!1s0x87694ade03d248cf:0xc8af5ae60ba1bc4b!8m2!3d40.5747581!4d-105.0556057!16s%2Fg%2F1tfbj68x!19sChIJz0jSA95KaYcRS7yhC-Zar8g,The Youth Clinic: East Elizabeth Street,4.6,76,Medical clinic,"1200 E Elizabeth St, Fort Collins, CO 80524, United States","HWFV+WQ Fort Collins, Colorado, USA",http://youthclinic.com/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-fort-collins-north,+1 970-267-9510,Closed · Opens 8 am Wed,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMZtTqLaCUPo6AtVG4JmlV4NmgSlRJs-g5_d8u5=w408-h248-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–2 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:35:56.283Z,
https://www.google.com/maps/place/UCHealth+Internal+Medicine+and+Pediatric+Care+-+Snow+Mesa/data=!4m7!3m6!1s0x876eb3caac45ca0d:0x66b2a9c6aa84b22a!8m2!3d40.5216161!4d-105.0305829!16s%2Fg%2F11kltchqcy!19sChIJDcpFrMqzbocRKrKEqsapsmY,UCHealth Internal Medicine and Pediatric Care - Snow Mesa,5.0,97,Medical clinic,"4674 Snow Mesa Dr Suite 200, Fort Collins, CO 80528, United States","GXC9+JQ Fort Collins, Colorado, USA",https://www.uchealth.org/locations/internal-medicine-and-pediatric-care-clinic-snow-mesa/,+1 970-266-3650,Closes soon · 5 pm · Opens 7 am Wed,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J1M5IOq8Egz3VlCxh80NNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.33113&pitch=0&thumbfov=100,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:01.135Z,
"https://www.google.com/maps/place/Dr.+Carole+M.+Anderson,+MD/data=!4m7!3m6!1s0x87694ade03d248cf:0x932756464d9b737f!8m2!3d40.574919!4d-105.0555413!16s%2Fg%2F1tgfx381!19sChIJz0jSA95KaYcRf3ObTUZWJ5M","Dr. Carole M. Anderson, MD",5.0,2,Pediatrician,"1200 E Elizabeth St, Fort Collins, CO 80524, United States","HWFV+XQ Fort Collins, Colorado, USA",,+1 970-267-9510,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdBvqgEk8fRSiYghr1iXGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.85565&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:03.787Z,
https://www.google.com/maps/place/UCHealth+Pediatric+Care+-+Poudre+Valley+Hospital/data=!4m7!3m6!1s0x87694bfa7fe5ad8f:0xe139217becb5cae2!8m2!3d40.5716484!4d-105.0566547!16s%2Fg%2F11v73pmnxk!19sChIJj63lf_pLaYcR4sq17HshOeE,UCHealth Pediatric Care - Poudre Valley Hospital,,,Hospital department,"1024 S Lemay Ave 3rd Floor, Fort Collins, CO 80524, United States","HWCV+M8 Fort Collins, Colorado, USA",https://www.uchealth.org/locations/uchealth-pediatrics-plus-poudre-valley-hospital/,+1 970-495-7000,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WZW6izYeR8dQZFX2Z8fm0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=292.91&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:08.562Z,
https://www.google.com/maps/place/Dr.+Karen+Landmeier/data=!4m7!3m6!1s0x87694ade00e55555:0x33818d4d2c956d99!8m2!3d40.5749452!4d-105.0555131!16s%2Fg%2F11tg6r5jys!19sChIJVVXlAN5KaYcRmW2VLE2NgTM,Dr. Karen Landmeier,5.0,1,Pediatrician,"1200 E Elizabeth St, Fort Collins, CO 80524, United States","HWFV+XQ Fort Collins, Colorado, USA",,+1 970-267-9510,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdBvqgEk8fRSiYghr1iXGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=314.5558&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:11.537Z,
"https://www.google.com/maps/place/Dr.+John+P.+Guenther,+MD/data=!4m7!3m6!1s0x87694ade03d248cf:0xdb6259603973e6f2!8m2!3d40.574919!4d-105.0555413!16s%2Fg%2F1tdlc61c!19sChIJz0jSA95KaYcR8uZzOWBZYts","Dr. John P. Guenther, MD",5.0,6,Pediatrician,"1200 E Elizabeth St, Fort Collins, CO 80524, United States","HWFV+XQ Fort Collins, Colorado, USA",,+1 970-267-9510,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdBvqgEk8fRSiYghr1iXGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.85565&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:14.155Z,
https://www.google.com/maps/place/Med+Peds+Clinic/data=!4m7!3m6!1s0x876eb34d19509b7b:0xf0d280e5f523e1f!8m2!3d40.5216161!4d-105.0305829!16s%2Fg%2F1td9r02v!19sChIJe5tQGU2zbocRHz5SXw4oDQ8,Med Peds Clinic,5.0,2,Internist,"4674 Snow Mesa Dr # 120, Fort Collins, CO 80528, United States","GXC9+JQ Fort Collins, Colorado, USA",https://www.uchealth.org/locations/internal-medicine-and-pediatric-care-clinic-snow-mesa/,+1 970-266-3650,Closes soon · 5 pm · Opens 8:30 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J1M5IOq8Egz3VlCxh80NNw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=82.33113&pitch=0&thumbfov=100,false,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:18.773Z,
https://www.google.com/maps/place/Fort+Collins+Youth+Clinic:+Keihmeier+Lori/data=!4m7!3m6!1s0x87694ade03d248cf:0xe252c5b80cbb184d!8m2!3d40.574919!4d-105.0555413!16s%2Fg%2F1tfnz1x1!19sChIJz0jSA95KaYcRTRi7DLjFUuI,Fort Collins Youth Clinic: Keihmeier Lori,,,Pediatrician,"1200 E Elizabeth St, Fort Collins, CO 80524, United States","HWFV+XQ Fort Collins, Colorado, USA",https://youthclinic.com/,+1 970-482-2515,Closes soon · 5 pm · Opens 9 am Wed,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fdBvqgEk8fRSiYghr1iXGQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=307.85565&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:23.331Z,
https://www.google.com/maps/place/AllStar+Smiles+4+Kids/data=!4m7!3m6!1s0x87694ad88c53da2f:0x4227effd2dad1fac!8m2!3d40.572359!4d-105.0479211!16s%2Fg%2F1tqyf_64!19sChIJL9pTjNhKaYcRrB-tLf3vJ0I,AllStar Smiles 4 Kids,5.0,175,Pediatric dentist,"1513 Riverside Ave, Fort Collins, CO 80524, United States","HXC2+WR Fort Collins, Colorado, USA",http://www.allstarsmiles4kids.com/,+1 970-484-4255,Open · Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepqFAtls6iYDc-ENbciHIzPdwSmwakcvF5NmSazGy8eAyCnAPVQOg5XE9kcyjp5tG0MUjgCXSk5wwFc2LpN2IxdbxzlnR4HhcgWWJEDgtMsVzovlFjmUi1MYLX9yfpePNy6xc7T7g=w408-h305-k-no,true,11 am–6 pm,1–5 pm,Closed,Closed,Closed,Closed,11 am–6 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:28.135Z,
https://www.google.com/maps/place/Flourish+Kids+Integrative+Health/data=!4m7!3m6!1s0x87694b41c7b77945:0x3153fb8fbcfcdf26!8m2!3d40.5522906!4d-105.0831773!16s%2Fg%2F11vshgxrgv!19sChIJRXm3x0FLaYcRJt_8vI_7UzE,Flourish Kids Integrative Health,5.0,9,Holistic medicine practitioner,"383 W Drake Rd #203, Fort Collins, CO 80526, United States","HW28+WP Fort Collins, Colorado, USA",https://www.flourishkidsintegrative.com/,+1 970-430-5218,,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOWA-_FYc3pGE-VNu3pUKtrtCdJKic2uKNJGV5M=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:30.664Z,
https://www.google.com/maps/place/Mountain+Kids+Pediatric+Dentistry/data=!4m7!3m6!1s0x87694b776302faf9:0xc7d831002a2a2253!8m2!3d40.5384572!4d-105.0740535!16s%2Fg%2F1vh_8w5g!19sChIJ-foCY3dLaYcRUyIqKgAx2Mc,Mountain Kids Pediatric Dentistry,4.9,826,Pediatric dentist,"260 E Horsetooth Rd, Fort Collins, CO 80525, United States","GWQG+99 Fort Collins, Colorado, USA",http://www.mountainkidspediatricdentistry.com/,+1 970-224-3600,Closes soon · 5 pm · Opens 8 am Wed,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYZ9UspP6KitMTYVysrHtrCi6M0SP8KLPbQpDeoselky-SX-SBK9o4R2AQjWS1w2GtUskm2Xfe7-cScSvmcp9GtLsHSNgw_bzKR0ZmImGKBYv_gpejIfJX--fxh_0FeIt-AW8G=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–1 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Fort+Collins+Fort+Collins+CO/@40.5852602,-105.084423,14z",2026-02-10T23:36:35.757Z,
