placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,isBlackOwned,info,error
https://www.google.com/maps/place/Nickell+Electrical+Construction/data=!4m7!3m6!1s0x40c35684a82289ff:0x4cf96e6fd18d54fb!8m2!3d36.8250119!4d-120.0530185!16s%2Fg%2F11tft1lhhx!19sChIJ_4kiqIRWw0AR-1SN0W9u-Uw,Nickell Electrical Construction,4.4,23,Electrician,,,,+1 661-595-4081,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyV_a4DcQowABd_lXlPKBiSBnLip_qTgkUerOemulSAZdLGQ3MqwWEpPbLI_Z_iPmzfbQmpHgrMuw8k3qbOMHlPKmBD89dU4BjxH9450te-r-72XYQ22kwSK6iG03T9h750335p=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:23.700Z,,,,
https://www.google.com/maps/place/Power+%26+Performance+Air/data=!4m7!3m6!1s0x80ea6a386733b65b:0xb42dbf2f5e1d3d9e!8m2!3d35.3699301!4d-119.044573!16s%2Fg%2F1tf07zsh!19sChIJW7YzZzhq6oARnj0dXi-_LbQ,Power & Performance Air,4.8,254,Air conditioning repair service,"1400 Easton Dr STE 119, Bakersfield, CA 93309, United States","9X94+X5 Bakersfield, California, USA",http://www.itshotinbakersfield.com/,+1 661-631-1743,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw6zy7fVw05YvOpueFUn9YbAtOkwJzw1_s_TNxKUmD3czVlti8H3n97KCPPC7VIzok-TGOSxQ1_moFgTaMSn5RJPTIuxYw0LLFwYp6QAGyS9LDkJg-mpoURV4C0uymwmJVgx84TLw=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:29.730Z,,,,
https://www.google.com/maps/place/Machinery+Tools+sale+%26+Reparaci%C3%B3n+de+generador/data=!4m7!3m6!1s0x80ea6926d4b775b5:0x79c6602cfc349f9!8m2!3d35.4100078!4d-119.0207299!16s%2Fg%2F11t2z5s2r5!19sChIJtXW31CZp6oAR-UnDzwJmnAc,Machinery Tools sale & Reparación de generador,4.9,28,Road construction machine repair service,"404 1/2, 404 N Chester Ave, Bakersfield, CA 93308, United States","CX6H+2P Bakersfield, California, USA",,+1 661-369-4324,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMW5wY_EG-w-CgFFNhIgncZbqDsIpNy7dKjJSEB=w408-h544-k-no,true,9 am–5 pm,Closed,9 am–4 pm,9 am–4 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:34.631Z,,,,
https://www.google.com/maps/place/Angeloni+Electrical+Services/data=!4m7!3m6!1s0x80ea41497d3e1109:0x2000c698297f8a83!8m2!3d35.320977!4d-119.0189876!16s%2Fg%2F11k12rnj6n!19sChIJCRE-fUlB6oARg4p_KZjGACA,Angeloni Electrical Services,4.4,10,Electrician,,,https://angelonielectrical.com/,+1 661-282-8681,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOv6zF6BofwvsFODej1kGEcFsVUJP8bkI7JsIGa=w408-h285-k-no,true,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:39.478Z,,,,
https://www.google.com/maps/place/Electrical+ASAP/data=!4m7!3m6!1s0x2835ff34ea3f6901:0xb55387a49fbb024a!8m2!3d35.4053311!4d-119.0777766!16s%2Fg%2F11x5rdhzzl!19sChIJAWk_6jT_NSgRSgK7n6SHU7U,Electrical ASAP,5.0,94,Electrician,"6801 Weldon Ave, Bakersfield, CA 93308, United States","CW4C+4V Bakersfield, California, USA",https://electricalasap.com/,+1 661-293-0213,"Open 24 hours

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOs4CiJSiV8hUfRdBV3Ddh0A3gvJx0x1aKvKTFG=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:44.397Z,,,,
https://www.google.com/maps/place/Rankin+Electric/data=!4m7!3m6!1s0x80ea698fb26e0447:0x5df381a648b4f438!8m2!3d35.381291!4d-119.01389!16s%2Fg%2F1tnct6b2!19sChIJRwRuso9p6oAROPS0SKaB810,Rankin Electric,4.8,117,Electrician,"1030 24th St, Bakersfield, CA 93301, United States","9XJP+GC Bakersfield, California, USA",https://rankinelectric.net/,+1 661-325-8658,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMNJxKqUyrgLcs8yYZP7BcTWXHpYhi8SeXO4MU0=w461-h240-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:49.442Z,,,,
https://www.google.com/maps/place/Bakersfield+Electric+Motor+Repair/data=!4m7!3m6!1s0x80ea69816b01a76b:0x98b58280470c588e!8m2!3d35.3797598!4d-119.0037771!16s%2Fg%2F1tf7mwhq!19sChIJa6cBa4Fp6oARjlgMR4CCtZg,Bakersfield Electric Motor Repair,4.7,11,Electric motor repair shop,"121 W Sumner St, Bakersfield, CA 93301, United States","9XHW+WF Bakersfield, California, USA",http://www.bemrcorp.com/,+1 661-327-3583,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipMq4pJcS92h3ZBMBvRP1E4blpzVypyaXHjXvsiQ=w408-h288-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:54.314Z,,,,
https://www.google.com/maps/place/Luna+Electric+Inc/data=!4m7!3m6!1s0x65510c435d838501:0xb316cf67bbcdcd49!8m2!3d35.3704264!4d-119.0455316!16s%2Fg%2F11y2j93vdj!19sChIJAYWDXUMMUWURSc3Nu2fPFrM,Luna Electric Inc,5.0,123,Electrician,"3700 Easton Dr #20, Bakersfield, CA 93309, United States","9XC3+5Q Bakersfield, California, USA",https://lunaelectric07.com/,+1 661-461-8042,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMmBKuyYqvfIHGuedvAzQ9_7wnnT6ZMFJyBFtK2=w408-h510-k-no,true,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:23:59.209Z,,,,
https://www.google.com/maps/place/Electric+Motor+Works+Inc/data=!4m7!3m6!1s0x80ea6bd56734764f:0x455874c43a0d4e82!8m2!3d35.3771671!4d-118.9975969!16s%2Fg%2F1tftfmmv!19sChIJT3Y0Z9Vr6oARgk4NOsR0WEU,Electric Motor Works Inc,4.6,20,Electric motor repair shop,"803 Inyo St #5127, Bakersfield, CA 93305, United States","92G2+VX Bakersfield, California, USA",https://www.electricmotorworks.com/,+1 661-327-4271,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=--7IT3qOUtk6YX4ebvcmng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=37.512085&pitch=0&thumbfov=100,true,7–11 am,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–3 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:24:04.159Z,,,,
https://www.google.com/maps/place/Pacific+Power+Inc/data=!4m7!3m6!1s0x80ea69d77794bd49:0xc021ac6167815b7a!8m2!3d35.3961529!4d-119.0427192!16s%2Fg%2F1tdm40tr!19sChIJSb2Ud9dp6oAReluBZ2GsIcA,Pacific Power Inc,3.9,16,Welding supply store,"4000 Buck Owens Blvd, Bakersfield, CA 93308, United States","9XW4+FW Bakersfield, California, USA",http://pacificpowerinc.com/,+1 661-327-7377,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzMitcvC9JuOaChgh10AA9r2P74lfWSLmga3q0AGCkldiqsLiikHDaiTqShTp8GPqgkAtUcRZwuIY-KUPZhi1Tokrm-L3vQl0g3KZrq3IqzGxf5LHS4IZwCCdlhwUBeEn5ANRAN=w426-h240-k-no,false,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2026-01-10T21:24:09.140Z,· In-store pick-up · Delivery,,,
