placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,error,isBlackOwned
"https://www.google.com/maps/place/Bartolme+and+Associates,+PC+CPA,s/data=!4m7!3m6!1s0x5495a0b709fdacc9:0xef7cdb255b1fb351!8m2!3d45.5275905!4d-122.6848919!16s%2Fg%2F12hlpc6mb!19sChIJyaz9CbeglVQRUbMfWyXbfO8","Bartolme and Associates, PC CPA,s",4.9,76,Certified public accountant,"1314 NW Irving St APT 709, Portland, OR 97209, United States","G8H8+22 Portland, Oregon, USA",https://bartolmecpa.com/,+1 503-360-9770,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMWuRii3yCI6903iFzPqUwgO7BG7qMfy4Xn96RB=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:24.984Z,,
https://www.google.com/maps/place/Agro+Accounting+CPA/data=!4m7!3m6!1s0x5495a14f9722998d:0xd1215aa4967ec3fc!8m2!3d45.5189926!4d-122.6620102!16s%2Fg%2F11sjkp_76k!19sChIJjZkil0-hlVQR_MN-lqRaIdE,Agro Accounting CPA,5.0,3,Tax preparation,"555 SE Martin Luther King Jr Blvd Suite 105, Portland, OR 97214, United States","G89Q+H5 Portland, Oregon, USA",https://agroaccounting.com/,+1 971-266-6101,Open ⋅ Closes 8 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipNMNjQb70jEqVrlEhgCsSm3OzZT1pLXnGWl-AAI=w408-h426-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:30.166Z,,
https://www.google.com/maps/place/Novogradac+%26+Company+LLP/data=!4m7!3m6!1s0x54950a1aab84a10b:0x9989156edb5f1877!8m2!3d45.5184543!4d-122.6748427!16s%2Fg%2F1tdgv2vr!19sChIJC6GEqxoKlVQRdxhf224ViZk,Novogradac & Company LLP,5.0,3,Certified public accountant,"601 SW 2nd Ave Suite 1150, Portland, OR 97204, United States","G89G+93 Portland, Oregon, USA",http://www.novoco.com/,+1 503-821-2700,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5Q7kr3_axQvwXT-rWF9Bkg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=132.25325&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:34.712Z,,
https://www.google.com/maps/place/Neumann+Curtis+CPAs/data=!4m7!3m6!1s0x54950c1929155555:0x169d42db51dd0f7a!8m2!3d45.5181927!4d-122.6738743!16s%2Fg%2F11hcj0_czp!19sChIJVVUVKRkMlVQReg_dUdtCnRY,Neumann Curtis CPAs,4.9,9,Accounting firm,"121 SW Morrison St #1520, Portland, OR 97204, United States","G89G+7F Portland, Oregon, USA",https://www.neumanncurtis.com/,+1 503-200-2507,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipP4ImOaaYUaB1aozB-yFBkP35kcj_D4e45v7BPm=w408-h611-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:39.307Z,,
https://www.google.com/maps/place/Perkins+%26+Co/data=!4m7!3m6!1s0x54950a10136ea9d9:0xbba25d4c562c2052!8m2!3d45.515219!4d-122.679949!16s%2Fg%2F1tfwk1rm!19sChIJ2aluExAKlVQRUiAsVkxdors,Perkins & Co,4.4,27,Accountant,"1211 SW 5th Ave Suite 1000, Portland, OR 97204, United States","G88C+32 Portland, Oregon, USA",http://perkinsaccounting.com/,+1 503-221-0336,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMdQsTFhlL5zOvh7RQfZyr9oA1LwAoVth2qtuR8=w408-h271-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:43.855Z,,
https://www.google.com/maps/place/Smyth+%26+Clark+PC+CPA/data=!4m7!3m6!1s0x5495a0b2193bc2d7:0x1d6f7c1fbc139c8f!8m2!3d45.5049098!4d-122.6796542!16s%2Fg%2F1tksn1xd!19sChIJ18I7GbKglVQRj5wTvB98bx0,Smyth & Clark PC CPA,5.0,1,Accountant,"2501 SW 1st Ave #210, Portland, OR 97201, United States","G83C+X4 Portland, Oregon, USA",http://portlandcpas.com/,+1 503-234-8874,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpH1HUKcXUHTRPj87LYcPA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.22156&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:46.397Z,,
https://www.google.com/maps/place/Moss+Adams/data=!4m7!3m6!1s0x54950a0526d2b0a9:0xedd0d0559e0051d7!8m2!3d45.5184279!4d-122.6804518!16s%2Fg%2F1th2831r!19sChIJqbDSJgUKlVQR11EAnlXQ0O0,Moss Adams,4.8,5,Accountant,"805 SW Broadway, Portland, OR 97205, United States","G899+9R Portland, Oregon, USA",http://www.mossadams.com/About-Moss-Adams/Locations/Portland,+1 503-242-1447,Closed ⋅ Opens 8 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=65R-_KgN0c4ni1FM3wQQUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.5241&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:51.265Z,,
https://www.google.com/maps/place/Block+Advisors/data=!4m7!3m6!1s0x5495a0c7c1fb4f35:0x93fa0723a26879e7!8m2!3d45.5302145!4d-122.6580194!16s%2Fg%2F11c3s95vdg!19sChIJNU_7wceglVQR53looiMH-pM,Block Advisors,4.7,82,Tax preparation service,"777 NE Holladay St, Portland, OR 97232, United States","G8JR+3Q Portland, Oregon, USA",https://www.blockadvisors.com/tax-office-near-me/oregon/portland/36160/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,+1 503-233-0447,Closed ⋅ Opens 12 pm Tue,,https://lh3.googleusercontent.com/p/AF1QipPr94iKVHm2xAePUEYbz_MMp2mGiYKGANPVf3_h=w408-h272-k-no,true,Closed,Closed,12–6 pm,Closed,10 am–5 pm,Closed,10 am–3 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:57:55.954Z,,
https://www.google.com/maps/place/Isler+Northwest+LLC/data=!4m7!3m6!1s0x54950a10461efc3f:0x216aefe693a847c0!8m2!3d45.514339!4d-122.679424!16s%2Fg%2F1tmz6n6z!19sChIJP_weRhAKlVQRwEeok-bvaiE,Isler Northwest LLC,5.0,10,Accountant,"1300 SW 5th Ave #2600, Portland, OR 97201, United States","G87C+P6 Portland, Oregon, USA",http://www.islernw.com/,+1 503-224-5321,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPjVhJa_VzYwcHX3o2SQc2RkwPiRToYD8MOqRdn=w790-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:58:00.331Z,,
https://www.google.com/maps/place/Geffen+Mesher+%26+Co/data=!4m7!3m6!1s0x54950a0569057be7:0x4359e6139eb82929!8m2!3d45.5176646!4d-122.6776832!16s%2Fg%2F1tdndz7v!19sChIJ53sFaQUKlVQRKSm4nhPmWUM,Geffen Mesher & Co,4.0,9,Certified public accountant,"888 SW 5th Ave #800, Portland, OR 97204, United States","G89C+3W Portland, Oregon, USA",http://www.gmco.com/,+1 503-221-0141,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np3_blTsERZMvTNXz_h_I5GBBY-CJdUXOUQzcFzAm0xEf2S5O9DOedB9CAce54y8pqFRPrvy7W-QTWwnGlSOmG_Bcp_iaz97XVmW7o0WrZJ53iur0j7nB67TwZva6aW-yHs-Ra0_A=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-10-19T15:58:05.423Z,,
