placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Reactic+Restoration/data=!4m7!3m6!1s0x808e41af5db0c127:0x277bf1f51a2234f2!8m2!3d36.9748911!4d-122.0295796!16s%2Fg%2F11kq2p7bhj!19sChIJJ8GwXa9BjoAR8jQiGvXxeyc,Reactic Restoration,5.0,14,Water damage restoration service,"310 Locust St Suite C, Santa Cruz, CA 95060, United States","XXFC+X5 Santa Cruz, California, USA",https://reacticrestoration.com/santa-cruz/,+1 831-244-8545,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoX8Ag_Az260YDRHDfMaJmTIFwTHZaQJXta4WPz4VFsz3rYt_pPc-hvgjMLWiSXadQbB_yR0iTVoFDa1ZTp4BOCGTiLc397GszvzlNpA8aQixiYf3XehCOAa0AKfJ_aVo4pOrcUgOpdKF4q=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:16:36.392Z,,,
https://www.google.com/maps/place/Clean-Tec+Cleaning/data=!4m7!3m6!1s0x808e41ca9f777899:0xbdd3171836b36a66!8m2!3d36.9856949!4d-122.0398535!16s%2Fg%2F11b64fv1xc!19sChIJmXh3n8pBjoARZmqzNhgX070,Clean-Tec Cleaning,5.0,24,General contractor,"111 Dubois St, Santa Cruz, CA 95060, United States","XXP6+73 Santa Cruz, California, USA",https://www.ct-restoration.com/,+1 831-457-8666,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepeNqivW594028XuqCijsx-1IRZcVdiYU-E7ph_fvKZ78mrKKFN0FiPe3nF36oTVIYrD_fZWpndup3H9VzdHVwOCjIFdoHcIRJAAxOiraOHNssOXCP5GTvUbdsW6DqlZ9ytmVCE=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:16:41.957Z,,,
https://www.google.com/maps/place/ZGREEN/data=!4m7!3m6!1s0x808e41e8ef9bd1ef:0xd12d586094f00c68!8m2!3d36.9748463!4d-122.0295657!16s%2Fg%2F11nn3lzmsy!19sChIJ79Gb7-hBjoARaAzwlGBYLdE,ZGREEN,5.0,10,Water damage restoration service,"310 Locust St Unit #G, Santa Cruz, CA 95060, United States","XXFC+W5 Santa Cruz, California, USA",https://www.zgreenrestoration.com/santa-cruz/,+1 831-421-9193,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer9vleCAKkh4ihw6kf5VtRli0uYWVoegIqqBf88ZP1PC9ih4synroA9jkzf6IbnTMJojxea8i8k8qlWzgxOWlU1g4yfMcip3OqFknMDXgpsKPnwvCJkE6WE80GTd01ZFzaZkcc=w630-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:16:47.401Z,,,
https://www.google.com/maps/place/DRYmedic+Restoration+Service+of+Monterey+Bay/data=!4m7!3m6!1s0x808e15ca0d352f89:0x76378f1a0539748f!8m2!3d36.9776137!4d-121.9821793!16s%2Fg%2F11w36khlym!19sChIJiS81DcoVjoARj3Q5BRqPN3Y,DRYmedic Restoration Service of Monterey Bay,5.0,6,Water damage restoration service,"1840 17th Ave, Santa Cruz, CA 95062, United States","X2H9+24 Santa Cruz, California, USA",https://www.drymedic.com/locations/monterey-bay/service/water-flood-damage-cleanup/?utm_source=Google&utm_medium=Organic&utm_campaign=LocalSEO,+1 831-250-6081,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqVIlOFUZey5baGYPiL3-MMK_2dH90FAXQzsEKzoMRduomxuz53uw3Y8dplMX_Kd8w3k1a4D7zUnnVr1GsSml-bKerv4XVsh0KxEqiSG95icRCL8ZRDGdiNolZh5YEuBdDig20=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:16:52.099Z,,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x808e6a7763214a7f:0x61dcbe285aca4f11!8m2!3d36.9748761!4d-122.0295643!16s%2Fg%2F1tl7nyvg!19sChIJf0ohY3dqjoAREU_KWii-3GE,Roto-Rooter Plumbing & Water Cleanup,4.8,860,Plumber,"310 Locust St Suite F, Santa Cruz, CA 95060, United States","XXFC+X5 Santa Cruz, California, USA",https://www.rotorooter.com/santacruz/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 831-216-1983,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqrEM65Y33PjVx6uMk8XmYtxaDXbaXahP9fKgrJegwcTJz3n0-qN5NDT74BS1dT_fEKFLArvmQhcniLsvMR31GisVdB7ZdlJkRMi-sCoG9D5lTq8lS6Wh2WcO39vFoJYLNvr0Y3=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:16:56.837Z,,,
https://www.google.com/maps/place/SERVPRO+of+Santa+Cruz/data=!4m7!3m6!1s0x808e474ec1a55555:0x5e0ce988e3d6789c!8m2!3d37.052089!4d-122.1001145!16s%2Fg%2F11f4rd52f2!19sChIJVVWlwU5HjoARnHjW44jpDF4,SERVPRO of Santa Cruz,4.3,21,Water damage restoration service,,,https://www.servpro.com/locations/ca/servpro-of-santa-cruz?utm_medium=organic&utm_source=gbp,+1 831-457-1997,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerA3ovWmFeRmKIT0jsBmiZ1ccQ7HeJqj0kGXljdO1mGP5Ts3ghdcqOyoLJCPgjbrRAx2iZrwJyCyqDW4S59OPRk6gCktkMr-7kxBg5jguCPrKE_BA3nN6xWAe-SyuhfRoUCXgdV2bJxoWs=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:17:01.789Z,,,
https://www.google.com/maps/place/Rosenthal+Water+Softeners+%26+Treatment/data=!4m7!3m6!1s0x87cf60f31f2e695d:0xc7bb7a3a74898c93!8m2!3d36.9814559!4d-122.0305423!16s%2Fg%2F1260j_n0p!19sChIJXWkuH_Ngz4cRk4yJdDp6u8c,Rosenthal Water Softeners & Treatment,4.9,18,Water softening equipment supplier,"303 Potrero St Suite 198, Santa Cruz, CA 95060, United States","XXJ9+HQ Santa Cruz, California, USA",https://santacruzplumbingrepair.com/santa-cruz-plumbing-draining-water-heater-repair/,+1 831-999-2029,Open · Closes 11:30 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerfHc0tF8YsWFk8Wao36nzt5M_aqa6ydSEuJhDA09M5OrkCJAInmy2P9MeXhkAKCewAMZDoxbp_rGlr4igrRO6jX1sAbcgFNM2m6mnM4ASQDsDxaXaQ7nUZ3oPvbGWLXjdAEsRgSw=w408-h544-k-no,true,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:17:06.588Z,· Delivery,,
https://www.google.com/maps/place/Rosenthal+Water+Softeners+%26+Treatment/data=!4m7!3m6!1s0x89c9dbda998712a7:0xa655625e6d549711!8m2!3d36.9745684!4d-122.0207698!16s%2Fg%2F11sj6z0j0t!19sChIJpxKHmdrbyYkREZdUbV5iVaY,Rosenthal Water Softeners & Treatment,5.0,19,Water softening equipment supplier,"325 Soquel Ave B17, Santa Cruz, CA 95062, United States","XXFH+RM Santa Cruz, California, USA",https://santacruzplumbingrepair.com/soquel-santa-cruz-plumbing-draining-water-heater-repair/,+1 831-610-0427,Open · Closes 11:30 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq1Bmc-JOzmSgPXUIDG0OTwrLb8pC3CiDCYcnf58eXYOMmNgPxuIn6pIH1XvsqdV1YXLdgP-kivRo37gx4HDElx5KcikVQb9cASe_ln_7i_IYMvE5jVulEm48gijR-LWsVZyOtCug=w426-h240-k-no,true,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,3 am–11:30 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:17:11.557Z,· Delivery,,
https://www.google.com/maps/place/EverSafe+Group/data=!4m7!3m6!1s0x808e3fe81b5d8505:0x41f855cab9027b4f!8m2!3d36.9850462!4d-121.9810706!16s%2Fg%2F11yygycx6q!19sChIJBYVdG-g_joART3sCucpV-EE,EverSafe Group,,,Water damage restoration service,"2460 17th Ave, Santa Cruz, CA 95062, United States","X2P9+2H Santa Cruz, California, USA",https://eversafegroup.shop/,+1 831-215-2011,"Open 24 hours

Confirmed by this business 6 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ct9kDkapjeCIXgy5yOb7IQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=341.29672&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:17:16.227Z,,,
https://www.google.com/maps/place/911+Restoration+of+Santa+Cruz/data=!4m7!3m6!1s0x808e17a6a39f48d9:0x24ff7ef94eeef5e9!8m2!3d36.9916782!4d-121.8407324!16s%2Fg%2F11c3kctkqr!19sChIJ2Uifo6YXjoAR6fXuTvl-_yQ,911 Restoration of Santa Cruz,3.7,3,Water damage restoration service,"1785 Day Valley Rd, Aptos, CA 95003, United States","X5R5+MP Aptos, California, USA",https://www.911restorationsantacruz.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 831-216-1088,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweogtbZbiefYXQGbEc8GwU8qtS08Q17AQJnfaodBxbKC9eLv5hpjHNBFN5N1lDfUwXhsznbl1GIGLFUGSt3-8vnx1v4hfE2ulC_ECQFjUpRUcRv2MeZecx7i-vcqjjWYXWleGNSwWQ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Santa+Cruz+Santa+Cruz+CA/@36.9741275,-122.028807,14z",2026-03-23T04:17:21.031Z,,,
