placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/UpCurrent+Functional+Medicine/data=!4m7!3m6!1s0x89a9f365810101b3:0x4604018524dcc5bd!8m2!3d34.2497589!4d-77.8243375!16s%2Fg%2F11t9w3yklp!19sChIJswEBgWXzqYkRvcXcJIUBBEY,UpCurrent Functional Medicine,5.0,84,Alternative medicine practitioner,"527 Old Maccumber Station Rd, Wilmington, NC 28405, United States","65XG+W7 Wilmington, North Carolina, USA",https://www.upcurrentfm.com/,+1 910-292-9123,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RYMnVurV646ZjVtSQM4g1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=184.33948&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:38:38.651Z,,,,
https://www.google.com/maps/place/Wilmington+Functional+Medicine+-+Dr.+Hilary+Rutledge/data=!4m7!3m6!1s0x89a9f462d03a34b9:0xe592a0663fe971c2!8m2!3d34.212238!4d-77.8705041!16s%2Fg%2F11f38n346_!19sChIJuTQ60GL0qYkRwnHpP2agkuU,Wilmington Functional Medicine - Dr. Hilary Rutledge,4.8,67,Medical Center,"5046 Wrightsville Ave # 200, Wilmington, NC 28403, United States","646H+VQ Wilmington, North Carolina, USA",http://wilmingtonfunctionalmedicine.com/,+1 910-444-9438,Open · Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dnnMLhGZdgrNp8LDo4EoOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.72667&pitch=0&thumbfov=100,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:38:45.659Z,,,,
https://www.google.com/maps/place/Breakthrough+Functional+Medicine/data=!4m7!3m6!1s0x89a9f3d6f5fd7f07:0xa87f073d0d34e513!8m2!3d34.2087258!4d-77.8592954!16s%2Fg%2F11trwbc652!19sChIJB3_99dbzqYkRE-U0DT0Hf6g,Breakthrough Functional Medicine,4.9,29,Medical Center,"3528 Adirondack Way Unit 120, Wilmington, NC 28403, United States","645R+F7 Wilmington, North Carolina, USA",http://www.breakthroughfunctional.com/,+1 910-996-5738,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yc4LcoGT4PTmz7xaqYEYmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.68748&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:38:51.344Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Restore+Health+And+Wellness/data=!4m7!3m6!1s0x89a9f57e45cd7d63:0x87f7d641da96e7ac!8m2!3d34.2238172!4d-77.9276242!16s%2Fg%2F11dxnl96y5!19sChIJY33NRX71qYkRrOeW2kHW94c,Restore Health And Wellness,4.6,37,Alternative medicine practitioner,"1010 S 16th St, Wilmington, NC 28401, United States","63FC+GX Wilmington, North Carolina, USA",http://www.restorehealthwellness.com/,+1 910-763-1960,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepoLxe4H7I_T9CVy9j7WxzHMpV4jLC4AAgh8Bv7CGKljXMGFqyHXmGnp82XfjZipxl6n_21zBRiNV6Sdty2l-qFMP5DBTW5V_H24_n9-CQSCTgdnTCSxGR7pXW8klo7VuD84OQp=w408-h408-k-no,true,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:38:56.646Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Institute+for+Health+and+Wellness/data=!4m7!3m6!1s0x89a9f37cad05637b:0x7c22ecddc57693c7!8m2!3d34.2270955!4d-77.8318245!16s%2Fg%2F11bx1tfzs4!19sChIJe2MFrXzzqYkRx5N2xd3sInw,Institute for Health and Wellness,4.8,108,Medical clinic,"1410 Commonwealth Dr #102B, Wilmington, NC 28403, United States","65G9+R7 Wilmington, North Carolina, USA",https://instituteforhealthandwellness.com/,+1 910-597-4502,"Open · Closes 5 pm

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepCSXivTgbCZpa-kOg7Ge7_bm8YnovgU5J8EsL1v-DcoBJ1ohO88vH0ZO1c6n-ZjfQNEnyDYqXwtjwdB9OUj-wCd26qKKIZoGQuDxtfWDx-5GJg2dggLZo_cjXuehzeKYoJ5tGfN_hH0FT1=w640-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:01.446Z,,,,
https://www.google.com/maps/place/Arcadia+Institute/data=!4m7!3m6!1s0x89a9f52de0c3afe1:0x29032ebd47404a95!8m2!3d34.2398331!4d-77.8682517!16s%2Fg%2F11s7fw93_j!19sChIJ4a_D4C31qYkRlUpAR70uAyk,Arcadia Institute,5.0,11,Health consultant,"301 Government Center Dr Suite 200, Wilmington, NC 28403, United States","64QJ+WM Wilmington, North Carolina, USA",https://www.arcadia-institute.com/,+1 910-828-7113,Closed · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo1zFlNeTfSIvj7-L6hI8m1tP7yQ4Gd70FWvtFD1uWs4mWAU9czySSbclDkqbu8J3C_CIzJfk5HzlswFAzfKY-Wd8qcO6JmaNDE2nMJLNdf1Y265UBw2-AmaTT3S2pJWMz2KkIz=w762-h240-k-no,true,Closed,Closed,8 am–1 pm,8 am–1 pm,Closed,8 am–1 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:06.567Z,,,,
https://www.google.com/maps/place/Progress+Medical/data=!4m7!3m6!1s0x89a9f30d3f18aaf1:0x41a7cf81c0da4acf!8m2!3d34.2207964!4d-77.832111!16s%2Fg%2F11sctqpx8c!19sChIJ8aoYPw3zqYkRz0rawIHPp0E,Progress Medical,5.0,86,Medical office,"1642 Military Cutoff Rd, Wilmington, NC 28403, United States","65C9+85 Wilmington, North Carolina, USA",http://progressmedical.com/,,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGg1tfUoufmpj-0Czemlpcq09Zp7jHaa0SCByqmkzimqP6OC__HNMK2US_TZnFpx_v8hsvblGUkkd2PfyO3tiQWkI600Ff6Dp5yJ-2uAgDJYOMdtdd1ZHmt0mbwVEcs2zfemZcRW4zCR8X=w408-h510-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:11.614Z,,,,
https://www.google.com/maps/place/Extraordinary+Wellness/data=!4m7!3m6!1s0x89a9f57e395fcfff:0xb502e1fb5981f1ce!8m2!3d34.2247584!4d-77.9265587!16s%2Fg%2F11vq_vjjd3!19sChIJ_89fOX71qYkRzvGBWfvhArU,Extraordinary Wellness,5.0,15,Wellness center,"918 S 17th St STE B, Wilmington, NC 28401, United States","63FF+W9 Wilmington, North Carolina, USA",https://extraordinarywellnessnc.com/,+1 910-604-9586,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep0cdltzjq5pIBNkY6kc55JUoRJbjL51NuaV97cHGNp8lCwWff3X0hzTLGiOFMseOdpgGaOY_TdsMteefVpke44Ll7c6iL2X7QBlVbzxOLJe7ccriw02qawEhAYkR1iFJGIZp5YTQ=w408-h612-k-no,true,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–6 pm,9:30 am–3 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:16.730Z,,,,
"https://www.google.com/maps/place/Suzanne+Elkind,+CNM,+APRN-Bioidentical+Hormone+Replacement+Therapy+Specialist/data=!4m7!3m6!1s0x89a9f5c4e2461b33:0x162ea3e175a7b8dd!8m2!3d44.205388!4d-70.3066095!16s%2Fg%2F11mk8klxwd!19sChIJMxtG4sT1qYkR3bindeGjLhY","Suzanne Elkind, CNM, APRN-Bioidentical Hormone Replacement Therapy Specialist",5.0,12,Alternative medicine practitioner,,,http://www.suzanneelkind.com/,+1 617-710-4564,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer6ZrD_oajir9tpiYXttdiim33Bn-K9cGtRlt0tnhm65Gu_Yu66pz3alpAV-3TVCVejA12_YKRXrQL6H0ERiv3NrDehptTysVdxq0FehZiAdzeoFck7nKdAG6odBqnXejtyiMv2=w425-h240-k-no,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:21.539Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Holistic+Elements/data=!4m7!3m6!1s0x89a9f4c3e7f4f9c5:0x718aed5bb14d4a64!8m2!3d34.2110356!4d-77.8964309!16s%2Fg%2F11gz7h_v8!19sChIJxfn058P0qYkRZEpNsVvtinE,Holistic Elements,3.0,2,Holistic medicine practitioner,"4020 Oleander Dr #103, Wilmington, NC 28403, United States","6463+CC Wilmington, North Carolina, USA",http://holisticelementsnc.net/,+1 910-367-5195,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VD3uXQFNjjUw6KLs0OXGfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=191.63132&pitch=0&thumbfov=100,true,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,9:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-02-23T16:39:26.625Z,,,,
