placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88e77073219db6e9:0x94442a69b2a4db98!8m2!3d28.5927461!4d-81.3632558!16s%2Fg%2F1ts302nj!19sChIJ6badIXNw54gRmNuksmkqRJQ,Mavis Tires & Brakes,4.8,935,Tire shop,· In-store pick-up,"1070 W Fairbanks Ave, Winter Park, FL 32789, United States","HJVP+3M Winter Park, Florida, USA",https://www.mavis.com/locations/winter-park-fairbanks-ave-fl?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=1244,+1 407-917-5464,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqPPJuokxFAXpF4tkwXHheRvUQdetYXcmNNWWZG8h9NxOalOxB8SbkHx4ru0m09AZ4c2Y8ygYPKLkOgapE8swVd3Z_wbJy6g_uPQdhx5S4rBEzXXE3vUKB6BCfw2-lwLrj9xuNnnjAjaTk=w519-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:01.832Z,,
https://www.google.com/maps/place/Tires+Plus/data=!4m7!3m6!1s0x88e76fe95ce2f8d9:0x4a32606394efbba!8m2!3d28.600203!4d-81.323997!16s%2Fg%2F1tfh5gzz!19sChIJ2fjiXOlv54gRuvtOOQYmowQ,Tires Plus,4.5,468,Tire shop,· In-store shopping · Kerbside pickup,"2190 Aloma Ave, Winter Park, FL 32792, United States","JM2G+3C Winter Park, Florida, USA",https://www.tiresplus.com/florida/winter-park/2190-aloma-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 321-441-4628,"Open · Closes 7 pm

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqnTy95-gbKY3Q31bWVRoTTTED86Zogwx_Ep0py-Svr3K-4B1s16D2d2AgKsBOrHV7GEUgBYpw4X8JKr_1J8G3-4loY8QNnwTbXy3C8iw-DVk2u1Pem4NdUqHrLh7ZGDbQgRsJSDSAu2Os8=w408-h544-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:08.248Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88e76febc25052f3:0xc6070804f32218bd!8m2!3d28.6005063!4d-81.3225854!16s%2Fg%2F1vg_dpct!19sChIJ81JQwutv54gRvRgi8wQIB8Y,Tire Kingdom,4.6,501,Tire shop,· In-store pick-up,"2216 Aloma Ave, Winter Park, FL 32792, United States","JM2G+6X Winter Park, Florida, USA",https://www.mavis.com/locations/winter-park-aloma-ave-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4199,+1 407-917-5327,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4ysIrHEqXAj7QpfPta3H_SU5yoM_2Kkq_8gUGZv6kDL3OVXBiOW9JH860IShMLci9KViUvTDPFL4db419TDrNk2E_aib2E88u6YCY7YTODYETYkvR_787rabI9BaKAQ7MO4qZMB-ziX8=w408-h724-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:13.582Z,,
https://www.google.com/maps/place/Tire+Kingdom/data=!4m7!3m6!1s0x88e77190e2f5db21:0x6e5535b6a3779996!8m2!3d28.6061358!4d-81.3856934!16s%2Fg%2F11gjl81723!19sChIJIdv14pBx54gRlpl3o7Y1VW4,Tire Kingdom,4.6,511,Tire shop,· In-store pick-up,"2701 Lee Rd, Winter Park, FL 32789, United States","JJ47+FP Winter Park, Florida, USA",https://www.mavis.com/locations/winter-park-lee-rd-fl/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=4198,+1 407-917-4962,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerVwJv03w5H8tqK-49mW3SU-eX04TZU4ixZE7rq4FX0HBRsVhl1KtTValvQxZGXS1ChWs_4UjX9xJ3Qs2rBOoFb7MhxMXTunBIaPVIWZeOrd47jvEjSUNYfFDleWxrH6dAal5to-g=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:19.015Z,,
https://www.google.com/maps/place/Mavis+Tires+%26+Brakes/data=!4m7!3m6!1s0x88e76fba5c9e2d4d:0x76f076d2cfe1397!8m2!3d28.6117012!4d-81.3087554!16s%2Fg%2F1wzt35t4!19sChIJTS2eXLpv54gRlxP-LG0Hbwc,Mavis Tires & Brakes,4.8,756,Tire shop,· In-store pick-up,"2040 FL-436, Winter Park, FL 32792, United States","JM6R+MF Winter Park, Florida, USA",https://www.mavis.com/locations/winter-park-state-436-fl?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=1252,+1 407-917-5481,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerDYDN_M2DecfnxOXix9O1hQmE1Rj_ajaxapnJT5RnV19r-BZOG2uwHTIT6yw5QGuPD0g8EvTzOTc096hYuHUDNCck5ifnhFqQvEq8-CR5ZzOPzUb-AsVqfV7e7w_euV-22db8=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–8:30 pm,8 am–6 pm,8 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:24.862Z,,
https://www.google.com/maps/place/Firestone+Complete+Auto+Care/data=!4m7!3m6!1s0x88e7707470864845:0xfb3eae7394e23f63!8m2!3d28.5897767!4d-81.3654038!16s%2Fg%2F1td7czq8!19sChIJRUiGcHRw54gRYz_ilHOuPvs,Firestone Complete Auto Care,3.9,306,Tire shop,· In-store shopping · Kerbside pickup,"899 S Orlando Ave, Winter Park, FL 32789, United States","HJQM+WR Winter Park, Florida, USA",https://www.firestonecompleteautocare.com/florida/winter-park/899-orlando-ave/?utm_source=google&utm_medium=organic&utm_campaign=localmaps&cmp=oloc_google_localmaps_maps,+1 321-282-3830,"Open · Closes 7 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoC8NiJSoWBd_4k7HEuLgwTZlyGxGcD2LZ0oWiAInr4k_n6iAQjN0QCKc2TBdfOMbgryY8OpLdlnhAsknkB68gyRLBkjLCJLCc-ayz0FUfgpVdvQ5MXznr8tla7mTb9hPXxXujZ3voHmf-E=w519-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:30.159Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Expert+Car+Care-+Winter+Park/data=!4m7!3m6!1s0x88e76fcc6442028b:0x854ab5670b810a6f!8m2!3d28.6247207!4d-81.3244062!16s%2Fg%2F1tl8ljm6!19sChIJiwJCZMxv54gRbwqBC2e1SoU,Expert Car Care- Winter Park,4.7,1355,Auto repair shop,,"1990 Howell Branch Rd, Winter Park, FL 32792, United States","JMFG+V6 Winter Park, Florida, USA",https://www.expertcarcare.com/,+1 407-677-5001,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerpN-Fh_1NZHPespcRk5DltFr0rV4-0wBOOptmi-J-TGN68ZGFMvDYdQIOYE7Gdok3IO5ISXxe5AL39jgRuLF7DQz3Fn2SegW7WVIfu7AWMOGffGCSVukFLOJlatcbG=w408-h272-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7:30 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:35.400Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Midas/data=!4m7!3m6!1s0x88e7706da7a0f0e3:0xf585ae9669a2c819!8m2!3d28.5980377!4d-81.3647494!16s%2Fg%2F1v3_3hsw!19sChIJ4_Cgp21w54gRGciiaZauhfU,Midas,4.2,296,Auto repair shop,,"100 N Orlando Ave, Winter Park, FL 32789, United States","HJXP+64 Winter Park, Florida, USA",https://www.midas.com/store/fl/winter-park/100-north-orlando-avenue-32789?shopnum=3200&utm_source=google&utm_medium=maps&utm_campaign=google+maps&y_source=1_MTE1ODYzMzctNzE1LWxvY2F0aW9uLndlYnNpdGU=,+1 407-636-2368,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepZQLYac5CTRIkpmTv1zXTEexAJMG6l0n1VPyOVwZEqoFepb12D-TeNRa2-OtPyMv3FI1Lkvx6YoYa4Vb9PeTYG-ljuEo_a8ztCLN7Db9D7YPiOpILX2H-vT11LIbTAwePPQHCW=w427-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:40.701Z,,
https://www.google.com/maps/place/RNR+Tire+Express/data=!4m7!3m6!1s0x88e77a30055b2ae7:0x8f1544a491abfb8a!8m2!3d28.6061496!4d-81.395635!16s%2Fg%2F1tcxklb0!19sChIJ5ypbBTB654gRivurkaREFY8,RNR Tire Express,4.8,1252,Tire shop,· In-store shopping · In-store pick-up · Delivery,"1021 Lee Rd, Orlando, FL 32810, United States","JJ43+FP Orlando, Florida, USA",https://rnrtires.com/location/florida-orlando-lee-rd-fl/,+1 407-447-1800,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoiJzq0paNiS720tpLONXL5HwNpLinCWgZBarGhjAPQzvzINTwENGBkPAWN75ryiibkdv7l9Kw9WCJOS01v7PcF_9mjuw-Oo2YEKOlpJPEWGAB2mGhW7OtDyGwFtcwFt1VWx8GuIw=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:45.935Z,,
https://www.google.com/maps/place/Grease+Monkey/data=!4m7!3m6!1s0x88e76f89c6bfa347:0xad7108744ce99fc7!8m2!3d28.6184951!4d-81.3120873!16s%2Fg%2F11x6nb1_qv!19sChIJR6O_xolv54gRx5_pTHQIca0,Grease Monkey,4.8,86,Oil change service,,"1780 FL-436, Winter Park, FL 32792, United States","JM9Q+95 Winter Park, Florida, USA",https://www.greasemonkey.com/locations/fl/winter-park/1780-florida-436,+1 352-901-4199,"Open · Closes 6 pm

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweo8uZhVRmmo7vmPcyOWe33z5g_XNyamRz6Mu4AXdJd1cUc6lZQ6FLMCLpTkcaHwwV8Q3XJAracnsPbblEy2L2ojZtbXBa59KcljoqpnrEoDRw6B5M09xs8ZDKWG__dRzkxEva4XBhXhHa-c=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Winter+Park+Orlando+FL/@28.5949767,-81.3508787,14z",2026-03-23T16:52:51.208Z,,
