placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Peak+Potential+Integrative+Health/data=!4m7!3m6!1s0x683d72e67cf7ac43:0xd262a6ae9e23511b!8m2!3d40.576676!4d-75.527657!16s%2Fg%2F11rkccc1mz!19sChIJQ6z3fOZyPWgRG1Ejnq6mYtI,Peak Potential Integrative Health,5.0,8,Holistic medicine practitioner,"3570 Hamilton Blvd # 201, Allentown, PA 18103, United States","HFGC+MW Allentown, Pennsylvania, USA",http://www.peakpotentialhealth.com/,+1 484-656-0333,Open · Closes 6 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipN0JbimgDf8XWBKHEElGuzAyC1hLEJ9zgXXTjsc=w648-h240-k-no,true,9 am–6 pm,9 am–2:30 pm,7:30 am–6 pm,9 am–2:30 pm,7:30 am–2:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:22.789Z,,,
https://www.google.com/maps/place/Sina+Health+Internal+Medicine+-+College+Heights/data=!4m7!3m6!1s0x89c439ce1bdd84d9:0x157ada383614025e!8m2!3d40.5933654!4d-75.5245134!16s%2Fg%2F11pkbw5p6j!19sChIJ2YTdG845xIkRXgIUNjjaehU,Sina Health Internal Medicine - College Heights,5.0,77,Internist,"3131 College Heights Blvd # 1200, Allentown, PA 18104, United States","HFVG+85 Allentown, Pennsylvania, USA",https://www.sinahealth.com/,+1 610-904-8100,Open · Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipPChbIAy1goxkvQCYmEoY1dsZ6gjGYQjFcrqZBu=w408-h528-k-no,true,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,2–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:27.913Z,,,
https://www.google.com/maps/place/Kirshner+Health+Solutions/data=!4m7!3m6!1s0x89c430a9e95a8819:0x6b9f566d3d91b3e2!8m2!3d40.6149466!4d-75.5315762!16s%2Fg%2F1tp286cx!19sChIJGYha6akwxIkR4rORPW1Wn2s,Kirshner Health Solutions,4.9,130,Chiropractor,"1605 N Cedar Crest Blvd Suite 502, Allentown, PA 18104, United States","JF79+X9 Allentown, Pennsylvania, USA",https://www.drkirshner.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,+1 610-435-1777,"Closes soon · 12 pm · Reopens 3 pm

Updated by this business 10 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOXN1JqAAwwK1_ywRCZc25dPWLOfvccLczAP14m=w408-h272-k-no,true,"9 am–12 pm, 3–6 pm","9 am–12 pm, 3–6 pm","9 am–12 pm, 3–6 pm","9 am–12 pm, 3–6 pm",9 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:32.254Z,,,
"https://www.google.com/maps/place/ReVitaJuve+Health+and+Wellness,+PLLC/@46.423669,-129.9427085,3z/data=!3m1!4b1!4m6!3m5!1s0x89c4397fe2fe8d13:0x4fdd1994cd7ad52d!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11cr_rv07l","ReVitaJuve Health and Wellness, PLLC",4.5,15,Holistic medicine practitioner,,,,+1 484-393-5883,,,,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:36.490Z,,,
https://www.google.com/maps/place/Charles+Harris+MD.+Alternative+%26+Integrated+Medicine/data=!4m7!3m6!1s0x89c4340849be82b1:0x81435327ba849d55!8m2!3d40.5574574!4d-75.5742922!16s%2Fg%2F11hbkhwl9b!19sChIJsYK-SQg0xIkRVZ2EuidTQ4E,Charles Harris MD. Alternative & Integrated Medicine,5.0,21,Alternative medicine practitioner,"6034 Hamilton Blvd, Allentown, PA 18106, United States","HC4G+X7 Allentown, Pennsylvania, USA",https://www.aimed420.com/,+1 484-602-4438,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YiU46DnpbfbmzpDWVxePwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.33505&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:39.153Z,,,
https://www.google.com/maps/place/HealthBridge+Multispecialty+Group+-+Allentown/data=!4m7!3m6!1s0x89c43965622deddf:0x60ccb1471e80546d!8m2!3d40.6050384!4d-75.4679031!16s%2Fg%2F11f637gfqq!19sChIJ3-0tYmU5xIkRbVSAHkexzGA,HealthBridge Multispecialty Group - Allentown,5.0,129,Pain management physician,"451 Linden St, Allentown, PA 18102, United States","JG4J+2R Allentown, Pennsylvania, USA",https://hbmsg.com/elkins-park-office/,+1 484-201-2121,Open · Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipNG4OQWUUIj86HmgjMXZWnChkeF2suV6c3A64FD=w408-h306-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:44.005Z,,,
https://www.google.com/maps/place/Regen+Doctors/data=!4m7!3m6!1s0x89c439654b67281d:0x387c52c0201fcd48!8m2!3d40.5932231!4d-75.5033296!16s%2Fg%2F1vkxn6dz!19sChIJHShnS2U5xIkRSM0fIMBSfDg,Regen Doctors,4.9,225,Doctor,"2200 Hamilton St Suite 110, Allentown, PA 18104, United States","HFVW+7M Allentown, Pennsylvania, USA",https://regendoctors.com/?utm_source=GMBlisting&utm_medium=organic,+1 833-805-8392,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOskhMfzvOC3MjlboRjZiVf6a7nlm63T_B__XCi=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:48.601Z,,,
https://www.google.com/maps/place/Kristin+Clague+Reihman+MD+LLC/data=!4m7!3m6!1s0x89c43b38a5514cff:0xc0cc785eff1a9be8!8m2!3d40.5824877!4d-75.4370791!16s%2Fg%2F11qmmft19v!19sChIJ_0xRpTg7xIkR6Jsa_154zMA,Kristin Clague Reihman MD LLC,,,Holistic medicine practitioner,"739 E Emmaus Ave, Allentown, PA 18103, United States","HHJ7+X5 Allentown, Pennsylvania, USA",https://www.kristinreihmanmd.com/,+1 484-273-2439,Open · Closes 4 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hRazgG97SC2BjuoHDriwMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=335.6576&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:52.957Z,,,
https://www.google.com/maps/place/Medical+Marijuana+Doctors+in+PA+%7C+Telemedicine+at+The+Sanctuary/data=!4m7!3m6!1s0x89c4392df1b8f51d:0x878aa151180b485b!8m2!3d40.6033805!4d-75.5006156!16s%2Fg%2F11fsp_f9xv!19sChIJHfW48S05xIkRW0gLGFGhioc,Medical Marijuana Doctors in PA | Telemedicine at The Sanctuary,5.0,506,Medical clinic,"1908 W Allen St Suite 104, Allentown, PA 18104, United States","JF3X+9Q Allentown, Pennsylvania, USA",https://sanctuarywellnessinstitute.com/cannabis/medical-marijuana-card-allentown-pa.php?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing-allentown,+1 610-816-0862,Open · Closes 5 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMARdfkc5VelUn7brYq4hJO34IXOLRMHj2zCuYp=w408-h488-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:15:57.517Z,,,
https://www.google.com/maps/place/Kif+Medical+Marijuana+Card+Doctors+Pennsylvania/data=!4m7!3m6!1s0x89c439dbb2ddab13:0x94f9a451a586db16!8m2!3d40.6024888!4d-75.4759132!16s%2Fg%2F11rj6z9t5k!19sChIJE6vdsts5xIkRFtuGpVGk-ZQ,Kif Medical Marijuana Card Doctors Pennsylvania,5.0,10,Alternative medicine practitioner,"19 N Ninth St, Allentown, PA 18101, United States","JG2F+XJ Allentown, Pennsylvania, USA",https://thekif.com/pennsylvania/?UTM=GBP,,Open · Closes 11 pm,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPTEWS6TgOa0-JEfas-DT6k1f_1xF28qf6V45kP=w426-h240-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/functional+medicine+in+Allentown+Allentown+PA/@40.6022939,-75.4714098,14z",2026-02-23T16:16:02.242Z,,,
