placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Tennessee+Valley+Pain+Management/data=!4m7!3m6!1s0x88606478729b04d1:0xd762dd7c4e8771cc!8m2!3d35.0503416!4d-85.1816426!16s%2Fg%2F11bx8qxlq9!19sChIJ0QSbcnhkYIgRzHGHTnzdYtc,Tennessee Valley Pain Management,3.2,72,Medical office,"6130 Shallowford Rd #101, Chattanooga, TN 37421, United States","3R29+48 Chattanooga, Tennessee, USA",http://www.mytvpm.com/,+1 423-664-4635,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cwEpOvkJyVom9Cg5Kwvg_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.88155&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:02.992Z,,,
https://www.google.com/maps/place/Consultants+in+Pain+Management/data=!4m7!3m6!1s0x886065953d250149:0xca54553ce6ee6a6d!8m2!3d35.0548635!4d-85.1856471!16s%2Fg%2F11h6nppsnp!19sChIJSQElPZVlYIgRbWru5jxVVMo,Consultants in Pain Management,3.2,52,Pain management physician,"2000 Stein Dr, Chattanooga, TN 37421, United States","3R37+WP Chattanooga, Tennessee, USA",http://cpainman.com/,+1 423-648-8480,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mB2r0voHs_LpCTTpNQdIVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.72162&pitch=0&thumbfov=100,true,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:09.174Z,,,
https://www.google.com/maps/place/Spine+%26+Pain+Associates/data=!4m7!3m6!1s0x8860675356ce8bef:0xfe32f142ee4a889!8m2!3d35.037923!4d-85.2681646!16s%2Fg%2F1tgmw_wl!19sChIJ74vOVlNnYIgRiajkLhQv4w8,Spine & Pain Associates,3.6,164,Pain management physician,"281 N Lyerly St Ste 200, Chattanooga, TN 37404, United States","2PQJ+5P Chattanooga, Tennessee, USA",https://spinepainassociates.com/,+1 423-698-0850,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweph4GeAUCAgclVwEt-e85tdYAUTZN7RxBgx7qtFj8cMIcMhqOjoSkzZ4p9tYNPTuk5Md60kQO1ujYTG0PjBzvVblGwp-yNhiMp2fMPGFLegcbHTvN-eO1l3U0domU948j7k7IeI=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:13.983Z,,,
"https://www.google.com/maps/place/Bryn+Medical+%7C+Chattanooga%27s+Knee,+Back,+Joint+Pain+Clinic/data=!4m7!3m6!1s0x886063e83bf0ae95:0x5e974005a52d1f05!8m2!3d35.0521979!4d-85.1770564!16s%2Fg%2F11bxdsnn_p!19sChIJla7wO-hjYIgRBR8tpQVAl14","Bryn Medical | Chattanooga's Knee, Back, Joint Pain Clinic",4.7,171,Medical clinic,"6221 Shallowford Rd #102, Chattanooga, TN 37421, United States","3R2F+V5 Chattanooga, Tennessee, USA",https://brynmedical.com/,+1 423-541-9455,Closed · Opens 3 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerYosgHnmJBI5HfPTUGPIgiP1_dxGj00EKGwviD8PKnHGJmGSoxZMY4F2BARoj387r9bzd3VHAFcT-sAnmO3a5OjxsPYmxC30n92IAIHLInybBp670o-cj0NXiEFeOU1VOnSjlv=w408-h544-k-no,true,"10 am–1 pm, 3–7 pm","10 am–1 pm, 3–7 pm",Closed,Closed,Closed,"10 am–1 pm, 3–7 pm",3–7 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:18.943Z,,,
"https://www.google.com/maps/place/Todd+E.+Stanford,+PA/data=!4m7!3m6!1s0x88605e126517e33f:0x40df71e1ded0d817!8m2!3d35.0378874!4d-85.2679413!16s%2Fg%2F1w0r0mzp!19sChIJP-MXZRJeYIgRF9jQ3uFx30A","Todd E. Stanford, PA",5.0,3,Pain management physician,"281 N Lyerly St, Chattanooga, TN 37404, United States","2PQJ+5R Chattanooga, Tennessee, USA",https://spinepainassociates.com/,+1 423-698-0850,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LIITcCaP818I360Aml6r1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.43486&pitch=0&thumbfov=100,false,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:23.692Z,,,
"https://www.google.com/maps/place/Center+For+Spine+%26+Pain+Medicine,+P.C./data=!4m7!3m6!1s0x886063064ea05acf:0x25988d7a505cf4e0!8m2!3d35.037972!4d-85.145266!16s%2Fg%2F11g07_f2k0!19sChIJz1qgTgZjYIgR4PRcUHqNmCU","Center For Spine & Pain Medicine, P.C.",3.6,43,Pain control clinic,"7446 Shallowford Rd #110, Chattanooga, TN 37421, United States","2VQ3+5V Chattanooga, Tennessee, USA",http://www.cspmpain.com/,+1 706-279-2635,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMthayN5Ynf6YcgNNDhF4s0CGjJM315SLPT4QPv=w408-h309-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–12 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:28.631Z,,,
https://www.google.com/maps/place/Dr.+Sandra+Davis+Kaplan/data=!4m7!3m6!1s0x886063de3fb21371:0x83ae5a8a5870c7cf!8m2!3d35.037923!4d-85.2681646!16s%2Fg%2F1ptxt790n!19sChIJcROyP95jYIgRz8dwWIparoM,Dr. Sandra Davis Kaplan,4.4,31,Pain management physician,"281 N Lyerly St, Chattanooga, TN 37404, United States","2PQJ+5P Chattanooga, Tennessee, USA",https://www.spinepainassociates.com/,+1 423-698-0850,Closed · Opens 7:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepO5MvE9KbVNzJTeeTacIWE77Y6N6rvE3syZysIuDwXcxDMSAIkje1P_liaewPTajqHHM4vSnNnSH7nvfnG__KBJQ-AmTgepkJ7VFBxw6Eln2WOUmoxdRs-YWnSfsehsMLShf8E=w408-h296-k-no,true,Closed,7:30 am–5 pm,Closed,Closed,Closed,7:30 am–5 pm,Closed,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:33.490Z,,,
https://www.google.com/maps/place/Arion+Smalley/data=!4m7!3m6!1s0x886063de3fa50c29:0x3dac4f9fcd0fd891!8m2!3d35.0548626!4d-85.185648!16s%2Fg%2F11tg6j2bf3!19sChIJKQylP95jYIgRkdgPzZ9PrD0,Arion Smalley,4.2,5,Pain management physician,"2000 Stein Dr, Chattanooga, TN 374217217, United States","3R37+WP Chattanooga, Tennessee, USA",https://www.cpainman.com/about-us,+1 423-648-8480,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mB2r0voHs_LpCTTpNQdIVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.92708&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:36.267Z,,,
"https://www.google.com/maps/place/Dr+Smalley+2000+Stein+Dr,+Chatt.+TN/data=!4m7!3m6!1s0x886063db2872a55f:0x2d9816fd649d0779!8m2!3d35.0613105!4d-85.1796177!16s%2Fg%2F11c32l9313!19sChIJX6VyKNtjYIgReQedZP0WmC0","Dr Smalley 2000 Stein Dr, Chatt. TN",5.0,2,Pain management physician,"7323 Frances Dr, Chattanooga, TN 37421, United States","3R6C+G5 Chattanooga, Tennessee, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yjawUss6RLuHuDIcSywKWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=291.99112&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:39.454Z,,,
"https://www.google.com/maps/place/Paul+Erich+Hoffmann,+MD/data=!4m7!3m6!1s0x88605e126517e33f:0x54cad96862fdd900!8m2!3d35.0411548!4d-85.2582596!16s%2Fg%2F1wc31zsc!19sChIJP-MXZRJeYIgRANn9YmjZylQ","Paul Erich Hoffmann, MD",4.7,38,Physiatrist,"725 Glenwood Dr Suite E-680, Chattanooga, TN 37404, United States","2PRR+FM Chattanooga, Tennessee, USA",https://www.commonspirit.org/find-a-doctor/paul-erich-hoffmann-1851304307,+1 423-206-9480,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoiFu1fQbXPBqpGPiaYK90M70bpN6VtQk5fY8B9bVQAIjcOyD5W57b7GmVo-8IkKWa_FCarNg8T02Mitb6xKXHclegKAzXZx6lHLqofAMi2NhqUDZt1bAaQE0D-9NIiVo7T4ibG1A=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–2 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Chattanooga+Chattanooga+TN/@35.0773618,-85.2308414,14z",2026-01-28T18:37:45.140Z,,,
