placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Elite+Overhead+Garage+Doors/data=!4m7!3m6!1s0x88fba383281fd355:0x23687132c1293b0c!8m2!3d32.0749044!4d-81.1301651!16s%2Fg%2F11cjk55bhn!19sChIJVdMfKIOj-4gRDDspwTJxaCM,Elite Overhead Garage Doors,4.8,319,Garage door supplier,"3 Interchange Ct, Savannah, GA 31415, United States","3VF9+XW Savannah, Georgia, USA",https://elitegaragedoorssavannah.com/?utm_campaign=google&utm_medium=organic&utm_source=google_business_profile,+1 912-398-4828,"Open 24 hours

Veterans Day might affect these hours",LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipP2QMRm9DyKcppVOh0IoJtjKi9m3Kx95cWEIsAo=w408-h255-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:32:51.038Z,,,
https://www.google.com/maps/place/Precision+Garage+Door+Service/data=!4m7!3m6!1s0x88fba11b6d151d8f:0x4c9e1935af6bb4d2!8m2!3d32.1557251!4d-81.2358128!16s%2Fg%2F11dxbs07b8!19sChIJjx0VbRuh-4gR0rRrrzUZnkw,Precision Garage Door Service,4.9,1147,Garage door supplier,"1777 Benton Blvd Suite 105, Savannah, GA 31407, United States","5Q47+7M Savannah, Georgia, USA",https://precisiondoorservice.com/?utm_source=gmb&utm_medium=location_savannah&utm_campaign=website,+1 912-330-4747,"Open 24 hours

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipMkP_Ubaz4i8ToJ2Y3mpx5ELA21kpwd4CdlmLVr=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:32:57.348Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Savannah%E2%84%A2/data=!4m7!3m6!1s0x88fba042376bb3b1:0xe36c055c3fa711c!8m2!3d32.0743047!4d-81.1925212!16s%2Fg%2F1tc_l_j7!19sChIJsbNrN0Kg-4gRHHH6w1XANg4,Overhead Door Company of Savannah™,4.5,101,Garage door supplier,"129 Airport Park Dr, Savannah, GA 31408, United States","3RF4+PX Savannah, Georgia, USA",http://www.overheaddoorofsavannah.com/,+1 912-356-4448,"Closed ⋅ Opens 7:30 am

Veterans Day hours",,https://lh3.googleusercontent.com/p/AF1QipO1qiyWxf_nLLrP4Vk65iS_XFO89yERNvNsOqdq=w408-h272-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:02.882Z,,,
https://www.google.com/maps/place/Mo+Better+Garage/data=!4m7!3m6!1s0x88fb754192d343d5:0x3a768bfb3417870c!8m2!3d32.0040164!4d-81.1078868!16s%2Fg%2F11w96qg6gr!19sChIJ1UPTkkF1-4gRDIcXNPuLdjo,Mo Better Garage,4.9,111,Garage door supplier,"321 Commercial Dr #4, Savannah, GA 31406, United States","2V3R+JR Savannah, Georgia, USA",https://mobettergarage.com/locations/georgia/savannah/,+1 912-297-6117,"Open 24 hours

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipOj-PvEGZQz3ZMr3gpqdBaoIU67hHYmzeRTjBP0=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:08.063Z,,,
https://www.google.com/maps/place/ProLift+Garage+Doors+of+Savannah/data=!4m7!3m6!1s0x88fb0f48836b5925:0xe078950330f53509!8m2!3d31.9410256!4d-81.3154002!16s%2Fg%2F11gh2r0b_j!19sChIJJVlrg0gP-4gRCTX1MAOVeOA,ProLift Garage Doors of Savannah,5.0,533,Garage door supplier,"518 Edsel Dr Suite E, Richmond Hill, GA 31324, United States","WMRM+CR Richmond Hill, Georgia, USA",https://www.proliftdoors.com/savannah/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=savannah,+1 912-328-5446,"Closed ⋅ Opens 7:30 am

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipOLQrXd1rNJICAzMqFr7zHflAgLWA7rNKrcuaCr=w426-h240-k-no,true,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,8 am–5 pm,Closed,7:30 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:13.492Z,,,
https://www.google.com/maps/place/Padgett+Overhead+Garage+Doors+Inc./data=!4m7!3m6!1s0x88fb0bfc569f88e5:0x4e4c67cd9a3594f5!8m2!3d31.9900723!4d-81.2224878!16s%2Fg%2F11h1ydz3w2!19sChIJ5YifVvwL-4gR9ZQ1ms1nTE4,Padgett Overhead Garage Doors Inc.,4.6,42,Garage door supplier,"108 Lake Shore Dr, Savannah, GA 31419, United States","XQRH+22 Savannah, Georgia, USA",,+1 912-961-0479,"Closed ⋅ Opens 8 am

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipPCDgqpx9MLwB2MXVth3n7u3bBTkNO0cTqL_ncY=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:18.826Z,,,
https://www.google.com/maps/place/Expert+Garage+Door/data=!4m7!3m6!1s0x2460eaacb153f7c9:0x113f7d3d89e8c0e0!8m2!3d32.0797355!4d-82.987084!16s%2Fg%2F11ptz_3xx2!19sChIJyfdTsazqYCQR4MDoiT19PxE,Expert Garage Door,3.6,47,Garage door supplier,,,https://expertgaragedoorga.com/,+1 912-219-0041,"Open 24 hours

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipPofsK0OoZg1GGnhz_zSNSqpURHnFwEyVB7s-GC=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:24.991Z,,,
https://www.google.com/maps/place/Cody+Padgett+Garage+Doors/data=!4m7!3m6!1s0x88fb774a7f8ba7e3:0xad6e2ad50259a071!8m2!3d32.0387564!4d-81.2060396!16s%2Fg%2F11h79nk1hf!19sChIJ46eLf0p3-4gRcaBZAtUqbq0,Cody Padgett Garage Doors,4.3,12,Garage door supplier,,,https://codypadgettgaragedoors.com/,+1 912-658-2317,"Open 24 hours

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipPlyAjLEKtGuutFF6lLFBVnUsu9sdskNbszvYxR=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:30.661Z,,,
"https://www.google.com/maps/place/Action+Overhead+Door+%26+Supply,+LLC/data=!4m7!3m6!1s0x88fba042382f2675:0xac3323b118ee81cc!8m2!3d32.3390617!4d-81.2556838!16s%2Fg%2F11b6lmw87g!19sChIJdSYvOEKg-4gRzIHuGLEjM6w","Action Overhead Door & Supply, LLC",4.9,41,Garage door supplier,"145 Industrial Blvd, Rincon, GA 31326, United States","8PQV+JP Rincon, Georgia, USA",https://www.actionohd.com/,+1 912-826-3505,"Open 24 hours

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/p/AF1QipPrVlHu_CkkFLXpdVMlE10W-J2fSdrtXPoi5siM=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:35.767Z,,,
https://www.google.com/maps/place/Your+Exterior+Pros/data=!4m7!3m6!1s0x88fb768159306ff5:0xc9f86822e64cba16!8m2!3d32.0882856!4d-81.1156288!16s%2Fg%2F11b5pk6b83!19sChIJ9W8wWYF2-4gRFrpM5iJo-Mk,Your Exterior Pros,4.8,494,Roofing contractor,"5 Carolan St, Savannah, GA 31415, United States","3VQM+8P Savannah, Georgia, USA",https://yourexteriorpros.com/,+1 912-250-4730,"Closed ⋅ Opens 7:30 am

Veterans Day might affect these hours",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwKGTTay-4-WOtQ_4qP01IMAabCDKPltINGiLZqiP5TVmMehS5MlveSXW38x9O-q1Xay_PE1a8yEkPa0LoZwMHtvP4RUGupTRRImue-zMSUBFtcaMQ4GQ61hbmo_huZlrWWayJ5zvlLE19J=w408-h306-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Savannah+Savannah+GA/@32.0808989,-81.091203,14z",2025-11-11T05:33:40.914Z,,,
