placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes,error
https://www.google.com/maps/place/LiveWire+Electrical/data=!4m7!3m6!1s0x8854190e99a26023:0x7598891acd3f62f4!8m2!3d35.2011891!4d-80.8428995!16s%2Fg%2F1vkxmzn6!19sChIJI2CimQ4ZVIgR9GI_zRqJmHU,LiveWire Electrical,4.9,452,Electrician,"1409 East Blvd, Charlotte, NC 28203, United States","6524+FR Charlotte, North Carolina, USA",https://www.livewireelectricalcharlotte.com/services/electrical-repair-charlotte/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite,+1 704-327-6192,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPjAi186v0UGdkblTydy2PsMPYfPU2WSSJgwrHl=w429-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:00.361Z,,,
https://www.google.com/maps/place/Roby+Services/data=!4m7!3m6!1s0x8856a1e08a88b48f:0x6b6b69d22221f8e7!8m2!3d35.2232878!4d-80.8887013!16s%2Fg%2F11_rf15bl!19sChIJj7SIiuChVogR5_ghItJpa2s,Roby Services,4.8,904,Heating contractor,"3013 Wilkinson Blvd, Charlotte, NC 28208, United States","64F6+8G Charlotte, North Carolina, USA",https://www.robyservicesnow.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Charlotte-NC,+1 704-559-1875,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipN8uM_7oUANCt2tsxZ_qYP18OI5zgkOsGSXKx3K=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:05.993Z,,,
https://www.google.com/maps/place/U.S.+Electric+Contractors/data=!4m7!3m6!1s0x87b7ad1423645691:0x1f4c9f20404b8ba8!8m2!3d35.2528534!4d-80.8570046!16s%2Fg%2F11rpktfck2!19sChIJkVZkIxStt4cRqItLQCCfTB8,U.S. Electric Contractors,5.0,12,Electrician,"2217 Booker Ave, Charlotte, NC 28216, United States","743V+45 Charlotte, North Carolina, USA",http://uselectriccontractors.com/,+1 704-859-2119,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipPwznUe1TXRMLQ9xtcqVrCyjk8-QtgXABxgQ_Qc=w477-h240-k-no,true,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:10.757Z,,,
https://www.google.com/maps/place/On+Time+Electrical/data=!4m7!3m6!1s0x88569c11382d44fb:0xca4666d134348399!8m2!3d35.147581!4d-80.9429775!16s%2Fg%2F11b5wmjgk2!19sChIJ-0QtOBGcVogRmYM0NNFmRso,On Time Electrical,4.9,2797,Electrician,"3030 Whitehall Park Dr Suite 3, Charlotte, NC 28273, United States","43X4+2R Charlotte, North Carolina, USA",https://www.itselectriccharlotte.com/?utm_source=GBP&utm_medium=organic&utm_campaign=charlotte,+1 980-643-8978,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipO6wJtBdTHXe2OUfcgW-h6s9ytH8ZvVl65tTIJ6=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:15.803Z,,,
https://www.google.com/maps/place/U.S.+Electric+Contractors/data=!4m7!3m6!1s0x6b658199e3c4b095:0x3d731e11cb5d500a!8m2!3d35.2006482!4d-80.7988454!16s%2Fg%2F11rq1kv05d!19sChIJlbDE45mBZWsRClBdyxEecz0,U.S. Electric Contractors,5.0,145,Electrician,"3434 Monroe Rd, Charlotte, NC 28205, United States","6622+7F Charlotte, North Carolina, USA",http://www.uselectriccontractors.com/,+1 704-859-2119,,,https://lh3.googleusercontent.com/p/AF1QipNc_gR2lg-boLxoSGrXtC6tb2H3BOpCVmJTVUDO=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:20.916Z,,,
https://www.google.com/maps/place/Carolina+Electric+Pro%E2%80%99s/data=!4m7!3m6!1s0x88569fad95d2fa51:0x7c79d8a4ad5d2fd9!8m2!3d35.1999626!4d-80.8721749!16s%2Fg%2F11np4lb0l6!19sChIJUfrSla2fVogR2S9draTYeXw,Carolina Electric Pro’s,4.9,628,Electrician,"224 Foster Ave Suite A, Charlotte, NC 28203, United States","54XH+X4 Charlotte, North Carolina, USA",http://www.carolinaelectricpros.com/,+1 704-713-3793,"Closed · Opens 8 am Mon

Updated by this business 11 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipOA6L5NfM5QBT9-Zy0rPiu92J8Y5Zs72ZJCYWx8=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:26.033Z,,,
https://www.google.com/maps/place/Mister+Sparky/data=!4m7!3m6!1s0x8856a03b66acc937:0xfd91b5e76295cf08!8m2!3d35.2311137!4d-80.8382965!16s%2Fg%2F1263dpy3h!19sChIJN8msZjugVogRCM-VYue1kf0,Mister Sparky,4.8,2337,Electrician,"525 N Tryon St Suite 1600, Charlotte, NC 28202, United States","65J6+CM Charlotte, North Carolina, USA",https://mistersparkycharlotte.com/,+1 704-332-2100,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNohrQJ_rqIYwEGA-woDx6S0opCddGxVp28euIL=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:30.939Z,,,
"https://www.google.com/maps/place/NuBlue+Electric,+Plumbing+and+Air/data=!4m7!3m6!1s0x885419514b2813c9:0x8a5783afe4e46eec!8m2!3d35.2070814!4d-80.8689165!16s%2Fg%2F11hbj6mxlr!19sChIJyRMoS1EZVIgR7G7k5K-DV4o","NuBlue Electric, Plumbing and Air",4.9,1760,HVAC contractor,"407 Basin St, Charlotte, NC 28203, United States","644J+RC Charlotte, North Carolina, USA",http://www.callnublue.com/,+1 704-740-3273,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzi2UVeIBV2iT3qrgmco4hWZZLvsQOg9slscWMuOuXfY_N_YtjrztUMCfrEMS7mEPtOyjFfFzKv0sJc42EwiS0z4230ZLgmNR8xvFSkwspA0jOcHP8vsL72cDcwJaWFCj9qq7rwRQ=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:35.933Z,,,
"https://www.google.com/maps/place/Tried+%26+True+Electrical+Service,+Inc./data=!4m7!3m6!1s0x8856a13ee436ca45:0x564904854781c388!8m2!3d35.2275029!4d-80.8810319!16s%2Fg%2F11ykqg9r7x!19sChIJRco25D6hVogRiMOBR4UESVY","Tried & True Electrical Service, Inc.",5.0,15,Electrician,"2420 Remount Rd, Charlotte, NC 28208, United States","64H9+2H Charlotte, North Carolina, USA",https://triedandtruelectric.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,+1 704-810-2327,"Closed · Opens 8 am Mon

Confirmed by this business 12 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMFPpd18drwnbZc80loMxORUPsYEYI9UqX1Nzvt=w408-h272-k-no,true,Closed,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:40.843Z,,,
https://www.google.com/maps/place/Ewing+Electric+Co/data=!4m7!3m6!1s0x8856a116d8a778f5:0x854760f3e1fd6a3d!8m2!3d35.1740244!4d-80.7493275!16s%2Fg%2F11fm5vvk68!19sChIJ9Xin2BahVogRPWr94fNgR4U,Ewing Electric Co,4.8,315,Electrician,"7316 Wallace Rd, Charlotte, NC 28212, United States","57F2+J7 Charlotte, North Carolina, USA",https://www.ewingelectricco.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website,+1 704-804-3320,"Open 24 hours

Updated by this business 4 weeks ago",Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMbEII4Vkn35NAbpT2R8bKMpOZLHR6g7nFvTt5t=w408-h245-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Dilworth+Charlotte+NC/@35.2058551,-80.8516173,14z",2026-01-10T21:24:45.648Z,,,
