placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,error,attributes
https://www.google.com/maps/place/1st+Choice+Urgent+Care+of+Dearborn+EAST/data=!4m7!3m6!1s0x883b35931760faab:0x61240455f966a49a!8m2!3d42.329081!4d-83.168459!16s%2Fg%2F11tjhrd6jj!19sChIJq_pgF5M1O4gRmqRm-VUEJGE,1st Choice Urgent Care of Dearborn EAST,4.3,737,Urgent care center,"12841 Ford Rd, Dearborn, MI 48126, United States","8RHJ+JJ Dearborn, Michigan, USA",http://www.firstchoiceucc.com/,+1 313-710-4199,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipM3ldTFHkgq9r_OmzQa92pgWMRWyHJk9LELMgz9=w469-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:30.541Z,,,
https://www.google.com/maps/place/Henry+Ford+Hospice/data=!4m7!3m6!1s0x8824b7a72c4e0bd9:0xdaeeeac0b22eb119!8m2!3d42.363845!4d-83.075216!16s%2Fg%2F11b5qwc_5y!19sChIJ2QtOLKe3JIgRGbEussDq7to,Henry Ford Hospice,2.3,3,Hospice,"1 Ford Pl Suite 4C, Detroit, MI 48202, United States","9W7F+GW Detroit, Michigan, USA",https://www.henryford.com/services/at-home/hospice,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V275_FTccy_BPoVi0Wpq2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.39433&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:34.218Z,,,
https://www.google.com/maps/place/AccentCare+Inpatient+Hospice+Center+at+Harper+University+Hospital-Detroit/data=!4m7!3m6!1s0x8824d2c78cc51f59:0xedc48ab0df5c174e!8m2!3d42.3522089!4d-83.0569592!16s%2Fg%2F11gbphqp2x!19sChIJWR_FjMfSJIgRThdc37CKxO0,AccentCare Inpatient Hospice Center at Harper University Hospital-Detroit,3.6,8,Hospice,"3990 John R Street, 5 Brush South, Detroit, MI 48201, United States","9W2V+V6 Detroit, Michigan, USA",https://www.accentcare.com/seasons-hospice-palliative-care-announcement,+1 313-745-5085,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xOLiX_-kavKjNJ5QglI9Mg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=14.12633&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:39.336Z,,,
https://www.google.com/maps/place/Elsmar+Home+Health+Care/data=!4m7!3m6!1s0x883b2d4b69984fbb:0x64ee083b63c9bbd9!8m2!3d42.34001!4d-83.06156!16s%2Fg%2F1tdqj456!19sChIJu0-YaUstO4gR2bvJYzsI7mQ,Elsmar Home Health Care,4.0,4,Home health care service,"2727 2nd Ave #156, Detroit, MI 48201, United States","8WRQ+29 Detroit, Michigan, USA",,+1 313-961-5500,Closed ⋅ Opens 9 am Thu,,https://lh3.googleusercontent.com/p/AF1QipP1I3qa7fQywctdKO3AjDigeTX_ZA03bdVN_18H=w408-h266-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:44.731Z,,,
https://www.google.com/maps/place/Beacon+Hospice+North+Detroit/data=!4m7!3m6!1s0x8824d29dba4cf3d7:0xe267232aacdf1352!8m2!3d42.3682951!4d-83.0772329!16s%2Fg%2F11c4mp3rwq!19sChIJ1_NMup3SJIgRUhPfrCojZ-I,Beacon Hospice North Detroit,4.7,32,Hospice,"2990 W Grand Blvd Suite #224, Detroit, MI 48202, United States","9W9F+84 Detroit, Michigan, USA",http://www.beacon.life/locations/michigan.html,+1 313-818-3991,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4XYiJOhl6x4aelKDGbeDGw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=157.13382&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:50.086Z,,,
"https://www.google.com/maps/place/Tamera+C+Tennant,+MD/data=!4m7!3m6!1s0x8824cd09a39b6e87:0xc133e4dab8c0f7cf!8m2!3d42.3659006!4d-83.0837265!16s%2Fg%2F11wnfjmnvj!19sChIJh26bownNJIgRz_fAuNrkM8E","Tamera C Tennant, MD",1.0,1,Hospice,"2800 W Grand Blvd, Detroit, MI 48202, United States","9W88+9G Detroit, Michigan, USA",https://www.henryford.com/physician-directory/t/tennant-tamera?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,+1 800-436-7936,Closed ⋅ Opens 7 am Thu,,https://lh3.googleusercontent.com/p/AF1QipNui6XegV1tx5cEDe64oCmxABPbokzFVn0Iyv8j=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,Closed,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:54.996Z,,,
https://www.google.com/maps/place/Jireh%27s+Home+%26+Hospice+Healthcare/data=!4m7!3m6!1s0x883b2d300bdc0887:0x9800baacea286ab9!8m2!3d42.3307108!4d-83.0479262!16s%2Fg%2F1tvtb__d!19sChIJhwjcCzAtO4gRuWoo6qy6AJg,Jireh's Home & Hospice Healthcare,,,Hospice,"719 Griswold St STE 820, Detroit, MI 48226, United States","8XJ2+7R Detroit, Michigan, USA",,+1 313-967-7857,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zVvnqqFUcH9j4AKv8n1tHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=320.43365&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:27:57.880Z,,,
https://www.google.com/maps/place/National+Hospice+Work+Group/data=!4m7!3m6!1s0x883b2d3a5ee28399:0x7004fbf7ef4d032!8m2!3d42.3291229!4d-83.0501494!16s%2Fg%2F1tfg8bg5!19sChIJmYPiXjotO4gRMtD0fr9PAAc,National Hospice Work Group,,,Hospice,"Fort Washington Plaza, 333 W Fort St, Detroit, MI 48226, United States","8WHX+JW Detroit, Michigan, USA",,+1 313-964-3181,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PyYsOaezxH8gsKLcdr_Ddg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.51085&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2025-09-17T23:28:00.770Z,,,
https://www.google.com/maps/place/The+Orchards+Michigan+-+Samaritan/data=!4m7!3m6!1s0x8824d46dfcb1bfcf:0x7b0d1882514cb056!8m2!3d42.3902606!4d-82.9819833!16s%2Fg%2F11b81rlyz3!19sChIJz7-x_G3UJIgRVrBMUYIYDXs,The Orchards Michigan - Samaritan,4.5,68,Nursing home,"5555 Conner St, Detroit, MI 48213, United States","92R9+46 Detroit, Michigan, USA",http://www.theorchardsmi.com/,+1 313-344-4100,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOmftVb87LyQ-gyBkGf-e9N2HVyoCI5xMHMXEwr=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Greektown+Detroit+MI/@42.3355849,-83.0409675,14z",2025-09-17T23:28:16.524Z,,,
https://www.google.com/maps/place/Intersect+Healthcare+of+Woodward/data=!4m7!3m6!1s0x8824cd80520f66bf:0x6571b2a691d9887a!8m2!3d42.383412!4d-83.08156!16s%2Fg%2F1tf58j1z!19sChIJv2YPUoDNJIgReojZkaaycWU,Intersect Healthcare of Woodward,3.4,38,Nursing home,"9146 Woodward Ave, Detroit, MI 48202, United States","9WM9+99 Detroit, Michigan, USA",https://intersecthc.com/,+1 313-875-1263,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPhntTPfXCpkHMNHEXppLX55gXW0gwuVK8X2akf=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Greektown+Detroit+MI/@42.3355849,-83.0409675,14z",2025-09-17T23:28:21.413Z,,,
