placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,attributes,error
https://www.google.com/maps/place/Methodist+Pain+Management+Center/data=!4m7!3m6!1s0x880a59724209f1c5:0x4cb3e092be27092c!8m2!3d40.6983102!4d-89.5958019!16s%2Fg%2F1tfstg4y!19sChIJxfEJQnJZCogRLAknvpLgs0w,Methodist Pain Management Center,3.1,21,Pain management physician,"900 Main St, Peoria, IL 61602, United States","MCX3+8M Peoria, Illinois, USA",,+1 309-672-5950,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7H1o56vq4UuuHPalB0Zzog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.51868&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:08:37.021Z,,,,,,,,,,
"https://www.google.com/maps/place/Avni+Gupta,+MD/data=!4m7!3m6!1s0x880a59726992ccc7:0x61124b316d7e43da!8m2!3d40.6983164!4d-89.5956913!16s%2Fg%2F11cs24gnr9!19sChIJx8ySaXJZCogR2kN-bTFLEmE","Avni Gupta, MD",3.6,16,Pain management physician,"900 Main St Ste 780, Peoria, IL 61602, United States","MCX3+8P Peoria, Illinois, USA",https://doctors.unitypoint.org/provider/Avni+Gupta/1165024?utm_source=gmb&utm_medium=web&utm_campaign=brandify,+1 309-672-5950,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7H1o56vq4UuuHPalB0Zzog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=306.19766&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:08:42.438Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,,,
https://www.google.com/maps/place/HonorHealth+Pain+Care+%E2%80%93+Peoria+Medical+Campus/data=!4m7!3m6!1s0x872b691bd84ac5bd:0xc87ef95304bd187b!8m2!3d33.6199647!4d-112.2383402!16s%2Fg%2F11xfpsd579!19sChIJvcVK2BtpK4cRexi9BFP5fsg,HonorHealth Pain Care – Peoria Medical Campus,5.0,2,Medical clinic,"15000 N 83rd Ave Suite 200, Peoria, AZ 85381, United States","JQ96+XM Peoria, Arizona, USA",https://www.honorhealth.com/locations/specialty-care/glendale-physical-medicine-rehabilitation?utm_source=yext&utm_medium=local&utm_campaign=peoria_physicalmedicine,+1 602-547-7348,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMD7M8fHF0EamZLAGxYvvr-uBz4jy86wdiUmds6=w449-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:08:47.309Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,,,
"https://www.google.com/maps/place/Dr+Jae+H.+Park,+MD/data=!4m7!3m6!1s0x872b4336ecd8bbaf:0xdae0cf6eba7cd6e3!8m2!3d33.6041047!4d-112.2799154!16s%2Fg%2F11wnfnsk0s!19sChIJr7vY7DZDK4cR49Z8um7P4No","Dr Jae H. Park, MD",4.8,323,Pain management physician,"13203 N 103rd Ave H5, Sun City, AZ 85351, United States","JP3C+J2 Sun City, Arizona, USA",https://www.novaspine.net/contents/jae-h-park-md,+1 623-777-4747,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMVk4aJqPQHGQBSIT6__Lb3YPgwI5KbwWL7Zoie=w408-h271-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:08:52.676Z,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,,,
https://www.google.com/maps/place/PaloVerde+Pain+Specialists/data=!4m7!3m6!1s0x872b433ab9c6553d:0xd20b120e743ab0b5!8m2!3d33.6022254!4d-112.263224!16s%2Fg%2F11fk18cknf!19sChIJPVXGuTpDK4cRtbA6dA4SC9I,PaloVerde Pain Specialists,4.8,562,Pain management physician,"13090 N 94th Dr #212, Peoria, AZ 85381, United States","JP2P+VP Peoria, Arizona, USA",https://paloverdepain.com/,+1 833-578-7246,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMdz3LP4aJfUUIR3CQHNUfo7epixOOeZ2vxWZ0s=w452-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:08:57.593Z,7 am–5 pm,7 am–5 pm,7 am–3 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,,,
https://www.google.com/maps/place/Arizona+Pain+%7C+Arrowhead/data=!4m7!3m6!1s0x872b69c232fa1c8b:0x5309d0f9a1164a57!8m2!3d33.6117401!4d-112.2214202!16s%2Fg%2F1wn3440q!19sChIJixz6MsJpK4cRV0oWofnQCVM,Arizona Pain | Arrowhead,4.8,196,Pain control clinic,"7558 W Thunderbird Rd # 4B, Peoria, AZ 85381, United States","JQ6H+MC Peoria, Arizona, USA",https://arizonapainrelief.com/,+1 623-432-0630,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipMV5KXw2aVnNKGaroDfBW9LLayUnM0j-mqZRx33=w408-h272-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:09:02.541Z,8 am–6 pm,8 am–6 pm,7 am–5 pm,Closed,Closed,Closed,8 am–6 pm,LGBTQ+ friendly,,
https://www.google.com/maps/place/The+Pain+Center+-+Peoria/data=!4m7!3m6!1s0x872b4277cd681725:0xca3fea12854fa547!8m2!3d33.6092371!4d-112.2612964!16s%2Fg%2F12jm10pg6!19sChIJJRdozXdCK4cRR6VPhRLqP8o,The Pain Center - Peoria,3.8,207,Pain control clinic,"9401 W Thunderbird Rd #180, Peoria, AZ 85381, United States","JP5Q+MF Peoria, Arizona, USA",https://www.thepaincenter.com/locations/peoria/,+1 623-241-6141,Open · Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipMIUWQJwgAItAKfhDPWnAiUxQwK7ytKuowJ1UTu=w425-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:09:07.501Z,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,,,
https://www.google.com/maps/place/Mountain+View+Pain+Center/data=!4m7!3m6!1s0x872b43d7c80ad60b:0xe1f864c8c467911e!8m2!3d33.6102522!4d-112.252602!16s%2Fg%2F11lcgy162l!19sChIJC9YKyNdDK4cRHpFnxMhk-OE,Mountain View Pain Center,5.0,20,Pain management physician,"9000 W Thunderbird Rd #205, Peoria, AZ 85381, United States","JP6W+4X Peoria, Arizona, USA",https://www.mvpc.com/peoria,+1 602-325-2024,Closed · Opens 2 pm,https://lh3.googleusercontent.com/p/AF1QipPZeq1ijM1Unw7OVF1w7t5VN2RgLrTU_OOz2U_v=w425-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:09:12.422Z,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",8 am–1 pm,Closed,Closed,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",LGBTQ+ friendly,,
"https://www.google.com/maps/place/OSF+Central+Illinois+Pain+Center/@40.7925605,-89.667147,17z/data=!3m1!4b1!4m6!3m5!1s0x880a5d2c36890b57:0x82cc8128f9baa4dd!8m2!3d40.7925605!4d-89.667147!16s%2Fg%2F1thbx780",OSF Central Illinois Pain Center,2.7,32,Pain management physician,"8600 IL-91 #240, Peoria, IL 61615, United States","Q8VM+24 Peoria, Illinois, USA",https://www.osfhealthcare.org/practices/28/1312/osf-saint-francis-center-for-breast-health?utm_campaign=gobu&utm_source=google&utm_medium=referral&utm_content=loc&linksource=gbl,+1 309-683-5094,Open · Closes 4:30 pm,,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:09:19.561Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,,
https://www.google.com/maps/place/Orange+Medical+Pain+Management/data=!4m7!3m6!1s0x872ba9de0108d75d:0x2cd443d511b19554!8m2!3d33.6090959!4d-112.2607092!16s%2Fg%2F11b5pkplrj!19sChIJXdcIAd6pK4cRVJWxEdVD1Cw,Orange Medical Pain Management,4.0,21,Pain control clinic,"13760 N 93rd Ave #203, Peoria, AZ 85381, United States","JP5Q+JP Peoria, Arizona, USA",http://www.orangemedicalpain.com/,+1 480-526-5300,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNte5nkFtEh3NqUfpil0YKASFrpKt0ienolyaJI=w426-h240-k-no,true,"https://www.google.com/maps/search/pain+management+physician+in+Downtown+Peoria+Peoria+IL/@33.5820771,-112.2384191,14z",2026-01-28T20:09:24.612Z,9 am–5 pm,9 am–5 pm,9 am–2 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
