placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,saturday,sunday,monday,tuesday,wednesday,thursday,friday,attributes,info,isBlackOwned
https://www.google.com/maps/place/Richland+Home+Power/data=!4m7!3m6!1s0x87fdbbb25b36ffff:0xb3ab7e0efe073186!8m2!3d43.0753645!4d-89.5334149!16s%2Fg%2F11j6sts_xc!19sChIJ__82W7K7_YcRhjEH_g5-q7M,Richland Home Power,4.9,43,Electrician,"708 Heartland Trail suite 3000, Madison, WI 53717, United States","3FG8+4J Madison, Wisconsin, USA",http://richlandhomepower.com/,+1 608-475-2987,,https://lh3.googleusercontent.com/p/AF1QipNViGM99ktcaAxcCxLn8puSG2xvsQZds90TNLv2=w408-h240-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:20:49.184Z,,,,,,,,,,
https://www.google.com/maps/place/Helping+Hands+Electric/data=!4m7!3m6!1s0x8807b2a0337b0d59:0xe48281d801737751!8m2!3d43.0513147!4d-89.4999444!16s%2Fg%2F11b6t_kc1_!19sChIJWQ17M6CyB4gRUXdzAdiBguQ,Helping Hands Electric,4.9,781,Electrician,"6725 Seybold Rd Suite B, Madison, WI 53719, United States","3G22+G2 Madison, Wisconsin, USA",https://www.helpinghandselectric.com/,+1 608-219-8522,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOGPhT3fXRJujBGs79FS2jAPo_kPyg0AcqVXWhR=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:20:55.100Z,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,,,
"https://www.google.com/maps/place/Beeline+Electric,+Inc./data=!4m7!3m6!1s0x8807acd4e9328f49:0x21f39c938e2dcdb1!8m2!3d43.040443!4d-89.3729513!16s%2Fg%2F12hl3h2dk!19sChIJSY8y6dSsB4gRsc0tjpOc8yE","Beeline Electric, Inc.",4.9,116,Electrician,"329 Coyier Ln Box 259071, Madison, WI 53725, United States","2JRG+5R Madison, Wisconsin, USA",https://beelineelectric.com/,+1 608-692-1448,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipOdAdZLayq3YNLbjS2_Uf2oaGWiJwHCFOLYu2rh=w408-h271-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:00.213Z,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4 pm,,,
"https://www.google.com/maps/place/Action+Plumbing,+Heating,+Air+Conditioning+and+Electric,+Inc./data=!4m7!3m6!1s0x8807adcc5f4a37c9:0xaf2686ed2d4687c7!8m2!3d43.0379595!4d-89.4523611!16s%2Fg%2F11y4tm54cb!19sChIJyTdKX8ytB4gRx4dGLe2GJq8","Action Plumbing, Heating, Air Conditioning and Electric, Inc.",4.9,1003,Heating contractor,"1338 S Midvale Blvd, Madison, WI 53711, United States","2GQX+53 Madison, Wisconsin, USA",https://www.iwantactionnow.com/madison?utm_source=gmb&utm_medium=organic&utm_campaign=GMB+Madison+WI,+1 608-291-7148,,https://lh3.googleusercontent.com/p/AF1QipNhMNL_v9fmW4HQYTTDEhV0WRiLuWfNcMG5WwJP=w462-h240-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:05.307Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/All+Comfort+Services/data=!4m7!3m6!1s0x8807b29044e32717:0x3b637ee26e6715b7!8m2!3d43.0401496!4d-89.2901301!16s%2Fg%2F1tfmctmy!19sChIJFyfjRJCyB4gRtxVnbuJ-Yzs,All Comfort Services,4.8,3408,HVAC contractor,"5245 Voges Rd, Madison, WI 53718, United States","2PR5+3W Madison, Wisconsin, USA",https://www.allcomfortservices.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Madison-WI,+1 608-286-3924,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNb4sVpZBB0bK5LIbBtKXUb72DzWkqCyasMrJYq=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:10.340Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Westphal+%26+Co+Inc./data=!4m7!3m6!1s0x880651aaf8676a4f:0xdd34e38e3f1ddd18!8m2!3d43.0541897!4d-89.2870441!16s%2Fg%2F1vd3wckb!19sChIJT2pn-KpRBogRGN0dP47jNN0,Westphal & Co Inc.,4.4,37,Electrician,"14 Marsh Ct, Madison, WI 53718, United States","3P37+M5 Madison, Wisconsin, USA",https://www.westphalec.com/,+1 608-222-0105,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMoDXQPJTKdogRW_xrkzqpsxwGJOpc7gTCtVhUm=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:15.385Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
"https://www.google.com/maps/place/Badger+Electric,+Inc./data=!4m7!3m6!1s0x88065245c4d9137b:0x797ea622445e97f7!8m2!3d43.0451044!4d-89.3472042!16s%2Fg%2F12625bfwk!19sChIJexPZxEVSBogR95deRCKmfnk","Badger Electric, Inc.",4.1,9,Electrician,"2000 Engel St #102, Monona, WI 53713, United States","2MW3+24 Monona, Wisconsin, USA",http://www.badgerelectric.com/,+1 608-661-4701,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sfXRZcZVqq6UWjgyMEeOMA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=12.599734&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:18.369Z,,,,,,,,,,
https://www.google.com/maps/place/Hill+Electric+Inc./data=!4m7!3m6!1s0x8807ad47dcb987cf:0xea326ab99f8993b6!8m2!3d43.0358751!4d-89.4082061!16s%2Fg%2F1tvgvxz0!19sChIJz4e53EetB4gRtpOJn7lqMuo,Hill Electric Inc.,3.9,59,Electrician,"1513 Emil St, Madison, WI 53713, United States","2HPR+9P Madison, Wisconsin, USA",https://www.hillelectricinc.com/,+1 608-256-2983,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPsHx_Nbe5YAaZya2YYBfewsTPomDpIKhBMoZyt=w422-h240-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:23.174Z,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4 pm,,,
"https://www.google.com/maps/place/Badger+Electric,+Inc./data=!4m7!3m6!1s0x8807ac2f6113bb6f:0x705309cb7c92232e!8m2!3d43.0476227!4d-89.4774476!16s%2Fg%2F1tkc77rr!19sChIJb7sTYS-sB4gRLiOSfMsJU3A","Badger Electric, Inc.",4.8,218,Electrician,"26 Schroeder Ct Suite 122, Madison, WI 53711, United States","2GXF+22 Madison, Wisconsin, USA",https://www.badgerelectric.com/,+1 608-661-4701,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNF5cVYGT9wzdhTufLF3EUNbfelb95jECSNo6Ky=w408-h271-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:27.977Z,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,
https://www.google.com/maps/place/Engine+Generator+Specialties/data=!4m7!3m6!1s0x880655fa407a918f:0xe29d17827bae0766!8m2!3d43.1668586!4d-89.3310494!16s%2Fg%2F1vd71xd0!19sChIJj5F6QPpVBogRZgeue4IXneI,Engine Generator Specialties,4.0,30,Electric generator shop,"4307 Acker Rd, Madison, WI 53704, United States","5M89+PH Madison, Wisconsin, USA",http://egsmadison.com/,,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMBPBEcBiwxU9yBDRgqtAFbdG7DF2YsCpbK9zol=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2026-01-10T23:21:32.982Z,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,· Delivery,,
