placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/PHS+Tree+Tenders/data=!4m7!3m6!1s0x89c6c6341bcdc65f:0x36ae099bc74ef743!8m2!3d39.9558628!4d-75.1730463!16s%2Fg%2F11b5yrlvrd!19sChIJX8bNGzTGxokRQ_dOx5sJrjY,PHS Tree Tenders,4.8,5,Tree service,"100 N 20th St, Philadelphia, PA 19103, United States","XR4G+8Q Philadelphia, Pennsylvania, USA",https://phsonline.org/programs/tree-programs,+1 215-988-8844,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFX8-Rfmq89motz-ppZGWJohRknP5aFj-ODgNN--wjNfU3YSzlGsryFHcI8ohBioRduYf4R4XZDo03l90AINnsZd9wSk9OUArKgZ00A3acZ_QaZQSQamm2yenZeHqUQmqpQlZaa=w408-h544-k-no,false,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:43:38.611Z,,,,,,,,,,,
https://www.google.com/maps/place/Prestige+Tree+Service/data=!4m7!3m6!1s0x89c6b644de06ffff:0xa02298019bbd2e6e!8m2!3d40.0190691!4d-75.0928808!16s%2Fg%2F11p0vxrwf1!19sChIJ__8G3kS2xokRbi69mwGYIqA,Prestige Tree Service,5.0,42,Tree service,"1101 Orthodox St, Philadelphia, PA 19124, United States","2W94+JR Philadelphia, Pennsylvania, USA",http://prestigetreesservices.com/,+1 215-770-1372,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAeyzIjq8N_zCJa5CkpzYPqMowXQ40tmvIPmWboGlirlsXf6GQeKLbSU5oXWFvDzRdgzSmTr4tBdlZCmvwaGYj5hfVNku6TSDUO4OwaZTdYgcxSum4ZCNDQvTLdEJj4AZWIfyzig=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:43:44.525Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/EAS+Landscaping/data=!4m7!3m6!1s0x89c6c7c76790a42f:0xf3e57b67897457a4!8m2!3d39.9704028!4d-75.1312348!16s%2Fg%2F11g69_7m0d!19sChIJL6SQZ8fHxokRpFd0iWd75fM,EAS Landscaping,5.0,61,Landscaper,"1211 E Oxford St, Philadelphia, PA 19125, United States","XVC9+5G Philadelphia, Pennsylvania, USA",http://www.easlh.com/,+1 267-670-0173,Closed · Opens 8:30 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGacjWhCpwJjDFd5X5DzKvRcWvjwwdjQF6huNsKeMVJeduvMewLXiCMExikUbp7DI7vEiRbvvb1pJz-cHdlKLptESqsAiukjnXNkiGl9pF0bbvOgwh-khzexKn8vyV6IGSD8b5aE6ydnxmw=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:43:49.422Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,,,,
"https://www.google.com/maps/place/Shechtman+Tree+Care,+LLC/data=!4m7!3m6!1s0x89c6c62dd0000001:0xe7bb6a66f4e8a1b2!8m2!3d40.0373164!4d-75.1852371!16s%2Fg%2F1v8l0ksc!19sChIJAQAA0C3GxokRsqHo9GZqu-c","Shechtman Tree Care, LLC",4.8,85,Tree service,"255 W Tulpehocken St, Philadelphia, PA 19144, United States","2RP7+WW Philadelphia, Pennsylvania, USA",,+1 215-776-8733,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFPeiO4Dtr-mYl5Xv-zp6G34MlBF-Y7poIwXG16kXs_yrtMKPAb73t0cKrmqgF8xG17jxLQ-B5GMpEVSb4HF8r3tcy65wlHIxGC0N4N0GQl5MQ8ufPLgO_G4V0GAHiyXwwlsIvd=w408-h545-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:43:54.217Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,Identifies as women-owned,,,
https://www.google.com/maps/place/McFarland+Landscape+Services+Inc/data=!4m7!3m6!1s0x89c6b84e9d9e78db:0x3f36886e9a1014f7!8m2!3d40.0373164!4d-75.1852371!16s%2Fg%2F1tflnd3l!19sChIJ23ienU64xokR9xQQmm6INj8,McFarland Landscape Services Inc,4.6,167,Tree service,"255 W Tulpehocken St, Philadelphia, PA 19144, United States","2RP7+WW Philadelphia, Pennsylvania, USA",https://www.mcfarlandtree.com/,+1 215-438-3970,Closed · Opens 8:30 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMaa_I2i2RYt0eOQFWunc7LJnHDSeuI4GP77J4062HlCngH1sHadxyBvfsfd55tNzUCJA7HRUPLEhVzdJ-dSBBr0wMTwDTHysechN1KHgcYxWjl5XehwEZTj7HAfdWiFFEZyPjXWNIj-aE=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:43:58.923Z,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,,,,
https://www.google.com/maps/place/Mercados+Landscape+%26+Tree+Service+LLC/data=!4m7!3m6!1s0x89c6c9d3ffffffff:0x75eb3df53ef81f19!8m2!3d40.0190722!4d-75.0929165!16s%2Fg%2F1hc3g6rrh!19sChIJ_____9PJxokRGR_4PvU963U,Mercados Landscape & Tree Service LLC,4.2,76,Tree service,"1101 Orthodox St, Philadelphia, PA 19124, United States","2W94+JR Philadelphia, Pennsylvania, USA",https://mercadoslandscaping.com/,+1 215-764-5509,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFbYZhZ9Vysfuk_jvjVi7vWAFNAjtJkCPixJI6D9NCvL_gLpPL81SgG3wC10ksI8c0JMwK416rh5OLjlY3oVS_744dDyND4D_Sl66oYZreEhRFw0v-nYHCw0TPqGA2y8qiW9Y0a=w408-h405-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:44:03.681Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,,
https://www.google.com/maps/place/Philly+Tree+Cutters/data=!4m7!3m6!1s0x89c6b9ddad149e59:0xbaff661d6358055a!8m2!3d40.0489685!4d-75.1787398!16s%2Fg%2F11mvb3f628!19sChIJWZ4Urd25xokRWgVYYx1m_7o,Philly Tree Cutters,4.8,25,Tree service,"200 E Johnson St, Philadelphia, PA 19144, United States","2RXC+HG Philadelphia, Pennsylvania, USA",http://phillytreecutters.com/,+1 724-995-8285,Temporarily closed,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHTuyXSu9K2H3LgnOlTcAtHW2bU4KPqbNmSgjNiY0xcFOsUaT2KOF7hdcDNWWGjYRm_eXPuludVNjW25z3Y4o-zGnf6s-BoIIhWkrNzibVkWb-5jfZ9PItG2USFdXlQW78cpziH=w408-h408-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:44:08.648Z,,,,,,,,,,,
https://www.google.com/maps/place/Rapid+Tree+Care/data=!4m7!3m6!1s0x89c6c7dfda655251:0x5ec7431e90baef4d!8m2!3d39.9309434!4d-75.1903444!16s%2Fg%2F11mzc3hpfp!19sChIJUVJl2t_HxokRTe-6kB5Dx14,Rapid Tree Care,4.9,50,Tree service,"2701 Moore St, Philadelphia, PA 19145, United States","WRJ5+9V Philadelphia, Pennsylvania, USA",https://rpdtreecare.com/philadelphia-pa-tree-service/,+1 215-857-8870,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEo0vnsme2Iy8359H8Bn3O65rXm2B9MMU41947wEeIV2HA4lLAj9qsCeJbDJUBaaT5kxGHMptLKvhGxMNt3d9f29vzxfrWiL7tL6NxanXD3yG0uPWJtbKvLrsY3oHKnNOPJCaB6MAZdQy6-=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:44:13.452Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Leopard+tree+services+LLC/data=!4m7!3m6!1s0x89c6c9acad84dd07:0xd5b5de519b24faeb!8m2!3d39.9880789!4d-75.1154298!16s%2Fg%2F11r12r8g1g!19sChIJB92ErazJxokR6_okm1HetdU,Leopard tree services LLC,4.8,23,Tree service,"2151 E Monmouth St, Philadelphia, PA 19134, United States","XVQM+6R Philadelphia, Pennsylvania, USA",,+1 267-456-0110,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjU0I3WLcsp3dr2M_kcTTlOzoS3Gh2GehYOGujTz_ny2wvFdNkyTVrwRrmXt8vKvK2FmOnV9PRXiyCYx2k-Ew85O9Fhbg5PKKiU8KpCp5Ge_u22pVtLOY6ndXLW15-X4Fbl4R0ow=w425-h240-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:44:18.118Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Land+Clearing+Philadelphia/data=!4m7!3m6!1s0x89c6c6ff08862d05:0x3d4ba9ee6beae88e!8m2!3d39.9617587!4d-75.2033792!16s%2Fg%2F1tfk9zst!19sChIJBS2GCP_GxokRjujqa-6pSz0,Land Clearing Philadelphia,,,Excavating contractor,"4029 Spring Garden St #1, Philadelphia, PA 19104, United States","XQ6W+PJ Philadelphia, Pennsylvania, USA",,+1 215-398-4782,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=684mQyefNjbsyLq3rP2hxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=357.66284&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/tree+service+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T05:44:22.752Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
