placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/SERVPRO+of+East+Sacramento+%2F+West+Arden-Arcade/data=!4m7!3m6!1s0x809adad4bad8274f:0x92e6f846fef65aff!8m2!3d38.5669087!4d-121.4668727!16s%2Fg%2F11cn7sjbc9!19sChIJTyfYutTamoAR_1r2_kb45pI,SERVPRO of East Sacramento / West Arden-Arcade,4.8,53,Water damage restoration service,"3128 O St #1, Sacramento, CA 95816, United States","HG8M+Q7 Sacramento, California, USA",https://www.servpro.com/locations/ca/servpro-of-east-sacramento-west-arden-arcade?utm_medium=organic&utm_source=gbp,+1 916-285-7257,,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwep6mTpt1_TEEgCy_SLYwoVgfgAV2vQpD362C2GlDtnwSD1yT4GhiaLhJb-PdmE2FKfujE2VeQ5EWOrx4e7B38gPS3AG4V8uKUQB2KYEsdgxJdPOcs6QGJ151zGHQz9B46bvUNUzSBRKqQAx=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:24:56.043Z,,
https://www.google.com/maps/place/BluSky+Restoration+Contractors/data=!4m7!3m6!1s0x809b1edf0fece579:0x4465fb5e307ffe2b!8m2!3d38.5959569!4d-121.4619804!16s%2Fg%2F11dzdj_6yc!19sChIJeeXsD98em4ARK_5_MF77ZUQ,BluSky Restoration Contractors,4.8,20,Building restoration service,"221 Lathrop Way Ste. L, Sacramento, CA 95815, United States","HGWQ+96 Sacramento, California, USA",https://goblusky.com/locations/sacramento-ca/,+1 916-251-5900,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-fGZBjhaDBwzVZdZxqdCT-IO3b9Ko4s5YZC7iqucO7UesO_I2o-642gwSfhZuKp0I9rR1FO6taDs8DxYESpr6AbA-H3qh5VbjOM69csJF3tRsrSfqVwocI7Xka7QjYuo6j-AGTmfyH5dZ=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:01.583Z,,
https://www.google.com/maps/place/All+Dry+Services/data=!4m7!3m6!1s0x809ad1ec5ead996b:0xf7e1d03f9643dbda!8m2!3d38.597312!4d-121.4484399!16s%2Fg%2F11vrz47n2b!19sChIJa5mtXuzRmoAR2ttDlj_Q4fc,All Dry Services,4.9,54,Water damage restoration service,"1779 Tribute Rd K, Sacramento, CA 95815, United States","HHW2+WJ Sacramento, California, USA",https://www.myalldry.com/sacramento-california/,+1 916-618-0822,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYKR5CGx_GHzLP6jty0wJWbmgNF2vUAzZVte9-MyOjc5xZU-N3wP_n05cYA-4gV6mxo7QtmJfew1XIFsiE6wFVHQ6po5iZm0sWtKNqGj7_NPZDgse70wNzMqY0WoHV_iqV-YAGSQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:06.505Z,,
https://www.google.com/maps/place/Sacramento+Water+Restoration/data=!4m7!3m6!1s0x809ad12eafb07155:0xed71c5b2c7b70cca!8m2!3d38.5760086!4d-121.5152514!16s%2Fg%2F1262dhxh1!19sChIJVXGwry7RmoARygy3x7LFce0,Sacramento Water Restoration,5.0,10,Water damage restoration service,"911 Bridge St, West Sacramento, CA 95691, United States","HFGM+CV West Sacramento, California, USA",,+1 279-255-1280,Closed · Opens 6 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqC214Lp5XGjGFpNf8qmSUuJG4XFGsGLavQSMzZymgkTwgnS288ed3wZccIt9JzB7ZnLwKK-K-sXlswJbofssaET0M45-rw6qah3oI1Tc2NSQ_vGuT_A3mOICeGFAM1qNcnJizD=w408-h272-k-no,true,8 am–8 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:11.146Z,,
https://www.google.com/maps/place/West+Coast+Fire+%26+Water/data=!4m7!3m6!1s0x809ad3c83e0622c7:0x74808734ae5b98cc!8m2!3d38.5685278!4d-121.5474989!16s%2Fg%2F11rbtx549p!19sChIJxyIGPsjTmoARzJhbrjSHgHQ,West Coast Fire & Water,4.9,208,Fire damage restoration service,"2798 Industrial Blvd, West Sacramento, CA 95691, United States","HF93+C2 West Sacramento, California, USA",https://westcoastfireandwater.com/,+1 916-866-8185,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7MiaKlMUEchEnWWqeI2IJIB80QDUXhkl5QLv6AVCLrHkjLP563t_ZgLUAqxEel2Sl2zloLwc2nUVTwHJ2eoNV6jQM4epajGwyT8KFiQqrGarrEO_znEnT7-ojxO-J53nOE0eD=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:15.902Z,,
https://www.google.com/maps/place/Castillo+Water+Damage+Excellence/data=!4m7!3m6!1s0x809ad1db9a8142ab:0x97287c5d2dee1746!8m2!3d38.571615!4d-121.4803159!16s%2Fg%2F11xcf1t3jz!19sChIJq0KBmtvRmoARRhfuLV18KJc,Castillo Water Damage Excellence,5.0,4,Water damage restoration service,"2108 N St STE N, Sacramento, CA 95816, United States","HGC9+JV Sacramento, California, USA",,+1 916-644-7579,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoQi0wAXAWADkBq_PTAmFdMsMlCpDfMBzrl6TYVbZsjLJE3SpauXPPWBIcLtRR914uIiIWLbedsoKgRRqHP-tNGgA2cybQYbOuN9-pbESx-55U4HYPeWwCPX1360wf-_U00CRCbZwWqfSrK=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:20.701Z,,
https://www.google.com/maps/place/24hr+Water+Damage+Experts+LLC/data=!4m7!3m6!1s0x809ad13d65ab8d2d:0x27b7e9d48b4f1fc!8m2!3d38.571615!4d-121.4803159!16s%2Fg%2F11yzpfkhl9!19sChIJLY2rZT3RmoAR_PG0SJ1-ewI,24hr Water Damage Experts LLC,,,Water damage restoration service,"2108 N St STE N, Sacramento, CA 95816, United States","HGC9+JV Sacramento, California, USA",,,"Open 24 hours

Updated by this business 5 weeks ago",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HBxZVaMy3eIQd3Sx0TpSmA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.8411&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:25.236Z,,
https://www.google.com/maps/place/Fast+Mold+Testing+-+Sacramento/data=!4m7!3m6!1s0x4044916710c781ff:0xb73dd923cb772571!8m2!3d38.5523276!4d-121.447236!16s%2Fg%2F11wvqrv0rc!19sChIJ_4HHEGeRREARcSV3yyPZPbc,Fast Mold Testing - Sacramento,4.9,61,Home inspector,"4932 Y St, Sacramento, CA 95817, United States","HH23+W4 Sacramento, California, USA",https://fastmoldtesting.com/sacramento,+1 424-274-7425,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepmQq69vHmY7tcRDHBlg4rmG64wsgeokogumgQCsFVoVlEWrRzUHxTMa_QO4KMpFLOJpShYnFJ8q6WDa69wYLDYTAeAZtV-sA0CaIUGkRu8KDYqhf5U1uYUtB2nnJ3bI6ntdX8S=w408-h384-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:29.883Z,,
https://www.google.com/maps/place/Blue+Rescue/data=!4m7!3m6!1s0x809ad1c849be62f9:0x3a3d0ca95953b787!8m2!3d38.5790572!4d-121.4785784!16s%2Fg%2F11w3mw6cps!19sChIJ-WK-ScjRmoARh7dTWakMPTo,Blue Rescue,5.0,2,Water damage restoration service,"2001 H St, Sacramento, CA 95811, United States","HGHC+JH Sacramento, California, USA",https://bluerescue.com/,+1 916-295-6981,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq5H0xzEalrffZvsNYutBUJkgNEvQIO3FD4BZnzsuInQoY35gFUf0OZhxMJITKSCuRPJCeupwA3TPHIH5CNTNntU22EapwDT5LKcPlgVWsH4XavpJTJnQCsHRxTE0VX-i2JX0CV=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:34.714Z,,
https://www.google.com/maps/place/ABR+Blue+Water+LLC/data=!4m7!3m6!1s0x809ad11b7fd04163:0x6b9566ed88c9aa58!8m2!3d38.5716865!4d-121.4801852!16s%2Fg%2F11ms438qmq!19sChIJY0HQfxvRmoARWKrJiO1mlWs,ABR Blue Water LLC,,,Water damage restoration service,"2108 N St #7367, Sacramento, CA 95816, United States","HGC9+MW Sacramento, California, USA",,,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WmyrkT6oVLNtcJ7Mi9Q8LA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=180.63016&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Sacramento+Sacramento+CA/@38.5781342,-121.4944209,14z",2026-03-23T05:25:39.284Z,,
