placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,isBlackOwned,attributes,info,error
https://www.google.com/maps/place/Queen+City+Generator+Service/data=!4m7!3m6!1s0x8840352ca7b1e04f:0xb2a8f6c236e01c8c!8m2!3d39.2531651!4d-84.6150833!16s%2Fg%2F11sjg2fym1!19sChIJT-Cxpyw1QIgRjBzgNsL2qLI,Queen City Generator Service,5.0,11,Electric generator shop,"9801 Island View Ln, Cincinnati, OH 45252, United States","793M+7X Cincinnati, Ohio, USA",http://qcgenservice.com/,+1 513-680-0614,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipM6g0Z9q-PYaymuxRTvgT413bHRkbUrfu261Wk=w408-h306-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:01.894Z,,,,
https://www.google.com/maps/place/Apollo+Home/data=!4m7!3m6!1s0x8841b2e80da6b2f3:0xd06f6994cf31c3ab!8m2!3d39.1592516!4d-84.4168728!16s%2Fg%2F1tdq1tlh!19sChIJ87KmDeiyQYgRq8Mxz5Rpb9A,Apollo Home,4.9,15488,HVAC contractor,"4538 Camberwell Rd, Cincinnati, OH 45209, United States","5H5M+P7 Cincinnati, Ohio, USA",https://apollohome.com/service-area/ohio/cincinnati/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business,+1 513-223-3957,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNKMFoIhBemCVLhioJiJKrog199JpXM2Q2qLJTY=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:07.226Z,,,,
https://www.google.com/maps/place/Paff+Electric+%26+Solar/data=!4m7!3m6!1s0x8841cbbc38b3d7e9:0x4d98f7b6dcb0623d!8m2!3d39.137268!4d-84.6222898!16s%2Fg%2F11q95b5w7p!19sChIJ6dezOLzLQYgRPWKw3Lb3mE0,Paff Electric & Solar,4.9,196,Electrician,"3636 Muddy Creek Rd, Cincinnati, OH 45238, United States","49PH+W3 Cincinnati, Ohio, USA",https://www.paffelectricandsolar.com/?utm_source=gmb&utm_medium=organic,+1 513-273-7343,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipN2nHpaznYeZqgP9oEgrys9O060zm1Gwkqpfz6g=w408-h544-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:12.697Z,,,,
https://www.google.com/maps/place/Cooper+Electric/data=!4m7!3m6!1s0x8841b4f4469c005d:0x225d2f157d82b146!8m2!3d39.1554124!4d-84.5469418!16s%2Fg%2F124sy3m6z!19sChIJXQCcRvS0QYgRRrGCfRUvXSI,Cooper Electric,4.6,298,Electrician,"1769 Elmore St, Cincinnati, OH 45223, United States","5F43+56 Cincinnati, Ohio, USA",http://cooper-electric.net/,+1 513-271-5000,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPCb0pxz1WExkCjjg5htrpHWlb28bIrpTepBH1F=w426-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:17.636Z,,,,
"https://www.google.com/maps/place/Cincinnati+Generator+%26+Electric+LLC/@39.1365839,-84.540972,12z/data=!3m1!4b1!4m6!3m5!1s0x8841cb98ed6c5b95:0xb71356d39e2b3479!8m2!3d39.1365839!4d-84.540972!16s%2Fg%2F1tj2p41q",Cincinnati Generator & Electric LLC,5.0,6,Electrician,,,http://cincinnatigenerator.com/,+1 513-623-6181,Closed · Opens 9 am Mon,,true,Closed,Closed,9 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:24.360Z,,,,
https://www.google.com/maps/place/Lipps+Electric+Services/data=!4m7!3m6!1s0x884034a69abf2c11:0xdebddf204bf13f5d!8m2!3d39.2947916!4d-84.5322693!16s%2Fg%2F1tl7pd53!19sChIJESy_mqY0QIgRXT_xSyDfvd4,Lipps Electric Services,4.9,773,Electrician,"11880 Kemper Springs Dr, Cincinnati, OH 45240, United States","7FV9+W3 Cincinnati, Ohio, USA",https://ronlippselectric.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 513-216-4206,"Open 24 hours

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMzBTLqGmomHSYxT2y9pHFKDuVqwwBHHGY8TdFq=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:29.377Z,,,,
https://www.google.com/maps/place/ElectricMasters/data=!4m7!3m6!1s0x8841b122aa4adcd3:0xd36325c41d4092cf!8m2!3d39.0766927!4d-84.5013799!16s%2Fg%2F1tcvck_j!19sChIJ09xKqiKxQYgRz5JAHcQlY9M,ElectricMasters,4.3,76,Electrician,"339 Pleasant St, Covington, KY 41011, United States","3FGX+MC Covington, Kentucky, USA",http://electricmasters.com/,+1 859-291-6999,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOf2IYdqf0XhDmnHb7rh4o_ceisODrvNXOl3AOi=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:34.381Z,,,,
https://www.google.com/maps/place/Riverside+Electric+Inc./data=!4m7!3m6!1s0x88404ddd45af9ff5:0x3e6b822df54fbf22!8m2!3d39.2629502!4d-84.4603409!16s%2Fg%2F1v5_b338!19sChIJ9Z-vRd1NQIgRIr9P9S2Caz4,Riverside Electric Inc.,4.8,108,Electrician,"680 Redna Terrace, Cincinnati, OH 45215, United States","7G7Q+5V Cincinnati, Ohio, USA",https://riverside-elec.com/,+1 513-936-0100,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMQHBfkqyuS6DNclm8vD0ivmW24QIy-MU5KWkXp=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:39.250Z,,,,
https://www.google.com/maps/place/Cincinnati+Electrical+Repair+LLC/data=!4m7!3m6!1s0x8841b3c3a0ab962b:0x59743e4ec2fe03f5!8m2!3d39.1181772!4d-84.521046!16s%2Fg%2F11fsz_6fw3!19sChIJK5aroMOzQYgR9QP-wk4-dFk,Cincinnati Electrical Repair LLC,4.9,65,Tool repair shop,"2023 Elm St, Cincinnati, OH 45202, United States","4F9H+7H Cincinnati, Ohio, USA",http://cincinnatielectricalrepair.com/,+1 513-621-2183,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipNISSoAmfZwR3uMh49J2PkG9L-Nuj6cen599tW-=w426-h240-k-no,true,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:44.357Z,,,,
https://www.google.com/maps/place/Ground+Zero+Electric+LLC/data=!4m7!3m6!1s0x8841b1b0bb3055dd:0x7831444561671221!8m2!3d39.0985802!4d-84.5161155!16s%2Fg%2F11lzm4xmxx!19sChIJ3VUwu7CxQYgRIRJnYUVEMXg,Ground Zero Electric LLC,5.0,25,Electrician,"311 Elm St Suite 270-1590, Cincinnati, OH 45202, United States","3FXM+CH Cincinnati, Ohio, USA",http://www.gz-electric.com/,,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMxorACYg4X4_XSzwIU1NIwqF6mpSOprl8-tXQK=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-01-10T21:24:49.287Z,true,,,
