placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,error,isBlackOwned,attributes
https://www.google.com/maps/place/Alvita+Home+Care/data=!4m7!3m6!1s0x89c253a8f926c063:0x853644b27886f037!8m2!3d40.7344661!4d-74.1656949!16s%2Fg%2F11h_15830y!19sChIJY8Am-ahTwokRN_CGeLJENoU,Alvita Home Care,4.9,19,Home health care service,"1 Gateway Ctr Suite 2600, Newark, NJ 07102, United States","PRMM+QP Newark, New Jersey, USA",https://alvitacare.com/,+1 973-284-7284,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipOk13mBaM-NhljVy-Zzm_j2ckBG-rTyPk3_JzVO=w773-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:22.991Z,,,
https://www.google.com/maps/place/Barnabas+Health+Home+Care+and+Hospice/data=!4m7!3m6!1s0x89c3ab3cdb9b0167:0xe7fb94376e297e63!8m2!3d40.7799697!4d-74.2385187!16s%2Fg%2F1tdq6z2p!19sChIJZwGb2zyrw4kRY34pbjeU--c,Barnabas Health Home Care and Hospice,2.5,13,Home health care service,"80 Main St Suite 210, West Orange, NJ 07052, United States","QQH6+XH West Orange, New Jersey, USA",,+1 800-862-3330,Open ⋅ Closes 11:30 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7yQI5M9IsdDoiReTNWWcLA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.7432&pitch=0&thumbfov=100,true,12 am–11:30 pm,12 am–11:30 pm,12 am–11:30 pm,12 am–11:30 pm,12 am–11:30 pm,12 am–11:30 pm,12 am–11:30 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:28.782Z,,,
https://www.google.com/maps/place/New+Vista+Nursing+and+Rehabilitation+Center/data=!4m7!3m6!1s0x89c2546065d22e99:0x749c3e21051220a3!8m2!3d40.7612204!4d-74.1692305!16s%2Fg%2F1tjyvhzz!19sChIJmS7SZWBUwokRoyASBSE-nHQ,New Vista Nursing and Rehabilitation Center,3.5,109,Nursing home,"300 Broadway, Newark, NJ 07104, United States","QR6J+F8 Newark, New Jersey, USA",https://newvistanursing.com/,+1 973-484-4222,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nredGevJv8QYXXQQjPrwWTe0x9Ecxb1sDL-VhuNkOABz0PyvzRomCF5sWxVO28x_2xfytZDLXQFy4Kv0qcmE6KwbD9gZqgaWM_5LiT34SsW5I71XYWoSxC4GDgvjwkj9_pOkbQC_ZdzNT5O=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:34.783Z,,,
https://www.google.com/maps/place/University+Hospital/data=!4m7!3m6!1s0x89c253674088ebdb:0xdf0ebe798c918602!8m2!3d40.740324!4d-74.1893163!16s%2Fm%2F02vp_cq!19sChIJ2-uIQGdTwokRAoaRjHm-Dt8,University Hospital,2.3,1153,University hospital,"150 Bergen St, Newark, NJ 07103, United States","PRR6+47 Newark, New Jersey, USA",https://www.uhnj.org/,+1 973-972-4300,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipOJLu2jbWxvyMa0M8scjH7Abbv925W2abD4O49P=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:40.053Z,,,
"https://www.google.com/maps/place/Cathedral+Healthcare+Services/@40.7438855,-74.1747061,17z/data=!3m1!4b1!4m6!3m5!1s0x89c25481ef29bac3:0xe17c4b51c0040afd!8m2!3d40.7438855!4d-74.1747061!16s%2Fg%2F1tzgq3j6",Cathedral Healthcare Services,5.0,1,Mental health service,"268 Dr Martin Luther King Jr Blvd, Newark, NJ 07102, United States","PRVG+H4 Newark, New Jersey, USA",,+1 973-242-6274,,,,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:44.862Z,,,
https://www.google.com/maps/place/Gardens+Care+%26+Rehabilitation+Center+%28Windsor+Gardens%29/data=!4m7!3m6!1s0x89c254bf166436a1:0xd1e914df48c16ca5!8m2!3d40.7640829!4d-74.1987825!16s%2Fg%2F1tfqb3yj!19sChIJoTZkFr9UwokRpWzBSN8U6dE,Gardens Care & Rehabilitation Center (Windsor Gardens),2.3,21,Rehabilitation center,"140 Park Ave, East Orange, NJ 07017, United States","QR72+JF East Orange, New Jersey, USA",,+1 973-677-1500,Open ⋅ Closes 10 pm,,https://lh3.googleusercontent.com/p/AF1QipP9NP-HB7cMLA3zTTr27hk2Acf62BiYTxYTDl7m=w408-h274-k-no,true,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,7:30 am–10 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:49.694Z,,,
https://www.google.com/maps/place/Newark+Community+Health+Centers/data=!4m7!3m6!1s0x89c2544de53f5b93:0x9ba7162a52cdb8e9!8m2!3d40.7752136!4d-74.1587187!16s%2Fg%2F1tdcsfsj!19sChIJk1s_5U1UwokR6bjNUioWp5s,Newark Community Health Centers,3.8,621,Medical clinic,"741 Broadway, Newark, NJ 07104, United States","QRGR+3G Newark, New Jersey, USA",http://healthcenterclinics.org/newark-nj/,+1 973-483-1300,Closed ⋅ Opens 9 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrP-0BzlpqSEg44woFPTv1JStdud5ftAVh7SlI_7COTEZjPI-nPktv3LiuITvrovRa0GsKp6ajXc05cZkA_uW4skInzZ083ZqlimX_ISI0m0zRE4K_jUFELysmXdAUMrb1z6eXfNQ=w532-h240-k-no,false,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,9 am–1 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:02:54.926Z,,,
"https://www.google.com/maps/place/Barnabas+Health+Home+Care+and+Hospice/@40.7637078,-74.3012901,17z/data=!3m1!4b1!4m6!3m5!1s0x89c3abf9c13783a5:0xdf7c530f0e7201a7!8m2!3d40.7637078!4d-74.3012901!16s%2Fg%2F1262mv1fz",Barnabas Health Home Care and Hospice,5.0,1,Hospice,"95 Old Short Hills Rd, West Orange, NJ 07052, United States","QM7X+FF West Orange, New Jersey, USA",http://www.barnabashealth.org/Specialty-Services/Home-Care-and-Hospice.aspx,+1 888-724-7123,Open 24 hours,,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:03:01.799Z,,,
https://www.google.com/maps/place/Center+For+Hope+Hospice/data=!4m7!3m6!1s0x89c3b2aef6555b2b:0x2bc32f893d04d314!8m2!3d40.6634837!4d-74.2255903!16s%2Fg%2F1tc_0g4g!19sChIJK1tV9q6yw4kRFNMEPYkvwys,Center For Hope Hospice,4.6,31,Assisted living facility,"111 Dehart Pl, Elizabeth, NJ 07202, United States","MQ7F+9Q Elizabeth, New Jersey, USA",http://www.cfhh.org/,+1 908-353-6060,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6Z3RI-p9aXTc6YQWbRngFmWo6qfJYfrVdjiNeGJr1QRKYGyjv025XuGjxFH_ACNWyxzL1brTZfEkNKbUaAwxcjRTIUaVz4t4Dvrw3HdKhN7uvhfE_4CXjz8KlVmtF9RlYHO34LA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:03:06.686Z,,,
https://www.google.com/maps/place/Serenity+Hospice/data=!4m7!3m6!1s0x89c3ad0beff147d5:0xaa27774523ad27bb!8m2!3d40.7104783!4d-74.3071233!16s%2Fg%2F11h04mz32p!19sChIJ1Ufx7wutw4kRuyetI0V3J6o,Serenity Hospice,3.5,8,Hospice,"150 Morris Ave #301, Springfield, NJ 07081, United States","PM6V+55 Springfield, New Jersey, USA",https://serenityhospicenj.com/,+1 609-227-2400,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eBQuazwvLYkzi8TFzDnPxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.39812&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Newark+NJ/@40.7483847,-74.189084,14z",2025-09-18T00:03:11.551Z,,,
