placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,isBlackOwned
https://www.google.com/maps/place/Thornburg+Glenn+T+CPA/data=!4m7!3m6!1s0x88fe73c052b15f7b:0xbfb8080ba8813166!8m2!3d32.7776096!4d-79.8100733!16s%2Fg%2F125_t5njs!19sChIJe1-xUsBz_ogRZjGBqAsIuL8,Thornburg Glenn T CPA,,,Tax preparation service,"103 Palm Blvd # 2A, Isle of Palms, SC 29451, United States","Q5HQ+2X Isle of Palms, South Carolina, USA",http://www.thornburgcpa.com/,+1 843-886-6686,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XGAVl7QxKjAZnz-ieeR4bA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.78085&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:19.821Z,,,,,,,,,
https://www.google.com/maps/place/Ilderton+Bookkeeping+%26+Coaching/data=!4m7!3m6!1s0x88fe711f03049ebd:0xb16ccf2c5218844a!8m2!3d32.72514!4d-80.0263742!16s%2Fg%2F11jgd839s5!19sChIJvZ4EAx9x_ogRSoQYUizPbLE,Ilderton Bookkeeping & Coaching,5.0,14,Bookkeeping service,,,http://www.ildertonbookkeepingllc.com/,,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npJt1t3WLIGF6IGqcxYMOZ4tyJisCY-Nw-Hi7ZfQWlsT6i2al-LZDceSeS1C67Ox-OIpiV8Rry7l2T2YZyfDj8Q9n5-U1J01y15yb821O6hsrylo0uUFbx2U7eV_6BlIs2EzR6N=w408-h612-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:25.903Z,Closed,8 am–4:30 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
https://www.google.com/maps/place/Solomon+Hardwick+CPAs/data=!4m7!3m6!1s0x88fe7900fff84163:0x8791adfc5ef61cc8!8m2!3d32.7535406!4d-79.9726784!16s%2Fg%2F1tcyg9w1!19sChIJY0H4_wB5_ogRyBz2XvytkYc,Solomon Hardwick CPAs,5.0,6,Tax preparation service,"525 Folly Rd Suite 201, Charleston, SC 29412, United States","Q23G+CW Charleston, South Carolina, USA",https://www.solomonhardwick.cpa/,+1 843-406-6680,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UIOATbT_gnmVqWPTBHg7Wg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.10477&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:28.772Z,,,,,,,,,
https://www.google.com/maps/place/Zubrowski+%26+Associates/data=!4m7!3m6!1s0x88fe7b296dc00981:0x9ed165fa8e3b7c4d!8m2!3d32.7874848!4d-79.956298!16s%2Fg%2F11qnvpmzhr!19sChIJgQnAbSl7_ogRTXw7jvpl0Z4,Zubrowski & Associates,4.9,53,Accounting firm,"22 Westedge St Suite 400, Charleston, SC 29403, United States","Q2PV+XF Charleston, South Carolina, USA",https://zubrowskiassociates.com/,+1 843-408-0308,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UECSYngvpXLQY8mjh72iQA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.83297&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:31.672Z,,,,,,,,Identifies as women-owned,
https://www.google.com/maps/place/Elizabeth+N.+Bartlett+CPA+LLC/data=!4m7!3m6!1s0x88fe6ffba6d29edf:0xe60646b4fb2b40d4!8m2!3d32.8593217!4d-79.9106395!16s%2Fg%2F11bbrm1gm_!19sChIJ357Spvtv_ogR1EAr-7RGBuY,Elizabeth N. Bartlett CPA LLC,4.8,32,Certified public accountant,"260-G Seven Farms Drive (Office, 295 Seven Farms Drive C278, Charleston, SC 29492, United States","V35Q+PP Charleston, South Carolina, USA",http://www.cpa-di.com/,+1 843-471-1132,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yHPSR41P-DIb2kZfVJya7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.6731&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:36.725Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
"https://www.google.com/maps/place/Onyx+Tax,+LLC/data=!4m7!3m6!1s0x88fe719860a8310d:0x3c8a78a163688614!8m2!3d32.7772427!4d-79.9263782!16s%2Fg%2F11c1s2wc44!19sChIJDTGoYJhx_ogRFIZoY6F4ijw","Onyx Tax, LLC",5.0,42,Accountant,"6 Gillon St #2, Charleston, SC 29401, United States","Q3GF+VC Charleston, South Carolina, USA",http://www.onyxtax.com/,+1 843-990-8290,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPjKRn-aLJwXB3W6_SUuaIEUGvMSL2nbP3NBxA=w408-h612-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:41.564Z,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,Closed,,
"https://www.google.com/maps/place/Robert+Majernik,+CPA/@32.8097156,-79.8507335,17z/data=!3m1!4b1!4m6!3m5!1s0x88fe7bec7d20d60d:0x8707820ef58fceb7!8m2!3d32.8097156!4d-79.8507335!16s%2Fg%2F11hckjzjww","Robert Majernik, CPA",4.3,6,Accounting firm,"1156 Bowman Rd #200, Mt Pleasant, SC 29464, United States","R45X+VP Mt Pleasant, South Carolina, USA",https://rwm-cpa.com/,+1 843-860-7339,,,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:46.419Z,,,,,,,,,
"https://www.google.com/maps/place/Elliott+%26+Painter,+LLP+-+CPA+Firm+in+Charleston/data=!4m7!3m6!1s0x88fe71d6eb4a68d9:0xa2960f13c7299432!8m2!3d32.8008918!4d-79.8911461!16s%2Fg%2F11l5jtbvyr!19sChIJ2WhK69Zx_ogRMpQpxxMPlqI","Elliott & Painter, LLP - CPA Firm in Charleston",4.8,17,Certified public accountant,"950 Houston Northcutt Blvd Suite 105, Mt Pleasant, SC 29464, United States","R425+9G Mt Pleasant, South Carolina, USA",https://www.elliottpainter.com/charleston-cpas,+1 843-972-8047,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOPcxxWr7X9eBleN6tsZmtGhQ-Fx_-QdXG-MY55=w408-h272-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:51.657Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,,
"https://www.google.com/maps/place/Johnson+Tax+%26+Accounting+Solutions,+LLC/data=!4m7!3m6!1s0x88fe714be9b78353:0xd887380c86c6d843!8m2!3d32.7922544!4d-79.8790183!16s%2Fg%2F11gx_dv955!19sChIJU4O36Utx_ogRQ9jGhgw4h9g","Johnson Tax & Accounting Solutions, LLC",5.0,2,Accounting firm,"410 Mill St #201, Mt Pleasant, SC 29464, United States","Q4RC+W9 Mt Pleasant, South Carolina, USA",http://stevenjohnsoncpas.com/,+1 843-388-5429,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMjrQQvS8tDnVEqFNFU3AyP68gXnSFs6gj2yiAY=w493-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:15:56.574Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,
https://www.google.com/maps/place/Stephen+Camp+CPA+LLC/data=!4m7!3m6!1s0x88fe716d59db37cd:0x98995b602f521d0b!8m2!3d32.8105839!4d-79.8526493!16s%2Fg%2F1q6kk6rw5!19sChIJzTfbWW1x_ogRCx1SL2BbmZg,Stephen Camp CPA LLC,4.5,50,Certified public accountant,"1125 Bowman Rd #529C, Mt Pleasant, SC 29464, United States","R46W+6W Mt Pleasant, South Carolina, USA",http://www.rsccpa.net/,+1 843-375-8804,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMiuNgy2AfhmqsnbnDFkIesqoD8wufLopasbu16=w408-h306-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-10-19T15:16:01.612Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,
