placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,error,info
"https://www.google.com/maps/place/Methodist+Hospice+Residence/@35.0748527,-89.8490408,17z/data=!3m1!4b1!4m6!3m5!1s0x887f9ad31a69049b:0xb5e304d881a199b1!8m2!3d35.0748527!4d-89.8490408!16s%2Fg%2F1trrdzbd",Methodist Hospice Residence,4.7,24,Hospice,"6416 Quince Rd, Memphis, TN 38119, United States","35F2+W9 Memphis, Tennessee, USA",https://www.methodisthealth.org/locations/methodist-hospice-residence,+1 901-818-2100,,,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:22.847Z,,,,,,,,,
"https://www.google.com/maps/place/Goshen+Hospice+and+Palliative+Care/@35.063556,-89.7981266,17z/data=!3m1!4b1!4m6!3m5!1s0x887f9b64c90f2c5b:0xb167faa455f89468!8m2!3d35.063556!4d-89.7981266!16s%2Fg%2F11j2ys30bx",Goshen Hospice and Palliative Care,,,Hospice,"7936 Players Forest Dr, Memphis, TN 38119, United States","3672+CP Memphis, Tennessee, USA",,+1 901-795-5949,Open 24 hours,,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:30.046Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Compassus/data=!4m7!3m6!1s0x887f83189613238b:0x3efd7d16353a6150!8m2!3d35.090524!4d-89.8694775!16s%2Fg%2F11cs4ybf28!19sChIJiyMTlhiDf4gRUGE6NRZ9_T4,Compassus,4.6,10,Hospice,"1755 Lynnfield Rd Suite 108, Memphis, TN 38119, United States","34RJ+66 Memphis, Tennessee, USA",https://www.compassus.com/locations/tennessee/memphis/?utm_source=google?utm_medium=gbp,+1 901-460-2974,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipPM3O-0unfU3nNYSQ9BdHTgoQSt4qeoucjgjgXM=w408-h365-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:34.862Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,
https://www.google.com/maps/place/AccentCare+Hospice/data=!4m7!3m6!1s0x887f8514423f5a0b:0xd506a30cc01bd250!8m2!3d35.1083284!4d-89.8691456!16s%2Fg%2F11stnhr2fs!19sChIJC1o_QhSFf4gRUNIbwAyjBtU,AccentCare Hospice,2.3,3,Hospice,"855 Ridge Lake Blvd Suite 604, Memphis, TN 38120, United States","445J+88 Memphis, Tennessee, USA",https://www.accentcare.com/,+1 901-203-8204,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h56ihHCNlGFVRqpo0GyOoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.2487764&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:37.820Z,,,,,,,,,
https://www.google.com/maps/place/Gentiva+Hospice/data=!4m7!3m6!1s0x887f8360e8ee15d5:0x7a995454cb141671!8m2!3d35.0767731!4d-89.901274!16s%2Fg%2F11ghn72j0d!19sChIJ1RXu6GCDf4gRcRYUy1RUmXo,Gentiva Hospice,4.3,6,Hospice,"2650 Thousand Oaks Blvd #2400, Memphis, TN 38118, United States","33GX+PF Memphis, Tennessee, USA",http://www.gentivahs.com/,+1 901-384-9182,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOgDiiDsOdDsu13lR-JJ_o4DIl64cO3NXLnJjM=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:42.231Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Crossroads+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x887f832833cd524f:0x509dc20636159ea1!8m2!3d35.1700185!4d-89.8583263!16s%2Fg%2F1tf6mzbv!19sChIJT1LNMyiDf4gRoZ4VNgbCnVA,Crossroads Hospice & Palliative Care,3.2,20,Hospice,"1669 Shelby Oaks Dr Suite 106, Memphis, TN 38134, United States","54CR+2M Memphis, Tennessee, USA",https://www.crossroadshospice.com/locations/tennessee/memphis-tn/?utm_source=google&utm_medium=referral&utm_campaign=gbp-memphis-tn,+1 901-446-4887,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPzLyZufDvgfcML45wOpQZq8AZ3-5yylU_YRJLW=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:46.656Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/The+Pointe+at+Kirby+Gate+Assisted+Living+and+Memory+Care/data=!4m7!3m6!1s0x887f9acd8cc73e43:0x40217fb964f2bf13!8m2!3d35.0712308!4d-89.8469815!16s%2Fg%2F1vysx8w4!19sChIJQz7HjM2af4gRE7_yZLl_IUA,The Pointe at Kirby Gate Assisted Living and Memory Care,3.7,27,Assisted living facility,"6480 Quince Rd, Memphis, TN 38119, United States","35C3+F6 Memphis, Tennessee, USA",https://www.pointeatkirbygateassistedliving.com/,+1 901-584-0211,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOQtNoSkp-1oIuuxFAg-_dh7Oj5BV_QM-MjaaES=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:51.175Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Baptist+Medical+Group-The+Light+Clinic/data=!4m7!3m6!1s0x887f9b9af9d4bd35:0xa5e924d83155d3fc!8m2!3d35.1131283!4d-89.8054964!16s%2Fg%2F1td48r6l!19sChIJNb3U-Zqbf4gR_NNVMdgk6aU,Baptist Medical Group-The Light Clinic,4.9,561,Medical clinic,"7715 Wolf River Blvd, Germantown, TN 38138, United States","457V+7R Germantown, Tennessee, USA",https://www.primarycarememphis.com/,+1 901-328-6031,Closed ⋅ Opens 7 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9DOkv2RxGUQBP-v_NEpPu0ptZM9nGYvpbho-43hituiR-87i_Dcnx96XFM35_ZgmQJ95qTzKKgoneawYMRMvWboPrH_mdpP1XHsbcCqT-HyPCfWB0MGVSiq58nyG0RWOsXrrXkA=w408-h544-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:16:55.767Z,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,7 am–4 pm,,
https://www.google.com/maps/place/Methodist+Le+Bonheur+Germantown+Hospital/data=!4m7!3m6!1s0x887f9ba9182c3acd:0xbd6b9820deb354e7!8m2!3d35.0900391!4d-89.8081547!16s%2Fg%2F1vk6z_fr!19sChIJzTosGKmbf4gR51Sz3iCYa70,Methodist Le Bonheur Germantown Hospital,2.5,478,Hospital,"7691 Poplar Ave, Germantown, TN 38138, United States","35RR+2P Germantown, Tennessee, USA",http://www.methodisthealth.org/locations/methodist-le-bonheur-germantown-hospital,+1 901-516-6000,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noac5trRGV7FDsp_rgwiNbRtCBz3lKpMtxrCooTX_U_AxPmlKakx9Fuk8-DObMZ1TrCFy4natWVqCFsPO7-Tug-BNvy_0e_nw2PIZDDM37jFiyr6ynjVrDN844ACWIEWO3RoK9y=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:17:00.147Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Baptist+Medical+Group-Palliative+Medicine/data=!4m7!3m6!1s0x887f83279e1b182f:0x3f28b393223c98ec!8m2!3d35.1290346!4d-89.8620555!16s%2Fg%2F11s_vd495s!19sChIJLxgbnieDf4gR7Jg8IpOzKD8,Baptist Medical Group-Palliative Medicine,,,Hospital,"6027 Walnut Grove Rd # 116, Memphis, TN 38120, United States","44HQ+J5 Memphis, Tennessee, USA",https://memphispalliativecare.com/,+1 901-226-2800,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=evU1Ihc824oTon1tSe-jyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.403244&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Germantown+Memphis+TN/@35.0867577,-89.8100858,14z",2025-09-18T00:17:02.525Z,,,,,,,,,
