placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,error
"https://www.google.com/maps/place/Potted+Perfection,+LLC./data=!4m7!3m6!1s0x89c6c60f9e9b983d:0xc9605eed7e145889!8m2!3d39.9366!4d-75.1823438!16s%2Fg%2F11b5zzpfbr!19sChIJPZibng_GxokRiVgUfu1eYMk","Potted Perfection, LLC.",4.8,50,Interior designer,"1266 S 23rd St, Philadelphia, PA 19146, United States","WRP9+J3 Philadelphia, Pennsylvania, USA",http://www.pottedperfectionllc.com/,+1 215-990-4906,Open · Closes 7 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG697LdZP1aFAz0IhF4Y4VVzBDfT3Yxc4CmDu5P1JqR3s0_fnd0PgzmbQbex3cEClNHpHzwW5HVguCordnc1-N6pB2wnurjHC6waswVLTb-p_dZVO0TGQxT9NGQDpQe_KPoJX8DnKVW5U1Q=w408-h544-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,12–4 pm,Closed,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:43:52.998Z,,
https://www.google.com/maps/place/Mirror+Lawn+Turf+Doctor/data=!4m7!3m6!1s0x89c6c631c6afffff:0x2e1f32cff0c3bfef!8m2!3d39.9530971!4d-75.1673521!16s%2Fg%2F11ghr19rtr!19sChIJ__-vxjHGxokR77_D8M8yHy4,Mirror Lawn Turf Doctor,4.8,29,Landscaper,"1601 Market St 20th fl, Philadelphia, PA 19103, United States","XR3M+63 Philadelphia, Pennsylvania, USA",http://mirror-lawn.com/,+1 800-518-2129,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHPcR6nno-kwBm06dzE1yj3zVscJTt7xrQ2UXRDUoD5Z3CJA6bCHNJ-1yE89m72oO2-CIXIrx_VZtx0f43GDTbDG8KnWVt0CP-21DhUAIJlUxxCr6ING2Vs9_VvKH8kurx1YObcMTHVEEIz=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:43:59.022Z,,
https://www.google.com/maps/place/Ground+Reconsidered/data=!4m7!3m6!1s0x89c6c62541f67abf:0x7ba24a4b45ad22b2!8m2!3d39.9621133!4d-75.1533947!16s%2Fg%2F11c52kkd_f!19sChIJv3r2QSXGxokRsiKtRUtKons,Ground Reconsidered,5.0,1,Landscape architect,"915 Spring Garden St Suite 403, Philadelphia, PA 19123, United States","XR6W+RJ Philadelphia, Pennsylvania, USA",http://www.groundreconsidered.com/,+1 215-790-0727,Open · Closes 5 pm,Identifies as women-owned,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2ZC5IdEf--X7Clr6VwXEyA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.829025&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:04.231Z,,
https://www.google.com/maps/place/Landscape+Design+Guy/data=!4m7!3m6!1s0x89c6c91bfa95da15:0xcd521f8460aae2b1!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11fk94c5np!19sChIJFdqV-hvJxokRseKqYIQfUs0,Landscape Design Guy,4.0,4,Landscape designer,,,http://www.landscapedesignguy.com/,+1 215-901-6994,Closes soon · 4 pm · Opens 9 am Thu,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAESmQR8a-AbD8fwtdf81zuvy9MXzcTyK1Xq0XnyHzw9NZ2ThlbX5Ii-RxxsIDO1iJkceuVbkEVIJLfJXStpgvYu-kMylBEQ8qdwulFtlSAuwdyhzl9Ya-PQb6dw_d1ljzHpE30THDIB5Pn4=w426-h240-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:08.947Z,,
https://www.google.com/maps/place/Close+at+Hand+Philly+LLC/data=!4m7!3m6!1s0x89c6c83cf941af03:0x3d18a3bb00fa8cab!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11c1vjbvsf!19sChIJA69B-TzIxokRq4z6ALujGD0,Close at Hand Philly LLC,5.0,3,Gardener,,,https://closeathandphilly.com/,+1 267-234-7928,,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF027B7NuS-2dS0V324NB5bUdlq3hakVgcY0adX2yZRCJvogzWKFV2DRmlML7ATaTped_vASaZWR-inbtmRCTSRVTG5_4tlTbrRHOOJ34xakLQHTOJQoKjjd5h8NtzSPJwx0kzArw=w408-h509-k-no,true,,,,,,,,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:11.542Z,,
https://www.google.com/maps/place/EAS+Landscaping/data=!4m7!3m6!1s0x89c6c7c76790a42f:0xf3e57b67897457a4!8m2!3d39.9704028!4d-75.1312348!16s%2Fg%2F11g69_7m0d!19sChIJL6SQZ8fHxokRpFd0iWd75fM,EAS Landscaping,5.0,61,Landscaper,"1211 E Oxford St, Philadelphia, PA 19125, United States","XVC9+5G Philadelphia, Pennsylvania, USA",http://www.easlh.com/,+1 267-670-0173,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFWZ528VWTuQkwm23dC2cvQDvbQRn_78A5EmjaPoHVMeotGi5JNw8ihBIirTqVd4k9HkPOK-ISyQicO8HlxvAG5pmfDhHCCPVaLFI5dbtGVJFQ8_9U9CgKX5lhfCVCsvs52KYVccqG7PsfT=w408-h544-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:16.355Z,,
https://www.google.com/maps/place/Mosaic+Landscape+Restoration/data=!4m7!3m6!1s0x89c6c6158c9d3261:0xe8921cbd15d9783f!8m2!3d40.073132!4d-74.724323!16s%2Fg%2F11c52tsxm0!19sChIJYTKdjBXGxokRP3jZFb0ckug,Mosaic Landscape Restoration,4.8,33,Landscape designer,,,http://www.mosaiclandscaperestoration.com/,+1 215-206-1855,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXz6dbUzSEIrRKzvIF6IQ8qMZeJP2_IRSRW1ZBXr5S9miYerFDt446kCz7s-vTaFY50cRjUTTtdF2f9fhGaR_04h9THjPFQ1PIRiCtqfdfeLvxjVbN_WkT1Wq0LtiT28zoJ9xa=w415-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:21.327Z,,
https://www.google.com/maps/place/Ken+and+Company/data=!4m7!3m6!1s0x89c6c794826dce89:0xbf8750e2b7cfc05b!8m2!3d40.2514605!4d-75.2519006!16s%2Fg%2F11h0b1r4jd!19sChIJic5tgpTHxokRW8DPt-JQh78,Ken and Company,5.0,1,Landscaper,,,,+1 610-636-6716,Open · Closes 9 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGZj58DctcFY_6J-TSC8MP5GWdA1L68E0NPY4eVJKMQdLyY-PHdjcYcEbmBHqctctLb0FLhCQVWSii79pj1BFM-aLZdimG9B0c7xFTmEInXWqAqvuGb_WA0lq5sk3dw7PMHesYT=w476-h240-k-no,true,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:25.864Z,,
https://www.google.com/maps/place/Urban+Jungle/data=!4m7!3m6!1s0x89c6c61b1f688891:0xe94a2250bee355b2!8m2!3d39.9303911!4d-75.1630773!16s%2Fg%2F1w4f91hn!19sChIJkYhoHxvGxokRslXjvlAiSuk,Urban Jungle,4.4,306,Garden center,"1526 Passyunk Ave, Philadelphia, PA 19147, United States","WRJP+5Q Philadelphia, Pennsylvania, USA",http://urbanjunglephilly.com/,+1 215-952-0811,Open · Closes 6 pm,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVXQZ1M9IgWNXA2Uzwx7VhYgfvI2kJl-A_7XD6MyTyHW4-IJG7LFsT0fMb4gp7fqE1-9PAVP0aYn1OtPAz2oZT6ypIYhIWf15YAmuwi5AqzYk-hYWS45anUvKGKC4SAh6eeXl0g9QSgl_K=w408-h951-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:30.877Z,Depot offering plants & supplies for sustainable urban gardens as well as landscaping services. · In-store shopping · Kerbside pickup,
https://www.google.com/maps/place/Service+Solutions+and+More+LLc./data=!4m7!3m6!1s0x89c6c9765733ffff:0xb9a1afa49f4d3f01!8m2!3d39.9319794!4d-75.0942865!16s%2Fg%2F11pkk9b_cz!19sChIJ__8zV3bJxokRAT9Nn6Svobk,Service Solutions and More LLc.,5.0,20,Landscape designer,,,,+1 609-515-3646,Open · Closes 7 pm,Identifies as Latino-owned,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEeVNREpouY2AevVM5yYgWIRbly0nsgZ7KjDUm4hOxoQEHa8DSrIOLAoPpNCHOfpN5OsMg25H-1fyd0HuQyjzljztBz_CqFif2lOCLb6q16s8Nuf_A2bp-9DjSipAM-MQs4nwrW8Gu-bHk5=w408-h544-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Center+City+Philadelphia+PA/@39.9509036,-75.1574567,14z",2026-04-29T19:44:35.759Z,,
