placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Charleston+WV+Tree+Service/data=!4m7!3m6!1s0x87b35df58ae49b3d:0xe30cabed6fb36f6b!8m2!3d38.3376495!4d-81.6447546!16s%2Fg%2F11fsbcxf99!19sChIJPZvkivVds4cRa2-zb-2rDOM,Charleston WV Tree Service,5.0,91,Tree service,"6b Abney Cir, Charleston, WV 25314, United States","89Q4+33 Charleston, West Virginia, USA",http://charlestonwvtreeservice.com/,+1 304-807-9899,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHAoTWAbQ7-keeQQr1BeZ1uddl0MKXLJ4Fyx4F8aaawDnx7HUSiVe5fhl-WmlQHrGMAOUYyk1SFpe1tCcwa4OmdTvd-qOKSwUEk_B7SpZ-1RhXgJDoUb_4kcX19ihQHgPxyIANS=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:03.328Z,,,
https://www.google.com/maps/place/Miley%27s+Tree+Experts/data=!4m7!3m6!1s0x884f2d17783c0a47:0xbaaccabb54732739!8m2!3d38.3281559!4d-81.6740345!16s%2Fg%2F11vpp0kt6l!19sChIJRwo8eBctT4gROSdzVLvKrLo,Miley's Tree Experts,4.9,113,Tree service,"1761 Huber Rd, Charleston, WV 25314, United States","88HG+79 Charleston, West Virginia, USA",https://mileytreellc.com/,+1 304-533-8424,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHh1oDTt-sOjAkj2XdlSdE3dQAYhEX6A5kp8d8JfuprseZ9bEVyipF3xlcvEE4TtUAfH91bVQA-GJDqp89PK2NHRik-LznDEG7PCB5Q00BDt30NvDDKPZcoxVoDaEoMlNjftjV1hiJMR3Y=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:09.028Z,,,
https://www.google.com/maps/place/Patriot+Tree+Experts/data=!4m7!3m6!1s0x884f2d84f9f51019:0xa9a782187d59981!8m2!3d38.3192423!4d-81.653013!16s%2Fg%2F11q4dkwmd_!19sChIJGRD1-YQtT4gRgZnVhyF4mgo,Patriot Tree Experts,5.0,375,Tree service,"1586 Connell Rd, Charleston, WV 25314, United States","889W+MQ Charleston, West Virginia, USA",https://www.patriottreeservices.com/,+1 304-400-8322,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRTzprs8rwldGjWYsQgSpq2bItt5eCKPmTyzKb_4tiNGn9MRGx1LmRcMcepmV7hAqXRUDFaMX3PhpHmNv2gnHKs45Uko8kCu2F4fl7XB2XKnpRdvtWi0N7wGcj3TB0_5KtvGmncA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:14.507Z,,,
https://www.google.com/maps/place/Greg%27s+Tree+Service/data=!4m7!3m6!1s0x884f2d5cc6fb58eb:0x98c0adb92f9cba18!8m2!3d38.3715007!4d-81.5432886!16s%2Fg%2F1tfln3nj!19sChIJ61j7xlwtT4gRGLqcL7mtwJg,Greg's Tree Service,4.7,87,Tree service,"121 Arctic Dr, Charleston, WV 25311, United States","9FC4+JM Charleston, West Virginia, USA",https://www.gregstreeservicewv.com/,+1 304-346-9905,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhpF8k6T-OgrPhxBwaBUGZVyJP4HFQlCZ2wh90hmCjiD8AxB-10Ao1I_lmc-nTWEWcfVi32foYaaftTbANtH2iNr27GNHAE43ryP4qP5ph2HCAS0OSceoZZRLGZb7pSp7SL5q8DA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:19.459Z,,,
https://www.google.com/maps/place/Lumberjacks+Tree+and+Landscaping+Services/data=!4m7!3m6!1s0x49653a1027f51b33:0x66c780a758549f53!8m2!3d38.3001888!4d-81.5642915!16s%2Fg%2F11pcsb19wv!19sChIJMxv1JxA6ZUkRU59UWKeAx2Y,Lumberjacks Tree and Landscaping Services,4.7,35,Tree service,"6600 MacCorkle Ave SE, Charleston, WV 25304, United States","8C2P+37 Charleston, West Virginia, USA",https://lumberjackstnl.com/,+1 304-550-4395,Closed · Opens 8 am,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFArOnenEtv5wtVvJXB7WlLlrb--q1BncYhBm-rNh1kmuBr5MnmBKtos9E4i31HqNoZSa_dAH0Au5hpR4SPAO9R1Pv5pC0K0ZD3YfuHEmsmZ11PybHZkx8KxkcEFD3lb6IE2V0=w408-h862-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:24.240Z,,,
https://www.google.com/maps/place/Martys+Tree+Service/data=!4m7!3m6!1s0xc0e27b8bcad7e2b:0xffb0fe03da9691e0!8m2!3d38.3470539!4d-81.7333387!16s%2Fg%2F11y8zkzpym!19sChIJK36tvLgnDgwR4JGW2gP-sP8,Martys Tree Service,5.0,30,Tree service,"5010 Inland Ln, South Charleston, WV 25309, United States","87W8+RM South Charleston, West Virginia, USA",https://www.martystreeservice.net/,+1 304-964-2045,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEtc0vNa6vc6GWotWF0nHkdlHmsb6TOk5aZidIfJt7kp3RhgowcFfImrn76YpaCz1ZAtV7DaSbNuaoOZynhUznSIRCLsUkB0PBj9s4h_LHXWWIp5iEtPSiMBRq-EgwDc3Fu805OCVfpCUQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:29.217Z,,,
"https://www.google.com/maps/place/Moss+Tree+Service,+LLC/data=!4m7!3m6!1s0x8848d6855bd688b7:0xf94efaf5e6157a9a!8m2!3d38.444201!4d-81.567036!16s%2Fg%2F11hbv6xm09!19sChIJt4jWW4XWSIgRmnoV5vX6Tvk","Moss Tree Service, LLC",5.0,40,Tree service,"2609 Four Mile Rd, Charleston, WV 25312, United States","CCVM+M5 Charleston, West Virginia, USA",,+1 304-539-1547,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHf3kyprlASvJ4L2rnMPAukqz4ZXPJ5cyVpFI4fznV6XD9SedxhhXRZsfJ43ddP2kcm03rBjFtp-BDhKx2Xjw_Ha7thAD8l4j0aSAHkG4xscue6pMRrJnbRpx_k4CiYHrrhE8odEA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:33.975Z,,,
https://www.google.com/maps/place/Vandall+Lawn+and+Tree+Service/data=!4m7!3m6!1s0x884f32f78daaf6f5:0x16d236fc8d0f9a06!8m2!3d38.3203489!4d-81.7234561!16s%2Fg%2F11b6vdxs7t!19sChIJ9faqjfcyT4gRBpoPjfw20hY,Vandall Lawn and Tree Service,4.8,15,Tree service,"108 Graceland Cir, Charleston, WV 25309, United States","87CG+4J Charleston, West Virginia, USA",,+1 304-553-3144,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AoB9GFbQy4XgjFEDmZhmAQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.291435&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:38.907Z,,,
https://www.google.com/maps/place/Valley+Gardens/data=!4m7!3m6!1s0x884f2cb504f38bf1:0x6310150ef59d6569!8m2!3d38.3517087!4d-81.6241022!16s%2Fg%2F1v9t_lv2!19sChIJ8YvzBLUsT4gRaWWd9Q4VEGM,Valley Gardens,4.2,73,Landscaper,"1109 Piedmont Rd, Charleston, WV 25301, United States","992G+M9 Charleston, West Virginia, USA",http://valleygardenswv.com/,+1 304-342-2255,"Closed · Opens 7:30 am

Updated by this business 9 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhsOdWnH4jDn37qiR-Z1iluM5Xb-sX-Uos6HuJPdMIqYn7bAVcfKm70oZyMiMbfSWlD5XQqhqRdg3tPTHco9oiYh4VXaV9x4sOlcqj6bGvFtw_IzAq4azcCeM10oadIZ49WtAh4xG01Yj9=w408-h306-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,7:30 am–4 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:44.001Z,,,
"https://www.google.com/maps/place/Heritage+Habitat+%26+Forestry,+LLC/data=!4m7!3m6!1s0x88384993d7a4d121:0x91288ae483381128!8m2!3d38.3611107!4d-81.6413645!16s%2Fg%2F11nmhq3f90!19sChIJIdGk15NJOIgRKBE4g-SKKJE","Heritage Habitat & Forestry, LLC",4.7,12,Forestry service,"303 Washington St W, Charleston, WV 25302, United States","9965+CF Charleston, West Virginia, USA",http://heritagehabitatco.com/,+1 330-419-1769,Closed · Opens 7 am,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VpAd9Nr7KMjVNyMOa6neMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=243.25595&pitch=0&thumbfov=100,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Charleston+WV/@38.3498195,-81.6326234,14z",2026-04-29T06:01:48.821Z,,,
