placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x865ca9b2a6e8c5d5:0xdc6214c9b459fc8e!8m2!3d29.8990968!4d-97.9176669!16s%2Fg%2F11yc08_slg!19sChIJ1cXoprKpXIYRjvxZtMkUYtw,A1 Garage Door Service,4.9,299,Garage door supplier,"101 Uhland Rd Suite 216, San Marcos, TX 78666, United States","V3XJ+JW San Marcos, Texas, USA",https://a1garage.com/locations/texas/san-marcos/garage-door-repair-and-installation-78666-p.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[sanmarcos],+1 512-256-4996,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP1d197-mYBbabc_k6Kb0Dk9FjSYEmjnykJD3Yf=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:26.203Z,,,
https://www.google.com/maps/place/Garage+Tec+Automatic+Gates+%26+Garage+Door+Repair/data=!4m7!3m6!1s0x865ca98fd5e52443:0x9ba2e279c90f6b5c!8m2!3d29.8816702!4d-97.9433145!16s%2Fg%2F11vyj5l1b8!19sChIJQyTl1Y-pXIYRXGsPyXniops,Garage Tec Automatic Gates & Garage Door Repair,4.8,91,Garage door supplier,"215 W San Antonio St Suite #2002, San Marcos, TX 78666, United States","V3J4+MM San Marcos, Texas, USA",https://garagetec.org/san-marcos-tx/,+1 512-882-4064,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipPLr7x2gGp7j8fLdRf3giIWRTyO_gSE3n4-PPiL=w408-h306-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:31.812Z,,,
https://www.google.com/maps/place/Matamoros+Garage+Doors/data=!4m7!3m6!1s0x865b55da6c8775fb:0xbb6c8f409eab05e7!8m2!3d30.054378!4d-98.003195!16s%2Fg%2F11lx2ss__j!19sChIJ-3WHbNpVW4YR5wWrnkCPbLs,Matamoros Garage Doors,5.0,22,Garage door supplier,,,https://matamorosdoors.com/,+1 512-297-7179,Open ⋅ Closes 8:30 pm,https://lh3.googleusercontent.com/p/AF1QipPi7QvBlq8Vj9HmMbbSshri_BWQ_GxBakyPoyig=w426-h240-k-no,true,6:30 am–8:30 pm,6:30 am–8:30 pm,8:30 am–8:30 pm,6:30 am–8:30 pm,6:30 am–8:30 pm,6:30 am–8:30 pm,6:30 am–8:30 pm,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:37.011Z,,,
https://www.google.com/maps/place/Moore%E2%80%99s+Garage+Doors/data=!4m7!3m6!1s0x865b594cab8c943f:0x10de27f97b0229c6!8m2!3d30.048147!4d-97.8897254!16s%2Fg%2F11fp8x9hmc!19sChIJP5SMq0xZW4YRxikCe_kn3hA,Moore’s Garage Doors,4.2,5,Garage door supplier,,,,+1 512-648-1635,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3-LhxDB5ilogbxL6uUYWhXygFiIM4CaZ4wX_7Q4W1-9DLVOCxEd67i_SNYWmE2GZFyrWhkye1xd8bZxKwT5hGa-pzhX7I_HBqxWpWwXuaRGT4uq77lcEdoMDK3lGXQdUnN2dN=w408-h544-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:41.753Z,,,
https://www.google.com/maps/place/Dan%27s+Garage+Door+Service/data=!4m7!3m6!1s0x865ca1e437435a61:0x62d4d5fe7fd2c4bc!8m2!3d34.81142!4d-98.2823806!16s%2Fg%2F11qng40f75!19sChIJYVpDN-ShXIYRvMTSf_7V1GI,Dan's Garage Door Service,4.4,54,Garage door supplier,,,https://www.dansgaragedoorsvc.com/,+1 210-708-9042,Closes soon ⋅ 6 pm ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/p/AF1QipNGaON3tWDlOMBMJMZM_6uI2Ft4K0fmNIbgB_dn=w408-h286-k-no,true,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:46.613Z,,,
"https://www.google.com/maps/place/Amador+Garage+Doors,+LLC/data=!4m7!3m6!1s0x865b61ef1fc3c5c9:0x18414f914000a553!8m2!3d29.9973374!4d-98.1066714!16s%2Fg%2F11lm93_l9z!19sChIJycXDH-9hW4YRU6UAQJFPQRg","Amador Garage Doors, LLC",4.6,11,Garage door supplier,,,,+1 512-738-1000,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPJRYyJcroAsx2UNQ5sBDY8vGOBaS3Ud407O-E3=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:51.584Z,,,
https://www.google.com/maps/place/A+Second+Opinion+Garage+Door+Repair/data=!4m7!3m6!1s0x88f625341d1eff9:0xb57bf7d76f1b9f39!8m2!3d33.1565697!4d-117.1305111!16s%2Fg%2F11lnw4t3h9!19sChIJ-e_RQVNijwgROZ8bb9f3e7U,A Second Opinion Garage Door Repair,5.0,6,Garage door supplier,"1236 Topaz Pl, San Marcos, CA 92069, United States","5V49+JQ San Marcos, California, USA",https://sandiegogaragedoorrepair.com/,+1 760-855-4670,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipP1-4e02L1JsG-N-NnedyiU2X8cKF20-6xI1zBC=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:10:56.449Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/On+Point+Overhead+Doors/data=!4m7!3m6!1s0xd26d16d0292c56f:0x2be20238e45c4312!8m2!3d29.9689105!4d-98.0456351!16s%2Fg%2F11mck8p_bm!19sChIJb8WSAm3RJg0REkNc5DgC4is,On Point Overhead Doors,4.9,27,Garage door supplier,,,https://onpointoverheaddoors.com/,+1 512-659-6322,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/p/AF1QipPXH0_4z0wGdEN0Dsz7CtQ3wD7vT_Gvj3xoWGre=w408-h306-k-no,true,Open 24 hours,6 am–7 pm,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:11:01.433Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x8644d1079be89e5b:0x6b83c0094bbc07ab!8m2!3d30.0697394!4d-97.845388!16s%2Fg%2F11mdbc0cps!19sChIJW57omwfRRIYRqwe8SwnAg2s,A1 Garage Door Service,4.9,59,Garage door supplier,"100 Precision Dr Unit 303, Buda, TX 78610, United States","3593+VR Buda, Texas, USA",https://a1garage.com/locations/texas/buda/garage-door-repair-and-installation-aus-78610-s.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[buda],+1 512-806-1544,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOxojAQSjWyBSDpPKkK42pG6bu5Qe3cdmnr05wk=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:11:06.276Z,,,
https://www.google.com/maps/place/NATION+GARAGE+DOORS+LLC/data=!4m7!3m6!1s0x8063ff1dd6e47761:0x28b197757d290fc2!8m2!3d29.813062!4d-97.919004!16s%2Fg%2F11x97b2j6f!19sChIJYXfk1h3_Y4ARwg8pfXWXsSg,NATION GARAGE DOORS LLC,5.0,13,Garage door supplier,,,https://www.facebook.com/share/1AZW6zhvSg/?mibextid=wwXIfr,+1 512-644-4410,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipO6wJ4ILBHIvS-CRMcv__KQgPHh4ZJwI6WcQr80=w408-h664-k-no,true,7 am–7 pm,Closed,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+San+Marcos+San+Marcos+TX/@14.9609782,-91.8074586,14z",2025-11-07T23:11:11.028Z,,,
