placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Tuffy+Tire+%26+Auto+Service+Center+-+North+Lansing+-+Frandor/data=!4m7!3m6!1s0x8822e9ef7ea26f03:0x3d01436cab9c659c!8m2!3d42.742514!4d-84.5088131!16s%2Fg%2F1tfjr9tp!19sChIJA2-ifu_pIogRnGWcq2xDAT0,Tuffy Tire & Auto Service Center - North Lansing - Frandor,4.8,1190,Tire shop,· In-store shopping · In-store pick-up,"3015 E Grand River Ave, Lansing, MI 48912, United States","PFVR+2F Lansing, Michigan, USA",http://www.tuffynorthlansing.com/,+1 517-908-3216,"Open · Closes 6 pm

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoez0wk2MuLw-qlUD9xXt_sAUZOXe7oRSMCrUsrRXwQajqgpadgGMoOM7SBPRrEEVsT4sUVHwalLBfTGwg02yaZqCLep8vNniq_WX41TmWiWaQuhixo9ZGqHe-CjZCmGOA-2JPDq4WAZME=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:30.464Z,,,
https://www.google.com/maps/place/Vision+Tire+and+Auto/data=!4m7!3m6!1s0x8822ea0c244b0e83:0x3b3c606ab1e95e52!8m2!3d42.7403974!4d-84.5382375!16s%2Fg%2F1tg5vp10!19sChIJgw5LJAzqIogRUl7psWpgPDs,Vision Tire and Auto,4.7,290,Auto repair shop,,"631 N Pennsylvania Ave, Lansing, MI 48912, United States","PFR6+5P Lansing, Michigan, USA",https://www.visiontireandauto.com/,+1 517-853-6688,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer41UfoAT4fIHyzO0RVutO9oVeNluWQE3sTll8EiisWLatdjjZtcMQ1__fJSBbBD7Yfss3Uey9kcDbiEmNElnImQmrxjNcaSUCW1inK6PwaMr082XHnB_UVsll0WoqWJ-znUALy=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:36.791Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Affordable+Tire+%26+Service+Center/data=!4m7!3m6!1s0x8822c1de3e4e08ff:0x23b7cb037def5927!8m2!3d42.7306061!4d-84.5441956!16s%2Fg%2F1tp1zf57!19sChIJ_whOPt7BIogRJ1nvfQPLtyM,Affordable Tire & Service Center,4.5,300,Tire shop,· In-store pick-up,"610 Park Pl, Lansing, MI 48912, United States","PFJ4+68 Lansing, Michigan, USA",http://affordabletireservice.com/,+1 517-372-9801,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo-5EYx016DVW7JKL4hUZpQyg2YyslYlCjzEMUhTvNiel-PYp-YD-hapvVe9N01urV1q3Ez5hgERBgQqGqnnF2-elArCHstw4-lt3wzlqwY7QMMfBiUnJqijAWPDeTCPPMEKyYA=w408-h306-k-no,true,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:41.705Z,,,
https://www.google.com/maps/place/Tires+New+and+You/data=!4m7!3m6!1s0x8822c1eb9d5874ab:0x75bb4a9923acda18!8m2!3d42.7166719!4d-84.5385162!16s%2Fg%2F11c0xfbvgp!19sChIJq3RYnevBIogRGNqsI5lKu3U,Tires New and You,3.9,96,Used tire shop,· In-store pick-up,"1440 S Pennsylvania Ave, Lansing, MI 48910, United States","PF86+MH Lansing, Michigan, USA",http://tires-new-you.edan.io/,+1 517-505-0046,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo5_NtiifL5s0drLPpEL0o7Flg85VUbIn53lI4nJ7k-EYZ2Vzw4JerBSv-9CAbnc6fac746n4TNgCV7aboFu7zCarp-vgSfP3IDOfXZS7b48jvYUWCZTr1T5Xrrnwee7IudJbAsJA=w426-h240-k-no,false,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–5:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:46.626Z,,,
https://www.google.com/maps/place/Belle+Tire/data=!4m7!3m6!1s0x8822e9e5ac2a277f:0x16d2ef4314044391!8m2!3d42.7399658!4d-84.509103!16s%2Fg%2F11b6sszgsb!19sChIJfycqrOXpIogRkUMEFEPv0hY,Belle Tire,4.1,805,Tire shop,· In-store shopping · Kerbside pickup,"600 N Homer St, Lansing, MI 48912, United States","PFQR+X9 Lansing, Michigan, USA",https://www.belletire.com/stores/detail/120/belle-tire-lansing-mi?utm_source=google&utm_medium=yext&utm_campaign=localseo,+1 517-253-0445,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoWexXWua6vRUs81wc0vg6OOkLeIurSgifkaqFU2-AXKMHsamuzKh76lj7X2TB2M3jL11B1rvVWD8XjjT5ycVpzRPUpRU3V-taB85p8wp8-X934Q4a_glfxEs1djBKZrxMNbteDYA81oRjL=w513-h240-k-no,true,8 am–8 pm,8 am–6 pm,8 am–6 pm,8 am–8 pm,8 am–6 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:51.382Z,,,
https://www.google.com/maps/place/Kings+New+and+Used+Tires/data=!4m7!3m6!1s0x8822c1538a262edb:0x84398b640e0615e1!8m2!3d42.7157354!4d-84.5461826!16s%2Fg%2F11vdt_wsmp!19sChIJ2y4milPBIogR4RUGDmSLOYQ,Kings New and Used Tires,4.4,137,Tire shop,,"1523 S Cedar St, Lansing, MI 48910, United States","PF83+7G Lansing, Michigan, USA",,+1 517-580-3292,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepphAwZ_qPCDqT41_XIaGpnzhgt7QJ3V12DFweuc2BH5NGrtujlWz_t3STkUoVecwqDotKWeP6mca213CBxafZiY5SpDGiLL-VGX2aa24N3m0wORwJvVH8wJIOxgX362gEwmG14FSHjhAHZ=w408-h315-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–5 pm,10 am–4 pm,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:30:56.294Z,,,
https://www.google.com/maps/place/All+Auto+Service/data=!4m7!3m6!1s0x8822c1e60f937fb9:0x421533a1102eaf1b!8m2!3d42.7247809!4d-84.5384141!16s%2Fg%2F1vxw8wwz!19sChIJuX-TD-bBIogRG68uEKEzFUI,All Auto Service,4.7,211,Auto repair shop,,"918 S Pennsylvania Ave, Lansing, MI 48912, United States","PFF6+WJ Lansing, Michigan, USA",https://www.allautoservice.net/,+1 517-484-5424,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq15VnP6RUlytPgnuy3-OLVKriFBHzWBYtsbGhNEpC7bEDiyUqTCer2-yG0FlcqxVvG8vTRlgWZhTFmv3Keyx53M2IUq7zZ_OZ_hjdBXNwpPVkZQlRX_tU-4mXXWBKUbzd3SDju=w427-h240-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,8 am–7 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:31:01.217Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Smart+Auto+Tire/data=!4m7!3m6!1s0x8822c1eb781365cb:0xbb572d53738cc2f8!8m2!3d42.7167201!4d-84.538523!16s%2Fg%2F11fzff88rd!19sChIJy2UTeOvBIogR-MKMc1MtV7s,Smart Auto Tire,4.1,58,Tire shop,,"1440 S Pennsylvania Ave, Lansing, MI 48910, United States","PF86+MH Lansing, Michigan, USA",http://smartautotire.com/,+1 517-505-0046,Open · Closes 6:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LOQjoHPR_PW9XXbmCDu8wQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.96416&pitch=0&thumbfov=100,true,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–5:30 pm,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:31:05.934Z,,,
https://www.google.com/maps/place/E+J%27s+Alignment+%26+Brakes/data=!4m7!3m6!1s0x8822ea6974fe705b:0x9b48d25b9af5338f!8m2!3d42.751405!4d-84.549891!16s%2Fg%2F1vc6f02v!19sChIJW3D-dGnqIogRjzP1mlvSSJs,E J's Alignment & Brakes,4.8,192,Muffler shop,· In-store pick-up,"1521 Turner Rd # 1, Lansing, MI 48906, United States","QF22+H2 Lansing, Michigan, USA",,+1 517-484-6680,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoiS3zoarrrzt8W6Qfz7XqmYDpG7CQAUql62Z5pmuYXlZlBDwy0eZM_OlVwHhRSmw5bdLWuRyBoOcOJg0yzZzehKGc2iugF7DLWxy1VU9jghi7ynHmrWpnzbuOE1gmEylqcLKwZ=w408-h544-k-no,false,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:31:10.951Z,,,
https://www.google.com/maps/place/Lansing+Car+Care+Center/data=!4m7!3m6!1s0x8822c1bec4808bd9:0x73f3f8c6314bfc7!8m2!3d42.7115376!4d-84.5473641!16s%2Fg%2F11bw4sf_l2!19sChIJ2YuAxL7BIogRx78UY4w_Pwc,Lansing Car Care Center,4.2,109,Auto repair shop,,"1901 S Cedar St, Lansing, MI 48910, United States","PF63+J3 Lansing, Michigan, USA",https://lansingcarcarecenter.com/,+1 517-371-1810,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerylGiQQ1wWXslziVIGu7B6KjHajkSItr2v29pRIMLknxTDtusnGGilAzFxQ8ohGSX9gCybgeYsgLFZltH7VqRCsYbZU0n8sorO_LNSzVDGHYOqKSGyHO8hziplXDS2_YNz1y9UGwoFvHFU=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+Lansing+MI/@42.7335993,-84.5538664,14z",2026-03-23T17:31:15.930Z,,,
