placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,error,attributes,isBlackOwned
https://www.google.com/maps/place/Real+Property+Management+Services/data=!4m7!3m6!1s0x86fe6d999c615235:0x563c460cc944433b!8m2!3d33.5276269!4d-101.8710646!16s%2Fg%2F11cs5msmng!19sChIJNVJhnJlt_oYRO0NEyQxGPFY,Real Property Management Services,4.8,158,Property management company,"2503 74th St Ste 105, Lubbock, TX 79423, United States","G4HH+3H Lubbock, Texas, USA",https://www.realpmservices.com/?cid=LSTL_RPM000203&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 806-853-6546,Open ⋅ Closes 5 pm,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipOxx5qxHSjeFfPicOU7Kb6PMltRCT9pNsq6zu4r=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:31:38.043Z,,,
https://www.google.com/maps/place/Certified+Affordable+Housing+Provider/data=!4m7!3m6!1s0x86fe6d0722b22cbd:0x1b158dd1f53cc6fc!8m2!3d33.5621626!4d-101.8512662!16s%2Fg%2F11nmpmynwd!19sChIJvSyyIgdt_oYR_MY89dGNFRs,Certified Affordable Housing Provider,4.6,226,Property management company,"3502 Avenue N STE A, Lubbock, TX 79412, United States","H46X+VF Lubbock, Texas, USA",https://www.buyorrenthouses.com/availability,+1 806-704-3055,Closes soon ⋅ 1 pm ⋅ Opens 10 am Fri,,https://lh3.googleusercontent.com/p/AF1QipM3K0U8L2_BxZIksMvcdGdUc2t6DPjB-okKPG-w=w408-h306-k-no,true,10 am–1 pm,10 am–6 pm,Closed,Closed,10 am–6 pm,10 am–1 pm,10 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:31:45.333Z,,,
https://www.google.com/maps/place/Boston+Ridge+managed+by+Big+Skye+Properties/data=!4m7!3m6!1s0x86fe6d68e3236d5d:0x2aaa3528637fe0b9!8m2!3d33.5540553!4d-101.8751361!16s%2Fg%2F11fy4qddy1!19sChIJXW0j42ht_oYRueB_Yyg1qio,Boston Ridge managed by Big Skye Properties,4.9,14,Property management company,"2702 44th St, Lubbock, TX 79413, United States","H43F+JW Lubbock, Texas, USA",http://www.bostonridge.properties/,+1 806-583-0077,,LGBTQ+ friendly,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K2xznBLWjl1o6ATo3fGnTg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.68845&pitch=0&thumbfov=100,true,11 am–6 pm,Closed,Closed,Closed,11 am–6 pm,11 am–6 pm,11 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:31:52.738Z,,,
https://www.google.com/maps/place/Hoff+Gardens/data=!4m7!3m6!1s0x86fe6d3c39eef26d:0xb12e5699b786d56a!8m2!3d33.5625913!4d-101.8595654!16s%2Fg%2F1tl9n0ch!19sChIJbfLuOTxt_oYRatWGt5lWLrE,Hoff Gardens,4.2,28,Property management company,"1919 34th St, Lubbock, TX 79411, United States","H47R+25 Lubbock, Texas, USA",https://www.onward-propertiesco.com/,+1 806-744-2398,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEEf0YmUt8zMk1-INvtZvaD4gK1DKLVYW835da65xvLduNRR4KzzzWdJR-G5dMXDPxTxkq5n4TCAquaFwpyLAUpvJGenVxhmPXp8JmJNBG76CiZ2Qzzb0r7nz2v4nct9k0OiCmMA=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:31:59.751Z,,,
https://www.google.com/maps/place/Sterling+Creek+Properties/data=!4m7!3m6!1s0x86fe136bd3f8f2e7:0x3a153764fd8f9b85!8m2!3d33.5809758!4d-101.8613061!16s%2Fg%2F11gl16l72k!19sChIJ5_L402sT_oYRhZuP_WQ3FTo,Sterling Creek Properties,3.5,22,Property management company,"2018 16th St Unit A, Lubbock, TX 79401, United States","H4JQ+9F Lubbock, Texas, USA",http://sterlingcreekonline.com/,+1 806-290-3479,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMA8w0hpuEaOmZkTwn7jEJAjnvF-O1Z19VolPEA=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:06.421Z,,,
https://www.google.com/maps/place/Medlock+Southwest+Management/data=!4m7!3m6!1s0x86fe132b02f0bb5d:0x52f3dc0472540b13!8m2!3d33.5852491!4d-101.8406791!16s%2Fg%2F1wrgkm00!19sChIJXbvwAisT_oYREwtUcgTc81I,Medlock Southwest Management,5.0,1,Property management company,"519 Main St, Lubbock, TX 79401, United States","H5P5+3P Lubbock, Texas, USA",http://msmc-wshc.com/,+1 806-763-5323,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OnG_yeU-dEtqPHy0M-09Rw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=176.11053&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:09.837Z,,,
https://www.google.com/maps/place/RJD+Management+Co/data=!4m7!3m6!1s0x86fe12ca0ce1aa2f:0xf4fcc94009d8dea9!8m2!3d33.5848818!4d-101.8658471!16s%2Fg%2F1ttphbj8!19sChIJL6rhDMoS_oYRqd7YCUDJ_PQ,RJD Management Co,5.0,1,Property management company,"2220 Broadway St, Lubbock, TX 79401, United States","H4MM+XM Lubbock, Texas, USA",,+1 806-762-2915,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=V5f80mxu5LQVbNipGxVttg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.53052&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:13.489Z,,,
https://www.google.com/maps/place/Campbell+Properties/data=!4m7!3m6!1s0x86fe6d3d225c0809:0xccf60db6f3558ab2!8m2!3d33.5617329!4d-101.8559016!16s%2Fg%2F1tkc73qr!19sChIJCQhcIj1t_oYRsopV87YN9sw,Campbell Properties,3.4,31,Property management company,"3512 Avenue Q, Lubbock, TX 79412, United States","H46V+MJ Lubbock, Texas, USA",,+1 806-763-2075,Open ⋅ Closes 6 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j8GvsjcWcbRV8UZD4EW0Ng&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.66055&pitch=0&thumbfov=100,true,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:18.858Z,,,
https://www.google.com/maps/place/Lubbock+Lease+Homes/data=!4m7!3m6!1s0x86fe6d4913eddb1d:0x6e37ac11bcf04986!8m2!3d33.5729168!4d-101.8701644!16s%2Fg%2F1thhkzc6!19sChIJHdvtE0lt_oYRhknwvBGsN24,Lubbock Lease Homes,5.0,20,Apartment rental agency,"2435 23rd St, Lubbock, TX 79411, United States","H4FH+5W Lubbock, Texas, USA",http://lubbockleasehomes.com/,+1 806-771-1890,Open ⋅ Closes 5 pm,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipMDeciay8mODzaZELKL0yEGaZitKQ1tmHCr4GPx=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:23.542Z,,,
https://www.google.com/maps/place/McDougal+Companies/data=!4m7!3m6!1s0x86fe731e481b073b:0x8b3150acad03aeb6!8m2!3d33.5849305!4d-101.8518406!16s%2Fg%2F11bvv_34wr!19sChIJOwcbSB5z_oYRtq4DraxQMYs,McDougal Companies,3.7,13,Real estate agency,"1500 Broadway St Suite 1400, Lubbock, TX 79401, United States","H4MX+X7 Lubbock, Texas, USA",http://mcdougal.com/,+1 806-797-3162,"Open ⋅ Closes 5 pm

Confirmed by this business 10 weeks ago",,https://lh3.googleusercontent.com/p/AF1QipMqpmEN15iJzD0cD7J-M-xl7mnWkZE8v4facOM=w408-h325-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Lubbock+Lubbock+TX/@33.5835732,-101.8551675,14z",2025-09-25T17:32:28.989Z,,,
