placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,query,timestamp,info,isBlackOwned,wednesday,thursday,friday,saturday,sunday,monday,attributes,error
"https://www.google.com/maps/place/Cotton-O'Neil+Vein+Clinic/@39.0473451,-95.6751576,14z/data=!4m6!3m5!1s0x87bf02f7449c3573:0x2895881f2c9fb243!8m2!3d39.0527537!4d-95.6999575!16s%2Fg%2F1trcgyml",Cotton-O'Neil Vein Clinic,5.0,,Medical clinic,"929 SW Mulvane St Fl 1, Topeka, KS 66606, United States","3832+42 Topeka, Kansas, USA",,+1 785-270-8839,Closed · Opens 12 am Fri,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rK60Ej1kgT4c0MCPfXR7HA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.11816&pitch=0&thumbfov=100,false,Closed,"https://www.google.com/maps/search/vein+clinics+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-12-16T22:24:14.819Z,,,,,,,,,,
https://www.google.com/maps/place/Vein-ity+Vein+Care+Centers+of+Kansas/data=!4m7!3m6!1s0x87c0bd36efc4a667:0xf76cb31e4121da83!8m2!3d38.8621587!4d-94.8214646!16s%2Fg%2F11ww02ztbf!19sChIJZ6bE7za9wIcRg9ohQR6zbPc,Vein-ity Vein Care Centers of Kansas,5.0,29,Vascular surgeon,"1337 S Fountain Dr, Olathe, KS 66061, United States","V56H+VC Olathe, Kansas, USA",https://www.vein-ity.com/,+1 913-712-7031,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipP1yASSzNtlVMVdvvECUUl7OFPZsvGfcPE3eW6B=w408-h306-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Olathe+KS/@38.8813958,-94.8191285,14z",2025-12-16T22:24:26.598Z,Identifies as women-owned,true,8 am–5 pm,8 am–5 pm,8 am–1 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Vein+Care+Center/data=!4m7!3m6!1s0x87c0bdc845402163:0xd12f118ac32f56c3!8m2!3d38.8550477!4d-94.8294326!16s%2Fg%2F12616hhp3!19sChIJYyFARci9wIcRw1Yvw4oRL9E,Vein Care Center,5.0,2,Medical Center,"21080 W 151st St, Olathe, KS 66061, United States","V54C+26 Olathe, Kansas, USA",,+1 913-768-3104,Closes soon · 4:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxhrrxhAeJRendlEFAUdQHE8zqiMeuZn_w6sbIeDRVF4rdDwH_4MjtQzeHmYJY-Z5wiYzcifdT2xEnCEwbp39GqLHA-ZWNacSU8bkR_xZRTzhVCScAXp3nw7Nb1DUoMOWXXwNHv=w516-h240-k-no,true,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Olathe+KS/@38.8813958,-94.8191285,14z",2025-12-16T22:24:31.043Z,,,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,
https://www.google.com/maps/place/Vein+Institute+of+the+Midwest/data=!4m7!3m6!1s0x87c0ec95af7d0855:0x549763433b22f76a!8m2!3d38.9935879!4d-94.705513!16s%2Fg%2F1tfbcp5g!19sChIJVQh9r5XswIcRavciO0Njl1Q,Vein Institute of the Midwest,2.3,3,Medical clinic,"7420 Switzer Rd, Shawnee, KS 66203, United States","X7VV+CQ Shawnee, Kansas, USA",,+1 913-322-2211,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=olHg0KAotmMwfVS3xssmEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.41287&pitch=0&thumbfov=100,false,,"https://www.google.com/maps/search/vein+clinics+in+Shawnee+KS/@39.0228485,-94.7151865,14z",2025-12-16T22:24:40.999Z,,,,,,,,,,
https://www.google.com/maps/place/The+University+of+Kansas+Health+System+Vascular+Surgery/data=!4m7!3m6!1s0x87c0ec95af87afa5:0xee6179352dbced94!8m2!3d38.9937111!4d-94.7054632!16s%2Fg%2F1261z4n6m!19sChIJpa-Hr5XswIcRlO28LTV5Ye4,The University of Kansas Health System Vascular Surgery,3.0,8,Specialized clinic,"7420 Switzer Rd, Shawnee, KS 66203, United States","X7VV+FR Shawnee, Kansas, USA",https://www.kansashealthsystem.com/locations/vascular-surgery,+1 913-588-1227,Closes soon · 4:30 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy4hTaCxy4uAAAcwLGz12j-JRt7c6pNg5UP1xlYTYLYY06LTzREQMDdfxRsDG-8eaW8eHx8kvBcyLIjmhkwCqIa0wIjt7TUduMh-38wYVPyKlIfyAFhlqOlU9yPRYdAo67BeeGZkgS0jOQ=w408-h544-k-no,true,8 am–4:30 pm,"https://www.google.com/maps/search/vein+clinics+in+Shawnee+KS/@39.0228485,-94.7151865,14z",2025-12-16T22:24:45.378Z,,,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,,
https://www.google.com/maps/place/Vein+Treatment+%26+Aesthetic+Center/data=!4m7!3m6!1s0x87c0ec8dd9d203fd:0xed966ed1a104abd1!8m2!3d38.9928144!4d-94.6949319!16s%2Fg%2F1tl1jdw6!19sChIJ_QPS2Y3swIcR0asEodFulu0,Vein Treatment & Aesthetic Center,,,Doctor,"Shawnee Mission, 9385 W 75th St, Overland Park, KS 66204, United States","X8V4+42 Overland Park, Kansas, USA",,+1 913-383-8346,Closes soon · 5 pm · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Du5w36KbAajzgBZ8dMngZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=175.23401&pitch=0&thumbfov=100,false,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Shawnee+KS/@39.0228485,-94.7151865,14z",2025-12-16T22:24:49.662Z,,,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,
"https://www.google.com/maps/place/Lawrence+Vein+Center/@38.9716689,-95.2352501,14z/data=!4m6!3m5!1s0x87bf6f6b2de3af9b:0x31045cf050de7260!8m2!3d38.9736646!4d-95.2483678!16s%2Fg%2F1tdylqwn",Lawrence Vein Center,2.3,3,Medical clinic,"1112 W 6th St Suite 109, Lawrence, KS 66044, United States","XQF2+FM Lawrence, Kansas, USA",https://www.lmh.org/get-care/heart-vascular/vein/,+1 785-840-9292,"Closes soon · 5 pm · Opens 8 am Wed

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOqeDulSv-vNMXquIESwsEJchzZFrQa6OXwOwE=w408-h272-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Lawrence+KS/@38.9716689,-95.2352501,14z",2025-12-16T22:24:57.425Z,,,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Vein+Clinic+of+Kansas/data=!4m7!3m6!1s0x87bdcda5f5640919:0x710edab9dc569725!8m2!3d39.1804917!4d-96.6099188!16s%2Fg%2F11c6dr8z5x!19sChIJGQlk9aXNvYcRJZdW3LnaDnE,Vein Clinic of Kansas,3.7,3,Medical clinic,"2900 Amherst Ave, Manhattan, KS 66503, United States","59JR+52 Manhattan, Kansas, USA",http://veinclinicks.com/,+1 785-370-0183,Closed · Opens 7 am Wed,https://lh3.googleusercontent.com/p/AF1QipNhp33rHRZSNpBtjZ1dBWUg0BjpLPiC17-BYhdI=w408-h300-k-no,true,7 am–3 pm,"https://www.google.com/maps/search/vein+clinics+in+Manhattan+KS/@39.179475,-96.573317,14z",2025-12-16T22:25:09.159Z,,,7 am–3 pm,7 am–3 pm,Closed,Closed,Closed,7 am–3 pm,,
https://www.google.com/maps/place/Radiant+Med+Spa/data=!4m7!3m6!1s0x87bdd3bf5c5fbf23:0xfb8fd2c9db69361e!8m2!3d39.1748732!4d-96.5597069!16s%2Fg%2F11kq5tlkrl!19sChIJI79fXL_TvYcRHjZp28nSj_s,Radiant Med Spa,5.0,97,Medical spa,"227 Blue Earth Pl #211, Manhattan, KS 66502, United States","5CFR+W4 Manhattan, Kansas, USA",https://www.radiantmedspamanhattanks.com/,+1 913-660-2281,Closes soon · 5 pm · Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipPWixEEJbgtGJ4StttnEXUXY_nqoPVudRtzK6XV=w408-h306-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Manhattan+KS/@39.179475,-96.573317,14z",2025-12-16T22:25:13.575Z,,,9 am–8 pm,9 am–7 pm,9 am–5 pm,Closed,Closed,Closed,,
https://www.google.com/maps/place/Manhattan+Medical+Group+Primary+Care/data=!4m7!3m6!1s0x87bdcdb22281a643:0x6ce93fcc3d8404d5!8m2!3d39.1804917!4d-96.6099188!16s%2Fg%2F11bbrll_t8!19sChIJQ6aBIrLNvYcR1QSEPcw_6Ww,Manhattan Medical Group Primary Care,3.3,49,Medical clinic,"2900 Amherst Ave STE A, Manhattan, KS 66503, United States","59JR+52 Manhattan, Kansas, USA",https://www.manhattanmedgroup.com/,+1 785-539-8700,Closes soon · 4:45 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNGl2zyTnFgORqCSRw-zsP0rV1a3YxFVoKmZwdQ=w426-h240-k-no,true,8 am–4:45 pm,"https://www.google.com/maps/search/vein+clinics+in+Manhattan+KS/@39.179475,-96.573317,14z",2025-12-16T22:25:17.915Z,,,8 am–4:45 pm,8 am–4:45 pm,8 am–4:45 pm,Closed,Closed,8 am–4:45 pm,,
