placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Jacksonville/data=!4m7!3m6!1s0x88e5cbb543ef7a87:0xe6108acf6fdd675c!8m2!3d30.1548118!4d-81.5378663!16s%2Fg%2F1v4208fr!19sChIJh3rvQ7XL5YgRXGfdb8-KEOY,Precision Garage Door Service of Jacksonville,4.9,3777,Garage door supplier,"6676 Columbia Park Dr S, Jacksonville, FL 32258, United States","5F36+WV Southside, Jacksonville, FL, USA",https://garagedoorsjacksonvillefl.com/?utm_source=GMBListing&utm_medium=organic,+1 904-201-2121,"Closed ⋅ Opens 6 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipM7JGg6D6MI1je-E5RWYucL2tr6frTSyLJFN-M5=w408-h544-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:46:54.848Z,,,,
https://www.google.com/maps/place/Garage+Door+Guys/data=!4m7!3m6!1s0x88e449cca29e7483:0x2229f97d6bf0205a!8m2!3d30.2921015!4d-81.683107!16s%2Fg%2F1ygvst_wj!19sChIJg3SeosxJ5IgRWiDwa335KSI,Garage Door Guys,4.7,441,Garage door supplier,,,http://www.garagedoor-guys.com/index.html,+1 904-249-1995,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPkORalY59Y2_mwOXFRwN160aR_HpM0p0M-V7s=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:00.826Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/George%27s+Garage+Door+Service/data=!4m7!3m6!1s0x88e5c2d9738caf2f:0x93a53d1b38fe5f66!8m2!3d30.16615!4d-81.5306192!16s%2Fg%2F11xczsmcl!19sChIJL6-Mc9nC5YgRZl_-OBs9pZM,George's Garage Door Service,5.0,630,Garage door supplier,"11251 Business Park Blvd STE 5, Jacksonville, FL 32256, United States","5F89+FQ Deercreek, Jacksonville, FL, USA",http://jaxgaragedoors.com/,+1 904-534-1489,"Closed ⋅ Opens 8 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipP0d9yYQNR6K_gN7wN0kfM4DcXryk2CROApkxE=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:05.906Z,,,,
https://www.google.com/maps/place/Garage+Door+Repair+Of+Jacksonville+Florida+LLC/data=!4m7!3m6!1s0x6180585d469dfe5b:0xabe6b88bdbe8d163!8m2!3d30.2306808!4d-81.5789973!16s%2Fg%2F11y9psk061!19sChIJW_6dRl1YgGERY9Ho24u45qs,Garage Door Repair Of Jacksonville Florida LLC,5.0,53,Garage door supplier,"8665 Baypine Rd #7741, Jacksonville, FL 32256, United States","6CJC+7C Deerwood Center, Jacksonville, FL, USA",,+1 850-446-2340,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMjjii6A2zk9vDtky2NIL14i8ZkFeHbwR42DQhu=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:10.969Z,,,,
https://www.google.com/maps/place/Florida+Garage+Doors+Net+INC/data=!4m7!3m6!1s0x88e5c21a0385e61f:0xda33757b981ef05d!8m2!3d30.2064722!4d-81.5854524!16s%2Fg%2F1hf2v9c_d!19sChIJH-aFAxrC5YgRXfAemHt1M9o,Florida Garage Doors Net INC,4.9,954,Garage door supplier,"4949 Sunbeam Rd Suite 7, Jacksonville, FL 32257, United States","6C47+HR Craven, Jacksonville, FL, USA",http://www.floridagaragedoors.net/,+1 904-406-2339,"Closed ⋅ Opens 8 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPJYT9p6S0j_E5BOQjwyDsrwFE-uT4HxH72bfaI=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:15.845Z,,,,
https://www.google.com/maps/place/Hurricane+Garage+Doors+and+Services/data=!4m7!3m6!1s0x88e5cf8abb40fe19:0xc2d0aac12555a872!8m2!3d30.2643939!4d-81.6126911!16s%2Fg%2F11gnqmfxs_!19sChIJGf5Au4rP5YgRcqhVJcGq0MI,Hurricane Garage Doors and Services,4.9,480,Garage door supplier,"5250 Bowden Rd #104, Jacksonville, FL 32216, United States","797P+QW Southside, Jacksonville, FL, USA",https://www.24-7garagedoorrepair-fl.com/,+1 904-999-8059,"Closed ⋅ Opens 7:30 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMJxRFbFjR2WTfxjW6pPzSAkiigAG0THy__6Kkc=w408-h292-k-no,true,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,12–7:30 pm,7:30 am–7:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:21.084Z,,,,
https://www.google.com/maps/place/America%27s+Garage+Doors/data=!4m7!3m6!1s0x88e449a6b81e6349:0x23d3f0287f0c6d9b!8m2!3d30.286607!4d-81.3996258!16s%2Fg%2F1tf24xc3!19sChIJSWMeuKZJ5IgRm20Mfyjw0yM,America's Garage Doors,4.8,906,Garage door supplier,"1100 Shetter Ave # 203, Jacksonville Beach, FL 32250, United States","7JP2+J4 Jacksonville Beach, Florida, USA",https://garagedoorjax.com/,+1 904-867-7345,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipNJoAOno8jsoFrRY1bNqZjn9_aRrI-L_ovfH52q=w432-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:26.127Z,,,,
https://www.google.com/maps/place/Action+Garage+Door+Services+of+Florida/data=!4m7!3m6!1s0x88e5b53903d912ff:0xa6a056d12728cc5e!8m2!3d30.104332!4d-81.6001594!16s%2Fg%2F12vsm_cs5!19sChIJ_xLZAzm15YgRXswoJ9FWoKY,Action Garage Door Services of Florida,4.8,116,Garage door supplier,,,https://jacksonvillegaragedoorpros.com/,+1 904-564-1200,"Closed ⋅ Opens 7 am

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMr-5QM9rFc_YbwLFefjlXhSLqcw4SwdybaZdE_=w426-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:31.046Z,,,,
https://www.google.com/maps/place/Exxon+Garage+Door+Services/data=!4m7!3m6!1s0xa3c7fe5671aa4b2f:0xb63b83f42fb37790!8m2!3d30.5166613!4d-81.6329746!16s%2Fg%2F11w7lqcl35!19sChIJL0uqcVb-x6MRkHezL_SDO7Y,Exxon Garage Door Services,5.0,24,Garage door supplier,"400 Pecan Park Rd #125, Jacksonville, FL 32218, United States","G988+MR Northside, Jacksonville, FL, USA",https://samedaygaragedoorpros.com/jacksonville/,+1 904-481-0330,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipNtvPRjYX4JC6kb8Lx4dtqCC-kRh_d8EZGFuNZY=w408-h548-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:36.093Z,,,,
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x88e5c9fb0d82a079:0xfc71f16e32ffc219!8m2!3d30.205189!4d-81.6138276!16s%2Fg%2F11kpgw3qqg!19sChIJeaCCDfvJ5YgRGcL_Mm7xcfw,OGD Overhead Garage Door,4.7,268,Garage door supplier,"3948 Sunbeam Rd # 1, Jacksonville, FL 32257, United States","694P+3F Sunbeam, Jacksonville, FL, USA",https://ogd.com/fl/jacksonville/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-jax-01&ogd_src=ogd-jax-01-google_business_profile,+1 904-934-8634,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMHnYtlGZSFBoYrWxZfs_7zYnNygGHWfFEruG10=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-11-11T05:47:41.390Z,Identifies as veteran-owned,,,
