placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error
https://www.google.com/maps/place/LeBron+James%27+Home+Court/data=!4m7!3m6!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc!19sChIJKT2qsDPXMIgRdqZl-9agczA,LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T17:56:26.214Z,
https://www.google.com/maps/place/James+Anderson+Ambition/data=!4m7!3m6!1s0x88312bc59bce3e7f:0x2dae568c4075f9a9!8m2!3d40.9781137!4d-81.520255!16s%2Fg%2F11f62bnjmy!19sChIJfz7Om8UrMYgRqfl1QIxWri0,James Anderson Ambition,5.0,109,Personal trainer,"3999 S Main St, New Franklin, OH 44319, United States","XFHH+6V New Franklin, Ohio, USA",http://jamesandersonambition.com/,+1 234-380-2330,"Open ⋅ Closes 8 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPRpdhQenX-UYY_XOVGI_bXVwauqYkmIRcHXVoU=w408-h408-k-no,true,5:30 am–8 pm,5:30 am–8 pm,5:30 am–8 pm,5:30 am–2 pm,8 am–3 pm,Closed,5:30 am–8 pm,"https://www.google.com/maps/search/LeBron+James+businesses+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T17:56:32.037Z,
https://www.google.com/maps/place/Gioninos+Training+Facility/data=!4m7!3m6!1s0x8831296d3c1935c5:0xe201384d2c591993!8m2!3d41.1001691!4d-81.4469239!16s%2Fg%2F11h6nr2x59!19sChIJxTUZPG0pMYgRkxlZLE04AeI,Gioninos Training Facility,4.3,7,Little league club,"111 West Ave, Tallmadge, OH 44278, United States","4H23+36 Tallmadge, Ohio, USA",,+1 330-319-1551,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy2EvMUzsjZk7qkOrIBcfN4GV09mNiq23gFw8ZTMCmQIBVXNv-YwWVfXstE_cZ_KoC5ZJeQ0PB_7jqc3MqrveU95Y-eDPwiui3Gq52gc21UWs00ZzeC3Ki-5W1sX8t3PvyZ-3g=w533-h240-k-no,false,,,,,,,,"https://www.google.com/maps/search/LeBron+James+businesses+in+Tallmadge+Akron+OH/@41.1014451,-81.441779,14z",2025-11-11T17:56:44.566Z,
"https://www.google.com/maps/place/LeBron+James'+Home+Court/@41.0854112,-81.4718387,14z/data=!4m6!3m5!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc",LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Cuyahoga+Akron+OH/@41.0854112,-81.4718387,14z",2025-11-11T17:56:54.193Z,Already found
"https://www.google.com/maps/place/ICON+SPORTS+MANAGEMENT/@41.1756931,-81.4781884,17z/data=!3m1!4b1!4m6!3m5!1s0x8831275ae1510e47:0x3485c2ce917fe5c7!8m2!3d41.1756931!4d-81.4781884!16s%2Fg%2F1v16qyzt",ICON SPORTS MANAGEMENT,,,,"3916 Clock Pointe Trail #101, Stow, OH 44224, United States","5GGC+7P Stow, Ohio, USA",,,Permanently closed,,true,,,,,,,,"https://www.google.com/maps/search/LeBron+James+businesses+in+Stow+Akron+OH/@41.1595005,-81.4403898,14z",2025-11-11T17:57:09.657Z,
"https://www.google.com/maps/place/LeBron+James'+Home+Court/@41.1000566,-81.3464968,14z/data=!4m6!3m5!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc",LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Brimfield+Akron+OH/@41.1000566,-81.3464968,14z",2025-11-11T17:57:18.178Z,Already found
https://www.google.com/maps/place/I+Promise+School/data=!4m7!3m6!1s0x8830d77a7826d0fb:0x6c2d451b69939034!8m2!3d41.0904626!4d-81.5313254!16s%2Fg%2F11f7ly3bbc!19sChIJ-9AmeHrXMIgRNJCTaRtFLWw,I Promise School,,,High school,"400 W Market St, Akron, OH 44303, United States","3FR9+5F Akron, Ohio, USA",https://ipromiseschool.akronschools.com/,+1 330-761-1516,"Open ⋅ Closes 3:25 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVT9fudoDztJexU2mBoE7hQdtFr6DAFxx7GH5HJHwS3t9AIndTF5lsAT0u2kBwWS5lyp3EUlg9VELxcPUONa-sa257O-lFIyPzxPewt0XuY88HBokIKNH7qkV0rItVUUDXKov1Sg=w408-h306-k-no,true,9 am–3:25 pm,9 am–3:25 pm,9 am–3:25 pm,9 am–3:25 pm,Open 24 hours,Closed,9 am–3:25 pm,"https://www.google.com/maps/search/LeBron+James+businesses+in+Aurora+Akron+OH/@41.081199,-81.5188377,14z",2025-11-11T17:57:31.198Z,
"https://www.google.com/maps/place/LeBron+James'+Home+Court/@41.0875099,-81.6363869,14z/data=!4m6!3m5!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc",LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Copley+Township+Akron+OH/@41.0875099,-81.6363869,14z",2025-11-11T17:57:39.648Z,Already found
"https://www.google.com/maps/place/LeBron+James'+Home+Court/@41.000993,-81.5486728,14z/data=!4m6!3m5!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc",LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Coventry+Township+Akron+OH/@41.000993,-81.5486728,14z",2025-11-11T17:57:48.025Z,Already found
"https://www.google.com/maps/place/LeBron+James'+Home+Court/@41.240056,-81.440667,14z/data=!4m6!3m5!1s0x8830d733b0aa3d29:0x3073a0d6fb65a676!8m2!3d41.0926038!4d-81.5348568!16s%2Fg%2F11vj4dvwlc",LeBron James' Home Court,4.7,154,Museum,"532 W Market St, Akron, OH 44303, United States","3FV8+23 Akron, Ohio, USA",,+1 913-231-0656,"Closed ⋅ Opens 9 am Wed

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymrpzgdf4EonKXo4fMzCR5sUQi5SknwFLBP9aGRIx42bCTPW2Xb4Z4cfoP8rSrJ_V7T1a5ZFCXN4R8HXjvt9W3DRKSi1lLshR85h4pzMqPgWt2wCcni5ptwOYIvTB3AUMzSdV=w408-h544-k-no,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/LeBron+James+businesses+in+Hudson+Akron+OH/@41.240056,-81.440667,14z",2025-11-11T17:57:56.693Z,Already found
