placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes
https://www.google.com/maps/place/Abilene+Powder+Coating/data=!4m7!3m6!1s0x865688b494fe133b:0xd94de9eb79b02a8b!8m2!3d32.4964049!4d-99.8140509!16s%2Fg%2F1v8j0vwx!19sChIJOxP-lLSIVoYRiyqweevpTdk,Abilene Powder Coating,4.9,14,Powder coating service,"6593 Spinks Rd, Abilene, TX 79603, United States","F5WP+H9 Abilene, Texas, USA",http://abilenepowdercoating.com/,+1 325-677-3918,"Open ⋅ Closes 5 pm

Veterans Day might affect these hours",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VjSqGtYjSteKqtyrbrVmKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.67763&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,7 am–12 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:49:35.850Z,
https://www.google.com/maps/place/Sweetwater+Machine+%26+Welding/data=!4m7!3m6!1s0x86560fdf9a8568ff:0x5b1301c109e04a29!8m2!3d32.4664192!4d-100.4156188!16s%2Fg%2F1thxr1g4!19sChIJ_2iFmt8PVoYRKUrgCcEBE1s,Sweetwater Machine & Welding,5.0,8,Machine shop,"711 W Broadway St, Sweetwater, TX 79556, United States","FH8M+HQ Sweetwater, Texas, USA",,+1 325-235-2922,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WNJOjsLSKEPdZyG03Kgb9w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=127.52379&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:49:39.850Z,
https://www.google.com/maps/place/SERVPRO+of+Abilene/data=!4m7!3m6!1s0x865693e7053bd58b:0x23ea4e52aad71b47!8m2!3d32.4299147!4d-99.6542103!16s%2Fg%2F1thxwmzz!19sChIJi9U7BeeTVoYRRxvXqlJO6iM,SERVPRO of Abilene,4.7,68,Water damage restoration service,"4573 FM 18, Abilene, TX 79602, United States","C8HW+X8 Abilene, Texas, USA",https://www.servpro.com/locations/tx/servpro-of-abilene?utm_medium=organic&utm_source=gbp,+1 325-672-5661,,https://lh3.googleusercontent.com/p/AF1QipPiJwNwDNv-cj9GAXs2-XEFeJhQJmntos04hC3O=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:49:45.773Z,
https://www.google.com/maps/place/B+%26+R+Asphalt+LLC/data=!4m7!3m6!1s0x86568f2a92cfabed:0x665104ad9cd1a047!8m2!3d32.4338331!4d-99.77266!16s%2Fg%2F11q_9bgcb1!19sChIJ7avPkiqPVoYRR6DRnK0EUWY,B & R Asphalt LLC,4.9,53,Asphalt contractor,"3750 Woodridge Dr, Abilene, TX 79605, United States","C6MG+GW Abilene, Texas, USA",http://bandrasphalt.com/,+1 325-513-6038,"Open 24 hours

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipOpoypNzYstpm24qO1nVl8eEurCm9H_ucWSsOtr=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,9 am–5 pm,Closed,Open 24 hours,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:49:50.844Z,
https://www.google.com/maps/place/Little+Manufacturing+Inc/data=!4m7!3m6!1s0x865691832aa0e255:0x568f415a7e681101!8m2!3d32.446422!4d-99.681485!16s%2Fg%2F1tcw8lmg!19sChIJVeKgKoORVoYRARFoflpBj1Y,Little Manufacturing Inc,,,Paving contractor,"2618 E US Highway 80, 2618 E Hwy 80, Abilene, TX 79601, United States","C8W9+HC Abilene, Texas, USA",http://www.littlemanufacturing.com/,+1 325-673-7021,"Open ⋅ Closes 5 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipPci1_iCR-34N3DimnvoVqy_1iFYnQmj7IwYKQr=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:49:55.819Z,
https://www.google.com/maps/place/Uniqu3+Solutions+Remodeling+and+Handyman+Services+LLC/data=!4m7!3m6!1s0x86568f4414b52909:0xc618b96c9f4e2309!8m2!3d32.4610494!4d-99.7302706!16s%2Fg%2F11cmhmwdg7!19sChIJCSm1FESPVoYRCSNOn2y5GMY,Uniqu3 Solutions Remodeling and Handyman Services LLC,5.0,47,General contractor,"1033 Walnut St, Abilene, TX 79601, United States","F769+CV Abilene, Texas, USA",http://www.uniqu3-solutions.com/,+1 325-627-3188,"Open ⋅ Closes 5 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipMwam3RqrU17iaR-33vxaaI4barGNXPWo39iCoe=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:50:00.917Z,
https://www.google.com/maps/place/Abilene+Auto+Spa/data=!4m7!3m6!1s0x86568e77a23d6003:0x97a214e1fdb63302!8m2!3d32.4003562!4d-99.74617!16s%2Fg%2F1w0j4l_5!19sChIJA2A9oneOVoYRAjO2_eEUopc,Abilene Auto Spa,4.8,186,Car detailing service,"4250 Burl Harris Dr, Abilene, TX 79602, United States","C723+4G Abilene, Texas, USA",https://www.abileneautospa.net/,+1 325-692-1688,"Open ⋅ Closes 5 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipP2dIJZeZUNuc6NSSrnjR-DslXupbgiw0tMGLxs=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:50:06.318Z,
"https://www.google.com/maps/place/Nobles+Road+Construction,+Inc./data=!4m7!3m6!1s0x86568ec0d8411981:0xad8ccc13d658e1a7!8m2!3d32.4523328!4d-99.7949373!16s%2Fg%2F1yh5th7lk!19sChIJgRlB2MCOVoYRp-FY1hPMjK0","Nobles Road Construction, Inc.",3.9,10,Road construction company,"5401 S 1st St, Abilene, TX 79605, United States","F624+W2 Abilene, Texas, USA",http://www.noblesroadconstruction.com/,+1 325-677-6258,"Open ⋅ Closes 5 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwqOQJh7Ihx2N5BHWymFfz5rHL01fTSk3qW6ENugPxRqeHjcqOFR1jQHyiQD-mdrJNJW7T_DaK-jI9PHJi-H3ZF1ymwmP9BBUspkJ7hDOXAlEJWVGzF65yz_cNxAwwKNKr-ToNPXw=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:50:11.411Z,
https://www.google.com/maps/place/James+Puryear+Welding+Fabrication+%26+Steel+Erection/data=!4m7!3m6!1s0x865691e53e0b2c81:0x596b1a80563fd738!8m2!3d32.4453589!4d-99.7136149!16s%2Fg%2F1tdky2h6!19sChIJgSwLPuWRVoYRONc_VoAaa1k,James Puryear Welding Fabrication & Steel Erection,3.4,5,Welder,"350 T and P Ln, Abilene, TX 79602, United States","C7WP+4H Abilene, Texas, USA",http://jamespuryearwelding.com/,+1 325-672-2009,"Open ⋅ Closes 6 pm

Veterans Day might affect these hours",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=osiK6cULrsb6w0uUzOp42w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=315.14825&pitch=0&thumbfov=100,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:50:16.522Z,
https://www.google.com/maps/place/Rusted+tin+Services/data=!4m7!3m6!1s0x6eb0e5f314124899:0x23b2d0740bcb70a0!8m2!3d31.1689103!4d-100.0768425!16s%2Fg%2F11s5gvmbvp!19sChIJmUgSFPPlsG4RoHDLC3TQsiM,Rusted tin Services,5.0,22,Demolition contractor,,,https://rustedtinservices.com/,+1 970-985-8832,"Open ⋅ Closes 6 pm

Veterans Day might affect these hours",https://lh3.googleusercontent.com/p/AF1QipOVDe8BQd7tEkxST-BvWXSIs8QHI45pKA_bjKM-=w408-h299-k-no,true,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,Closed,6 am–6 pm,"https://www.google.com/maps/search/subpar+railway+polishing+businesses+in+Sweetwater+Abilene+TX/@32.4534878,-99.7312829,14z",2025-11-11T17:50:21.498Z,
