placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,error
"https://www.google.com/maps/place/Grossman+St.+Amour+CPAs,+PLLC/data=!4m7!3m6!1s0x89d9f3b8e0132d03:0xf075643c84c42f36!8m2!3d43.0488296!4d-76.1533852!16s%2Fg%2F1tdgqttq!19sChIJAy0T4Ljz2YkRNi_EhDxkdfA","Grossman St. Amour CPAs, PLLC",4.5,18,Certified public accountant,"110 W Fayette St # 900, Syracuse, NY 13202, United States","2RXW+GJ Syracuse, New York, USA",https://gsacpas.com/?utm_source=LOCAL&utm_medium=ORGANIC&utm_campaign=GMB,+1 315-424-1120,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPuuikICPvPFaulpcNQbgKbRsguXV2-IADvT7u6=w630-h240-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:40:35.228Z,,,
https://www.google.com/maps/place/F.+J.+Pompo+%26+Co.+Certified+Public+Accountants/data=!4m7!3m6!1s0x89d9f3b905dc48d5:0xc2ecbabfbb56b2de!8m2!3d43.0492853!4d-76.1511556!16s%2Fg%2F1tk23y3x!19sChIJ1UjcBbnz2YkR3rJWu7-67MI,F. J. Pompo & Co. Certified Public Accountants,5.0,9,Certified public accountant,"120 E Washington St Suite 1004, Syracuse, NY 13202, United States","2RXX+PG Syracuse, New York, USA",http://fjpompo.com/,+1 315-472-6711,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNEo9y5M2TUWwKQOqq05cPozvu-X_EIecZ2jixe=w811-h240-k-no,true,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–12 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:40:41.252Z,,,
"https://www.google.com/maps/place/Dermody+Burke+%26+Brown,+CPAs,+LLC/data=!4m7!3m6!1s0x89d9f3c9e94b2845:0xbc27b3f894f2a773!8m2!3d43.0566143!4d-76.1569512!16s%2Fg%2F1wrtdvly!19sChIJRShL6cnz2YkRc6fylPizJ7w","Dermody Burke & Brown, CPAs, LLC",4.5,13,Accountant,"443 N Franklin St, Syracuse, NY 13204, United States","3R4V+J6 Syracuse, New York, USA",http://www.dbbllc.com/,+1 315-471-9171,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HhbNfCyTPZzqENCC5ZgUsw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.0504&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:40:46.312Z,,,
"https://www.google.com/maps/place/Dannible+%26+McKee,+LLP/data=!4m7!3m6!1s0x89d9f3b974a58779:0xd93d3589bba22d57!8m2!3d43.049083!4d-76.150366!16s%2Fg%2F1tdc66nm!19sChIJeYeldLnz2YkRVy2iu4k1Pdk","Dannible & McKee, LLP",5.0,1,Accounting firm,"221 S Warren St # 500, Syracuse, NY 13202, United States","2RXX+JV Syracuse, New York, USA",https://www.dmcpas.com/,+1 315-472-9127,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO5Smf5NzsYImjEdd8aKWKKUGCAt7f4I4QpJiL1=w408-h306-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:40:51.260Z,,,
"https://www.google.com/maps/place/John+Testone+Jr.,+CPA/data=!4m7!3m6!1s0x89d98d366dbce807:0x6699eb02af41d03!8m2!3d43.0579323!4d-76.1359091!16s%2Fg%2F11h93_bshg!19sChIJB-i8bTaN2YkRAx30KrCeaQY","John Testone Jr., CPA",5.0,4,Certified public accountant,"960 James St Second Floor, Syracuse, NY 13203, United States","3V57+5J Syracuse, New York, USA",,+1 315-565-7520,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NLsP95pMwyB0e78xbPrSFg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.04733&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:40:56.054Z,,,
"https://www.google.com/maps/place/DiMarco+Abiusi+%26+Pascarella,+CPAs,+P.C./data=!4m7!3m6!1s0x89d9f3b841788923:0x5d6c9b0ddb4c6b77!8m2!3d43.0512118!4d-76.1540733!16s%2Fg%2F1tjds9zx!19sChIJI4l4Qbjz2YkRd2tM2w2bbF0","DiMarco Abiusi & Pascarella, CPAs, P.C.",5.0,2,Tax preparation service,"101 N Clinton St #104, Syracuse, NY 13202, United States","3R2W+F9 Syracuse, New York, USA",http://www.dimarcocpa.com/,+1 315-475-6954,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dR0rH2NoyGKETGEZF5hfgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.4641&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:41:01.049Z,,,
"https://www.google.com/maps/place/Robert+A.+Ford,+CPA,+CVA,+MAFF/data=!4m7!3m6!1s0x89d9f3c752664d49:0xac3dee94454528a2!8m2!3d43.0481012!4d-76.155897!16s%2Fg%2F1tdlj8pg!19sChIJSU1mUsfz2YkRoihFRZTuPaw","Robert A. Ford, CPA, CVA, MAFF",5.0,1,Accountant,"202 Walton St, Syracuse, NY 13202, United States","2RXV+6J Syracuse, New York, USA",,+1 315-491-3673,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SXYF7i3a-XQp8tfeMzCqSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.00433&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:41:06.183Z,,,
https://www.google.com/maps/place/Bowers+CPAs+%26+Advisors/data=!4m7!3m6!1s0x89d9f3be8d50b4ab:0xacd276c8a3159cd7!8m2!3d43.0493836!4d-76.155982!16s%2Fg%2F1v_z59ml!19sChIJq7RQjb7z2YkR15wVo8h20qw,Bowers CPAs & Advisors,5.0,7,Accountant,"333 W Washington St Fifth Floor, Syracuse, NY 13202, United States","2RXV+QJ Syracuse, New York, USA",http://www.bcpllc.com/,+1 315-234-1100,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fzr6acmiohATkWH654FREA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.13583&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:41:11.259Z,,,
https://www.google.com/maps/place/FustCharles+LLP/data=!4m7!3m6!1s0x89d98cde1eb82db3:0x58786a541d8e47d1!8m2!3d43.0490191!4d-76.1511103!16s%2Fg%2F1tjz4c60!19sChIJsy24Ht6M2YkR0UeOHVRqeFg,FustCharles LLP,5.0,3,Certified public accountant,"220 S Warren St f9, Syracuse, NY 13202, United States","2RXX+JH Syracuse, New York, USA",http://www.fustcharles.com/,+1 315-446-3600,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YbK-oa26ntrTulUCcku55Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.45087&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:41:16.230Z,,,
https://www.google.com/maps/place/Holloway+Tax+%26+Accounting+Services/data=!4m7!3m6!1s0x89d9f3be2be5c865:0x7e286ad460dc2b4!8m2!3d43.04289!4d-76.1519387!16s%2Fg%2F11cs4h6d_1!19sChIJZcjlK77z2YkRtMINRq2G4gc,Holloway Tax & Accounting Services,5.0,6,Accountant,"580 S Salina St, Syracuse, NY 13202, United States","2RVX+56 Syracuse, New York, USA",http://www.holloway-tax.com/,+1 315-314-7769,Closed ⋅ Opens 10 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OFA4GbS-h-uCk4LvQB18Zg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.33698&pitch=0&thumbfov=100,true,Closed,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,12–6 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Bristol+Syracuse+NY/@43.0494832,-76.1473977,14z",2025-10-19T15:41:21.323Z,,,
