placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,isBlackOwned,error
https://www.google.com/maps/place/Casco+Bay+Generators+%26+Heat+Pumps/data=!4m7!3m6!1s0x4cb29b7e6bed81df:0x6c811eb19470754f!8m2!3d43.6929938!4d-70.2593315!16s%2Fg%2F11fj5lj135!19sChIJ34Hta36bskwRT3VwlLEegWw,Casco Bay Generators & Heat Pumps,4.9,64,Electric generator shop,· Delivery,"320 Presumpscot St, Portland, ME 04103, United States","MPVR+57 Portland, Maine, USA",https://www.cascobaygenerators.com/,+1 207-317-3683,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPq3mK9y4IC1CcXzqiODB0UER0wFpFcm55JTIU7=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:01.980Z,,,
"https://www.google.com/maps/place/Casco+Bay+Electric,+LLC./data=!4m7!3m6!1s0x4cb29af09941d58d:0xfa00e22e9f2fe44a!8m2!3d43.6930031!4d-70.2590481!16s%2Fg%2F1tf42kl8!19sChIJjdVBmfCaskwRSuQvny7iAPo","Casco Bay Electric, LLC.",4.7,211,Electrician,,"322 Presumpscot St, Portland, ME 04103, United States","MPVR+69 Portland, Maine, USA",https://www.cascobayelectric.com/,+1 207-221-3331,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxc1tAfSFN0xty7ENh7Bq8Mi_5oyPJTp_YbRosQVa_izuYEw1UZpNKwkV3qQP4lLpgnAwHQXBgvOUigvR9WYB8rYYcuFhfWdTX3gvNj5X1RGtz-LtOj6oLCnpEn93VYp1hwBS6Y=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:07.310Z,,,
https://www.google.com/maps/place/Gowen+Power+Systems/data=!4m7!3m6!1s0x4cb29c3d14fb7b6d:0x41da7b9fb2cc3179!8m2!3d43.7070865!4d-70.3148489!16s%2Fg%2F1tgkgx2s!19sChIJbXv7FD2cskwReTHMsp972kE,Gowen Power Systems,4.9,31,Electrical installation service,,"41 Evergreen Dr, Portland, ME 04103, United States","PM4P+R3 Portland, Maine, USA",http://www.gowenpower.com/about-us/,+1 207-773-1761,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzk1FN1OnM5Rj2UdGtd2vQxWFC-QlyOJJOKJPiDhjCTdsU2ZIeVWfF_V_nBc0JoW9f6LT77E_UANsfmjkY42FWVIJADnKzs7APa8DEliIfxObyMWpFUqT-QcY2PcIkJApMjngf8=w408-h372-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:12.629Z,,,
https://www.google.com/maps/place/Miracle+Electric/data=!4m7!3m6!1s0xedf1a53497f8bc7:0x98e6d8b73a227a57!8m2!3d43.6758324!4d-70.3353786!16s%2Fg%2F11ybxlx3qj!19sChIJx4t_SVMa3w4RV3oiOrfY5pg,Miracle Electric,5.0,128,Electrician,,"100 Larrabee Rd, Westbrook, ME 04092, United States","MMG7+8R Westbrook, Maine, USA",https://www.miracle-electrical.com/,+1 207-494-3898,Open · Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipPiSviXkqjRRL_hr2srwVNT4L1f7Wnxw2YVZw3Y=w408-h272-k-no,true,7 am–9 pm,Closed,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:17.472Z,,,
https://www.google.com/maps/place/Greater+Portland+Electric/data=!4m7!3m6!1s0x4cb29b66013d4f21:0xddc2d15392e68175!8m2!3d43.68403!4d-70.2926785!16s%2Fg%2F11pdvxgb2d!19sChIJIU89AWabskwRdYHmklPRwt0,Greater Portland Electric,4.8,140,Electrician,,"26 Poland St, Portland, ME 04103, United States","MPM4+JW Portland, Maine, USA",https://www.greaterportlandelectric.com/,+1 207-409-5428,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMa9yPUB1_cW8h3tE1Xo_S_D1BVe1xuATCctkAm=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:22.494Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Heritage+Home+Service/data=!4m7!3m6!1s0x4cb2992784faadfb:0xf02368d6a702bd56!8m2!3d43.6485372!4d-70.3225433!16s%2Fg%2F11wqmxr_3p!19sChIJ-636hCeZskwRVr0Cp9ZoI_A,Heritage Home Service,4.8,569,HVAC contractor,,"72 City Line Dr, Portland, ME 04102, United States","JMXG+CX Portland, Maine, USA",https://justcallheritage.com/service-area/portland-me/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*359*heritage-portland,+1 207-370-9533,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM6fE7FZnT_9vIX61ITu-bVYdICsl_Q2s6T7GJS=w408-h303-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:27.405Z,,,
https://www.google.com/maps/place/Bell+Electric/data=!4m7!3m6!1s0x4cb29f12151c1a6d:0x3bb4c35002122a6d!8m2!3d43.694433!4d-70.3205372!16s%2Fg%2F11y4y6k78s!19sChIJbRocFRKfskwRbSoSAlDDtDs,Bell Electric,5.0,52,Electrician,,"75 Rainmaker Dr B, Portland, ME 04103, United States","MMVH+QQ Portland, Maine, USA",https://www.thebellelectric.com/,+1 857-350-0950,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipO1lr5XAWpng5PBOx15AwS_hH1nbiyv1E0JCYoK=w408-h272-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:32.370Z,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Maine/data=!4m7!3m6!1s0x4cb28327a6a01c81:0x91800f0db1b6e778!8m2!3d43.7269182!4d-70.2299892!16s%2Fg%2F11k3pk7zty!19sChIJgRygpieDskwReOe2sQ0PgJE,Generator Supercenter of Maine,4.9,48,Electric generator shop,· In-store shopping · In-store pick-up · Delivery,"269 US-1 Unit 104, Falmouth, ME 04105, United States","PQGC+Q2 Falmouth, Maine, USA",https://generatorsupercenterofmaine.com/,+1 207-400-6277,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOuZ7fna3Gmp5CHYJukaZxQYVHFy151S8XzjxzG=w408-h306-k-no,true,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:37.527Z,,,
https://www.google.com/maps/place/Northeast+Electric/data=!4m7!3m6!1s0x4cb29c6ad62a2ddb:0xa2386d75cd6f3d45!8m2!3d43.707177!4d-70.3147669!16s%2Fg%2F11gbk1jxkf!19sChIJ2y0q1mqcskwRRT1vzXVtOKI,Northeast Electric,4.6,17,Electrician,,"41 Evergreen Dr, Portland, ME 04103, United States","PM4P+V3 Portland, Maine, USA",,+1 207-797-3633,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMJmrLidEFAXPNeAMNvJX2Q3I04t7hKV1nvE5He=w493-h240-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:42.514Z,,,
https://www.google.com/maps/place/Goodnow+Electric/data=!4m7!3m6!1s0xaa407a0cedad2425:0x45f12900261269c9!8m2!3d43.69115!4d-70.3694865!16s%2Fg%2F11vq558zfk!19sChIJJSSt7Qx6QKoRyWkSJgAp8UU,Goodnow Electric,4.8,78,Electrician,,"51 Wilson Dr, Westbrook, ME 04092, United States","MJRJ+F6 Westbrook, Maine, USA",https://goodnowelectric.com/,+1 207-318-1022,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPbAZpUPe7RexBclj_jnAHVMF-iEvqPJQmU4mpS=w408-h286-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Portland+ME/@43.670822,-70.2843825,14z",2026-01-10T22:16:47.398Z,,,
