placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,error
https://www.google.com/maps/place/Generator+Supercenter/data=!4m7!3m6!1s0x89a98ca8f7cb48cf:0x2f8a9224acbc0a18!8m2!3d34.2840709!4d-77.8702801!16s%2Fg%2F11hcw4ykj3!19sChIJz0jL96iMqYkRGAq8rCSSii8,Generator Supercenter,4.9,296,Electric generator shop,· In-store shopping · Delivery,"5529-B Business Dr B, Wilmington, NC 28405, United States","74MH+JV Wilmington, North Carolina, USA",http://generatorsupercenterofwilmingtonnc.com/,+1 910-627-0147,,https://lh3.googleusercontent.com/p/AF1QipO7H6tG_Qt6vycQGNTZAZz8KTI5TffgNBB6053D=w408-h510-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:40:55.942Z,,
https://www.google.com/maps/place/Wilmington+Generators/data=!4m7!3m6!1s0x89a9f57dce5aaaab:0x71e37d6d8a79c419!8m2!3d34.2261008!4d-77.9258064!16s%2Fg%2F11hzysv8zh!19sChIJq6pazn31qYkRGcR5im1943E,Wilmington Generators,5.0,17,Contractor,,"853 S 17th St, Wilmington, NC 28401, United States","63GF+CM Wilmington, North Carolina, USA",https://www.wilmingtongeneratorsnc.com/contact,+1 910-262-1992,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRsmb_n0CDRV28cyHlPGvmgYz2r3bZ_vA_xBrmmGw9KRBeHujwIV8oz_JrQO5JHr1ucjD5n0EimIbDkU9AW4cpYEKBj-EXjtudVhku6K_JHCUhF7wfWjpXWUbrKBFyQK1t8ya9=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:40:58.513Z,,
https://www.google.com/maps/place/Cape+Fear+Generators-+Wilmington/data=!4m7!3m6!1s0x89aa1e3cc0ceaaab:0x13714dcd3510534c!8m2!3d34.2033735!4d-77.9406931!16s%2Fg%2F11gb3rclms!19sChIJq6rOwDweqokRTFMQNc1NcRM,Cape Fear Generators- Wilmington,4.4,24,Electric generator shop,· Delivery,"2083 Carolina Beach Rd, Wilmington, NC 28401, United States","6335+8P Wilmington, North Carolina, USA",http://www.capefeargenerator.com/,+1 910-763-9103,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOkoArY7Lqf2WLhzC4mEbRwBYcahnO06Oz2QcrC=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:03.115Z,,
https://www.google.com/maps/place/Matrix+Electrical+Services+LLC/data=!4m7!3m6!1s0x89a98d18770fcd37:0xfa8fc4b32a5a5a6d!8m2!3d34.2945271!4d-77.8571358!16s%2Fg%2F11g1ktrh7w!19sChIJN80PdxiNqYkRbVpaKrPEj_o,Matrix Electrical Services LLC,5.0,34,Electrician,,"5005 Ferndale Rd, Wilmington, NC 28411, United States","74VV+R4 Wilmington, North Carolina, USA",https://matrixwilmington.com/,+1 910-742-0799,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMAChkDWEIaCPiLrLBJCg51GGtLy9r9I7qiGI4o=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:08.007Z,,
https://www.google.com/maps/place/Power+2+You/data=!4m7!3m6!1s0x89a9f7f0e4ed219f:0x23d82e8aca82c612!8m2!3d34.4281805!4d-78.4957314!16s%2Fg%2F11j1ng7b01!19sChIJnyHt5PD3qYkREsaCyoou2CM,Power 2 You,5.0,14,Electric generator shop,,,,https://power2youelectric.com/,+1 910-520-6218,Closes soon · 5 pm · Opens 9 am Sun,https://lh3.googleusercontent.com/p/AF1QipN5qqClOhcPfRacRpgvBqgNafBm0svgQg4XvWY=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:12.518Z,,
"https://www.google.com/maps/place/Alternative+Power+of+Wilmington,+LLC./data=!4m7!3m6!1s0x89a98babb49d8657:0x6db8c673fc4b3b45!8m2!3d34.2627546!4d-77.8419526!16s%2Fg%2F11qg5dr325!19sChIJV4adtKuLqYkRRTtL_HPGuG0","Alternative Power of Wilmington, LLC.",3.0,2,Electric generator shop,· In-store pick-up,"6625 Amsterdam Way STE 110, Wilmington, NC 28405, United States","7575+46 Wilmington, North Carolina, USA",http://www.alternativepower.com/,+1 910-685-8181,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP2dn7zbOmDCQwNCtcdjoK6I4ltlMYKr1q27Ag=w408-h266-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:16.880Z,,
https://www.google.com/maps/place/Maguire+Electric/data=!4m7!3m6!1s0x89a98bac9b73ed87:0xa4b9821889dc6ed2!8m2!3d34.7724665!4d-78.0677095!16s%2Fg%2F1hhgmc0nx!19sChIJh-1zm6yLqYkR0m7ciRiCuaQ,Maguire Electric,4.9,16,Electrician,,,,https://maguire-electric.com/,+1 910-523-5342,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPixmFzSYswWaS6k-vVkNn9Kh9cv521IDA4A2gR=w408-h271-k-no,true,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:21.222Z,,
https://www.google.com/maps/place/Cape+Fear+Generators/data=!4m7!3m6!1s0x89a9f85c57317ca5:0xe75b8daf684cb5e3!8m2!3d34.0498739!4d-77.9018504!16s%2Fg%2F1tfjgd9c!19sChIJpXwxV1z4qYkR47VMaK-NW-c,Cape Fear Generators,4.9,100,Electrical installation service,,"1333 Bridge Barrier Rd, Carolina Beach, NC 28428, United States","23XX+W7 Carolina Beach, North Carolina, USA",http://capefeargenerator.com/,+1 910-458-5832,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyymiRuuxzEVXY3uXilRbQNtRwZavDJK0IqMEoCQb532dV9EopHT2VG9DuzqbpjL5_-2P1vWsqGoqteLSMSGUU1Cit9_9q8uNwWTmjTSnO9dJzcrfUES3DSc536NDB5y8ZHeO-tYA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:25.704Z,,
https://www.google.com/maps/place/K2+Electric+Company/data=!4m7!3m6!1s0x89a98b2c49874985:0x8a9639eb1f42714!8m2!3d34.2767987!4d-77.9204987!16s%2Fg%2F11kl4cjtlv!19sChIJhUmHSSyLqYkRFCf0sZ5jqQg,K2 Electric Company,4.9,29,Electrician,,"210 Fairfield Dr, Wilmington, NC 28401, United States","73GH+PR Wilmington, North Carolina, USA",https://www.k2electriccompanync.com/,+1 910-516-8546,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPHQoZcv0NvZWj-P6JqotySCZLhuCnntjF8l2s=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:30.134Z,,
https://www.google.com/maps/place/The+Electric+Man/data=!4m7!3m6!1s0x8e797e3ac9446d81:0x6e4e64dbc7182308!8m2!3d34.2498535!4d-77.8757172!16s%2Fg%2F11vs3tjqlk!19sChIJgW1EyTp-eY4RCCMYx9tkTm4,The Electric Man,5.0,107,Electrician,,"314 Lennon Dr, Wilmington, NC 28405, United States","64XF+WP Wilmington, North Carolina, USA",https://www.theelectricmanofwilmington.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11199707501038012084,+1 910-620-3724,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPlk9vRCMde4ltGOzqTHbes0JpN6b0maXuKBy2c=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2026-01-10T21:41:34.677Z,,
