placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Morris+Electric+Company/data=!4m7!3m6!1s0x88690d02a3665add:0x4298f0fc99089098!8m2!3d38.1819961!4d-85.6876793!16s%2Fg%2F11pymnj0kv!19sChIJ3VpmowINaYgRmJAImfzwmEI,Morris Electric Company,4.9,39,Electrician,"3933 Produce Rd, Louisville, KY 40218, United States","58J6+QW Louisville, Kentucky, USA",http://morrisgenerators.net/,+1 502-964-0400,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMVNRoYVu2WUzGTuCQ51HW6HQrM9Mc4pEyQlCs=w408-h544-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:03:40.222Z,,,,
https://www.google.com/maps/place/Generator+Supercenter+of+Louisville/data=!4m7!3m6!1s0x886999b209dd2cdf:0xef9d3178f63acec3!8m2!3d38.2505035!4d-85.5118957!16s%2Fg%2F11s6__69lb!19sChIJ3yzdCbKZaYgRw8469ngxne8,Generator Supercenter of Louisville,5.0,62,Electric generator shop,"13000 Middletown Industrial Blvd Ste G, Louisville, KY 40223, United States","7F2Q+66 Louisville, Kentucky, USA",http://generatorsupercenteroflouisville.com/,+1 502-749-6900,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNoOzkj_DjpHmDNORZbtJLIe0iqEeueHvULm5ZP=w408-h272-k-no,true,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:03:45.841Z,· Delivery,,,
"https://www.google.com/maps/place/Varitech,+Inc./data=!4m7!3m6!1s0x88690c7ad26e9427:0xd30ba98e3b141fe1!8m2!3d38.185332!4d-85.6909341!16s%2Fg%2F1tksjjvr!19sChIJJ5Ru0noMaYgR4R8UO46pC9M","Varitech, Inc.",4.5,42,Electric generator shop,"4647 Pinewood Rd, Louisville, KY 40218, United States","58P5+4J Louisville, Kentucky, USA",http://www.vteng.com/,+1 502-966-3400,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNfi_t2zUCnWE93fMVZc0oQmJyRLKVGuURIiVOt=w408-h306-k-no,true,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:03:50.736Z,· In-store pick-up,,,
https://www.google.com/maps/place/Laswell+Electric+Company+Inc./data=!4m7!3m6!1s0x8869a0af2f0a7c2b:0x3425c7a8fc1d3120!8m2!3d38.1579751!4d-85.7056504!16s%2Fg%2F12619f6m2!19sChIJK3wKL6-gaYgRIDEd_KjHJTQ,Laswell Electric Company Inc.,4.9,429,Electrician,"922 Ulrich Ave Suite A, Louisville, KY 40219, United States","575V+5P Louisville, Kentucky, USA",https://www.lecoinc.com/,+1 502-317-8835,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNVtvT7VL1I0zochYZaj9s8KS46JCd4M02_4CHL=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:03:55.671Z,,,,
"https://www.google.com/maps/place/Crain+Heating,+Air+Conditioning+%26+Home+Generators/data=!4m7!3m6!1s0x886973ce8cc55f4d:0x4cc2c667d31b42c8!8m2!3d38.2984785!4d-85.7253529!16s%2Fg%2F1tdgw3yw!19sChIJTV_FjM5zaYgRyEIb02fGwkw","Crain Heating, Air Conditioning & Home Generators",4.8,183,HVAC contractor,"1638 E 10th St, Jeffersonville, IN 47130, United States","77XF+9V Jeffersonville, Indiana, USA",http://craincomfort.net/,+1 812-283-1993,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz2dFLtCQnU-7IjoqkGJZfAP9LxSay77sGoANuUMF052P2n0358hkIAhzrNkn2N-GVXthV3FbpxiMscLjT8p917D7HgRPaMV2yVWaTzcM8q8Gth8aPh5TGtfsnHR9zbXlfKL-u2wjTiibA=w408-h544-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:00.759Z,,,,
https://www.google.com/maps/place/Allen+Electrical+Services/data=!4m7!3m6!1s0x88690d6e60821b03:0x9cae8fd6a0ad4c9e!8m2!3d38.189532!4d-85.699881!16s%2Fg%2F1tgx7blb!19sChIJAxuCYG4NaYgRnkytoNaPrpw,Allen Electrical Services,4.7,766,Electrician,"1430 Selinda Ave, Louisville, KY 40213, United States","58Q2+R2 Louisville, Kentucky, USA",https://www.allenelectrical.com/,+1 502-636-4357,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMkR5VCoyqdR3NLnym5hnhv5OmMNcgQbNkiysLj=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:05.818Z,,,,
https://www.google.com/maps/place/Louisville+Generators+Plus/data=!4m7!3m6!1s0x8869a194b5e0ae39:0x98e109533d0f79d6!8m2!3d38.1804053!4d-85.5638626!16s%2Fg%2F11ldwy40jb!19sChIJOa7gtZShaYgR1nkPPVMJ4Zg,Louisville Generators Plus,,,Electrician,"10405 St Rene Rd, Jeffersontown, KY 40299, United States","5CJP+5F Jeffersontown, Kentucky, USA",https://www.louisvillegenerators.com/,+1 502-442-3360,Closes soon · 5:30 pm · Opens 7 am Sun,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qz_LhY_MUkg7wJEHqkOHHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.9368935&pitch=0&thumbfov=100,true,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:10.491Z,,,,
https://www.google.com/maps/place/Corrigan+Electric+Company/data=!4m7!3m6!1s0x8869a1b72dee5c87:0x2c6e90ff792e2b00!8m2!3d38.2066438!4d-85.5530022!16s%2Fg%2F1tg35z85!19sChIJh1zuLbehaYgRACsuef-Qbiw,Corrigan Electric Company,4.4,183,Electrician,"2621 Holloway Rd, Louisville, KY 40299, United States","6C4W+MQ Louisville, Kentucky, USA",https://www.corriganelectric.com/,+1 502-267-4600,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipNKDMPJrEYrmHn1E4JAOy1y67KPDxL4B936QChg=w648-h240-k-no,true,Closed,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:15.437Z,,,,
https://www.google.com/maps/place/Abtech+Electrical+Services/data=!4m7!3m6!1s0x88697219ee3cf085:0x544bcd6ba08c638!8m2!3d38.3556712!4d-85.7204272!16s%2Fg%2F11bbx0ks95!19sChIJhfA87hlyaYgROMYIuta8RAU,Abtech Electrical Services,5.0,199,Electrical installation service,"4016 Coopers Ln, Sellersburg, IN 47172, United States","974H+7R Sellersburg, Indiana, USA",http://www.abtechelectric.com/,+1 812-284-2359,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOxonQrYaWXH2mKC5JW_-Tw-hGnb4QedIgVgBg=w408-h306-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:20.454Z,,,,
"https://www.google.com/maps/place/Tom+Drexler+Plumbing,+Air+%26+Electric/data=!4m7!3m6!1s0x88690ca45712c6d5:0x4aefad94a83fd851!8m2!3d38.1976739!4d-85.6590392!16s%2Fg%2F1thx9c62!19sChIJ1cYSV6QMaYgRUdg_qJSt70o","Tom Drexler Plumbing, Air & Electric",4.8,20092,Plumber,"3718 Bardstown Rd, Louisville, KY 40218, United States","58XR+39 Louisville, Kentucky, USA",https://tomdrexlerplumbing.com/louisville-area/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Louisville-KY,+1 502-206-4261,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO-ZvKnBM79SL7n8T4XlRxpe0w8NkZ_I7LRwofb=w408-h265-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Jeffersonville+Louisville+KY/@38.2775702,-85.7371847,14z",2026-01-10T22:04:25.670Z,,,,
