placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Capital+Pediatric+Cardiology/data=!4m7!3m6!1s0x54d2ecf7d6113f17:0xbeb33e21cf9f6202!8m2!3d40.4506132!4d-122.296706!16s%2Fg%2F11cr_53p1k!19sChIJFz8R1vfs0lQRAmKfzyE-s74,Capital Pediatric Cardiology,4.3,4,Medical clinic,"2830 East St, Anderson, CA 96007, United States","FP23+68 Anderson, California, USA",,+1 916-750-2328,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KP5vwKqUWNWCaUoRqg9ayg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=36.48455&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,Closed,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:28.742Z,,,
https://www.google.com/maps/place/Shasta+Community+Health+Center:+Anderson/data=!4m7!3m6!1s0x54d2c16097dcb71d:0x1c9b1f4325598738!8m2!3d40.4518238!4d-122.2982302!16s%2Fg%2F1td0mrpn!19sChIJHbfcl2DB0lQROIdZJUMfmxw,Shasta Community Health Center: Anderson,4.5,619,Medical Center,"2965 East St, Anderson, CA 96007, United States","FP22+PP Anderson, California, USA",https://www.shastahealth.org/,+1 530-378-0486,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPQlKi5wA7gpoKt8wIFpdqxEoNapNejY2ZEF8I7=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:34.563Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Shasta+Community+Health+Center:+Pediatrics/data=!4m7!3m6!1s0x54d2edd787ab9a57:0x8a4790a17f39a21f!8m2!3d40.584037!4d-122.385484!16s%2Fg%2F11vyvdpnkq!19sChIJV5qrh9ft0lQRH6I5f6GQR4o,Shasta Community Health Center: Pediatrics,3.8,13,Medical Center,"Women's, Babies' & Children's Center, 1000 Placer St, Redding, CA 96001, United States","HJM7+JR Redding, California, USA",https://www.shastahealth.org/,+1 530-246-5702,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMEFVa5IWwMvRAI0_KV0B9EkmCqQmbMofsC_8vP=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:40.017Z,,,
https://www.google.com/maps/place/Anderson+Walk-In+Medical+Clinic/data=!4m7!3m6!1s0x54d2c11319d31387:0x8915d8faee3d52fc!8m2!3d40.4550145!4d-122.2931541!16s%2Fg%2F1tfdyk_6!19sChIJhxPTGRPB0lQR_FI97vrYFYk,Anderson Walk-In Medical Clinic,2.7,207,Walk-in clinic,"3082 McMurry Dr, Anderson, CA 96007, United States","FP44+2P Anderson, California, USA",https://www.andersonwalkinmedicalclinic.com/,+1 530-365-4412,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN0BxQJuN3tGdxUr01oycolJpHYNoIyzzAvhymy=w408-h271-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:45.405Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Anderson+Medical+Associates/data=!4m7!3m6!1s0x54d2c166591a42f7:0x42d5535eb37ad876!8m2!3d40.4506459!4d-122.2966781!16s%2Fg%2F1vlk191z!19sChIJ90IaWWbB0lQRdth6s15T1UI,Anderson Medical Associates,2.7,29,Medical clinic,"2830 East St, Anderson, CA 96007, United States","FP23+78 Anderson, California, USA",,+1 530-365-2545,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqYBncu1yRyQ5QVJgACrbeymmOlfNS1HeZUUo6k7mA7MFSRam-RF5ickqWTDlug4w1VVzD5wYfTxbLcmynvxjve4ZqsCweZ98eT1tUjUy-VjaLCJWZQu_WrA7uZyEzz0DjBk6EK=w408-h408-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:50.459Z,,,
"https://www.google.com/maps/place/Pediatrics+-+Mercy+Medical+Center+-+Redding,+CA/data=!4m7!3m6!1s0x54d2eda7fa7df789:0x5ff11e7b555d47b3!8m2!3d40.5719533!4d-122.3952328!16s%2Fg%2F11hfx7qy9q!19sChIJifd9-qft0lQRs0ddVXse8V8","Pediatrics - Mercy Medical Center - Redding, CA",,,Pediatrician,"2175 Rosaline Ave, Redding, CA 96001, United States","HJC3+QW Redding, California, USA",https://locations.dignityhealth.org/pediatrics-mercy-medical-center-redding-ca,+1 530-225-6000,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6X7u1jj_zLk7HiDrHggFeQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=167.08086&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:23:55.269Z,,,
"https://www.google.com/maps/place/Dr.+Nirmal+S.+Mehton,+MD/data=!4m7!3m6!1s0x54d2c166591a42f7:0xda5692d325d5fb6a!8m2!3d40.4506459!4d-122.2966781!16s%2Fg%2F1tf757mp!19sChIJ90IaWWbB0lQRavvVJdOSVto","Dr. Nirmal S. Mehton, MD",3.8,13,Family practice physician,"2830 East St, Anderson, CA 96007, United States","FP23+78 Anderson, California, USA",,+1 530-365-2545,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H2-0s2PcF-xLcImYT2xuKA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.29428&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:24:00.210Z,,,
https://www.google.com/maps/place/Grandaw+Peter+MD/data=!4m7!3m6!1s0x54d2ec7ab75d43a5:0x6c9b2a22bd11387f!8m2!3d40.5555999!4d-122.3944908!16s%2Fg%2F1td0g72n!19sChIJpUNdt3rs0lQRfzgRvSIqm2w,Grandaw Peter MD,3.5,31,Pediatrician,"1892 Buenaventura Blvd, Redding, CA 96001, United States","HJ44+66 Redding, California, USA",https://www.dignityhealth.org/ourdoctors/1013900737-peter-grandaw,+1 530-243-9478,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kQ3LglSrOtrEwIjo9isUlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.8685&pitch=0&thumbfov=100,false,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,Closed,9 am–4 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:24:05.142Z,,,
https://www.google.com/maps/place/Shasta+Regional+Medical+Group+-+Anderson/data=!4m7!3m6!1s0x54d2c1001cbfaff3:0x4781ad7197c7dc97!8m2!3d40.4506435!4d-122.2966922!16s%2Fg%2F11wfj_d9z5!19sChIJ86-_HADB0lQRl9zHl3GtgUc,Shasta Regional Medical Group - Anderson,3.8,4,Medical clinic,"2830 East St, Anderson, CA 96007, United States","FP23+78 Anderson, California, USA",https://shastaregionalmedicalgroup.com/locations/,+1 530-365-2545,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H2-0s2PcF-xLcImYT2xuKA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=160.97733&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:24:09.995Z,,,
"https://www.google.com/maps/place/Dr.+Raileen+C.+Lagoc,+MD/data=!4m7!3m6!1s0x54d2ec6ff1bd584f:0xf61c31ec43256e1c!8m2!3d40.5735931!4d-122.3931835!16s%2Fg%2F12vqybyw_!19sChIJT1i98W_s0lQRHG4lQ-wxHPY","Dr. Raileen C. Lagoc, MD",4.1,22,Pediatrician,"1850 Rosaline Ave, Redding, CA 96001, United States","HJF4+CP Redding, California, USA",,+1 530-244-6534,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sHxSIQ9sjj7-BlTp7QvqSg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=16.716547&pitch=0&thumbfov=100,true,"9 am–12 pm, 1:30–4 pm","9 am–12 pm, 1:30–4 pm","9 am–12 pm, 1:30–4 pm",9 am–12 pm,Closed,Closed,"9 am–12 pm, 1:30–4 pm","https://www.google.com/maps/search/pediatrician+in+Anderson+Redding+CA/@40.4482,-122.2967,14z",2026-02-10T22:24:14.822Z,,,
