placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/All+Out+Plumbing+Service/data=!4m7!3m6!1s0x8830d44eea35a93d:0x7c587f33605abc8d!8m2!3d40.3633958!4d-82.669505!16s%2Fg%2F11xj3z_q8!19sChIJPak16k7UMIgRjbxaYDN_WHw,All Out Plumbing Service,4.8,65,Plumber,,,http://www.alloutplumbingservice.com/,+1 330-926-9965,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO3JUEualihCjrDBMVJRO7nQU5pdnIUo6jCbJup=w822-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:01.737Z,,,,
"https://www.google.com/maps/place/J%26J+Plumbing,+Heating,+Cooling,+%26+Electric/data=!4m7!3m6!1s0x883128686368cf15:0xa0fd2efa02f7b357!8m2!3d41.0608849!4d-81.4708943!16s%2Fg%2F1v_vtk58!19sChIJFc9oY2goMYgRV7P3Avou_aA","J&J Plumbing, Heating, Cooling, & Electric",4.8,3452,Plumber,"61 Seiberling St, Akron, OH 44305, United States","3G6H+9J Akron, Ohio, USA",http://jandjplumbing.com/,+1 330-967-0147,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPVbJIuyMO1Zsk2miq_JIv-PlWOsjfJiHoIQriu=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:08.007Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Portage+Lakes+Plumbing/data=!4m7!3m6!1s0x88312b151199aec3:0xc28c10bf0f2adcbb!8m2!3d41.064337!4d-81.5110001!16s%2Fg%2F11r9mgcd73!19sChIJw66ZERUrMYgRu9wqD78QjMI,Portage Lakes Plumbing,5.0,1,Plumber,,,https://sites.google.com/view/portagelakesplumbing/home,+1 330-322-3007,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM77_DcQYMbzHBvEzh9HS94yiLLKAFqOOwbzZ-G=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:12.689Z,,,,
https://www.google.com/maps/place/Plumbing+911/data=!4m7!3m6!1s0x8830d3af0cf4cfb9:0x68659a14d6f810d3!8m2!3d41.0329777!4d-81.5823703!16s%2Fg%2F1pv0_gyzk!19sChIJuc_0DK_TMIgR0xD41hSaZWg,Plumbing 911,4.9,3279,Plumber,"1103 Wooster Road North, Barberton, OH 44203, United States","2CM9+53 Barberton, Ohio, USA",https://theplumbing911.com/,+1 330-952-0538,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOi_mG1g3gBgsCMn0Bg5PuQcWWRxjQXLQ-gDiyB=w408-h576-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:17.859Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Akron/data=!4m7!3m6!1s0x88312bcb3f5bf1f3:0x1c4b2d6513507a78!8m2!3d41.0278664!4d-81.4834808!16s%2Fg%2F11y4b4k1cm!19sChIJ8_FbP8srMYgReHpQE2UtSxw,Mr. Rooter Plumbing of Akron,4.9,764,Plumber,"1225 E Waterloo Rd, Akron, OH 44306, United States","2GH8+4J Akron, Ohio, USA",https://www.mrrootercleveland.com/plumber-akron-oh-plumbing-repair-service,+1 330-235-1141,Closed ⋅ Opens 6 am Tue,https://lh3.googleusercontent.com/p/AF1QipMkL5QeA9vWJEqMa5xe4ocEYrcBIo9PMTd3H0LK=w491-h240-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:22.587Z,,,,
"https://www.google.com/maps/place/Jennings+Heating,+Cooling,+Plumbing+%26+Electric/data=!4m7!3m6!1s0x88312974f5fa24e1:0xbcd59d4794e55fb9!8m2!3d41.0528659!4d-81.5792195!16s%2Fg%2F1v42gg37!19sChIJ4ST69XQpMYgRuV_llEed1bw","Jennings Heating, Cooling, Plumbing & Electric",4.9,3963,HVAC contractor,"2279 Romig Rd, Akron, OH 44320, United States","3C3C+48 Akron, Ohio, USA",https://jenningsheating.com/?utm_source=GBP,+1 330-325-4557,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNVi2187S9TCJBppoWMwbsWaQlT0C5T8B7h6wqd=w408-h542-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:27.856Z,,,,
https://www.google.com/maps/place/H.+Jack%27s+Plumbing+and+Heating+Akron/data=!4m7!3m6!1s0x88312850d6b936ff:0x8332d35f49aa0532!8m2!3d41.093618!4d-81.4777134!16s%2Fg%2F11bxfw13g8!19sChIJ_za51lAoMYgRMgWqSV_TMoM,H. Jack's Plumbing and Heating Akron,4.7,538,Plumber,"1055 Evans Ave, Akron, OH 44305, United States","3GVC+CW Akron, Ohio, USA",https://www.hjacks.com/,+1 330-762-7011,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipODvY9KSP8k9PhnGQNfe49F_g4iX0ccnAPkvYmB=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:32.858Z,,,,
https://www.google.com/maps/place/Buddy%E2%80%99s+Plumbing+Excellence/data=!4m7!3m6!1s0x883126708fb0b2bf:0x747c466e78d82ab!8m2!3d41.0972552!4d-81.6443695!16s%2Fg%2F11b7r_s8kl!19sChIJv7Kwj3AmMYgRq4KN52bERwc,Buddy’s Plumbing Excellence,5.0,318,Plumber,"1501 S Cleveland Massillon Rd, Akron, OH 44321, United States","39W4+W7 Akron, Ohio, USA",https://buddysplumbingexcellence.com/?utm_source=GBP&utm_medium=organic&utm_campaign=copley,+1 330-249-7113,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO-KtfkiOTSbX8dhGl0ns0W5aJFad87M5C3uYa2=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:37.785Z,,,,
https://www.google.com/maps/place/Preferred+Drain+%26+Plumbing/data=!4m7!3m6!1s0x8830d5d3799dfcc1:0x180f629cbace5840!8m2!3d41.1740364!4d-81.58186!16s%2Fg%2F11rb9lknsm!19sChIJwfydedPVMIgRQFjOupxiDxg,Preferred Drain & Plumbing,5.0,18,Plumber,,,http://preferreddrain.com/,+1 330-322-7891,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipPFsYGYcuUqnAIo7V7C-MhSakcI9AyKaMXTHsW1=w432-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:42.519Z,,,,
https://www.google.com/maps/place/Coblentz+Plumbing/data=!4m7!3m6!1s0x883132a314f9dc67:0x695fd5df5d31b1a4!8m2!3d40.927705!4d-81.399668!16s%2Fg%2F1tf4fph4!19sChIJZ9z5FKMyMYgRpLExXd_VX2k,Coblentz Plumbing,4.8,437,Plumber,"2995 State St NW, Uniontown, OH 44685, United States","WJH2+34 Uniontown, Ohio, USA",https://www.coblentzplumbing.com/,+1 330-877-8989,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMw2byQ9M19dcsWGbU2LNG4BfxuA5tFIr2WpQAm=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:47.456Z,,,,
https://www.google.com/maps/place/Big+Tom%27s+Plumbing+%26+Drain+Inc./data=!4m7!3m6!1s0x8831299fae5ca103:0x957c7264376597bd!8m2!3d41.0636538!4d-81.4740233!16s%2Fg%2F1tftxly_!19sChIJA6Fcrp8pMYgRvZdlN2RyfJU,Big Tom's Plumbing & Drain Inc.,4.7,138,Plumber,"1505 E Market St, Akron, OH 44305, United States","3G7G+F9 Akron, Ohio, USA",http://www.bigtomsplumbing.org/,+1 330-253-2233,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO1zYaZxp68iN4jOcUcPxIAqNN04C30Z3wq1iJv=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:52.591Z,,,,
https://www.google.com/maps/place/The+Village+Plumber/data=!4m7!3m6!1s0x8830d7adc0d5ad75:0x9392c1e7f22e7833!8m2!3d41.301046!4d-81.6354574!16s%2Fg%2F11hbj3kcp1!19sChIJda3VwK3XMIgRM3gu8ufBkpM,The Village Plumber,4.8,102,Plumber,,,https://www.thevillageplumber.net/?utm_source=google&utm_medium=business_profile&utm_campaign=website,+1 330-786-8888,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipNrGkYVWjSD3N_aEAUUESOYD2Hh1y4tvqI1yuqv=w426-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Portage+Lakes+Akron+OH/@41.0072779,-81.5270617,14z",2025-11-11T03:10:57.341Z,,,,
