placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,wednesday,thursday,friday,saturday,sunday,monday,tuesday,isBlackOwned,attributes,error
https://www.google.com/maps/place/Sullivan+Albert+MD+-+Hospice+of+the+Florida+Keys/data=!4m7!3m6!1s0x88d1b6c4d5ad7233:0xc3f52ccb67812add!8m2!3d24.5501813!4d-81.7925595!16s%2Fg%2F1tyzzsq0!19sChIJM3Kt1cS20YgR3SqBZ8ss9cM,Sullivan Albert MD - Hospice of the Florida Keys,,,Doctor,"1319 William St, Key West, FL 33040, United States","H624+3X Key West, Florida, USA",,+1 305-294-8812,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GV2s6HWZTEZLBUOuFee16A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=53.01333&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:05:48.425Z,,,,,,,,,,,
"https://www.google.com/maps/place/Midway+Specialty+Care+Center+-+Key+West,+Lisa+Noble+APRN/data=!4m7!3m6!1s0x88d1b109e88a45f3:0x95960736396cf372!8m2!3d24.5561375!4d-81.7788276!16s%2Fg%2F11k11lgc8c!19sChIJ80WK6Amx0YgRcvNsOTYHlpU","Midway Specialty Care Center - Key West, Lisa Noble APRN",5.0,6,Infectious disease physician,"2011 Flagler Ave, Key West, FL 33040, United States","H64C+FF Key West, Florida, USA",https://www.midwaycare.org/key-west?utm_source=google&utm_medium=referral&utm_campaign=listing,+1 305-395-7677,,https://lh3.googleusercontent.com/p/AF1QipNg0IIv6oBsyRQjobL-UD8V3-dPzJ6kfd2CZQxT=w459-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:05:54.109Z,LGBTQ+ friendly,,,,,,,,,,
https://www.google.com/maps/place/Island+Home+Care/data=!4m7!3m6!1s0x88d1b6c43ad7ff5f:0x87de9e644418afb!8m2!3d24.5590982!4d-81.7849112!16s%2Fg%2F1tcwmbwp!19sChIJX__XOsS20YgR-4pBRObpfQg,Island Home Care,3.7,13,Home health care service,"1718 North Roosevelt Road, Key West, FL 33040, United States","H658+J2 Key West, Florida, USA",https://lhcgroup.com/locations/island-home-care/?utm_source=GMB&utm_campaign=Google_Local_Listing&utm_medium=referral&utm_content=Island_Home_Care_Key_West_FL_33040,+1 305-735-4460,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QsH5rrK4lk4SJP8C39ynHA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=173.52014&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:05:59.031Z,,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,,
https://www.google.com/maps/place/CHI+Key+West+Health+Center/data=!4m7!3m6!1s0x88d1b7e7cee1ccd9:0xecaad0c78a00cdc2!8m2!3d24.5504833!4d-81.8047994!16s%2Fg%2F11s8hqpck6!19sChIJ2czhzue30YgRws0AisfQquw,CHI Key West Health Center,4.6,14,Community center,"727 Fort St, Key West, FL 33040, United States","H52W+53 Key West, Florida, USA",https://chisouthfl.org/health-centers/key-west-health-center/,+1 786-272-2160,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nriNSbIBqQXN84FEfVwp1lDHYJM-Ug6dn-p5ygYoZZEPCw96EkSOHYaOnWWbhTNY2Oz4YocLPxry5kj_joKdSBVliVAXjR8s6TsSE5bqdKBGiu018XyyoOvCaKFr1FBBJDuC7L-=w408-h272-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:02.490Z,,,,,,,,,,,
https://www.google.com/maps/place/Lower+Keys+Medical+Center/data=!4m7!3m6!1s0x88d1b17da264e355:0x5acfd5d817151e65!8m2!3d24.5808871!4d-81.7427113!16s%2Fm%2F04g3k5q!19sChIJVeNkon2x0YgRZR4VF9jVz1o,Lower Keys Medical Center,4.5,1898,Hospital,"5900 College Rd, Key West, FL 33040, United States","H7J4+9W Key West, Florida, USA",https://www.lkmc.com/?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,+1 305-294-5531,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nom0G4mLt8GVzAbnHF7qg-aQkRyGkEaD2Xocvt0lZrQhdbXxHTU_NkTknA3x3IWBaQBUSemBzzvIAOA--2ScW3afJETEUtNHhMR20MxhzLjs7OsfFm4yppgPW4yO3lPq5ElGXg3=w408-h269-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:07.682Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Griswold+Care+Pairing+for+Florida+Keys/data=!4m7!3m6!1s0x88d1b14051d5d711:0x4c0e2fb16ddf3080!8m2!3d24.5659216!4d-81.7679645!16s%2Fg%2F1tcxd_f0!19sChIJEdfVUUCx0YgRgDDfbbEvDkw,Griswold Care Pairing for Florida Keys,4.5,8,Home health care service,"1010 Kennedy Dr STE 302, Key West, FL 33040, United States","H68J+9R Key West, Florida, USA",https://www.griswoldcare.com/florida-keys/,+1 305-809-7933,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPAmsff0xVvWYRPED6aCMXbp4WXboGfaJkz-WUE=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:12.746Z,Identifies as women-owned,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,,
https://www.google.com/maps/place/Advanced+Urgent+Care/data=!4m7!3m6!1s0x88d1b6ca6791f76f:0xc420ce4bf6b7e722!8m2!3d24.5598229!4d-81.7820024!16s%2Fg%2F1pxwkzqwk!19sChIJb_eRZ8q20YgRIue39kvOIMQ,Advanced Urgent Care,4.3,562,Urgent care center,"1980 N Roosevelt Blvd, Key West, FL 33040, United States","H659+W5 Key West, Florida, USA",http://urgentcarefloridakeys.com/,+1 305-294-0011,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipM72cKxGK60uK5ZmP-HNp3RviwiqAff_FpSimaP=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:17.851Z,,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,,,
https://www.google.com/maps/place/Key+West+Family+Medical+Center/data=!4m7!3m6!1s0x88d1b147c00a9e8f:0xd293ffea77229881!8m2!3d24.5619332!4d-81.766382!16s%2Fg%2F1tmxxcqy!19sChIJj54KwEex0YgRgZgid-r_k9I,Key West Family Medical Center,2.6,17,Doctor,"1446 Kennedy Dr, Key West, FL 33040, United States","H66M+QC Key West, Florida, USA",,+1 305-294-8900,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6BDsSTiRNTG7CeuA6IP3TYuiA4hc1AQHRJ4gwBA0U7qP-y-RSDhir8BRoAMD7W1A-hxCLa0W_XGOg_ZArQevh2wwTulteizDWYKdKs2T4klMIFli-9uOtYDSoY6MAoaQ6bwFF=w513-h240-k-no,false,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:22.909Z,,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,,,
https://www.google.com/maps/place/Catholic+Charities/data=!4m7!3m6!1s0x88d1b1363853018d:0x7cf705ecc923e9a4!8m2!3d24.558875!4d-81.7707403!16s%2Fg%2F1thd7gp_!19sChIJjQFTODax0YgRpOkjyewF93w,Catholic Charities,4.4,20,Social services organization,"2706 Flagler Ave #11, Key West, FL 33040, United States","H65H+HP Key West, Florida, USA",https://www.ccadm.org/sh_projects/homeless-prevention-and-rapid-re-housing-monroe-county/,+1 305-292-9790,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=x1iCBt0oFcPSko5v7bFVtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=164.35922&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:28.211Z,,8 am–3 pm,8 am–3 pm,8 am–3 pm,Closed,Closed,8 am–3 pm,8 am–3 pm,,,
https://www.google.com/maps/place/Hangover+Hospital/data=!4m7!3m6!1s0x88d1b6e83aa539ed:0xce4725e269aa59e8!8m2!3d24.5544268!4d-81.8018745!16s%2Fg%2F11c4395qcj!19sChIJ7TmlOui20YgR6FmqaeIlR84,Hangover Hospital,4.8,65,Alternative medicine practitioner,"606B Duval St, Key West, FL 33040, United States","H53X+Q7 Key West, Florida, USA",http://www.hangoverkw.com/?y_source=1_MTU0Mzg4MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 305-912-4911,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipNHP4AiNiPTAXzsfZQmPs06kUYJiuqf1A8ODJI=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Key+West+FL/@24.5550593,-81.7799871,14z",2025-09-18T00:06:33.291Z,LGBTQ+ friendly,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,,,
