placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,isBlackOwned,error
https://www.google.com/maps/place/Neuro+Wellness+Spa+Psychiatrists+-+Fresno/data=!4m7!3m6!1s0x80945f00e7f6c8cd:0xf3376696172ffa!8m2!3d36.7363761!4d-119.7813716!16s%2Fg%2F11khflsrj9!19sChIJzcj25wBflIAR-i8XlmY38wA,Neuro Wellness Spa Psychiatrists - Fresno,4.0,4,Psychiatrist,"764 P St Ste. 019, Fresno, CA 93721, United States","P6P9+HF Fresno, California, USA",https://neurowellnessspa.com/locations/psychiatrist-fresno/?utm_source=google_business_profile&utm_medium=referral&utm_campaign=listing_fresno,+1 559-314-2806,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8kr7JQvpdGAX3gAQDkddww&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.12845&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:32.092Z,,,,,,,,,,
"https://www.google.com/maps/place/Central+Star+Youth+Psychiatric+Health+Facility/@36.7371945,-119.7522846,17z/data=!3m1!4b1!4m6!3m5!1s0x80945e5a97285b8b:0x260389504f21636!8m2!3d36.7371945!4d-119.7522846!16s%2Fg%2F1tczw5hs",Central Star Youth Psychiatric Health Facility,3.4,41,Psychiatric hospital,"4411 Cesar Chavez Blvd #319, Fresno, CA 93702, United States","P6PX+V3 Fresno, California, USA",https://www.starsinc.com/fresno-county/central-star-youth-psychiatric-health-facility/,+1 559-600-2382,Open 24 hours,,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:39.912Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,
https://www.google.com/maps/place/Nicholas+Betchel/data=!4m7!3m6!1s0x80945e1be5855555:0x9c0b69c49e808c59!8m2!3d36.7436056!4d-119.7821858!16s%2Fg%2F11pkfrmf71!19sChIJVVWF5RtelIARWYyAnsRpC5w,Nicholas Betchel,5.0,2,Psychiatrist,"155 N Fresno St, Fresno, CA 937012302, United States",,https://fresno.ucsf.edu/ucsf-fresno-faculty/nicholas-betchel-do,+1 559-499-6580,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X0uI-1qygrEcUUbQfO72CQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=303.31985&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:43.067Z,,,,,,,,,,
"https://www.google.com/maps/place/Dr.+Hoang+D.+Tieu,+MD/data=!4m7!3m6!1s0x80945ee330b611a3:0xe201d905af8e1b4a!8m2!3d36.7366183!4d-119.7305349!16s%2Fg%2F113k7yjsh!19sChIJoxG2MONelIARShuOrwXZAeI","Dr. Hoang D. Tieu, MD",5.0,1,Psychiatrist,"Kings Canyon Pavilions Shopping Center, 4929 E Kings Canyon Rd, Fresno, CA 93727, United States","P7P9+JQ Fresno, California, USA",,+1 559-255-6476,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TwFSgDOMpJeI39jwR0LAQQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.50032&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:46.043Z,,,,,,,,,,
https://www.google.com/maps/place/Dejuan+Singletary/data=!4m7!3m6!1s0x80945e5a9a3fffff:0x43ffa2c973d593e1!8m2!3d36.7370116!4d-119.7522856!16s%2Fg%2F11pkfs6x1m!19sChIJ__8_mlpelIAR4ZPVc8mi_0M,Dejuan Singletary,5.0,1,Psychiatrist,"4411 Cesar Chavez Blvd, Fresno, CA 937023604, United States",,,+1 559-558-4051,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Bluj3aSR0uXRhktN8BR9LQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.11844&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:48.927Z,,,,,,,,,,
https://www.google.com/maps/place/Promesa+Behavioral+Health/data=!4m7!3m6!1s0x809467525e7b4a53:0xd408b30e186a645a!8m2!3d36.7558888!4d-119.799185!16s%2Fg%2F1tfg3b6p!19sChIJU0p7XlJnlIARWmRqGA6zCNQ,Promesa Behavioral Health,5.0,1,Mental health service,"1027 N Van Ness Ave, Fresno, CA 93728, United States","Q642+98 Fresno, California, USA",,+1 559-237-0055,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1aOjLw67e7CwmlRks-enaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.13797&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:51.832Z,,,,,,,,,,
"https://www.google.com/maps/place/Light+Care+Psychiatry/@36.771895,-119.7297092,17z/data=!3m1!4b1!4m6!3m5!1s0x80945e9d5a8ab3c9:0x5d56ab834ccba848!8m2!3d36.771895!4d-119.7297092!16s%2Fg%2F11y44v7v01",Light Care Psychiatry,,,Mental health service,"4944 E Clinton Way STE 107, Fresno, CA 93727, United States","Q7CC+Q4 Fresno, California, USA",https://lightcarepsychiatry.com/,+1 951-801-2819,Closes soon · 7 pm · Opens 2 pm Tue,,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:18:58.709Z,2–7 pm,2–7 pm,Closed,2–7 pm,9 am–7 pm,9 am–7 pm,Closed,,,
https://www.google.com/maps/place/Latea%27s+Epiphany/data=!4m7!3m6!1s0x809467946db543fd:0x5551658f0b24b98a!8m2!3d36.7670458!4d-119.8432125!16s%2Fg%2F11h6v3d9nx!19sChIJ_UO1bZRnlIARirkkC49lUVU,Latea's Epiphany,5.0,2,Mental health service,"2130 N Marks Ave, Fresno, CA 93722, United States","Q584+RP Fresno, California, USA",,+1 559-721-8192,Closes soon · 7 pm · Opens 10 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l_R6OTSpP6iy2e2QP0IcJA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.696205&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:03.788Z,11 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,Closed,Closed,Identifies as women-owned,true,
https://www.google.com/maps/place/Fresno+County+Department+of+Behavioral+Health/data=!4m7!3m6!1s0x80945e2140000001:0x8dd80f0a53e012b0!8m2!3d36.7363179!4d-119.7509011!16s%2Fg%2F1tm8kv5h!19sChIJAQAAQCFelIARsBLgUwoP2I0,Fresno County Department of Behavioral Health,3.0,33,Mental health clinic,"4441 Cesar Chavez Blvd, Fresno, CA 93702, United States","P6PX+GJ Fresno, California, USA",http://www.co.fresno.ca.us/behavioralhealth,+1 559-600-9180,Closed · Opens 8 am Tue,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyE3yvYRyCwreETMalxVU2cvR_tYpcuv5Rk8ZNZ8_7UOq8TX_ff3XWCLjlL7Mz4Y_uOJ3J1IxqabDjeNNN-7eF7Zuq30yecimxcdK-lL6s744VsuT5A21ERl8y7XIYsmTMZ2LSEfw=w408-h306-k-no,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:08.777Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
"https://www.google.com/maps/place/Andrew+Goddard,+MD/data=!4m7!3m6!1s0x80945e1c604dda09:0x71aae7d5544bc3b2!8m2!3d36.744766!4d-119.784423!16s%2Fg%2F11b6skzks5!19sChIJCdpNYBxelIARssNLVNXnqnE","Andrew Goddard, MD",5.0,1,Psychiatrist,"2210 E Illinois Ave #401, Fresno, CA 93701, United States","P6V8+W6 Fresno, California, USA",,+1 559-320-0580,Closed · Opens 8:30 am Tue,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=i-qvb4wzOVxrFPGW5qehCw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.70192&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Psychiatry+clinics+in+Fresno+Fresno+CA/@36.7377981,-119.7871247,14z",2025-12-16T02:19:13.762Z,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,,,
