placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,error
https://www.google.com/maps/place/Dayton+Childrens+Pediatrics+Hope+Center/data=!4m7!3m6!1s0x884080e1d53076af:0x44abeb6a43839fee!8m2!3d39.7782505!4d-84.2285996!16s%2Fg%2F11pzrrwjhr!19sChIJr3Yw1eGAQIgR7p-DQ2rrq0Q,Dayton Childrens Pediatrics Hope Center,4.6,14,Pediatrician,"1816 Harvard Blvd, Dayton, OH 45406, United States","QQHC+8H Dayton, Ohio, USA",http://hopecenterdayton.org/,+1 937-723-8254,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JGmqNNFjxIUBsTQgw59UsQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.5085&pitch=0&thumbfov=100,false,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:16:58.800Z,,
"https://www.google.com/maps/place/Dr.+Melissa+D.+King,+DO/data=!4m7!3m6!1s0x884083c1a60deaf1:0xaaaf3ada306097f7!8m2!3d39.7753753!4d-84.1677893!16s%2Fg%2F1tjxgbdw!19sChIJ8eoNpsGDQIgR95dgMNo6r6o","Dr. Melissa D. King, DO",4.7,17,Pediatrician,"730 Valley St, Dayton, OH 45404, United States","QRGJ+5V Dayton, Ohio, USA",https://www.childrensdayton.org/doctors/melissa-king,+1 937-641-3500,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ISx07lUuQg4TyFutLFtf8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=235.41835&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:02.282Z,,
https://www.google.com/maps/place/Dayton+Children%27s+Pediatrics/data=!4m7!3m6!1s0x8840832d27dbc55d:0xa3541860d2d640cd!8m2!3d39.7791673!4d-84.1632474!16s%2Fg%2F1wt3p2nw!19sChIJXcXbJy2DQIgRzUDW0mAYVKM,Dayton Children's Pediatrics,3.5,34,Medical clinic,"1010 Valley St, Dayton, OH 45404, United States","QRHP+MP Dayton, Ohio, USA",https://www.childrensdayton.org/patients-visitors/services/dayton-childrens-pediatrics,+1 937-641-3500,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepop81MAzp8ELGwrG3V0H77hP-i1H4AUYyfvtgU61h1bpVGGNfyyhoKRexio3OYcq-Bmj0uejMspKRjIhUTFu564xX7P0BplbsDqpRxaz38r10kfMLnA1pWVrTYIJlRda9rImsn=w418-h240-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:07.290Z,,
https://www.google.com/maps/place/PriMED+Physicians+Wright+Dunbar+Pediatrics/data=!4m7!3m6!1s0x8840813603528bf1:0x17dfacf2b219519b!8m2!3d39.755696!4d-84.2134881!16s%2Fg%2F11m_l3dtvp!19sChIJ8YtSAzaBQIgRm1EZsvKs3xc,PriMED Physicians Wright Dunbar Pediatrics,5.0,1,Medical clinic,"1152 W Third St #102, Dayton, OH 45402, United States","QQ4P+7J Dayton, Ohio, USA",https://www.primedphysicians.com/office-locator/wright-dunbar-pediatrics.html,+1 937-268-3483,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepg6KLvApCMwqr0O-Zi2FNwqT4Ymvo6mN2sekZF7y47TxZkHWXploo1zTyR9SX68XIuJL-3HMRSVJM_DJHMPNt3drIA2UXJ69kvkuiy4ohOpJF7Z02O-Y3RxmlEx0ns8IcNJXfvrw=w426-h240-k-no,true,8:30 am–5 pm,8:30 am–7 pm,8:30 am–5 pm,8:30 am–7 pm,8:30 am–5 pm,8:30 am–12 pm,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:12.158Z,,
"https://www.google.com/maps/place/Alonzo+Patterson,+III+III,+MD/data=!4m7!3m6!1s0x8840813338591a35:0x6320dc26473655c9!8m2!3d39.755696!4d-84.2134881!16s%2Fg%2F1tdx4tf6!19sChIJNRpZODOBQIgRyVU2RybcIGM","Alonzo Patterson, III III, MD",4.6,22,Pediatrician,"1152 W Third St #102, Dayton, OH 45402, United States","QQ4P+7J Dayton, Ohio, USA",https://www.primedphysicians.com/provider-listing/md-alonzo-patterson-III.html,+1 937-268-3483,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer0llh9_P2Uyze7qNNdeXZqppDg5KG4zLXiZ05whStF9BQfY1Cv8tmP0rjOLQ9MHCRlfgLh4UI6tgRG_jUDr47mb4t5d9QnbT-eOhaXVnnyy_glGCw_vPzj3fS4SWWrvt9N4w0l=w426-h240-k-no,true,8 am–8 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:16.893Z,,
"https://www.google.com/maps/place/Dr.+Julia+A.+Lamb/@39.7560368,-84.2173632,17z/data=!3m1!4b1!4m6!3m5!1s0x8840812d51e228c1:0x34cf572feeea2553!8m2!3d39.7560368!4d-84.2173632!16s%2Fg%2F11bbw__v20",Dr. Julia A. Lamb,5.0,5,Pediatrician,"1323 W Third St, Dayton, OH 45402, United States","QQ4M+C3 Dayton, Ohio, USA",https://communityhealthdayton.org/DrLamb.php,+1 937-461-4336,,,false,,,,,,,,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:21.577Z,,
"https://www.google.com/maps/place/Five+Rivers+Health+Centers+Pediatrics/@39.7387771,-84.2074432,17z/data=!3m1!4b1!4m6!3m5!1s0x884085f658fa86ad:0x2b33f69c8cf2a2fe!8m2!3d39.7387771!4d-84.2074432!16s%2Fg%2F11gn21k3z8",Five Rivers Health Centers Pediatrics,3.0,7,Medical clinic,"721 Miami Chapel Rd, Dayton, OH 45417, United States","PQQV+G2 Dayton, Ohio, USA",http://www.fiverivershealthcenters.org/,+1 937-281-6800,Open · Closes 4:30 pm,,true,7:30 am–4:30 pm,8:30 am–7 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:28.473Z,,
"https://www.google.com/maps/place/Ravindhra+G.+Elluru,+MD/data=!4m7!3m6!1s0x8840837291ce2d7d:0x374b451288382ebe!8m2!3d39.774903!4d-84.16721!16s%2Fg%2F11fj5rjd60!19sChIJfS3OkXKDQIgRvi44iBJFSzc","Ravindhra G. Elluru, MD",4.9,59,Pediatrician,"1 Childrens Plaza, Dayton, OH 45404, United States","QRFM+X4 Dayton, Ohio, USA",https://www.childrensdayton.org/doctors/ravindhra-elluru?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=provider,+1 937-641-3000,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqRPa9GjJMtdPXSTixRm34AC7DXqzDLnviCzGsUTb74y9_lhK8AgjcOej55Zc1AkhplekK0eXY2EA7YPXpilJ_Ym5HrqAwK0WK0ma5fd3f5DJHG0llhD1KBmD_jW-hhPLSMQ9evig=w408-h524-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:33.239Z,,
https://www.google.com/maps/place/Dayton+Children%27s+Hospital/data=!4m7!3m6!1s0x884083c1af5f8d4b:0x68375ad7ca525323!8m2!3d39.7742368!4d-84.1682753!16s%2Fm%2F05c428l!19sChIJS41fr8GDQIgRI1NSytdaN2g,Dayton Children's Hospital,3.8,598,Children's hospital,"1 Childrens Plaza, Dayton, OH 45404, United States","QRFJ+MM Dayton, Ohio, USA",http://www.childrensdayton.org/?utm_source=local&utm_medium=organic&utm_campaign=gmb&utm_content=location,+1 937-641-3000,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqDhJlMRp6BAkEEbqCmcezIc6-SWJdPF0IDwKqMjG68ZL4o4b96zaSkcY1zHMbIvC56uVYR_u8PuqcKo9UGbGuKg3UMK07IwULterNkoIyINMSay5nkTsqvC2KAPzGkKaiz4_P1gg=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:38.231Z,,
https://www.google.com/maps/place/Gem+City+Primary+Care/data=!4m7!3m6!1s0x88408391bd105d5f:0x8ab00f95b2c53e92!8m2!3d39.7617977!4d-84.1951274!16s%2Fg%2F11twq4_jfr!19sChIJX10QvZGDQIgRkj7FspUPsIo,Gem City Primary Care,5.0,21,Medical office,"118 W First St Suite 800, Dayton, OH 45402, United States","QR63+PW Dayton, Ohio, USA",http://www.gemcityprimarycare.com/,+1 937-345-1436,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwermH0x6lLglpYAXEiHfKAIVbRXV-17s-R0sYHjcSU7dsqPMbh_KR5fGNKU1nrxiXEelg31kobwbo7-ViS2Lgod_i4dlXAc6dOWHe3kjKbApZxbUO5Gdo0uSQXGc3zBaOJZCzeiwAQ=w408-h306-k-no,true,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,12:45–5 pm,7:45 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pediatrician+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2026-02-23T16:17:43.526Z,LGBTQ+ friendly,
