placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Real+Property+Management+Midwest/data=!4m7!3m6!1s0x8841b5fd4d877fbd:0x4ccae969b2a92924!8m2!3d39.1248341!4d-84.5329085!16s%2Fg%2F11vhq93r87!19sChIJvX-HTf21QYgRJCmpsmnpykw,Real Property Management Midwest,4.6,94,Property management company,"2351 W McMicken Ave, Cincinnati, OH 45214, United States","4FF8+WR Cincinnati, Ohio, USA",https://rpmmidwest.com/,+1 513-762-9000,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwavdYgcdQxVEpJYRxS8RQZfioYeiZjNIUEWrL9qLRgX_6h3u7dsIYzhl-h1QLc6yIwNb_ToqqxjO6PTBhEShuVQXQDtIP-Vy75024wjvm70cIQf9ww4vp3UDupRiHJZ6dXB8osEmZPAA=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:01:49.668Z,,,,
https://www.google.com/maps/place/Paradigm+Property+Management/data=!4m7!3m6!1s0x8841b3df68151361:0x527f5526c5295a33!8m2!3d39.1243774!4d-84.4849673!16s%2Fg%2F1tddyg1h!19sChIJYRMVaN-zQYgRM1opxSZVf1I,Paradigm Property Management,2.9,92,Property management company,"2349 Victory Pkwy #1, Cincinnati, OH 45206, United States","4GF8+Q2 Cincinnati, Ohio, USA",http://www.paradigmcommunities.com/,+1 513-741-0240,"Open ⋅ Closes 5 pm

Updated by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMNmKyJBt579IT8DV3qJCCEnE9-_qmzEp4MqdvE=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:01:57.601Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Realiant+LLC/data=!4m7!3m6!1s0x8841b14a497f3033:0x97dafc36df353b0c!8m2!3d39.1114441!4d-84.5158325!16s%2Fg%2F11v9yqln3g!19sChIJMzB_SUqxQYgRDDs13zb82pc,Realiant LLC,5.0,28,Property management company,"1435 Vine St, Cincinnati, OH 45202, United States","4F6M+HM Cincinnati, Ohio, USA",https://www.realiantpm.com/,+1 513-280-3191,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mC2owK-_eeTzD1yPtNwMEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=266.69608&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:02.487Z,,,,
https://www.google.com/maps/place/Downtown+Property+Management/data=!4m7!3m6!1s0x8841b3ffb0e98979:0xf2fdf7c9565bfd3f!8m2!3d39.1064654!4d-84.5169143!16s%2Fg%2F1tg9ntnv!19sChIJeYnpsP-zQYgRP_1bVsn3_fI,Downtown Property Management,2.9,54,Property management company,"119 W Central Pkwy #201, Cincinnati, OH 45202, United States","4F4M+H6 Cincinnati, Ohio, USA",https://www.otrchamber.com/organization.html?id=20,+1 513-665-4376,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEmNkhshsVM_cQsty-Bev53ybtyOdOnFVw03drrKM0TJrAHrIsvBvNrfRkfCcBOwfbSF1_NksBm4oMid2aWmsIEISI1E0KV1aQe7GxwCmrDImqJ7icT-Da8oJ2aSB0TBx1zZA1=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:08.507Z,,,,
https://www.google.com/maps/place/Innago/data=!4m7!3m6!1s0x8831217314bf053d:0x998ef7ed7c02a8ea!8m2!3d39.1096093!4d-84.5165047!16s%2Fg%2F11f3_966_v!19sChIJPQW_FHMhMYgR6qgCfO33jpk,Innago,4.8,417,Property management company,"1308 Race St Suite 100, Cincinnati, OH 45202, United States","4F5M+R9 Cincinnati, Ohio, USA",https://bit.ly/3E2mMnU,+1 513-964-0172,Open ⋅ Closes 7 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-wxeMstiXWaaEht9YQrS0g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.943924&pitch=0&thumbfov=100,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:13.816Z,,,,
https://www.google.com/maps/place/HIVE+Property+Management/data=!4m7!3m6!1s0x8841ad7c06f6aaab:0x2714f3883e057a0f!8m2!3d39.1398244!4d-84.4422025!16s%2Fg%2F11lf_qgt8k!19sChIJq6r2BnytQYgRD3oFPojzFCc,HIVE Property Management,4.7,40,Property management company,"2722 Erie Ave, Cincinnati, OH 45208, United States","4HQ5+W4 Cincinnati, Ohio, USA",http://hive513.com/,+1 513-978-5112,Open ⋅ Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KJGHm-wL3N_AVLPbOUlLXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=20.297215&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:19.248Z,,,,
"https://www.google.com/maps/place/Uptown+Rental+Properties,+LLC/data=!4m7!3m6!1s0x8841b395b95b2131:0x590d493137717270!8m2!3d39.130982!4d-84.5091082!16s%2Fg%2F1tfv5tcj!19sChIJMSFbuZWzQYgRcHJxNzFJDVk","Uptown Rental Properties, LLC",3.6,804,Property management company,"2718 Short Vine St, Cincinnati, OH 45219, United States","4FJR+99 Cincinnati, Ohio, USA",https://uptownrents.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-home,+1 513-861-9394,"Open ⋅ Closes 6 pm

Updated by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4iPksPk2kZZK7P84hLJLRes-nmIBBg-xBr6ApK7pFlMRL9-rZX_7UTAiEdyLCg7uxd5quDrpahIBmrvuEPEabt-oaa1wTjdQU66Nct3JxlG5Yoj3xiNVgmHHupc9t4nG0apQ6lvATSdm8=w408-h544-k-no,true,9 am–6 pm,9 am–5 pm,10 am–4 pm,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:24.630Z,,,,
https://www.google.com/maps/place/Symphony+Property+Management/data=!4m7!3m6!1s0x8841b3bfd96bbc3b:0x8eb5e77ad0623ad!8m2!3d39.1305906!4d-84.5010043!16s%2Fg%2F11c1vqfv51!19sChIJO7xr2b-zQYgRrSMGrXde6wg,Symphony Property Management,2.1,12,Property management company,"411 Oak St, Cincinnati, OH 45219, United States","4FJX+6H Cincinnati, Ohio, USA",https://www.symphonypm.com/,+1 513-569-8376,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FihV8rkK6uROWa2SMWpt6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=177.89609&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:30.072Z,,,,
https://www.google.com/maps/place/Grandin+Properties/data=!4m7!3m6!1s0x8841b2416722d257:0x30b21eb73cf4ca21!8m2!3d39.1074685!4d-84.5192112!16s%2Fg%2F1tdjrtyn!19sChIJV9IiZ0GyQYgRIcr0PLcesjA,Grandin Properties,3.2,33,Property management company,"227 W 12th St, Cincinnati, OH 45202, United States","4F4J+X8 Cincinnati, Ohio, USA",https://grandinproperties.com/,+1 513-871-7110,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPvtn3Q9a5Fwe7IlE5U4G0NJESEbIz0vAIcL9p4=w472-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:35.187Z,,,,
https://www.google.com/maps/place/Model+Properties/data=!4m7!3m6!1s0x8841b38bb3946725:0xa2dc7902765fd097!8m2!3d39.1162857!4d-84.5182765!16s%2Fg%2F11j4ff2c_l!19sChIJJWeUs4uzQYgRl9BfdgJ53KI,Model Properties,4.5,14,Property management company,"1826 Race St, Cincinnati, OH 45202, United States","4F8J+GM Cincinnati, Ohio, USA",http://www.modelproperties.net/,+1 513-559-5834,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPGVhxA_bhA24E3lHT2b9D5FOSTwVljfUVdfT89=w408-h284-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2025-09-25T17:02:40.297Z,,,,
