placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error
"https://www.google.com/maps/place/NCP+York+Tanner+Row/@53.9614205,-1.0739108,14z/data=!4m6!3m5!1s0x487931079bbcd0db:0x8a85271c05d6fefc!8m2!3d53.9581722!4d-1.0880526!16s%2Fg%2F12qf5048j",NCP York Tanner Row,3.3,458,Parking lot,"Tanner Row, York YO1 6JL, United Kingdom","XW56+7Q York, UK",https://www.ncp.co.uk/find-a-car-park/car-parks/york-tanner-row/,+44 345 050 7080,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynqkcmD1Yfe8078XVeoBOCRX7NOmqUiMwmKBff9IA3OgcX66odL9DeH_taKsDvgek4n2I4yygstJVSIFVREOCD8BJ28r0QwK0mPHzjaKcim3-yjPi3j0HghOPRGPrUgKovaIFoyw=w408-h544-k-no,true,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+York+York+UK/@53.9614205,-1.0739108,14z",2025-10-28T19:18:26.095Z,,,
https://www.google.com/maps/place/Fleetways/data=!4m7!3m6!1s0x48793106c24c9783:0x8bf947f9da5049e7!8m2!3d53.9557804!4d-1.09204!16s%2Fg%2F1thfdz5b!19sChIJg5dMwgYxeUgR50lQ2vlH-Ys,Fleetways,3.9,338,Taxi service,"9-10 Queen St, York YO24 1AD, United Kingdom","XW45+85 York, UK",http://www.fleetways.co.uk/,+44 1904 365365,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzg0NdV1EXHKskY4FMalgAW0THIeGt4fwj0EjlXfi9pQbmGRxpbn0ZpRNBNqjq1pfy3yjdRgPgfN2xxFj5TINuXK-nhOXvY78NtNYnzDXk-6P4FhhZdPnoW0Tl_59zWvId2xkxy=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:18:43.226Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Clifton+Park+Hospital+Ltd/data=!4m7!3m6!1s0x48793169fb3ff957:0x1b577e6e721eb1dd!8m2!3d53.9784342!4d-1.1136217!16s%2Fg%2F1td0mjt_!19sChIJV_k_-2kxeUgR3bEecm5-Vxs,Clifton Park Hospital Ltd,4.5,44,Private hospital,"Shipton Rd, Rawcliffe, York YO30 5RA, United Kingdom","XVHP+9H York, UK",https://www.ramsayhealth.co.uk/hospitals/clifton-park-hospital,+44 1904 464550,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxZ1eBvF3bn8stmuzdqpB0-b6Q7WxI_97AEGpxbDU5rLEHaiCWz5dkf0QXtMhOl8-_HzxIwvFjuC8W4XqGiifWQXVpcR-Pn65G3j-sJO2mfByEmpbbbf-fYx_pt3LkzoYYGozMY=w408-h240-k-no-pi-0-ya38.999992-ro-0-fo100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:18:49.332Z,,,
https://www.google.com/maps/place/York+Hospital/data=!4m7!3m6!1s0x487931a1db7f2029:0xbb7ef99dc5f7ebc4!8m2!3d53.9699817!4d-1.083555!16s%2Fm%2F0gvrhzd!19sChIJKSB_26ExeUgRxOv3xZ35frs,York Hospital,3.9,676,General hospital,"Wigginton Rd, Clifton, York YO31 8HE, United Kingdom","XW98+XH York, UK",https://www.yorkhospitals.nhs.uk/,+44 1904 631313,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyFa0eymCqNUzIbfCEJNpdTHyz-NE5ZF9ixB_eUPUUCi3d5FMHRaaV_C2DkG92gXgwmQ0_lknQ9w1aY28WFC8PRYgY7CsxZgpQZOVpIvNP-hFLaWmWTufNygZ0U0L_KOlBuvXCG=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:18:54.920Z,,,
https://www.google.com/maps/place/The+Original+Ghost+Walk+of+York/data=!4m7!3m6!1s0x4879313b4bbf9415:0x3df2d4012c1c5990!8m2!3d53.9574842!4d-1.0833581!16s%2Fg%2F1tf35gj1!19sChIJFZS_SzsxeUgRkFkcLAHU8j0,The Original Ghost Walk of York,4.6,600,Tour operator,"Kings Arms, Ouse Bridge, King's Staith, York YO1 9SN, United Kingdom","XW48+XM York, UK",https://www.theoriginalghostwalkofyork.co.uk/,+44 1759 373090,Closed ⋅ Opens 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyS4WXIg0Q4cUw7VPxII9GiH4C6HbnoJosgMxjR95Brp2H-mym-kf2_-0ZN3XMiKBAa9Rsm0TUCE-Y75zd5PtI28dafktTIA_yPdvR8pH2S4Q-7Tj52Z--y5bM4dESDS9vE9bC0mJt9Hbu9=w408-h612-k-no,true,8–9:30 pm,8–9:30 pm,8–9:30 pm,8–9:30 pm,8–9:30 pm,8–9:30 pm,8–9:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:18:59.865Z,,Lively walking tour exploring Yorkshire history through its streets via folklore and spooky legends.,
https://www.google.com/maps/place/Stoneacre+York/data=!4m7!3m6!1s0x487931fa7c2fd1bb:0x763599b07ee9321c!8m2!3d53.9856227!4d-1.0507894!16s%2Fg%2F1tk1ykgt!19sChIJu9EvfPoxeUgRHDLpfrCZNXY,Stoneacre York,4.2,507,Car dealer,"Monks Cross, Jockey Ln, Monks Cross Dr, Huntington, York YO32 9GY, United Kingdom","XWPX+6M Huntington, York, UK",https://www.stoneacre.co.uk/dealership/stoneacre-york?utm_source=local&utm_medium=organic&utm_campaign=google,+44 1904 625371,"Closed ⋅ Opens 8:30 am Wed

Confirmed by this business 8 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPZ733OMsRvAQn5oz8F8Ou2ega5zV2EzmV1_il-=w408-h270-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,10:30 am–4:30 pm,8:30 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:19:05.068Z,,· In-store pick-up · Delivery,
https://www.google.com/maps/place/Hilton+York/data=!4m7!3m6!1s0x487604cd697eb989:0x110519e2b910c60a!8m2!3d53.9563652!4d-1.0805542!16s%2Fg%2F119vn9rcb!19sChIJibl-ac0EdkgRCsYQueIZBRE,Hilton York,4.0,2209,,"1 Tower St, York YO1 9WD, United Kingdom","XW49+GQ York, UK",https://www.hilton.com/en/hotels/lbayohn-hilton-york/?SEO_id=GMB-EMEA-HN-LBAYOHN,+44 1904 648111,,https://lh3.googleusercontent.com/p/AF1QipOtbexSPYL30ohBPK56WJc0Peb6ONBtDeFWUWo6=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:19:08.448Z,,,
https://www.google.com/maps/place/D.+M.+Keith+SEAT+York/data=!4m7!3m6!1s0x487933d5485cca67:0x1da1df7ac4c51518!8m2!3d53.991739!4d-1.087794!16s%2Fg%2F11c1nh2qsm!19sChIJZ8pcSNUzeUgRGBXFxHrfoR0,D. M. Keith SEAT York,4.6,358,Seat dealer,"Whitehall Garage, Wigginton Rd, York YO32 2RJ, United Kingdom","XWR6+MV Rawcliffe, York, UK",http://www.dmkeith.com/seat/,+44 1904 692921,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzowDe5J3fn-9N5XTti1SXS-2tIYRXHkpSpIvKt8m5WIe-g_KXW--Ld8GLU4V9mlWZ8nLlje_PZ0Ur9pN5sdVckqQIGRrpnjxenan3g1685coO--_g3KcIo4N3BGbeV-ye523wUMA=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:19:13.616Z,,· Delivery,
https://www.google.com/maps/place/The+Ghost+Bus+Tours+York/data=!4m7!3m6!1s0x487931064f545ab5:0xdca19059139678c8!8m2!3d53.9584341!4d-1.0918037!16s%2Fg%2F11gfxhzxx6!19sChIJtVpUTwYxeUgRyHiWE1mQodw,The Ghost Bus Tours York,4.5,731,Sightseeing tour agency,"Station Rd, Bus stop RE, York YO24 1AA, United Kingdom","XW55+97 York, UK",http://www.theghostbustours.com/,+44 844 567 8666,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMN9Ekid2U_DKXLmjVKjgibIWAtNA2GnqLWE_82=w408-h270-k-no,true,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,9 am–10 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:19:18.810Z,,,
https://www.google.com/maps/place/SG+Petch+York/data=!4m7!3m6!1s0x487931f09cc61b6d:0x45297efef0de2f67!8m2!3d53.9860074!4d-1.0535636!16s%2Fg%2F1tvw4fxj!19sChIJbRvGnPAxeUgRZy_e8P5-KUU,SG Petch York,4.8,1054,Car dealer,"Monks Cross, Jockey Ln, Monks Cross Dr, Huntington, York YO32 9LG, United Kingdom","XWPW+CH Huntington, York, UK",https://www.sgpetch.co.uk/york,+44 1904 466600,Closed ⋅ Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipMosVD-Pdi4WjmBPM-vZFM6oZttxcTTgcmI0Bca=w408-h275-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,Closed,9 am–6 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Scarborough+York+UK/@53.969253,-1.0861551,14z",2025-10-28T19:19:23.952Z,LGBTQ+ friendly,· In-store shopping · In-store pick-up · Delivery,
