placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,error
"https://www.google.com/maps/place/THEBCO+Windows,+Doors+%26+Siding/data=!4m7!3m6!1s0x8806514d6e646579:0x14fd82b0f5542b62!8m2!3d43.09128!4d-89.307381!16s%2Fg%2F1tcw45wh!19sChIJeWVkbk1RBogRYitU9bCC_RQ","THEBCO Windows, Doors & Siding",4.9,673,Window installation service,"4476 Robertson Rd, Madison, WI 53714, United States","3MRV+G2 Madison, Wisconsin, USA",https://thebco.com/,+1 608-249-2905,Closed ⋅ Opens 9 am Mon,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipPh63Lu88cmWq-JRxy6-c9Hv8hRvwAfOO2pebpo=w459-h240-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:07.821Z,,
https://www.google.com/maps/place/Precision+Door+Service/data=!4m7!3m6!1s0x880656999c75491d:0xe52fc6e372592708!8m2!3d43.1182142!4d-89.3170458!16s%2Fg%2F1pp2x9qbb!19sChIJHUl1nJlWBogRCCdZcuPGL-U,Precision Door Service,4.8,1327,Garage door supplier,"1412 Parkside Dr #1206, Madison, WI 53704, United States","4M9M+75 Madison, Wisconsin, USA",https://wisgaragedoors.com/madison,+1 608-807-0305,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGP5JA1ydS4dDtbwtQ3kmFtvxNln9zHHoYGIaeHMIa88iCnnHe9cWL4h9cg2Qm7aZYlKEDzeECHtNuhxjachV4h8UYpLIfxWV0qhio9aCOORPYCNVTyy1fZSDFERN79l7ce0c8og=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:12.706Z,,
https://www.google.com/maps/place/A1+Garage+Door+Service/data=!4m7!3m6!1s0x8806517461966a9d:0xf57dab4bdf582cca!8m2!3d43.0525828!4d-89.2860285!16s%2Fg%2F11nnvf1ts_!19sChIJnWqWYXRRBogRyixY30urffU,A1 Garage Door Service,4.9,1033,Garage door supplier,"3 Marsh Ct, Madison, WI 53718, United States","3P37+2H Madison, Wisconsin, USA",https://a1garage.com/locations/wisconsin/madison/garage-door-repair-and-installation-53718-p.html?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[madison],+1 608-291-9805,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPI4AVXgKf3WgWXre-wy9JS-KZFZA8evyWQgqQg=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:17.233Z,,
https://www.google.com/maps/place/Twins+Garage+Doors/data=!4m7!3m6!1s0x880652d513906be9:0x7b7c461439fa2e83!8m2!3d43.0325978!4d-89.427608!16s%2Fg%2F11cn34fxd_!19sChIJ6WuQE9VSBogRgy76ORRGfHs,Twins Garage Doors,4.9,666,Garage door supplier,"2921 Landmark Pl #206, Madison, WI 53713, United States","2HMC+2X Madison, Wisconsin, USA",https://twinsgaragedoors.com/wi,+1 608-888-8785,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipMaXuPx26qdG4rIamWiG_A_6upRutWy5LvZIKPF=w447-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:22.326Z,,
https://www.google.com/maps/place/Anytime+Garage+Door+Repair+Madison/data=!4m7!3m6!1s0x880656561592ec59:0x25577987068ee0c1!8m2!3d43.111044!4d-89.309248!16s%2Fg%2F11crzfrhhw!19sChIJWeySFVZWBogRweCOBod5VyU,Anytime Garage Door Repair Madison,4.5,62,Garage door supplier,"917 Walsh Rd # 104, Madison, WI 53718, United States","4M6R+C8 Madison, Wisconsin, USA",https://anytimegaragedoor.repair/,+1 608-492-0411,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGYFWcA4cWWj0we4ml5YiecAJgh-myUBUB6Ra-jVni3eGP6D2VuBQbo0YTiMoYlT2BBrbNUsp2cJRmHHoFV_Ke9Oy8YnJN7GEENu0CSWqZW-AvCFKVdQ8kXSe-_EDfG7yA2q48EQ=w408-h272-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:26.774Z,,
https://www.google.com/maps/place/Madison+Overhead+Garage+Door+Services/data=!4m7!3m6!1s0x880651c25c2514bb:0xbd6e0bd5bb426fe!8m2!3d43.0579121!4d-89.2932437!16s%2Fg%2F1vzqsv7j!19sChIJuxQlXMJRBogR_ia0W73g1gs,Madison Overhead Garage Door Services,4.9,147,Garage door supplier,"2760 Agriculture Dr, Madison, WI 53718, United States","3P54+5P Madison, Wisconsin, USA",http://madisongaragedoorservices.com/,+1 608-838-4960,Closed ⋅ Opens 8 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipN8m57hvkKLRuCKmuHNWfS8wGq3F9Y7eFEG76_n=w408-h264-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:31.225Z,,
https://www.google.com/maps/place/Madison+Top+Door+Repair+Co./data=!4m7!3m6!1s0x88065372da4f5d97:0xdea53b638a2b8a81!8m2!3d43.0763707!4d-89.3838456!16s%2Fg%2F11n0btg9ff!19sChIJl11P2nJTBogRgYorimM7pd4,Madison Top Door Repair Co.,5.0,37,Contractor,"101 E Mifflin St, Madison, WI 53703, United States","3JG8+GF Madison, Wisconsin, USA",http://madisontopdoorrepair.com/,+1 608-292-4833,Open ⋅ Closes 7 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UEa_HHc_YF6c-gdK41889w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=145.82085&pitch=0&thumbfov=100,false,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:35.609Z,,
https://www.google.com/maps/place/Schmitz+Door+Service+LLC/data=!4m7!3m6!1s0x8807b20155a8c029:0x9b7c060538054c7c!8m2!3d43.0402052!4d-89.2887842!16s%2Fg%2F1tf1pdqx!19sChIJKcCoVQGyB4gRfEwFOAUGfJs,Schmitz Door Service LLC,4.9,86,Garage door supplier,"5309 Voges Rd, Madison, WI 53718, United States","2PR6+3F Madison, Wisconsin, USA",https://schmitzdoor.com/,+1 608-274-0880,Open ⋅ Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipMFaAQte8yI0sGRuhHtQNnTPGmKbYJDFne4KyVz=w408-h306-k-no,true,7 am–7 pm,9 am–1 pm,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:40.153Z,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Madison/data=!4m7!3m6!1s0x8807ad4d5506cb2b:0x1dcea6bddc51d58f!8m2!3d43.0280114!4d-89.3985629!16s%2Fg%2F1w3w3m3f!19sChIJK8sGVU2tB4gRj9VR3L2mzh0,Overhead Door Company of Madison,3.5,100,Garage door supplier,"917 Watson Ave, Madison, WI 53713, United States","2JH2+6H Madison, Wisconsin, USA",http://www.overheaddoormadison.com/,+1 608-271-4288,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyCrydbGaonm-L0M35CHzhDIpJ0556OVhEB6V-XewJdHzktyg5Xg6t81yfO0hdr3NbNm-zo8uWeNWCsGnb_WfOp8bHbEyWUUdRLRR4dNNn6neGlDSmDGb6PclIHAPCj4OlgN51R=w426-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:44.746Z,,
https://www.google.com/maps/place/All+Ways+Garage+Door+Services/data=!4m7!3m6!1s0x6f54b12e82e7bdd:0x319c4d4f633d9fd7!8m2!3d42.897138!4d-89.423683!16s%2Fg%2F11vsw38frm!19sChIJ3Xsu6BJL9QYR1589Y09NnDE,All Ways Garage Door Services,5.0,93,Garage door supplier,,,http://www.allwaysgaragedoor.com/,+1 608-501-7779,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPlbKw90oRECke1V2q7Mz3kwt4u4WYYWT4jMf3H=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Madison+WI/@43.0721661,-89.4007501,14z",2025-11-07T23:26:49.176Z,,
