placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Family+Health+and+Functional+Medicine+Practice+Inc.+%28FHFMP%29/data=!4m7!3m6!1s0x8834f1fc44add7bb:0x61f60de6115a9de4!8m2!3d40.4306799!4d-79.9230829!16s%2Fg%2F11hy_y9001!19sChIJu9etRPzxNIgR5J1aEeYN9mE,Family Health and Functional Medicine Practice Inc. (FHFMP),,,Alternative medicine practitioner,"2345 Murray Ave, Pittsburgh, PA 15217, United States","C3JG+7Q Pittsburgh, Pennsylvania, USA",,+1 412-376-5500,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1Y0uc14h1Ne2b1TiWRd8Ow&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.158034&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:01.832Z,,,,,,,,,,,
https://www.google.com/maps/place/Dr.+David+Lobur/data=!4m7!3m6!1s0x8834f1fee3461ec3:0x8e5d2eb407dd55d3!8m2!3d40.41751!4d-79.955237!16s%2Fg%2F1tdv_jvc!19sChIJwx5G4_7xNIgR01XdB7QuXY4,Dr. David Lobur,4.3,24,Family practice physician,"3830 S Water St, Pittsburgh, PA 15203, United States","C29V+2W Pittsburgh, Pennsylvania, USA",http://www.drlobur.com/,+1 412-422-5433,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOT9WVJVvqcIFLf4uwisw8QVZRHZ5Lvg98nWVaN=w408-h340-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:07.324Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Dr+Joy+Sturgill+ND+-+Naturopathic+Doctor/data=!4m7!3m6!1s0x8834f40631e3a8f1:0x8cb4242f4528309!8m2!3d40.4832442!4d-79.9500636!16s%2Fg%2F1tgpnpgk!19sChIJ8ajjMQb0NIgRCYNS9EJCywg,Dr Joy Sturgill ND - Naturopathic Doctor,4.6,32,Holistic medicine practitioner,"5432 Butler St, Pittsburgh, PA 15201, United States","F2MX+7X Pittsburgh, Pennsylvania, USA",http://www.drjoysturgill.com/,+1 412-921-8329,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ulhS1kcqzCpe12Nv7Tc3Ig&cb_client=search.gws-prod.gps&w=408&h=240&yaw=137.52448&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:12.337Z,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–8 pm,Closed,Closed,Closed,,,,
https://www.google.com/maps/place/SuMa+Medicine/data=!4m7!3m6!1s0x88348d385ca8464b:0xebde9c3fc7e82640!8m2!3d40.4769064!4d-79.9217833!16s%2Fg%2F11q48wg0qd!19sChIJS0aoXDiNNIgRQCboxz-c3us,SuMa Medicine,4.8,25,Medical office,"5655 Bryant St suite 205, Pittsburgh, PA 15206, United States","F3GH+Q7 Pittsburgh, Pennsylvania, USA",https://sumamedicine.com/,+1 724-452-5200,Open · Closes 2:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TSWI2VuC5kty6P0FwQLzgw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=27.149534&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:17.315Z,9 am–2:30 pm,9 am–2:30 pm,9 am–2:30 pm,9 am–2:30 pm,Closed,Closed,Closed,,,,
"https://www.google.com/maps/place/Valerie+P+Donaldson,+MD,+Regenerative+Medicine+Center/data=!4m7!3m6!1s0x8834ed6c38886e1d:0x488921adf71af553!8m2!3d40.4894158!4d-79.9013198!16s%2Fg%2F1jmct877p!19sChIJHW6IOGztNIgRU_Ua960hiUg","Valerie P Donaldson, MD, Regenerative Medicine Center",4.5,24,Medical clinic,"17 Brilliant Ave, Pittsburgh, PA 15215, United States","F3QX+QF Pittsburgh, Pennsylvania, USA",http://valeriedonaldsonmd.com/,+1 412-767-9890,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=R3PFCY7fEMQNcS8c6S0UuA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=290.85986&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:22.314Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Dr.+Valerie+Donaldson+MD/data=!4m7!3m6!1s0x8834f168734d832f:0xaa4a00ab68e75220!8m2!3d40.4406248!4d-79.9958864!16s%2Fg%2F11h7krv_qj!19sChIJL4NNc2jxNIgRIFLnaKsASqo,Dr. Valerie Donaldson MD,5.0,1,Internist,"Pittsburgh, PA 15219, United States","C2R3+6J Pittsburgh, Pennsylvania, USA",https://www.regenerativemc.com/women/,+1 412-767-9890,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AXo9xvvPeQu8OGOHrFHEZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=161.32924&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:25.392Z,,,,,,,,,,,
https://www.google.com/maps/place/UPMC+Center+for+Integrative+Medicine/data=!4m7!3m6!1s0x8834f216bd5062c9:0x60d42335b545f1ae!8m2!3d40.4533919!4d-79.9377286!16s%2Fg%2F1tf7h9yb!19sChIJyWJQvRbyNIgRrvFFtTUj1GA,UPMC Center for Integrative Medicine,3.2,22,Specialized clinic,"580 S Aiken Ave #310, Pittsburgh, PA 15232, United States","F336+9W Pittsburgh, Pennsylvania, USA",https://www.upmc.com/services/integrative-medicine?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=specialized-clinic-swpa-upmc-center-for-integrative-medicine,+1 412-623-3023,Open · Closes 5:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JGHK89pyl_qGqs2rdeHx_Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=347.991&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:30.207Z,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Sanctuary+Wellness+Medical+Marijuana+Card+Doctors/data=!4m7!3m6!1s0x8834f1a92d6415e3:0xbfdc69290d448998!8m2!3d40.4417988!4d-80.0013922!16s%2Fg%2F11ybdfj33f!19sChIJ4xVkLanxNIgRmIlEDSlp3L8,Sanctuary Wellness Medical Marijuana Card Doctors,4.9,156,Medical clinic,"606 Liberty Ave Suite 407, Pittsburgh, PA 15222, United States","CXRX+PC Pittsburgh, Pennsylvania, USA",https://sanctuarywellnessinstitute.com/cannabis/medical-marijuana-card-pittsburgh-pa.php?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing-pittsburgh,+1 412-213-8120,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOVDXRSArAsBet44uL1y-FCOyEv9aL4EgJmXzhl=w408-h513-k-no,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:34.953Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,Closed,LGBTQ+ friendly,,,
"https://www.google.com/maps/place/Daniel+S.+Miller,+DC/data=!4m7!3m6!1s0x8834f216bd5062c9:0x1cd8e1cf1992978e!8m2!3d40.4534133!4d-79.9376768!16s%2Fg%2F1vl5hfl2!19sChIJyWJQvRbyNIgRjpeSGc_h2Bw","Daniel S. Miller, DC",5.0,7,Chiropractor,"580 S Aiken Ave, Pittsburgh, PA 15232, United States","F336+9W Pittsburgh, Pennsylvania, USA",https://www.upmc.com/services/integrative-medicine,+1 412-623-3023,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jXXaroS1fDgU3LQ5QeSKvg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=38.43574&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:39.781Z,11 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,Closed,,,,
https://www.google.com/maps/place/A%2FL+Holistic/data=!4m7!3m6!1s0x80a2e162a769cd47:0x7b8861a294a4fbf1!8m2!3d40.4369881!4d-79.9280948!16s%2Fg%2F11p5x6y_fr!19sChIJR81pp2LhooAR8fuklKJhiHs,A/L Holistic,5.0,2,Health consultant,"1736 Wightman St, Pittsburgh, PA 15217, United States","C3PC+QQ Pittsburgh, Pennsylvania, USA",,+1 412-657-9442,Open · Closes 11 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-IstSNW5cx9dZ-qfnEIrIg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.57303&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/functional+medicine+in+Squirrel+Hill+Pittsburgh+PA/@40.4365589,-79.9245311,14z",2026-02-23T17:51:44.541Z,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–4 pm,Closed,7 am–11 pm,,,,
