placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,query,timestamp,info,wednesday,thursday,friday,saturday,sunday,monday,error
"https://www.google.com/maps/place/JRK+Vascular+Medicine+and+Vein+Clinic/@43.1565779,-77.6088465,14z/data=!4m6!3m5!1s0x87f75fc371409117:0xa25286b350ec98b4!8m2!3d44.050744!4d-92.5253945!16s%2Fg%2F11h23_98tk",JRK Vascular Medicine and Vein Clinic,5.0,,Medical clinic,"2633 Superior Dr NW STE 100, Rochester, MN 55901, United States","3F2F+7R Rochester, Minnesota, USA",https://www.mnveincenter.com/locations/varicose-veins-rochester/?utm_campaign=gmb,+1 651-765-8346,Closes soon · 5 pm · Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipOKnF0ScAREO1svbLCx9r9vWUKIIT6u_BmuQQGs=w408-h272-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2025-12-16T22:05:44.132Z,,,,,,,,
https://www.google.com/maps/place/Permanent+Choice+Laser+Hair+Removal+and+Electrolysis+Centers/data=!4m7!3m6!1s0x87f75f5ba790792b:0x6467ee849773d1bb!8m2!3d44.005957!4d-92.467794!16s%2Fg%2F1tfn394h!19sChIJK3mQp1tf94cRu9Fzl4TuZ2Q,Permanent Choice Laser Hair Removal and Electrolysis Centers,4.8,27,Laser hair removal service,"1221 3rd Ave SW, Rochester, MN 55902, United States","2G4J+9V Rochester, Minnesota, USA",http://www.permanentchoice.com/,+1 507-536-7931,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipMEeTxzLLtURNXkhvsNJYPPQXQcyCiN8NspXGvG=w408-h408-k-no,true,11 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-12-16T22:05:58.942Z,LGBTQ+ friendly,10 am–6:30 pm,11 am–8 pm,10 am–4:30 pm,Closed,Closed,3–7 pm,
"https://www.google.com/maps/place/Henna+Kalsi,+MD/data=!4m7!3m6!1s0x87f75f7b3595d707:0x73e4a890238e8282!8m2!3d44.0507872!4d-92.5254799!16s%2Fg%2F1tj1n22w!19sChIJB9eVNXtf94cRgoKOI5Co5HM","Henna Kalsi, MD",5.0,1,Doctor,"2633 Superior Dr NW, Rochester, MN 55901, United States","3F2F+8R Rochester, Minnesota, USA",http://www.jrkmedicals.com/,+1 507-322-6900,Closes soon · 5 pm · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4tfvR_xQwuvRHQVUtajWvfVr1j7Srkruzny3RW2G_GSLgorMuypGSGvOlLCuyDkaCaG1N4GsvIlYsq2P0SR1OjzeeVWIkFSWoBCYOS76Hd1yR_BmYceIXVTYR6_tw-umcDREQBw=w408-h247-k-no,true,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-12-16T22:06:09.667Z,,Closed,Closed,Closed,Closed,Closed,9 am–5 pm,
https://www.google.com/maps/place/Refined+Skin+Medi-Spa/data=!4m7!3m6!1s0x87f75e103195209d:0x2939fc80a1812ce5!8m2!3d44.0566123!4d-92.5290648!16s%2Fg%2F11g8vrq0_6!19sChIJnSCVMRBe94cR5SyBoYD8OSk,Refined Skin Medi-Spa,5.0,30,Medical spa,"3131 Superior Dr NW, Rochester, MN 55901, United States","3F4C+J9 Rochester, Minnesota, USA",https://refinedskinmedispa.com/,+1 507-226-8880,Closed · Opens 9 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F75TLDECYJ0Vp7JX_7ZYQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=241.00229&pitch=0&thumbfov=100,true,Closed,"https://www.google.com/maps/search/vein+clinics+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-12-16T22:06:14.798Z,,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,Closed,
https://www.google.com/maps/place/Mayo+Clinic+Gonda+Vascular+Center/data=!4m7!3m6!1s0x87f75f7ba9b3c677:0xec62d3b2712971b0!8m2!3d44.0228894!4d-92.4666704!16s%2Fg%2F113g7_d4q!19sChIJd8azqXtf94cRsHEpcbLTYuw,Mayo Clinic Gonda Vascular Center,3.7,11,Surgical center,"200 1st St NW, Rochester, MN 55901, United States","2GFM+58 Rochester, Minnesota, USA",http://www.mayoclinic.org/,+1 507-284-2511,Closes soon · 5 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2WDdzdjOCsqT7h5YVsPx2w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=41.3372&pitch=0&thumbfov=100,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Dodge+Center+Rochester+MN/@44.0274641,-92.8551933,14z",2025-12-16T22:06:20.495Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,
,,,,,,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Chatfield+Rochester+MN/@43.8416451,-92.1892439,14z",2025-12-16T22:06:33.961Z,,,,,,,,No new results found
https://www.google.com/maps/place/Bernardo+Mendes/data=!4m7!3m6!1s0x87f75f1296555555:0xd86914a7ff9d66d5!8m2!3d44.0208655!4d-92.4815903!16s%2Fg%2F11sd2xrd63!19sChIJVVVVlhJf94cR1Wad_6cUadg,Bernardo Mendes,5.0,1,Vascular surgeon,"1216 2nd St SW, Rochester, MN 55902, United States",,https://www.mayoclinic.org/biographies/mendes-bernardo-c-m-d/bio-20426532,+1 507-284-2511,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4mi36zGpT9J4aujY_GtTsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.65738&pitch=0&thumbfov=100,false,,"https://www.google.com/maps/search/vein+clinics+in+Mantorville+Township+Rochester+MN/@44.0691307,-92.7557456,14z",2025-12-16T22:06:49.893Z,,,,,,,,
https://www.google.com/maps/place/Mayo+Clinic+Vascular+and+Endovascular+Surgery/data=!4m7!3m6!1s0x87f75f8f606af1cb:0xedfb3dbcc8094cdb!8m2!3d44.0226729!4d-92.4667508!16s%2Fg%2F11ydgg218n!19sChIJy_FqYI9f94cR20wJyLw9--0,Mayo Clinic Vascular and Endovascular Surgery,,,Vascular surgeon,"200 1st St SW, Rochester, MN 55905, United States","2GFM+37 Rochester, Minnesota, USA",https://www.mayoclinic.org/departments-centers/vascular-and-endovascular-surgery/overview/ovc-20458819?utm_source=google&utm_medium=gbp&utm_campaign=vas_division,+1 507-538-3270,Closes soon · 5 pm · Opens 8 am Wed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1NwPR3zFzLMrVtlotm23Lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.31813&pitch=0&thumbfov=100,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Mantorville+Township+Rochester+MN/@44.0691307,-92.7557456,14z",2025-12-16T22:06:54.660Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,
"https://www.google.com/maps/place/Fahad+Shuja,+M.B.B.S./data=!4m7!3m6!1s0x87f75f7b39000001:0x228bf7df4a39d87d!8m2!3d44.0226729!4d-92.4667508!16s%2Fg%2F11qgb7kqp9!19sChIJAQAAOXtf94cRfdg5St_3iyI","Fahad Shuja, M.B.B.S.",5.0,1,Vascular surgeon,"200 1st St SW, Rochester, MN 55905, United States",,https://www.mayoclinic.org/biographies/shuja-fahad-m-b-b-s/bio-20323775?utm_source=google&utm_medium=gbp&utm_campaign=vas_drfshujabio,+1 507-538-3270,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipO5fRcSTkTKyoojUkBnApvQBfpG9hj_TuSdJp_r=w408-h510-k-no,true,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Mantorville+Township+Rochester+MN/@44.0691307,-92.7557456,14z",2025-12-16T22:06:59.333Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,
https://www.google.com/maps/place/Essence+Skin+Clinic+%26+Med+Spa/data=!4m7!3m6!1s0x87f75f6252ce0e89:0x99ece3e92b8fcea6!8m2!3d44.0233268!4d-92.4866027!16s%2Fg%2F1tfry13g!19sChIJiQ7OUmJf94cRps6PK-nj7Jk,Essence Skin Clinic & Med Spa,4.9,608,Medical spa,"1640 W Center St, Rochester, MN 55902, United States","2GF7+89 Rochester, Minnesota, USA",https://www.essenceskinclinic.com/,+1 507-285-5505,Open · Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipNl94WYdGrepdE10L0k5tD50721H39i7Rlrl9K2=w411-h240-k-no,true,9 am–7 pm,"https://www.google.com/maps/search/vein+clinics+in+Mantorville+Township+Rochester+MN/@44.0691307,-92.7557456,14z",2025-12-16T22:07:04.096Z,LGBTQ+ friendly,9 am–7 pm,9 am–7 pm,9 am–5 pm,9 am–3 pm,Closed,9 am–7 pm,
