placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,error
"https://www.google.com/maps/place/Pugh+Group+Property+Management,+LLC/data=!4m7!3m6!1s0x88626d83d72c2109:0x3bd5b3763728c2c0!8m2!3d34.7049121!4d-86.5864087!16s%2Fg%2F11g10fp0cw!19sChIJCSEs14NtYogRwMIoN3az1Ts","Pugh Group Property Management, LLC",4.6,119,Property management company,"507 Drake Ave SW A, Huntsville, AL 35801, United States","PC37+XC Huntsville, Alabama, USA",http://pughgrouppropertymanagement.com/,+1 256-799-2908,Open ⋅ Closes 5 pm,Identifies as veteran-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6bjMrUc0P1V8L93slHoW5A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.04887&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:00.119Z,,
https://www.google.com/maps/place/Beacon+Management+Services/data=!4m7!3m6!1s0x88626ccbe4c7a6a5:0xf395b6f2ef8062e3!8m2!3d34.6997147!4d-86.5844677!16s%2Fg%2F1tmqs2p9!19sChIJpabH5MtsYogR42KA7_K2lfM,Beacon Management Services,4.1,33,Property management company,"3313 Memorial Pkwy SW #108, Huntsville, AL 35801, United States","MCX8+V6 Huntsville, Alabama, USA",http://www.beaconmanagementservices.com/location/Huntsville,+1 256-880-1000,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipP1elkzUUmG9lKQOTIpOdu8UJt9i94SepVrDPae=w408-h272-k-no,true,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm",Closed,Closed,"9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","9 am–12 pm, 1–5 pm","https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:06.118Z,,
https://www.google.com/maps/place/PMI+North+Alabama/data=!4m7!3m6!1s0x88626b128a5b0df5:0x1a6280c62489995d!8m2!3d34.7398388!4d-86.6265891!16s%2Fg%2F11g22zxdvy!19sChIJ9Q1bihJrYogRXZmJJMaAYho,PMI North Alabama,4.2,91,Property management company,"1200 Jordan Ln NW Suite #4, Huntsville, AL 35816, United States","P9QF+W9 Huntsville, Alabama, USA",https://www.huntsvillepropertymanagementinc.com/,+1 256-701-8282,Open ⋅ Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipN1HWGKOj1PhozCDgH1W0fLtdumNx7-LxvJxY49=w457-h240-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:11.002Z,,
https://www.google.com/maps/place/Evernest+Property+Management+Huntsville/data=!4m7!3m6!1s0x88626bf375d4541f:0x9eb7e88fbfa3858d!8m2!3d34.7380246!4d-86.5761062!16s%2Fg%2F11t1jfdv01!19sChIJH1TUdfNrYogRjYWjv4_ot54,Evernest Property Management Huntsville,4.1,87,Property management company,"805 NE Wellman Ave #16, Huntsville, AL 35801, United States","PCQF+6H Huntsville, Alabama, USA",https://www.huntsvillepropertymanagement.co/,+1 256-298-7282,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMbuEKXMqyUG9ciGnAydeBg2A5zZVf3bOH6PR2G=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:16.256Z,,
https://www.google.com/maps/place/Arrow+Property+Management+Alabama/data=!4m7!3m6!1s0x88626be30da75979:0xf6043a5d5787058e!8m2!3d34.7450604!4d-86.5991693!16s%2Fg%2F11x6pwn8g3!19sChIJeVmnDeNrYogRjgWHV106BPY,Arrow Property Management Alabama,5.0,2,Property management company,"713 Arcadia Cir NW Suite B, Huntsville, AL 35801, United States","PCW2+28 Huntsville, Alabama, USA",https://arrow-al.com/,+1 256-207-8176,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oOgMWv_6l3_nXvQJy_gEqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=248.28244&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:21.446Z,,
https://www.google.com/maps/place/RCPM/data=!4m7!3m6!1s0x88626b439751e185:0x61f84be5373a8b63!8m2!3d34.7128688!4d-86.6077722!16s%2Fg%2F11dfgr2w3q!19sChIJheFRl0NrYogRY4s6N-VL-GE,RCPM,3.5,358,Property management company,"2610 6th St SW, Huntsville, AL 35805, United States","P97R+4V Huntsville, Alabama, USA",http://www.rcpmanage.com/,+1 256-417-6840,Open ⋅ Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipNSEiDXJBKYcNOYzJ5gGPYd3ujkrlRBZ4lGsL_3=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:26.551Z,,
https://www.google.com/maps/place/Hamlett+Property+Management/data=!4m7!3m6!1s0x88626bec047f4411:0x593fc0a43a48a26a!8m2!3d34.7134149!4d-86.5876423!16s%2Fg%2F1tpbcqbx!19sChIJEUR_BOxrYogRaqJIOqTAP1k,Hamlett Property Management,3.9,78,Property management company,"922 SW Merchants Walk # B, Huntsville, AL 35801, United States","PC76+9W Huntsville, Alabama, USA",http://www.hamlettproperty.net/,+1 256-895-0350,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDQft_zFbKSEe1ubUY-je3eUh8oUqqRoxtQzRdo_273XGAltqWcLmuhPZ7uLWnFG5K8Rt1z1Brua8SAK_5XMU2jHLpxztQcMAw9Zsh4fdFSZa8rIfdBKpNYT771HZJElXP7eo0=w408-h240-k-no-pi-12.519957-ya176.04091-ro-4.85129-fo100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:31.922Z,,
https://www.google.com/maps/place/Valley+Homes+Realty+%26+PM/data=!4m7!3m6!1s0x88626d56d768e871:0xbb5451a797cb20cc!8m2!3d34.7177113!4d-86.5804599!16s%2Fg%2F11gm6pq3mc!19sChIJceho11ZtYogRzCDLl6dRVLs,Valley Homes Realty & PM,4.7,131,Property management company,"224 Rhett Ave SW Suite A, Huntsville, AL 35801, United States","PC99+3R Huntsville, Alabama, USA",https://www.valleyhomeshuntsville.com/,+1 256-665-9996,,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOSVRem-j7mQUw8IVcdY7dMjwNYKRLkn3ax11EY=w425-h240-k-no,true,1–5 pm,1–5 pm,Closed,Closed,1–5 pm,1–5 pm,1–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:37.551Z,,
https://www.google.com/maps/place/Management+Apex/data=!4m7!3m6!1s0x88626b5691bb8583:0x6cf227058ea80758!8m2!3d34.7299994!4d-86.5863147!16s%2Fg%2F11bcf1kylx!19sChIJg4W7kVZrYogRWAeojgUn8mw,Management Apex,2.0,96,Property management company,"200 West Side Square Suite 605, Huntsville, AL 35801, United States","PCH7+XF Huntsville, Alabama, USA",http://www.managementapex.com/,+1 256-704-2112,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7pN7VBHK4EwJ6g9vPb5R_ND81vLjbtG0y7yQK6yZNpatJi3ZUS2gN6NPr2qebPChMcTvZP0JMvFMuGjpYL2isj5V5-jg9mXac7bgWvSsEJmPSbYf3R3r3weVx1qLxOXlInKlB=w408-h306-k-no,false,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:42.857Z,,
"https://www.google.com/maps/place/Astro+Property+Management,+LLC/data=!4m7!3m6!1s0x88626d3344e37789:0xc220b07ef9678ee3!8m2!3d34.7366095!4d-86.6278139!16s%2Fg%2F11gr677cjv!19sChIJiXfjRDNtYogR445n-X6wIMI","Astro Property Management, LLC",4.0,21,Property management company,"4000 Marie Ave NW Unit D, Huntsville, AL 35816, United States","P9PC+JV Huntsville, Alabama, USA",http://astropropertymanagement.com/,+1 256-716-6500,Open ⋅ Closes 3:30 am,Identifies as veteran-owned,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hzbuqF99z8zFE8AqEFa5fQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.207&pitch=0&thumbfov=100,true,8:30 am–3:30 am,8:30 am–1:30 pm,Closed,Closed,8:30 am–3:30 pm,8:30 am–3:30 pm,8:30 am–3:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Athens+Huntsville+AL/@34.7295497,-86.5853155,14z",2025-09-25T18:30:48.092Z,,
